Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +7.43707371833E+001, +0.00000000000E+000
+1.00004975000E+005, +8.97758027203E+001, +0.00000000000E+000
+2.00004950000E+005, +8.96642543908E+001, +0.00000000000E+000
+3.00004925000E+005, +8.95645207146E+001, +0.00000000000E+000
+4.00004900000E+005, +8.94937850041E+001, +0.00000000000E+000
+5.00004875000E+005, +8.94607145553E+001, +0.00000000000E+000
+6.00004850000E+005, +8.94348838565E+001, +0.00000000000E+000
+7.00004825000E+005, +8.94254927792E+001, +0.00000000000E+000
+8.00004800000E+005, +8.94375851493E+001, +0.00000000000E+000
+9.00004775000E+005, +8.94658086944E+001, +0.00000000000E+000
+1.00000475000E+006, +8.95150844511E+001, +0.00000000000E+000
+1.10000472500E+006, +8.95480169384E+001, +0.00000000000E+000
+1.20000470000E+006, +8.96287723870E+001, +0.00000000000E+000
+1.30000467500E+006, +8.96703949130E+001, +0.00000000000E+000
+1.40000465000E+006, +8.97253318174E+001, +0.00000000000E+000
+1.50000462500E+006, +8.98335153415E+001, +0.00000000000E+000
+1.60000460000E+006, +8.98868300658E+001, +0.00000000000E+000
+1.70000457500E+006, +8.99212156132E+001, +0.00000000000E+000
+1.80000455000E+006, +8.99353846167E+001, +0.00000000000E+000
+1.90000452500E+006, +8.99710178002E+001, +0.00000000000E+000
+2.00000450000E+006, +9.00514542066E+001, +0.00000000000E+000
+2.10000447500E+006, +9.00749488743E+001, +0.00000000000E+000
+2.20000445000E+006, +9.01009313919E+001, +0.00000000000E+000
+2.30000442500E+006, +9.01353493722E+001, +0.00000000000E+000
+2.40000440000E+006, +9.01790541869E+001, +0.00000000000E+000
+2.50000437500E+006, +9.01922265942E+001, +0.00000000000E+000
+2.60000435000E+006, +9.01881806106E+001, +0.00000000000E+000
+2.70000432500E+006, +9.02147449436E+001, +0.00000000000E+000
+2.80000430000E+006, +9.02165383525E+001, +0.00000000000E+000
+2.90000427500E+006, +9.01964447922E+001, +0.00000000000E+000
+3.00000425000E+006, +9.01870407732E+001, +0.00000000000E+000
+3.10000422500E+006, +9.01719981569E+001, +0.00000000000E+000
+3.20000420000E+006, +9.01303885228E+001, +0.00000000000E+000
+3.30000417500E+006, +9.00918538944E+001, +0.00000000000E+000
+3.40000415000E+006, +9.00618260428E+001, +0.00000000000E+000
+3.50000412500E+006, +9.00060863131E+001, +0.00000000000E+000
+3.60000410000E+006, +8.99179196537E+001, +0.00000000000E+000
+3.70000407500E+006, +8.98395942366E+001, +0.00000000000E+000
+3.80000405000E+006, +8.97632022912E+001, +0.00000000000E+000
+3.90000402500E+006, +8.96834533245E+001, +0.00000000000E+000
+4.00000400000E+006, +8.95188739153E+001, +0.00000000000E+000
+4.10000397500E+006, +8.93448594386E+001, +0.00000000000E+000
+4.20000395000E+006, +8.92155496149E+001, +0.00000000000E+000
+4.30000392500E+006, +8.90255993569E+001, +0.00000000000E+000
+4.40000390000E+006, +8.88278386118E+001, +0.00000000000E+000
+4.50000387500E+006, +8.85983173391E+001, +0.00000000000E+000
+4.60000385000E+006, +8.83732748842E+001, +0.00000000000E+000
+4.70000382500E+006, +8.80341618324E+001, +0.00000000000E+000
+4.80000380000E+006, +8.76353161966E+001, +0.00000000000E+000
+4.90000377500E+006, +8.72637303333E+001, +0.00000000000E+000
+5.00000375000E+006, +8.67887139940E+001, +0.00000000000E+000
+5.10000372500E+006, +8.61747111950E+001, +0.00000000000E+000
+5.20000370000E+006, +8.54790809823E+001, +0.00000000000E+000
+5.30000367500E+006, +8.47160916324E+001, +0.00000000000E+000
+5.40000365000E+006, +8.35296036620E+001, +0.00000000000E+000
+5.50000362500E+006, +8.24518639897E+001, +0.00000000000E+000
+5.60000360000E+006, +8.09416840021E+001, +0.00000000000E+000
+5.70000357500E+006, +7.90765920837E+001, +0.00000000000E+000
+5.80000355000E+006, +7.64099290515E+001, +0.00000000000E+000
+5.90000352500E+006, +7.26078348154E+001, +0.00000000000E+000
+6.00000350000E+006, +6.70946865178E+001, +0.00000000000E+000
+6.10000347500E+006, +5.85692033207E+001, +0.00000000000E+000
+6.20000345000E+006, +4.38098991489E+001, +0.00000000000E+000
+6.30000342500E+006, +2.06836271761E+001, +0.00000000000E+000
+6.40000340000E+006, -8.82553319654E+000, +0.00000000000E+000
+6.50000337500E+006, -3.25297498134E+001, +0.00000000000E+000
+6.60000335000E+006, -4.72905657678E+001, +0.00000000000E+000
+6.70000332500E+006, -5.59142895281E+001, +0.00000000000E+000
+6.80000330000E+006, -6.14470000998E+001, +0.00000000000E+000
+6.90000327500E+006, -6.54730902983E+001, +0.00000000000E+000
+7.00000325000E+006, -6.80353902535E+001, +0.00000000000E+000
+7.10000322500E+006, -7.00610116498E+001, +0.00000000000E+000
+7.20000320000E+006, -7.17066629168E+001, +0.00000000000E+000
+7.30000317500E+006, -7.28391769928E+001, +0.00000000000E+000
+7.40000315000E+006, -7.39763792663E+001, +0.00000000000E+000
+7.50000312500E+006, -7.46212865637E+001, +0.00000000000E+000
+7.60000310000E+006, -7.54511292485E+001, +0.00000000000E+000
+7.70000307500E+006, -7.58417700119E+001, +0.00000000000E+000
+7.80000305000E+006, -7.62756009885E+001, +0.00000000000E+000
+7.90000302500E+006, -7.68463066165E+001, +0.00000000000E+000
+8.00000300000E+006, -7.71602496834E+001, +0.00000000000E+000
+8.10000297500E+006, -7.74836033271E+001, +0.00000000000E+000
+8.20000295000E+006, -7.78291889276E+001, +0.00000000000E+000
+8.30000292500E+006, -7.79894943017E+001, +0.00000000000E+000
+8.40000290000E+006, -7.82710060592E+001, +0.00000000000E+000
+8.50000287500E+006, -7.84095987494E+001, +0.00000000000E+000
+8.60000285000E+006, -7.85748690770E+001, +0.00000000000E+000
+8.70000282500E+006, -7.86711069438E+001, +0.00000000000E+000
+8.80000280000E+006, -7.88775614760E+001, +0.00000000000E+000
+8.90000277500E+006, -7.90008355734E+001, +0.00000000000E+000
+9.00000275000E+006, -7.90427117515E+001, +0.00000000000E+000
+9.10000272500E+006, -7.91884107720E+001, +0.00000000000E+000
+9.20000270000E+006, -7.92081272831E+001, +0.00000000000E+000
+9.30000267500E+006, -7.92899544737E+001, +0.00000000000E+000
+9.40000265000E+006, -7.94209140625E+001, +0.00000000000E+000
+9.50000262500E+006, -7.94202652432E+001, +0.00000000000E+000
+9.60000260000E+006, -7.94696348111E+001, +0.00000000000E+000
+9.70000257500E+006, -7.95155303941E+001, +0.00000000000E+000
+9.80000255000E+006, -7.95656637423E+001, +0.00000000000E+000
+9.90000252500E+006, -7.95814471976E+001, +0.00000000000E+000
+1.00000025000E+007, -7.96455073739E+001, +0.00000000000E+000
+1.01000024750E+007, -7.96687059798E+001, +0.00000000000E+000
+1.02000024500E+007, -7.96789403303E+001, +0.00000000000E+000
+1.03000024250E+007, -7.96804214824E+001, +0.00000000000E+000
+1.04000024000E+007, -7.96525552509E+001, +0.00000000000E+000
+1.05000023750E+007, -7.96865306831E+001, +0.00000000000E+000
+1.06000023500E+007, -7.96923762904E+001, +0.00000000000E+000
+1.07000023250E+007, -7.96737874992E+001, +0.00000000000E+000
+1.08000023000E+007, -7.96960833290E+001, +0.00000000000E+000
+1.09000022750E+007, -7.96708918229E+001, +0.00000000000E+000
+1.10000022500E+007, -7.97007855256E+001, +0.00000000000E+000
+1.11000022250E+007, -7.96634473644E+001, +0.00000000000E+000
+1.12000022000E+007, -7.96810140112E+001, +0.00000000000E+000
