Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +6.76294744941E-002, +0.00000000000E+000
+1.00004975000E+005, +9.19912584380E+001, +0.00000000000E+000
+2.00004950000E+005, +1.83468783647E+002, +0.00000000000E+000
+3.00004925000E+005, +2.74702812078E+002, +0.00000000000E+000
+4.00004900000E+005, +3.65915983002E+002, +0.00000000000E+000
+5.00004875000E+005, +4.57153334196E+002, +0.00000000000E+000
+6.00004850000E+005, +5.48652394427E+002, +0.00000000000E+000
+7.00004825000E+005, +6.40780260882E+002, +0.00000000000E+000
+8.00004800000E+005, +7.33493121163E+002, +0.00000000000E+000
+9.00004775000E+005, +8.27190227031E+002, +0.00000000000E+000
+1.00000475000E+006, +9.21875127662E+002, +0.00000000000E+000
+1.10000472500E+006, +1.01805476407E+003, +0.00000000000E+000
+1.20000470000E+006, +1.11567300130E+003, +0.00000000000E+000
+1.30000467500E+006, +1.21540016036E+003, +0.00000000000E+000
+1.40000465000E+006, +1.31697148359E+003, +0.00000000000E+000
+1.50000462500E+006, +1.41953730645E+003, +0.00000000000E+000
+1.60000460000E+006, +1.52545349222E+003, +0.00000000000E+000
+1.70000457500E+006, +1.63472544869E+003, +0.00000000000E+000
+1.80000455000E+006, +1.74702007881E+003, +0.00000000000E+000
+1.90000452500E+006, +1.86133931254E+003, +0.00000000000E+000
+2.00000450000E+006, +1.98067410104E+003, +0.00000000000E+000
+2.10000447500E+006, +2.10328332701E+003, +0.00000000000E+000
+2.20000445000E+006, +2.22971544515E+003, +0.00000000000E+000
+2.30000442500E+006, +2.36134857726E+003, +0.00000000000E+000
+2.40000440000E+006, +2.49817710155E+003, +0.00000000000E+000
+2.50000437500E+006, +2.64035661060E+003, +0.00000000000E+000
+2.60000435000E+006, +2.78854475208E+003, +0.00000000000E+000
+2.70000432500E+006, +2.94193597544E+003, +0.00000000000E+000
+2.80000430000E+006, +3.10417371941E+003, +0.00000000000E+000
+2.90000427500E+006, +3.27181169806E+003, +0.00000000000E+000
+3.00000425000E+006, +3.45028678394E+003, +0.00000000000E+000
+3.10000422500E+006, +3.63654258201E+003, +0.00000000000E+000
+3.20000420000E+006, +3.83149900929E+003, +0.00000000000E+000
+3.30000417500E+006, +4.04260528482E+003, +0.00000000000E+000
+3.40000415000E+006, +4.26167675009E+003, +0.00000000000E+000
+3.50000412500E+006, +4.49672153756E+003, +0.00000000000E+000
+3.60000410000E+006, +4.74848260396E+003, +0.00000000000E+000
+3.70000407500E+006, +5.01247075592E+003, +0.00000000000E+000
+3.80000405000E+006, +5.29536428494E+003, +0.00000000000E+000
+3.90000402500E+006, +5.60650840031E+003, +0.00000000000E+000
+4.00000400000E+006, +5.93958400952E+003, +0.00000000000E+000
+4.10000397500E+006, +6.29379686291E+003, +0.00000000000E+000
+4.20000395000E+006, +6.68204322818E+003, +0.00000000000E+000
+4.30000392500E+006, +7.10917091627E+003, +0.00000000000E+000
+4.40000390000E+006, +7.58375373964E+003, +0.00000000000E+000
+4.50000387500E+006, +8.08886038784E+003, +0.00000000000E+000
+4.60000385000E+006, +8.65320441530E+003, +0.00000000000E+000
+4.70000382500E+006, +9.29441588162E+003, +0.00000000000E+000
+4.80000380000E+006, +1.00102995518E+004, +0.00000000000E+000
+4.90000377500E+006, +1.08203899986E+004, +0.00000000000E+000
+5.00000375000E+006, +1.17463000652E+004, +0.00000000000E+000
+5.10000372500E+006, +1.27929352561E+004, +0.00000000000E+000
+5.20000370000E+006, +1.40290719726E+004, +0.00000000000E+000
+5.30000367500E+006, +1.54783408775E+004, +0.00000000000E+000
+5.40000365000E+006, +1.72405342704E+004, +0.00000000000E+000
+5.50000362500E+006, +1.93490782386E+004, +0.00000000000E+000
+5.60000360000E+006, +2.20317964362E+004, +0.00000000000E+000
+5.70000357500E+006, +2.54588458241E+004, +0.00000000000E+000
+5.80000355000E+006, +2.99381318766E+004, +0.00000000000E+000
+5.90000352500E+006, +3.58659750348E+004, +0.00000000000E+000
+6.00000350000E+006, +4.44199881681E+004, +0.00000000000E+000
+6.10000347500E+006, +5.67681110599E+004, +0.00000000000E+000
+6.20000345000E+006, +7.49379186133E+004, +0.00000000000E+000
+6.30000342500E+006, +9.32506896402E+004, +0.00000000000E+000
+6.40000340000E+006, +9.29431666867E+004, +0.00000000000E+000
+6.50000337500E+006, +7.69023096797E+004, +0.00000000000E+000
+6.60000335000E+006, +5.97548295297E+004, +0.00000000000E+000
+6.70000332500E+006, +4.73721825520E+004, +0.00000000000E+000
+6.80000330000E+006, +3.87825166556E+004, +0.00000000000E+000
+6.90000327500E+006, +3.29695613219E+004, +0.00000000000E+000
+7.00000325000E+006, +2.84580354677E+004, +0.00000000000E+000
+7.10000322500E+006, +2.50514852446E+004, +0.00000000000E+000
+7.20000320000E+006, +2.23593964812E+004, +0.00000000000E+000
+7.30000317500E+006, +2.02172878645E+004, +0.00000000000E+000
+7.40000315000E+006, +1.84461087552E+004, +0.00000000000E+000
+7.50000312500E+006, +1.70416080336E+004, +0.00000000000E+000
+7.60000310000E+006, +1.57801186094E+004, +0.00000000000E+000
+7.70000307500E+006, +1.47465307369E+004, +0.00000000000E+000
+7.80000305000E+006, +1.38262636776E+004, +0.00000000000E+000
+7.90000302500E+006, +1.30277494319E+004, +0.00000000000E+000
+8.00000300000E+006, +1.23136907789E+004, +0.00000000000E+000
+8.10000297500E+006, +1.16720571155E+004, +0.00000000000E+000
+8.20000295000E+006, +1.11082091063E+004, +0.00000000000E+000
+8.30000292500E+006, +1.06087939525E+004, +0.00000000000E+000
+8.40000290000E+006, +1.01463124623E+004, +0.00000000000E+000
+8.50000287500E+006, +9.72426878374E+003, +0.00000000000E+000
+8.60000285000E+006, +9.34865064397E+003, +0.00000000000E+000
+8.70000282500E+006, +8.99852102343E+003, +0.00000000000E+000
+8.80000280000E+006, +8.67798673204E+003, +0.00000000000E+000
+8.90000277500E+006, +8.37420313887E+003, +0.00000000000E+000
+9.00000275000E+006, +8.10567877279E+003, +0.00000000000E+000
+9.10000272500E+006, +7.84623686922E+003, +0.00000000000E+000
+9.20000270000E+006, +7.61444299596E+003, +0.00000000000E+000
+9.30000267500E+006, +7.39103635167E+003, +0.00000000000E+000
+9.40000265000E+006, +7.17891542737E+003, +0.00000000000E+000
+9.50000262500E+006, +6.98201513887E+003, +0.00000000000E+000
+9.60000260000E+006, +6.79984630118E+003, +0.00000000000E+000
+9.70000257500E+006, +6.62224035106E+003, +0.00000000000E+000
+9.80000255000E+006, +6.46123287252E+003, +0.00000000000E+000
+9.90000252500E+006, +6.30196866434E+003, +0.00000000000E+000
+1.00000025000E+007, +6.15522186250E+003, +0.00000000000E+000
+1.01000024750E+007, +6.02028897888E+003, +0.00000000000E+000
+1.02000024500E+007, +5.88680842645E+003, +0.00000000000E+000
+1.03000024250E+007, +5.76064354392E+003, +0.00000000000E+000
+1.04000024000E+007, +5.64058524098E+003, +0.00000000000E+000
+1.05000023750E+007, +5.52880826082E+003, +0.00000000000E+000
+1.06000023500E+007, +5.41741894605E+003, +0.00000000000E+000
+1.07000023250E+007, +5.31151921587E+003, +0.00000000000E+000
+1.08000023000E+007, +5.21228781465E+003, +0.00000000000E+000
+1.09000022750E+007, +5.11585214354E+003, +0.00000000000E+000
+1.10000022500E+007, +5.02441038638E+003, +0.00000000000E+000
+1.11000022250E+007, +4.93535140859E+003, +0.00000000000E+000
+1.12000022000E+007, +4.85203791142E+003, +0.00000000000E+000
+1.13000021750E+007, +4.76984276725E+003, +0.00000000000E+000
+1.14000021500E+007, +4.69177503966E+003, +0.00000000000E+000
+1.15000021250E+007, +4.61509458816E+003, +0.00000000000E+000
+1.16000021000E+007, +4.54253336775E+003, +0.00000000000E+000
+1.17000020750E+007, +4.47232386851E+003, +0.00000000000E+000
+1.18000020500E+007, +4.40337740376E+003, +0.00000000000E+000
+1.19000020250E+007, +4.34019581959E+003, +0.00000000000E+000
+1.20000020000E+007, +4.27632049990E+003, +0.00000000000E+000
+1.21000019750E+007, +4.21415509814E+003, +0.00000000000E+000
+1.22000019500E+007, +4.15562647316E+003, +0.00000000000E+000
+1.23000019250E+007, +4.09805917796E+003, +0.00000000000E+000
+1.24000019000E+007, +4.04132271802E+003, +0.00000000000E+000
+1.25000018750E+007, +3.98761816432E+003, +0.00000000000E+000
+1.26000018500E+007, +3.93611129265E+003, +0.00000000000E+000
+1.27000018250E+007, +3.88726324668E+003, +0.00000000000E+000
+1.28000018000E+007, +3.83689218948E+003, +0.00000000000E+000
+1.29000017750E+007, +3.78865707926E+003, +0.00000000000E+000
+1.30000017500E+007, +3.74068045837E+003, +0.00000000000E+000
+1.31000017250E+007, +3.69621832910E+003, +0.00000000000E+000
+1.32000017000E+007, +3.65276869645E+003, +0.00000000000E+000
+1.33000016750E+007, +3.60991974260E+003, +0.00000000000E+000
+1.34000016500E+007, +3.56761125352E+003, +0.00000000000E+000
+1.35000016250E+007, +3.52719181343E+003, +0.00000000000E+000
+1.36000016000E+007, +3.48730511598E+003, +0.00000000000E+000
+1.37000015750E+007, +3.45099996209E+003, +0.00000000000E+000
+1.38000015500E+007, +3.41234631628E+003, +0.00000000000E+000
+1.39000015250E+007, +3.37528117452E+003, +0.00000000000E+000
+1.40000015000E+007, +3.33968372637E+003, +0.00000000000E+000
+1.41000014750E+007, +3.30502357320E+003, +0.00000000000E+000
+1.42000014500E+007, +3.26996589828E+003, +0.00000000000E+000
+1.43000014250E+007, +3.23742667400E+003, +0.00000000000E+000
+1.44000014000E+007, +3.20538346068E+003, +0.00000000000E+000
+1.45000013750E+007, +3.17442169065E+003, +0.00000000000E+000
+1.46000013500E+007, +3.14251858069E+003, +0.00000000000E+000
+1.47000013250E+007, +3.11279873878E+003, +0.00000000000E+000
+1.48000013000E+007, +3.08155293067E+003, +0.00000000000E+000
+1.49000012750E+007, +3.05290704198E+003, +0.00000000000E+000
+1.50000012500E+007, +3.02400769682E+003, +0.00000000000E+000
+1.51000012250E+007, +2.99698576113E+003, +0.00000000000E+000
+1.52000012000E+007, +2.96950559628E+003, +0.00000000000E+000
+1.53000011750E+007, +2.94305043635E+003, +0.00000000000E+000
+1.54000011500E+007, +2.91705705903E+003, +0.00000000000E+000
+1.55000011250E+007, +2.89213209130E+003, +0.00000000000E+000
+1.56000011000E+007, +2.86607548790E+003, +0.00000000000E+000
+1.57000010750E+007, +2.84123207039E+003, +0.00000000000E+000
+1.58000010500E+007, +2.81741244286E+003, +0.00000000000E+000
+1.59000010250E+007, +2.79448236134E+003, +0.00000000000E+000
