Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +3.53721274878E+001, +0.00000000000E+000
+2.51250000000E+004, +3.55567176406E+001, +0.00000000000E+000
+2.52500000000E+004, +3.57362190943E+001, +0.00000000000E+000
+2.53750000000E+004, +3.59125901082E+001, +0.00000000000E+000
+2.55000000000E+004, +3.60918299097E+001, +0.00000000000E+000
+2.56250000000E+004, +3.62697897381E+001, +0.00000000000E+000
+2.57500000000E+004, +3.64473961321E+001, +0.00000000000E+000
+2.58750000000E+004, +3.66227933612E+001, +0.00000000000E+000
+2.60000000000E+004, +3.68004040636E+001, +0.00000000000E+000
+2.61250000000E+004, +3.69766614498E+001, +0.00000000000E+000
+2.62500000000E+004, +3.71540567335E+001, +0.00000000000E+000
+2.63750000000E+004, +3.73345992824E+001, +0.00000000000E+000
+2.65000000000E+004, +3.75124123356E+001, +0.00000000000E+000
+2.66250000000E+004, +3.76867779177E+001, +0.00000000000E+000
+2.67500000000E+004, +3.78645104564E+001, +0.00000000000E+000
+2.68750000000E+004, +3.80440921552E+001, +0.00000000000E+000
+2.70000000000E+004, +3.82198426149E+001, +0.00000000000E+000
+2.71250000000E+004, +3.83979087949E+001, +0.00000000000E+000
+2.72500000000E+004, +3.85717263006E+001, +0.00000000000E+000
+2.73750000000E+004, +3.87518729289E+001, +0.00000000000E+000
+2.75000000000E+004, +3.89286801914E+001, +0.00000000000E+000
+2.76250000000E+004, +3.91053242584E+001, +0.00000000000E+000
+2.77500000000E+004, +3.92850273595E+001, +0.00000000000E+000
+2.78750000000E+004, +3.94617595464E+001, +0.00000000000E+000
+2.80000000000E+004, +3.96381804288E+001, +0.00000000000E+000
+2.81250000000E+004, +3.98170615063E+001, +0.00000000000E+000
+2.82500000000E+004, +3.99899189962E+001, +0.00000000000E+000
+2.83750000000E+004, +4.01685221209E+001, +0.00000000000E+000
+2.85000000000E+004, +4.03472183024E+001, +0.00000000000E+000
+2.86250000000E+004, +4.05218461994E+001, +0.00000000000E+000
+2.87500000000E+004, +4.07000401875E+001, +0.00000000000E+000
+2.88750000000E+004, +4.08764848223E+001, +0.00000000000E+000
+2.90000000000E+004, +4.10565286348E+001, +0.00000000000E+000
+2.91250000000E+004, +4.12332979471E+001, +0.00000000000E+000
+2.92500000000E+004, +4.14115263787E+001, +0.00000000000E+000
+2.93750000000E+004, +4.15877371199E+001, +0.00000000000E+000
+2.95000000000E+004, +4.17646150969E+001, +0.00000000000E+000
+2.96250000000E+004, +4.19421051307E+001, +0.00000000000E+000
+2.97500000000E+004, +4.21216748123E+001, +0.00000000000E+000
+2.98750000000E+004, +4.22986376157E+001, +0.00000000000E+000
+3.00000000000E+004, +4.24777998441E+001, +0.00000000000E+000
+3.01250000000E+004, +4.26485747000E+001, +0.00000000000E+000
+3.02500000000E+004, +4.28284999505E+001, +0.00000000000E+000
+3.03750000000E+004, +4.30031801996E+001, +0.00000000000E+000
+3.05000000000E+004, +4.31800275667E+001, +0.00000000000E+000
+3.06250000000E+004, +4.33560299732E+001, +0.00000000000E+000
