Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.54495782919E+001, +0.00000000000E+000
+1.99500000000E+003, +8.23049050604E+001, +0.00000000000E+000
+2.99000000000E+003, +8.47265698999E+001, +0.00000000000E+000
+3.98500000000E+003, +8.59265393727E+001, +0.00000000000E+000
+4.98000000000E+003, +8.66679072468E+001, +0.00000000000E+000
+5.97500000000E+003, +8.71478832600E+001, +0.00000000000E+000
+6.97000000000E+003, +8.75046014986E+001, +0.00000000000E+000
+7.96500000000E+003, +8.77527356314E+001, +0.00000000000E+000
+8.96000000000E+003, +8.79564677816E+001, +0.00000000000E+000
+9.95500000000E+003, +8.81322747752E+001, +0.00000000000E+000
+1.09500000000E+004, +8.82517465204E+001, +0.00000000000E+000
+1.19450000000E+004, +8.83603377771E+001, +0.00000000000E+000
+1.29400000000E+004, +8.84479778804E+001, +0.00000000000E+000
+1.39350000000E+004, +8.85285994145E+001, +0.00000000000E+000
+1.49300000000E+004, +8.85989398138E+001, +0.00000000000E+000
+1.59250000000E+004, +8.86625659665E+001, +0.00000000000E+000
+1.69200000000E+004, +8.87141926112E+001, +0.00000000000E+000
+1.79150000000E+004, +8.87694558534E+001, +0.00000000000E+000
+1.89100000000E+004, +8.88150205577E+001, +0.00000000000E+000
+1.99050000000E+004, +8.88580910333E+001, +0.00000000000E+000
+2.09000000000E+004, +8.88934247083E+001, +0.00000000000E+000
+2.18950000000E+004, +8.89263914214E+001, +0.00000000000E+000
+2.28900000000E+004, +8.89562617136E+001, +0.00000000000E+000
+2.38850000000E+004, +8.89814901766E+001, +0.00000000000E+000
+2.48800000000E+004, +8.90031571331E+001, +0.00000000000E+000
+2.58750000000E+004, +8.90210325721E+001, +0.00000000000E+000
+2.68700000000E+004, +8.90418374581E+001, +0.00000000000E+000
+2.78650000000E+004, +8.90542031198E+001, +0.00000000000E+000
+2.88600000000E+004, +8.90721093196E+001, +0.00000000000E+000
+2.98550000000E+004, +8.90815448799E+001, +0.00000000000E+000
+3.08500000000E+004, +8.90988699314E+001, +0.00000000000E+000
+3.18450000000E+004, +8.91169327903E+001, +0.00000000000E+000
+3.28400000000E+004, +8.91364024243E+001, +0.00000000000E+000
+3.38350000000E+004, +8.91502547034E+001, +0.00000000000E+000
+3.48300000000E+004, +8.91602715849E+001, +0.00000000000E+000
+3.58250000000E+004, +8.91716540706E+001, +0.00000000000E+000
+3.68200000000E+004, +8.91805307836E+001, +0.00000000000E+000
+3.78150000000E+004, +8.91889322931E+001, +0.00000000000E+000
+3.88100000000E+004, +8.91947312961E+001, +0.00000000000E+000
+3.98050000000E+004, +8.92024718101E+001, +0.00000000000E+000
+4.08000000000E+004, +8.92133441022E+001, +0.00000000000E+000
+4.17950000000E+004, +8.92162258712E+001, +0.00000000000E+000
+4.27900000000E+004, +8.92201266147E+001, +0.00000000000E+000
+4.37850000000E+004, +8.92238274916E+001, +0.00000000000E+000
+4.47800000000E+004, +8.92273302791E+001, +0.00000000000E+000
+4.57750000000E+004, +8.92282265971E+001, +0.00000000000E+000
+4.67700000000E+004, +8.92333292427E+001, +0.00000000000E+000
+4.77650000000E+004, +8.92337378916E+001, +0.00000000000E+000
+4.87600000000E+004, +8.92353202420E+001, +0.00000000000E+000
+4.97550000000E+004, +8.92381082892E+001, +0.00000000000E+000
+5.07500000000E+004, +8.92447552147E+001, +0.00000000000E+000
+5.17450000000E+004, +8.92435922724E+001, +0.00000000000E+000
+5.27400000000E+004, +8.92473254254E+001, +0.00000000000E+000
+5.37350000000E+004, +8.92506120300E+001, +0.00000000000E+000
+5.47300000000E+004, +8.92570074573E+001, +0.00000000000E+000
+5.57250000000E+004, +8.92643291437E+001, +0.00000000000E+000
+5.67200000000E+004, +8.92695351454E+001, +0.00000000000E+000
+5.77150000000E+004, +8.92657805013E+001, +0.00000000000E+000
+5.87100000000E+004, +8.92728072105E+001, +0.00000000000E+000
+5.97050000000E+004, +8.92737628950E+001, +0.00000000000E+000
+6.07000000000E+004, +8.92786195359E+001, +0.00000000000E+000
+6.16950000000E+004, +8.92797715228E+001, +0.00000000000E+000
+6.26900000000E+004, +8.92802010908E+001, +0.00000000000E+000
+6.36850000000E+004, +8.92801327491E+001, +0.00000000000E+000
+6.46800000000E+004, +8.92816618444E+001, +0.00000000000E+000
+6.56750000000E+004, +8.92875804147E+001, +0.00000000000E+000
+6.66700000000E+004, +8.92867534959E+001, +0.00000000000E+000
+6.76650000000E+004, +8.92861540946E+001, +0.00000000000E+000
+6.86600000000E+004, +8.92852650131E+001, +0.00000000000E+000
+6.96550000000E+004, +8.92839337446E+001, +0.00000000000E+000
+7.06500000000E+004, +8.92915578869E+001, +0.00000000000E+000
+7.16450000000E+004, +8.92925604954E+001, +0.00000000000E+000
+7.26400000000E+004, +8.92976457315E+001, +0.00000000000E+000
+7.36350000000E+004, +8.92982922202E+001, +0.00000000000E+000
+7.46300000000E+004, +8.93012395161E+001, +0.00000000000E+000
+7.56250000000E+004, +8.92996066174E+001, +0.00000000000E+000
+7.66200000000E+004, +8.93042013854E+001, +0.00000000000E+000
+7.76150000000E+004, +8.93078697455E+001, +0.00000000000E+000
+7.86100000000E+004, +8.93063711956E+001, +0.00000000000E+000
+7.96050000000E+004, +8.93120413793E+001, +0.00000000000E+000
+8.06000000000E+004, +8.93161456971E+001, +0.00000000000E+000
+8.15950000000E+004, +8.93120473396E+001, +0.00000000000E+000
+8.25900000000E+004, +8.93104866433E+001, +0.00000000000E+000
+8.35850000000E+004, +8.93147141766E+001, +0.00000000000E+000
+8.45800000000E+004, +8.93145363074E+001, +0.00000000000E+000
+8.55750000000E+004, +8.93135480656E+001, +0.00000000000E+000
+8.65700000000E+004, +8.93141475103E+001, +0.00000000000E+000
+8.75650000000E+004, +8.93217323473E+001, +0.00000000000E+000
+8.85600000000E+004, +8.93179255145E+001, +0.00000000000E+000
+8.95550000000E+004, +8.93192846801E+001, +0.00000000000E+000
+9.05500000000E+004, +8.93168220758E+001, +0.00000000000E+000
+9.15450000000E+004, +8.93280016590E+001, +0.00000000000E+000
+9.25400000000E+004, +8.93231288367E+001, +0.00000000000E+000
+9.35350000000E+004, +8.93251426439E+001, +0.00000000000E+000
+9.45300000000E+004, +8.93240996630E+001, +0.00000000000E+000
+9.55250000000E+004, +8.93285710633E+001, +0.00000000000E+000
+9.65200000000E+004, +8.93283961706E+001, +0.00000000000E+000
+9.75150000000E+004, +8.93232547896E+001, +0.00000000000E+000
+9.85100000000E+004, +8.93233225057E+001, +0.00000000000E+000
+9.95050000000E+004, +8.93330477272E+001, +0.00000000000E+000
+1.00500000000E+005, +8.93304782117E+001, +0.00000000000E+000
+1.01495000000E+005, +8.93299975669E+001, +0.00000000000E+000
+1.02490000000E+005, +8.93394303652E+001, +0.00000000000E+000
+1.03485000000E+005, +8.93396997221E+001, +0.00000000000E+000
+1.04480000000E+005, +8.93343130888E+001, +0.00000000000E+000
+1.05475000000E+005, +8.93400842000E+001, +0.00000000000E+000
+1.06470000000E+005, +8.93459157256E+001, +0.00000000000E+000
+1.07465000000E+005, +8.93479696377E+001, +0.00000000000E+000
+1.08460000000E+005, +8.93498250403E+001, +0.00000000000E+000
+1.09455000000E+005, +8.93451031136E+001, +0.00000000000E+000
+1.10450000000E+005, +8.93485837975E+001, +0.00000000000E+000
+1.11445000000E+005, +8.93517672405E+001, +0.00000000000E+000
+1.12440000000E+005, +8.93539173550E+001, +0.00000000000E+000
+1.13435000000E+005, +8.93538581851E+001, +0.00000000000E+000
+1.14430000000E+005, +8.93548323969E+001, +0.00000000000E+000
+1.15425000000E+005, +8.93566071723E+001, +0.00000000000E+000
+1.16420000000E+005, +8.93600206643E+001, +0.00000000000E+000
+1.17415000000E+005, +8.93570730672E+001, +0.00000000000E+000
+1.18410000000E+005, +8.93593297837E+001, +0.00000000000E+000
+1.19405000000E+005, +8.93565099044E+001, +0.00000000000E+000
+1.20400000000E+005, +8.93594439590E+001, +0.00000000000E+000
+1.21395000000E+005, +8.93604416924E+001, +0.00000000000E+000
+1.22390000000E+005, +8.93610542667E+001, +0.00000000000E+000
+1.23385000000E+005, +8.93636111494E+001, +0.00000000000E+000
+1.24380000000E+005, +8.93666444887E+001, +0.00000000000E+000
+1.25375000000E+005, +8.93664876830E+001, +0.00000000000E+000
+1.26370000000E+005, +8.93702166577E+001, +0.00000000000E+000
+1.27365000000E+005, +8.93688046315E+001, +0.00000000000E+000
+1.28360000000E+005, +8.93691876908E+001, +0.00000000000E+000
+1.29355000000E+005, +8.93708191274E+001, +0.00000000000E+000
+1.30350000000E+005, +8.93682908859E+001, +0.00000000000E+000
+1.31345000000E+005, +8.93733186770E+001, +0.00000000000E+000
+1.32340000000E+005, +8.93737886839E+001, +0.00000000000E+000
+1.33335000000E+005, +8.93799001094E+001, +0.00000000000E+000
+1.34330000000E+005, +8.93760739456E+001, +0.00000000000E+000
+1.35325000000E+005, +8.93785885519E+001, +0.00000000000E+000
+1.36320000000E+005, +8.93773226495E+001, +0.00000000000E+000
+1.37315000000E+005, +8.93808106776E+001, +0.00000000000E+000
+1.38310000000E+005, +8.93809700887E+001, +0.00000000000E+000
+1.39305000000E+005, +8.93825531214E+001, +0.00000000000E+000
+1.40300000000E+005, +8.93863082831E+001, +0.00000000000E+000
+1.41295000000E+005, +8.93866875454E+001, +0.00000000000E+000
+1.42290000000E+005, +8.93849700843E+001, +0.00000000000E+000
+1.43285000000E+005, +8.93855263909E+001, +0.00000000000E+000
+1.44280000000E+005, +8.93917664827E+001, +0.00000000000E+000
+1.45275000000E+005, +8.93889484852E+001, +0.00000000000E+000
+1.46270000000E+005, +8.93923386246E+001, +0.00000000000E+000
+1.47265000000E+005, +8.93914589889E+001, +0.00000000000E+000
+1.48260000000E+005, +8.93900759969E+001, +0.00000000000E+000
+1.49255000000E+005, +8.93923970634E+001, +0.00000000000E+000
+1.50250000000E+005, +8.93942146020E+001, +0.00000000000E+000
+1.51245000000E+005, +8.93947285635E+001, +0.00000000000E+000
+1.52240000000E+005, +8.93952271035E+001, +0.00000000000E+000
+1.53235000000E+005, +8.93984047735E+001, +0.00000000000E+000
+1.54230000000E+005, +8.93958823370E+001, +0.00000000000E+000
+1.55225000000E+005, +8.93968855547E+001, +0.00000000000E+000
+1.56220000000E+005, +8.93981659917E+001, +0.00000000000E+000
+1.57215000000E+005, +8.94069803622E+001, +0.00000000000E+000
+1.58210000000E+005, +8.94005922987E+001, +0.00000000000E+000
+1.59205000000E+005, +8.94038523132E+001, +0.00000000000E+000
+1.60200000000E+005, +8.94049097820E+001, +0.00000000000E+000
+1.61195000000E+005, +8.94049947511E+001, +0.00000000000E+000
+1.62190000000E+005, +8.94055279218E+001, +0.00000000000E+000
+1.63185000000E+005, +8.94046518973E+001, +0.00000000000E+000
+1.64180000000E+005, +8.94045064751E+001, +0.00000000000E+000
+1.65175000000E+005, +8.94103390922E+001, +0.00000000000E+000
+1.66170000000E+005, +8.94072761792E+001, +0.00000000000E+000
+1.67165000000E+005, +8.94091677056E+001, +0.00000000000E+000
+1.68160000000E+005, +8.94100674900E+001, +0.00000000000E+000
+1.69155000000E+005, +8.94134900838E+001, +0.00000000000E+000
+1.70150000000E+005, +8.94148816854E+001, +0.00000000000E+000
+1.71145000000E+005, +8.94120033263E+001, +0.00000000000E+000
+1.72140000000E+005, +8.94142156610E+001, +0.00000000000E+000
+1.73135000000E+005, +8.94151066584E+001, +0.00000000000E+000
+1.74130000000E+005, +8.94166150213E+001, +0.00000000000E+000
+1.75125000000E+005, +8.94165725460E+001, +0.00000000000E+000
+1.76120000000E+005, +8.94197789050E+001, +0.00000000000E+000
+1.77115000000E+005, +8.94181749015E+001, +0.00000000000E+000
+1.78110000000E+005, +8.94162817200E+001, +0.00000000000E+000
+1.79105000000E+005, +8.94214404494E+001, +0.00000000000E+000
+1.80100000000E+005, +8.94244695785E+001, +0.00000000000E+000
+1.81095000000E+005, +8.94205889510E+001, +0.00000000000E+000
+1.82090000000E+005, +8.94199986026E+001, +0.00000000000E+000
+1.83085000000E+005, +8.94205020953E+001, +0.00000000000E+000
+1.84080000000E+005, +8.94265056820E+001, +0.00000000000E+000
+1.85075000000E+005, +8.94288303803E+001, +0.00000000000E+000
+1.86070000000E+005, +8.94247150643E+001, +0.00000000000E+000
+1.87065000000E+005, +8.94335602347E+001, +0.00000000000E+000
+1.88060000000E+005, +8.94310212334E+001, +0.00000000000E+000
+1.89055000000E+005, +8.94292834621E+001, +0.00000000000E+000
+1.90050000000E+005, +8.94300339026E+001, +0.00000000000E+000
+1.91045000000E+005, +8.94290321188E+001, +0.00000000000E+000
+1.92040000000E+005, +8.94318186956E+001, +0.00000000000E+000
+1.93035000000E+005, +8.94334245099E+001, +0.00000000000E+000
+1.94030000000E+005, +8.94349130956E+001, +0.00000000000E+000
+1.95025000000E+005, +8.94280221436E+001, +0.00000000000E+000
+1.96020000000E+005, +8.94354847679E+001, +0.00000000000E+000
+1.97015000000E+005, +8.94388417422E+001, +0.00000000000E+000
+1.98010000000E+005, +8.94387471955E+001, +0.00000000000E+000
+1.99005000000E+005, +8.94341188668E+001, +0.00000000000E+000
+2.00000000000E+005, +8.94414978737E+001, +0.00000000000E+000
