"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.85657095260E+001, +0.00000000000E+000
+2.51250000000E+004, -8.85304392933E+001, +0.00000000000E+000
+2.52500000000E+004, -8.84284427866E+001, +0.00000000000E+000
+2.53750000000E+004, -8.82374815677E+001, +0.00000000000E+000
+2.55000000000E+004, -8.79379262495E+001, +0.00000000000E+000
+2.56250000000E+004, -8.77239142549E+001, +0.00000000000E+000
+2.57500000000E+004, -8.79869686837E+001, +0.00000000000E+000
+2.58750000000E+004, -8.83306670104E+001, +0.00000000000E+000
+2.60000000000E+004, -8.84524927070E+001, +0.00000000000E+000
+2.61250000000E+004, -8.85580645711E+001, +0.00000000000E+000
+2.62500000000E+004, -8.86264342886E+001, +0.00000000000E+000
+2.63750000000E+004, -8.85909291292E+001, +0.00000000000E+000
+2.65000000000E+004, -8.86300722863E+001, +0.00000000000E+000
+2.66250000000E+004, -8.86388824437E+001, +0.00000000000E+000
+2.67500000000E+004, -8.86292117710E+001, +0.00000000000E+000
+2.68750000000E+004, -8.86369995076E+001, +0.00000000000E+000
+2.70000000000E+004, -8.86217211154E+001, +0.00000000000E+000
+2.71250000000E+004, -8.86745230648E+001, +0.00000000000E+000
+2.72500000000E+004, -8.86309626998E+001, +0.00000000000E+000
+2.73750000000E+004, -8.86321507955E+001, +0.00000000000E+000
+2.75000000000E+004, -8.86339698243E+001, +0.00000000000E+000
+2.76250000000E+004, -8.85968096330E+001, +0.00000000000E+000
+2.77500000000E+004, -8.86140241571E+001, +0.00000000000E+000
+2.78750000000E+004, -8.85800919962E+001, +0.00000000000E+000
+2.80000000000E+004, -8.85826958922E+001, +0.00000000000E+000
+2.81250000000E+004, -8.85191287157E+001, +0.00000000000E+000
+2.82500000000E+004, -8.83911762282E+001, +0.00000000000E+000
+2.83750000000E+004, -8.83274916782E+001, +0.00000000000E+000
+2.85000000000E+004, -8.83308174247E+001, +0.00000000000E+000
+2.86250000000E+004, -8.83489768743E+001, +0.00000000000E+000
+2.87500000000E+004, -8.84216207945E+001, +0.00000000000E+000
+2.88750000000E+004, -8.84381667133E+001, +0.00000000000E+000
+2.90000000000E+004, -8.84644244025E+001, +0.00000000000E+000
+2.91250000000E+004, -8.84332618954E+001, +0.00000000000E+000
+2.92500000000E+004, -8.84700396140E+001, +0.00000000000E+000
+2.93750000000E+004, -8.84769276323E+001, +0.00000000000E+000
+2.95000000000E+004, -8.84950662750E+001, +0.00000000000E+000
+2.96250000000E+004, -8.84824275690E+001, +0.00000000000E+000
+2.97500000000E+004, -8.84788893336E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84533776912E+001, +0.00000000000E+000
+3.00000000000E+004, -8.84553512649E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84161870144E+001, +0.00000000000E+000
+3.02500000000E+004, -8.84248735543E+001, +0.00000000000E+000
+3.03750000000E+004, -8.84063124244E+001, +0.00000000000E+000
+3.05000000000E+004, -8.84170007161E+001, +0.00000000000E+000
+3.06250000000E+004, -8.83993250933E+001, +0.00000000000E+000
+3.07500000000E+004, -8.83697696256E+001, +0.00000000000E+000
+3.08750000000E+004, -8.83709622851E+001, +0.00000000000E+000
+3.10000000000E+004, -8.83583889201E+001, +0.00000000000E+000
+3.11250000000E+004, -8.83448390281E+001, +0.00000000000E+000
+3.12500000000E+004, -8.83133785600E+001, +0.00000000000E+000
+3.13750000000E+004, -8.83103924335E+001, +0.00000000000E+000
+3.15000000000E+004, -8.83009601422E+001, +0.00000000000E+000
+3.16250000000E+004, -8.82637655520E+001, +0.00000000000E+000
+3.17500000000E+004, -8.82567246886E+001, +0.00000000000E+000
+3.18750000000E+004, -8.82238598282E+001, +0.00000000000E+000
+3.20000000000E+004, -8.81944036490E+001, +0.00000000000E+000
+3.21250000000E+004, -8.81657307474E+001, +0.00000000000E+000
+3.22500000000E+004, -8.81434265863E+001, +0.00000000000E+000
+3.23750000000E+004, -8.80632505032E+001, +0.00000000000E+000
+3.25000000000E+004, -8.79907208342E+001, +0.00000000000E+000
+3.26250000000E+004, -8.79358550523E+001, +0.00000000000E+000
+3.27500000000E+004, -8.79588316520E+001, +0.00000000000E+000
+3.28750000000E+004, -8.79101459682E+001, +0.00000000000E+000
+3.30000000000E+004, -8.78600779920E+001, +0.00000000000E+000
+3.31250000000E+004, -8.77405429713E+001, +0.00000000000E+000
+3.32500000000E+004, -8.77364068077E+001, +0.00000000000E+000
+3.33750000000E+004, -8.78296204750E+001, +0.00000000000E+000
+3.35000000000E+004, -8.79233126318E+001, +0.00000000000E+000
+3.36250000000E+004, -8.79610078592E+001, +0.00000000000E+000
+3.37500000000E+004, -8.79516085006E+001, +0.00000000000E+000
+3.38750000000E+004, -8.78979387615E+001, +0.00000000000E+000
+3.40000000000E+004, -8.78470372295E+001, +0.00000000000E+000
+3.41250000000E+004, -8.77770838275E+001, +0.00000000000E+000
+3.42500000000E+004, -8.77743878337E+001, +0.00000000000E+000
+3.43750000000E+004, -8.78327285283E+001, +0.00000000000E+000
+3.45000000000E+004, -8.78056968612E+001, +0.00000000000E+000
+3.46250000000E+004, -8.78026470226E+001, +0.00000000000E+000
+3.47500000000E+004, -8.77682325591E+001, +0.00000000000E+000
+3.48750000000E+004, -8.77297186154E+001, +0.00000000000E+000
+3.50000000000E+004, -8.76879556731E+001, +0.00000000000E+000
+3.51250000000E+004, -8.76283543629E+001, +0.00000000000E+000
+3.52500000000E+004, -8.75586522550E+001, +0.00000000000E+000
+3.53750000000E+004, -8.74867960788E+001, +0.00000000000E+000
+3.55000000000E+004, -8.74124774949E+001, +0.00000000000E+000
+3.56250000000E+004, -8.72903018159E+001, +0.00000000000E+000
+3.57500000000E+004, -8.71996019288E+001, +0.00000000000E+000
+3.58750000000E+004, -8.70834016461E+001, +0.00000000000E+000
+3.60000000000E+004, -8.69152744237E+001, +0.00000000000E+000
+3.61250000000E+004, -8.67800174184E+001, +0.00000000000E+000
+3.62500000000E+004, -8.66044151765E+001, +0.00000000000E+000
+3.63750000000E+004, -8.64300762849E+001, +0.00000000000E+000
+3.65000000000E+004, -8.62198886884E+001, +0.00000000000E+000
+3.66250000000E+004, -8.60015609569E+001, +0.00000000000E+000
+3.67500000000E+004, -8.57545678436E+001, +0.00000000000E+000
+3.68750000000E+004, -8.54747703550E+001, +0.00000000000E+000
+3.70000000000E+004, -8.51948597541E+001, +0.00000000000E+000
+3.71250000000E+004, -8.48810263653E+001, +0.00000000000E+000
+3.72500000000E+004, -8.45642203423E+001, +0.00000000000E+000
+3.73750000000E+004, -8.42165725855E+001, +0.00000000000E+000
+3.75000000000E+004, -8.38447819518E+001, +0.00000000000E+000
+3.76250000000E+004, -8.34488652211E+001, +0.00000000000E+000
+3.77500000000E+004, -8.29799553820E+001, +0.00000000000E+000
+3.78750000000E+004, -8.24898402954E+001, +0.00000000000E+000
