Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.86384372407E+001, +0.00000000000E+000
+2.51250000000E+004, -8.86527209110E+001, +0.00000000000E+000
+2.52500000000E+004, -8.86248640216E+001, +0.00000000000E+000
+2.53750000000E+004, -8.86219849208E+001, +0.00000000000E+000
+2.55000000000E+004, -8.86074141155E+001, +0.00000000000E+000
+2.56250000000E+004, -8.86479054730E+001, +0.00000000000E+000
+2.57500000000E+004, -8.86216559012E+001, +0.00000000000E+000
+2.58750000000E+004, -8.86075951160E+001, +0.00000000000E+000
+2.60000000000E+004, -8.86248274105E+001, +0.00000000000E+000
+2.61250000000E+004, -8.85904877803E+001, +0.00000000000E+000
+2.62500000000E+004, -8.85936497609E+001, +0.00000000000E+000
+2.63750000000E+004, -8.85990599446E+001, +0.00000000000E+000
+2.65000000000E+004, -8.85641613189E+001, +0.00000000000E+000
+2.66250000000E+004, -8.85415856788E+001, +0.00000000000E+000
+2.67500000000E+004, -8.86181798509E+001, +0.00000000000E+000
+2.68750000000E+004, -8.85954721860E+001, +0.00000000000E+000
+2.70000000000E+004, -8.85886599432E+001, +0.00000000000E+000
+2.71250000000E+004, -8.85911261615E+001, +0.00000000000E+000
+2.72500000000E+004, -8.85740120828E+001, +0.00000000000E+000
+2.73750000000E+004, -8.86312904482E+001, +0.00000000000E+000
+2.75000000000E+004, -8.85664349746E+001, +0.00000000000E+000
+2.76250000000E+004, -8.86119188334E+001, +0.00000000000E+000
+2.77500000000E+004, -8.85887993472E+001, +0.00000000000E+000
+2.78750000000E+004, -8.86035088283E+001, +0.00000000000E+000
+2.80000000000E+004, -8.86217599916E+001, +0.00000000000E+000
+2.81250000000E+004, -8.85893863252E+001, +0.00000000000E+000
+2.82500000000E+004, -8.85707998218E+001, +0.00000000000E+000
+2.83750000000E+004, -8.85646498643E+001, +0.00000000000E+000
+2.85000000000E+004, -8.85680492411E+001, +0.00000000000E+000
+2.86250000000E+004, -8.85365440760E+001, +0.00000000000E+000
+2.87500000000E+004, -8.84996063101E+001, +0.00000000000E+000
+2.88750000000E+004, -8.85444844740E+001, +0.00000000000E+000
+2.90000000000E+004, -8.85782083469E+001, +0.00000000000E+000
+2.91250000000E+004, -8.85170142994E+001, +0.00000000000E+000
+2.92500000000E+004, -8.84876535934E+001, +0.00000000000E+000
+2.93750000000E+004, -8.84999443343E+001, +0.00000000000E+000
+2.95000000000E+004, -8.84932292360E+001, +0.00000000000E+000
+2.96250000000E+004, -8.84621880786E+001, +0.00000000000E+000
+2.97500000000E+004, -8.84695593744E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84664823166E+001, +0.00000000000E+000
+3.00000000000E+004, -8.84295339546E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84258570280E+001, +0.00000000000E+000
+3.02500000000E+004, -8.83698498051E+001, +0.00000000000E+000
+3.03750000000E+004, -8.83794093712E+001, +0.00000000000E+000
+3.05000000000E+004, -8.83293561944E+001, +0.00000000000E+000
