"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.76285570542E+003, +0.00000000000E+000
+2.51250000000E+004, +2.74481006000E+003, +0.00000000000E+000
+2.52500000000E+004, +2.72899083794E+003, +0.00000000000E+000
+2.53750000000E+004, +2.71315872180E+003, +0.00000000000E+000
+2.55000000000E+004, +2.69748831820E+003, +0.00000000000E+000
+2.56250000000E+004, +2.68099917379E+003, +0.00000000000E+000
+2.57500000000E+004, +2.66732752700E+003, +0.00000000000E+000
+2.58750000000E+004, +2.64901819667E+003, +0.00000000000E+000
+2.60000000000E+004, +2.63429808432E+003, +0.00000000000E+000
+2.61250000000E+004, +2.61978266222E+003, +0.00000000000E+000
+2.62500000000E+004, +2.60131392602E+003, +0.00000000000E+000
+2.63750000000E+004, +2.58836712447E+003, +0.00000000000E+000
+2.65000000000E+004, +2.57283047256E+003, +0.00000000000E+000
+2.66250000000E+004, +2.55744306455E+003, +0.00000000000E+000
+2.67500000000E+004, +2.54249175936E+003, +0.00000000000E+000
+2.68750000000E+004, +2.52914410888E+003, +0.00000000000E+000
+2.70000000000E+004, +2.51363584674E+003, +0.00000000000E+000
+2.71250000000E+004, +2.49975729425E+003, +0.00000000000E+000
+2.72500000000E+004, +2.48436836453E+003, +0.00000000000E+000
+2.73750000000E+004, +2.46928546336E+003, +0.00000000000E+000
+2.75000000000E+004, +2.45555479786E+003, +0.00000000000E+000
+2.76250000000E+004, +2.44001239292E+003, +0.00000000000E+000
+2.77500000000E+004, +2.42707770892E+003, +0.00000000000E+000
+2.78750000000E+004, +2.41322089180E+003, +0.00000000000E+000
+2.80000000000E+004, +2.39744669152E+003, +0.00000000000E+000
+2.81250000000E+004, +2.38357039251E+003, +0.00000000000E+000
+2.82500000000E+004, +2.36934214390E+003, +0.00000000000E+000
+2.83750000000E+004, +2.35477527534E+003, +0.00000000000E+000
+2.85000000000E+004, +2.33969790351E+003, +0.00000000000E+000
+2.86250000000E+004, +2.32428877561E+003, +0.00000000000E+000
+2.87500000000E+004, +2.30812156326E+003, +0.00000000000E+000
+2.88750000000E+004, +2.29408446351E+003, +0.00000000000E+000
+2.90000000000E+004, +2.27909873947E+003, +0.00000000000E+000
+2.91250000000E+004, +2.26452850430E+003, +0.00000000000E+000
+2.92500000000E+004, +2.25214732554E+003, +0.00000000000E+000
+2.93750000000E+004, +2.23628677876E+003, +0.00000000000E+000
+2.95000000000E+004, +2.22263272371E+003, +0.00000000000E+000
+2.96250000000E+004, +2.20985878369E+003, +0.00000000000E+000
+2.97500000000E+004, +2.19464822813E+003, +0.00000000000E+000
+2.98750000000E+004, +2.18216744718E+003, +0.00000000000E+000
+3.00000000000E+004, +2.16698744831E+003, +0.00000000000E+000
+3.01250000000E+004, +2.15394692113E+003, +0.00000000000E+000
+3.02500000000E+004, +2.14016455907E+003, +0.00000000000E+000
+3.03750000000E+004, +2.12591544184E+003, +0.00000000000E+000
+3.05000000000E+004, +2.11211047047E+003, +0.00000000000E+000
+3.06250000000E+004, +2.09904331040E+003, +0.00000000000E+000
+3.07500000000E+004, +2.08426825397E+003, +0.00000000000E+000
+3.08750000000E+004, +2.07070152295E+003, +0.00000000000E+000
+3.10000000000E+004, +2.05769447966E+003, +0.00000000000E+000
+3.11250000000E+004, +2.04270906502E+003, +0.00000000000E+000
+3.12500000000E+004, +2.02906698365E+003, +0.00000000000E+000
+3.13750000000E+004, +2.01517978566E+003, +0.00000000000E+000
+3.15000000000E+004, +2.00040231881E+003, +0.00000000000E+000
+3.16250000000E+004, +1.98786489277E+003, +0.00000000000E+000
+3.17500000000E+004, +1.97430526322E+003, +0.00000000000E+000
+3.18750000000E+004, +1.96068628228E+003, +0.00000000000E+000
+3.20000000000E+004, +1.94606417203E+003, +0.00000000000E+000
+3.21250000000E+004, +1.93212316600E+003, +0.00000000000E+000
+3.22500000000E+004, +1.91822518396E+003, +0.00000000000E+000
+3.23750000000E+004, +1.90341625925E+003, +0.00000000000E+000
+3.25000000000E+004, +1.88971266152E+003, +0.00000000000E+000
+3.26250000000E+004, +1.87376149852E+003, +0.00000000000E+000
+3.27500000000E+004, +1.85960322792E+003, +0.00000000000E+000
+3.28750000000E+004, +1.84324865876E+003, +0.00000000000E+000
+3.30000000000E+004, +1.82672806365E+003, +0.00000000000E+000
+3.31250000000E+004, +1.81224619230E+003, +0.00000000000E+000
+3.32500000000E+004, +1.80124979776E+003, +0.00000000000E+000
+3.33750000000E+004, +1.79173869721E+003, +0.00000000000E+000
+3.35000000000E+004, +1.78959151920E+003, +0.00000000000E+000
+3.36250000000E+004, +1.78792460569E+003, +0.00000000000E+000
+3.37500000000E+004, +1.77731950743E+003, +0.00000000000E+000
+3.38750000000E+004, +1.76243124596E+003, +0.00000000000E+000
+3.40000000000E+004, +1.74522392062E+003, +0.00000000000E+000
+3.41250000000E+004, +1.72904582957E+003, +0.00000000000E+000
+3.42500000000E+004, +1.71169173677E+003, +0.00000000000E+000
+3.43750000000E+004, +1.69332444552E+003, +0.00000000000E+000
+3.45000000000E+004, +1.67598931686E+003, +0.00000000000E+000
+3.46250000000E+004, +1.65832085842E+003, +0.00000000000E+000
+3.47500000000E+004, +1.64022440153E+003, +0.00000000000E+000
+3.48750000000E+004, +1.62254078268E+003, +0.00000000000E+000
+3.50000000000E+004, +1.60497059720E+003, +0.00000000000E+000
+3.51250000000E+004, +1.58589022864E+003, +0.00000000000E+000
+3.52500000000E+004, +1.56787095041E+003, +0.00000000000E+000
+3.53750000000E+004, +1.54903922019E+003, +0.00000000000E+000
+3.55000000000E+004, +1.52971403037E+003, +0.00000000000E+000
+3.56250000000E+004, +1.51081524134E+003, +0.00000000000E+000
+3.57500000000E+004, +1.49140991965E+003, +0.00000000000E+000
+3.58750000000E+004, +1.47158533786E+003, +0.00000000000E+000
+3.60000000000E+004, +1.45155823357E+003, +0.00000000000E+000
+3.61250000000E+004, +1.43094691009E+003, +0.00000000000E+000
+3.62500000000E+004, +1.41024891138E+003, +0.00000000000E+000
+3.63750000000E+004, +1.38912231629E+003, +0.00000000000E+000
+3.65000000000E+004, +1.36716129950E+003, +0.00000000000E+000
+3.66250000000E+004, +1.34451803378E+003, +0.00000000000E+000
+3.67500000000E+004, +1.32691848075E+003, +0.00000000000E+000
+3.68750000000E+004, +1.31966613346E+003, +0.00000000000E+000
+3.70000000000E+004, +1.30369867884E+003, +0.00000000000E+000
+3.71250000000E+004, +1.28615899780E+003, +0.00000000000E+000
+3.72500000000E+004, +1.26621149714E+003, +0.00000000000E+000
+3.73750000000E+004, +1.24576992525E+003, +0.00000000000E+000
+3.75000000000E+004, +1.22395455837E+003, +0.00000000000E+000
+3.76250000000E+004, +1.20188316830E+003, +0.00000000000E+000
+3.77500000000E+004, +1.17862101128E+003, +0.00000000000E+000
+3.78750000000E+004, +1.15454423920E+003, +0.00000000000E+000
+3.80000000000E+004, +1.12806426524E+003, +0.00000000000E+000
+3.81250000000E+004, +1.09988326542E+003, +0.00000000000E+000
+3.82500000000E+004, +1.06936579799E+003, +0.00000000000E+000
+3.83750000000E+004, +1.03714350609E+003, +0.00000000000E+000
+3.85000000000E+004, +1.00440092780E+003, +0.00000000000E+000
+3.86250000000E+004, +9.69501834832E+002, +0.00000000000E+000
+3.87500000000E+004, +9.32564232899E+002, +0.00000000000E+000
+3.88750000000E+004, +8.93081185875E+002, +0.00000000000E+000
+3.90000000000E+004, +8.49919596641E+002, +0.00000000000E+000
+3.91250000000E+004, +8.03565548042E+002, +0.00000000000E+000
+3.92500000000E+004, +7.54491773979E+002, +0.00000000000E+000
+3.93750000000E+004, +7.03988147753E+002, +0.00000000000E+000
+3.95000000000E+004, +6.53386463686E+002, +0.00000000000E+000
+3.96250000000E+004, +6.03314306776E+002, +0.00000000000E+000
+3.97500000000E+004, +5.56108165065E+002, +0.00000000000E+000
+3.98750000000E+004, +5.15787825921E+002, +0.00000000000E+000
+4.00000000000E+004, +4.92760696152E+002, +0.00000000000E+000
+4.01250000000E+004, +5.03157014286E+002, +0.00000000000E+000
+4.02500000000E+004, +5.58419466491E+002, +0.00000000000E+000
+4.03750000000E+004, +6.61785999282E+002, +0.00000000000E+000
+4.05000000000E+004, +8.12501970143E+002, +0.00000000000E+000
+4.06250000000E+004, +1.01526090305E+003, +0.00000000000E+000
+4.07500000000E+004, +1.28591929747E+003, +0.00000000000E+000
+4.08750000000E+004, +1.64915280820E+003, +0.00000000000E+000
+4.10000000000E+004, +2.14292470959E+003, +0.00000000000E+000
+4.11250000000E+004, +2.81259145537E+003, +0.00000000000E+000
+4.12500000000E+004, +3.70918631932E+003, +0.00000000000E+000
+4.13750000000E+004, +4.87844581505E+003, +0.00000000000E+000
+4.15000000000E+004, +6.30876353199E+003, +0.00000000000E+000
+4.16250000000E+004, +7.53963063109E+003, +0.00000000000E+000
+4.17500000000E+004, +7.86559977331E+003, +0.00000000000E+000
+4.18750000000E+004, +7.25275640072E+003, +0.00000000000E+000
+4.20000000000E+004, +6.36445880946E+003, +0.00000000000E+000
+4.21250000000E+004, +5.57739420174E+003, +0.00000000000E+000
+4.22500000000E+004, +4.95439879304E+003, +0.00000000000E+000
+4.23750000000E+004, +4.47646824807E+003, +0.00000000000E+000
+4.25000000000E+004, +4.10660384986E+003, +0.00000000000E+000
+4.26250000000E+004, +3.80728896236E+003, +0.00000000000E+000
+4.27500000000E+004, +3.56256746851E+003, +0.00000000000E+000
+4.28750000000E+004, +3.35696160765E+003, +0.00000000000E+000
+4.30000000000E+004, +3.18374201439E+003, +0.00000000000E+000
+4.31250000000E+004, +3.03681619541E+003, +0.00000000000E+000
+4.32500000000E+004, +2.91050188654E+003, +0.00000000000E+000
+4.33750000000E+004, +2.79917842494E+003, +0.00000000000E+000
+4.35000000000E+004, +2.69983490227E+003, +0.00000000000E+000
+4.36250000000E+004, +2.61316248861E+003, +0.00000000000E+000
+4.37500000000E+004, +2.53374559646E+003, +0.00000000000E+000
+4.38750000000E+004, +2.46331602154E+003, +0.00000000000E+000
+4.40000000000E+004, +2.39682708693E+003, +0.00000000000E+000
+4.41250000000E+004, +2.33801698651E+003, +0.00000000000E+000
+4.42500000000E+004, +2.28271393347E+003, +0.00000000000E+000
+4.43750000000E+004, +2.23116923361E+003, +0.00000000000E+000
+4.45000000000E+004, +2.18277254299E+003, +0.00000000000E+000
+4.46250000000E+004, +2.13728276958E+003, +0.00000000000E+000
+4.47500000000E+004, +2.09526196193E+003, +0.00000000000E+000
+4.48750000000E+004, +2.05641599220E+003, +0.00000000000E+000
+4.50000000000E+004, +2.01898466321E+003, +0.00000000000E+000
+4.51250000000E+004, +1.98429468144E+003, +0.00000000000E+000
+4.52500000000E+004, +1.95111837731E+003, +0.00000000000E+000
+4.53750000000E+004, +1.91938628348E+003, +0.00000000000E+000
+4.55000000000E+004, +1.88771920720E+003, +0.00000000000E+000
+4.56250000000E+004, +1.85854236390E+003, +0.00000000000E+000
+4.57500000000E+004, +1.83048938484E+003, +0.00000000000E+000
+4.58750000000E+004, +1.80243950764E+003, +0.00000000000E+000
+4.60000000000E+004, +1.77537939226E+003, +0.00000000000E+000
+4.61250000000E+004, +1.74982246233E+003, +0.00000000000E+000
+4.62500000000E+004, +1.72409856598E+003, +0.00000000000E+000
+4.63750000000E+004, +1.69895053893E+003, +0.00000000000E+000
+4.65000000000E+004, +1.67495010582E+003, +0.00000000000E+000
+4.66250000000E+004, +1.65048748711E+003, +0.00000000000E+000
+4.67500000000E+004, +1.62729334845E+003, +0.00000000000E+000
+4.68750000000E+004, +1.60391385216E+003, +0.00000000000E+000
+4.70000000000E+004, +1.58183243637E+003, +0.00000000000E+000
+4.71250000000E+004, +1.55950594468E+003, +0.00000000000E+000
+4.72500000000E+004, +1.53700805644E+003, +0.00000000000E+000
+4.73750000000E+004, +1.51513847901E+003, +0.00000000000E+000
+4.75000000000E+004, +1.49272095033E+003, +0.00000000000E+000
+4.76250000000E+004, +1.47043163092E+003, +0.00000000000E+000
+4.77500000000E+004, +1.44878458298E+003, +0.00000000000E+000
+4.78750000000E+004, +1.42698587239E+003, +0.00000000000E+000
+4.80000000000E+004, +1.40520301118E+003, +0.00000000000E+000
+4.81250000000E+004, +1.38340692539E+003, +0.00000000000E+000
+4.82500000000E+004, +1.36103245704E+003, +0.00000000000E+000
+4.83750000000E+004, +1.33838762209E+003, +0.00000000000E+000
+4.85000000000E+004, +1.31573572635E+003, +0.00000000000E+000
+4.86250000000E+004, +1.29332228573E+003, +0.00000000000E+000
+4.87500000000E+004, +1.27032693568E+003, +0.00000000000E+000
+4.88750000000E+004, +1.24732152679E+003, +0.00000000000E+000
+4.90000000000E+004, +1.22340635945E+003, +0.00000000000E+000
+4.91250000000E+004, +1.19925363284E+003, +0.00000000000E+000
+4.92500000000E+004, +1.17508588438E+003, +0.00000000000E+000
+4.93750000000E+004, +1.14981164498E+003, +0.00000000000E+000
+4.95000000000E+004, +1.12407872264E+003, +0.00000000000E+000
+4.96250000000E+004, +1.09807546899E+003, +0.00000000000E+000
+4.97500000000E+004, +1.07111907422E+003, +0.00000000000E+000
+4.98750000000E+004, +1.04329653063E+003, +0.00000000000E+000
+5.00000000000E+004, +1.01459196646E+003, +0.00000000000E+000
