Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.54079680147E+003, +0.00000000000E+000
+2.51250000000E+004, +2.52676188334E+003, +0.00000000000E+000
+2.52500000000E+004, +2.51073317010E+003, +0.00000000000E+000
+2.53750000000E+004, +2.49552244975E+003, +0.00000000000E+000
+2.55000000000E+004, +2.48251385497E+003, +0.00000000000E+000
+2.56250000000E+004, +2.46773775261E+003, +0.00000000000E+000
+2.57500000000E+004, +2.45254976869E+003, +0.00000000000E+000
+2.58750000000E+004, +2.43905829939E+003, +0.00000000000E+000
+2.60000000000E+004, +2.42499539643E+003, +0.00000000000E+000
+2.61250000000E+004, +2.41125490570E+003, +0.00000000000E+000
+2.62500000000E+004, +2.39713824831E+003, +0.00000000000E+000
+2.63750000000E+004, +2.38296554408E+003, +0.00000000000E+000
+2.65000000000E+004, +2.36847641314E+003, +0.00000000000E+000
+2.66250000000E+004, +2.35563195293E+003, +0.00000000000E+000
+2.67500000000E+004, +2.34295284292E+003, +0.00000000000E+000
+2.68750000000E+004, +2.32832307853E+003, +0.00000000000E+000
+2.70000000000E+004, +2.31548813411E+003, +0.00000000000E+000
+2.71250000000E+004, +2.30078784633E+003, +0.00000000000E+000
+2.72500000000E+004, +2.28840552577E+003, +0.00000000000E+000
+2.73750000000E+004, +2.27487627349E+003, +0.00000000000E+000
+2.75000000000E+004, +2.26162661724E+003, +0.00000000000E+000
+2.76250000000E+004, +2.24920968284E+003, +0.00000000000E+000
+2.77500000000E+004, +2.23662650547E+003, +0.00000000000E+000
+2.78750000000E+004, +2.22280546981E+003, +0.00000000000E+000
+2.80000000000E+004, +2.20998813622E+003, +0.00000000000E+000
+2.81250000000E+004, +2.19797416456E+003, +0.00000000000E+000
+2.82500000000E+004, +2.18460785918E+003, +0.00000000000E+000
+2.83750000000E+004, +2.17204759471E+003, +0.00000000000E+000
+2.85000000000E+004, +2.15991349145E+003, +0.00000000000E+000
+2.86250000000E+004, +2.14813222986E+003, +0.00000000000E+000
+2.87500000000E+004, +2.13615939722E+003, +0.00000000000E+000
+2.88750000000E+004, +2.12378395674E+003, +0.00000000000E+000
+2.90000000000E+004, +2.11016414782E+003, +0.00000000000E+000
+2.91250000000E+004, +2.09692846839E+003, +0.00000000000E+000
+2.92500000000E+004, +2.08636267410E+003, +0.00000000000E+000
+2.93750000000E+004, +2.07562025243E+003, +0.00000000000E+000
+2.95000000000E+004, +2.06783255520E+003, +0.00000000000E+000
+2.96250000000E+004, +2.05841236052E+003, +0.00000000000E+000
+2.97500000000E+004, +2.04827789910E+003, +0.00000000000E+000
+2.98750000000E+004, +2.03657689693E+003, +0.00000000000E+000
+3.00000000000E+004, +2.02530547881E+003, +0.00000000000E+000
+3.01250000000E+004, +2.01314331428E+003, +0.00000000000E+000
+3.02500000000E+004, +2.00125330849E+003, +0.00000000000E+000
+3.03750000000E+004, +1.98824588944E+003, +0.00000000000E+000
+3.05000000000E+004, +1.97581280133E+003, +0.00000000000E+000
+3.06250000000E+004, +1.96386576544E+003, +0.00000000000E+000
+3.07500000000E+004, +1.95144048324E+003, +0.00000000000E+000
+3.08750000000E+004, +1.93991965868E+003, +0.00000000000E+000
+3.10000000000E+004, +1.93164220801E+003, +0.00000000000E+000
+3.11250000000E+004, +1.92312928075E+003, +0.00000000000E+000
+3.12500000000E+004, +1.91180899874E+003, +0.00000000000E+000
+3.13750000000E+004, +1.90061692083E+003, +0.00000000000E+000
+3.15000000000E+004, +1.88909304981E+003, +0.00000000000E+000
+3.16250000000E+004, +1.87735274423E+003, +0.00000000000E+000
+3.17500000000E+004, +1.86550163891E+003, +0.00000000000E+000
+3.18750000000E+004, +1.85380290305E+003, +0.00000000000E+000
+3.20000000000E+004, +1.84184110517E+003, +0.00000000000E+000
+3.21250000000E+004, +1.83048053053E+003, +0.00000000000E+000
+3.22500000000E+004, +1.81852446307E+003, +0.00000000000E+000
+3.23750000000E+004, +1.80776511624E+003, +0.00000000000E+000
+3.25000000000E+004, +1.79577501853E+003, +0.00000000000E+000
+3.26250000000E+004, +1.78434271471E+003, +0.00000000000E+000
+3.27500000000E+004, +1.77317644184E+003, +0.00000000000E+000
+3.28750000000E+004, +1.76208663130E+003, +0.00000000000E+000
+3.30000000000E+004, +1.74911576141E+003, +0.00000000000E+000
+3.31250000000E+004, +1.73758012934E+003, +0.00000000000E+000
+3.32500000000E+004, +1.72539555686E+003, +0.00000000000E+000
+3.33750000000E+004, +1.71354755054E+003, +0.00000000000E+000
+3.35000000000E+004, +1.70130695210E+003, +0.00000000000E+000
+3.36250000000E+004, +1.68903928809E+003, +0.00000000000E+000
+3.37500000000E+004, +1.67692315359E+003, +0.00000000000E+000
+3.38750000000E+004, +1.66512944239E+003, +0.00000000000E+000
+3.40000000000E+004, +1.65431428821E+003, +0.00000000000E+000
+3.41250000000E+004, +1.64240250835E+003, +0.00000000000E+000
+3.42500000000E+004, +1.63012848231E+003, +0.00000000000E+000
+3.43750000000E+004, +1.61730953695E+003, +0.00000000000E+000
+3.45000000000E+004, +1.60374226975E+003, +0.00000000000E+000
+3.46250000000E+004, +1.59066540086E+003, +0.00000000000E+000
+3.47500000000E+004, +1.57780360760E+003, +0.00000000000E+000
+3.48750000000E+004, +1.56453260215E+003, +0.00000000000E+000
+3.50000000000E+004, +1.55064487099E+003, +0.00000000000E+000
+3.51250000000E+004, +1.53690725839E+003, +0.00000000000E+000
+3.52500000000E+004, +1.52313419552E+003, +0.00000000000E+000
+3.53750000000E+004, +1.50892210232E+003, +0.00000000000E+000
+3.55000000000E+004, +1.49480593941E+003, +0.00000000000E+000
+3.56250000000E+004, +1.48035612197E+003, +0.00000000000E+000
+3.57500000000E+004, +1.46604197132E+003, +0.00000000000E+000
+3.58750000000E+004, +1.45058011599E+003, +0.00000000000E+000
