"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.87438913691E+001, +0.00000000000E+000
+2.51250000000E+004, -8.87307752764E+001, +0.00000000000E+000
+2.52500000000E+004, -8.87556039072E+001, +0.00000000000E+000
+2.53750000000E+004, -8.87395224527E+001, +0.00000000000E+000
+2.55000000000E+004, -8.87635197245E+001, +0.00000000000E+000
+2.56250000000E+004, -8.87294044268E+001, +0.00000000000E+000
+2.57500000000E+004, -8.87493695450E+001, +0.00000000000E+000
+2.58750000000E+004, -8.87255243477E+001, +0.00000000000E+000
+2.60000000000E+004, -8.87202588992E+001, +0.00000000000E+000
+2.61250000000E+004, -8.87697617980E+001, +0.00000000000E+000
+2.62500000000E+004, -8.87287164311E+001, +0.00000000000E+000
+2.63750000000E+004, -8.87324356081E+001, +0.00000000000E+000
+2.65000000000E+004, -8.87512414769E+001, +0.00000000000E+000
+2.66250000000E+004, -8.87126831793E+001, +0.00000000000E+000
+2.67500000000E+004, -8.86855840064E+001, +0.00000000000E+000
+2.68750000000E+004, -8.87283779676E+001, +0.00000000000E+000
+2.70000000000E+004, -8.86641528310E+001, +0.00000000000E+000
+2.71250000000E+004, -8.86992359359E+001, +0.00000000000E+000
+2.72500000000E+004, -8.86951759927E+001, +0.00000000000E+000
+2.73750000000E+004, -8.86692970666E+001, +0.00000000000E+000
+2.75000000000E+004, -8.86216671909E+001, +0.00000000000E+000
+2.76250000000E+004, -8.86177428534E+001, +0.00000000000E+000
+2.77500000000E+004, -8.86378286763E+001, +0.00000000000E+000
+2.78750000000E+004, -8.86009783587E+001, +0.00000000000E+000
+2.80000000000E+004, -8.85720093705E+001, +0.00000000000E+000
+2.81250000000E+004, -8.85541112999E+001, +0.00000000000E+000
+2.82500000000E+004, -8.84875519101E+001, +0.00000000000E+000
+2.83750000000E+004, -8.84141463872E+001, +0.00000000000E+000
+2.85000000000E+004, -8.82649743343E+001, +0.00000000000E+000
+2.86250000000E+004, -8.81089627350E+001, +0.00000000000E+000
+2.87500000000E+004, -8.79704743719E+001, +0.00000000000E+000
+2.88750000000E+004, -8.79994071376E+001, +0.00000000000E+000
+2.90000000000E+004, -8.81070875674E+001, +0.00000000000E+000
+2.91250000000E+004, -8.81752355319E+001, +0.00000000000E+000
+2.92500000000E+004, -8.82562340948E+001, +0.00000000000E+000
+2.93750000000E+004, -8.83340774788E+001, +0.00000000000E+000
+2.95000000000E+004, -8.83713444476E+001, +0.00000000000E+000
+2.96250000000E+004, -8.84042006546E+001, +0.00000000000E+000
+2.97500000000E+004, -8.84188787835E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84327026573E+001, +0.00000000000E+000
+3.00000000000E+004, -8.84482942802E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84237349612E+001, +0.00000000000E+000
+3.02500000000E+004, -8.84406660553E+001, +0.00000000000E+000
+3.03750000000E+004, -8.84209943820E+001, +0.00000000000E+000
+3.05000000000E+004, -8.84410319056E+001, +0.00000000000E+000
+3.06250000000E+004, -8.84337786698E+001, +0.00000000000E+000
+3.07500000000E+004, -8.84113116911E+001, +0.00000000000E+000
+3.08750000000E+004, -8.84078655841E+001, +0.00000000000E+000
+3.10000000000E+004, -8.83926351349E+001, +0.00000000000E+000
+3.11250000000E+004, -8.83813503651E+001, +0.00000000000E+000
+3.12500000000E+004, -8.83602232429E+001, +0.00000000000E+000
+3.13750000000E+004, -8.83534003097E+001, +0.00000000000E+000
+3.15000000000E+004, -8.83223425239E+001, +0.00000000000E+000
+3.16250000000E+004, -8.83091204459E+001, +0.00000000000E+000
+3.17500000000E+004, -8.82482805357E+001, +0.00000000000E+000
+3.18750000000E+004, -8.82241635063E+001, +0.00000000000E+000
+3.20000000000E+004, -8.81952629826E+001, +0.00000000000E+000
+3.21250000000E+004, -8.81709372073E+001, +0.00000000000E+000
+3.22500000000E+004, -8.80726611358E+001, +0.00000000000E+000
+3.23750000000E+004, -8.80096032841E+001, +0.00000000000E+000
+3.25000000000E+004, -8.78634213839E+001, +0.00000000000E+000
+3.26250000000E+004, -8.77092840383E+001, +0.00000000000E+000
+3.27500000000E+004, -8.75913172675E+001, +0.00000000000E+000
+3.28750000000E+004, -8.76961751956E+001, +0.00000000000E+000
+3.30000000000E+004, -8.78014658050E+001, +0.00000000000E+000
+3.31250000000E+004, -8.79173171075E+001, +0.00000000000E+000
+3.32500000000E+004, -8.79636970469E+001, +0.00000000000E+000
+3.33750000000E+004, -8.79967044649E+001, +0.00000000000E+000
+3.35000000000E+004, -8.79995664006E+001, +0.00000000000E+000
+3.36250000000E+004, -8.80072343748E+001, +0.00000000000E+000
+3.37500000000E+004, -8.80194879524E+001, +0.00000000000E+000
+3.38750000000E+004, -8.80350841660E+001, +0.00000000000E+000
+3.40000000000E+004, -8.80131114671E+001, +0.00000000000E+000
+3.41250000000E+004, -8.80084172491E+001, +0.00000000000E+000
+3.42500000000E+004, -8.79794900108E+001, +0.00000000000E+000
+3.43750000000E+004, -8.79543376708E+001, +0.00000000000E+000
+3.45000000000E+004, -8.79130244579E+001, +0.00000000000E+000
+3.46250000000E+004, -8.78613882042E+001, +0.00000000000E+000
+3.47500000000E+004, -8.78194228681E+001, +0.00000000000E+000
+3.48750000000E+004, -8.77719280634E+001, +0.00000000000E+000
+3.50000000000E+004, -8.77236136703E+001, +0.00000000000E+000
+3.51250000000E+004, -8.76432630967E+001, +0.00000000000E+000
+3.52500000000E+004, -8.75768869786E+001, +0.00000000000E+000
+3.53750000000E+004, -8.75086204457E+001, +0.00000000000E+000
+3.55000000000E+004, -8.73871201167E+001, +0.00000000000E+000
+3.56250000000E+004, -8.72882299571E+001, +0.00000000000E+000
+3.57500000000E+004, -8.71857743316E+001, +0.00000000000E+000
+3.58750000000E+004, -8.70599244543E+001, +0.00000000000E+000
+3.60000000000E+004, -8.69024010502E+001, +0.00000000000E+000
+3.61250000000E+004, -8.67466034725E+001, +0.00000000000E+000
+3.62500000000E+004, -8.65601307360E+001, +0.00000000000E+000
+3.63750000000E+004, -8.63764444056E+001, +0.00000000000E+000
+3.65000000000E+004, -8.61619768896E+001, +0.00000000000E+000
+3.66250000000E+004, -8.59290711112E+001, +0.00000000000E+000
+3.67500000000E+004, -8.56802162661E+001, +0.00000000000E+000
+3.68750000000E+004, -8.53883493510E+001, +0.00000000000E+000
+3.70000000000E+004, -8.51144649702E+001, +0.00000000000E+000
+3.71250000000E+004, -8.48087339188E+001, +0.00000000000E+000
+3.72500000000E+004, -8.45031495346E+001, +0.00000000000E+000
+3.73750000000E+004, -8.41490669288E+001, +0.00000000000E+000
+3.75000000000E+004, -8.37927880629E+001, +0.00000000000E+000
+3.76250000000E+004, -8.33701876230E+001, +0.00000000000E+000
+3.77500000000E+004, -8.29475950531E+001, +0.00000000000E+000
+3.78750000000E+004, -8.25300109926E+001, +0.00000000000E+000
+3.80000000000E+004, -8.20760848267E+001, +0.00000000000E+000
+3.81250000000E+004, -8.15967190798E+001, +0.00000000000E+000
+3.82500000000E+004, -8.10390723303E+001, +0.00000000000E+000
+3.83750000000E+004, -8.03588205764E+001, +0.00000000000E+000
+3.85000000000E+004, -7.95770869002E+001, +0.00000000000E+000
+3.86250000000E+004, -7.87025661757E+001, +0.00000000000E+000
+3.87500000000E+004, -7.77318967529E+001, +0.00000000000E+000
+3.88750000000E+004, -7.65975949805E+001, +0.00000000000E+000
+3.90000000000E+004, -7.52318716190E+001, +0.00000000000E+000
+3.91250000000E+004, -7.35060249263E+001, +0.00000000000E+000
+3.92500000000E+004, -7.12610092650E+001, +0.00000000000E+000
+3.93750000000E+004, -6.83100181138E+001, +0.00000000000E+000
+3.95000000000E+004, -6.44857160109E+001, +0.00000000000E+000
+3.96250000000E+004, -5.94725935395E+001, +0.00000000000E+000
+3.97500000000E+004, -5.28347505096E+001, +0.00000000000E+000
+3.98750000000E+004, -4.38211117721E+001, +0.00000000000E+000
+4.00000000000E+004, -3.13946046964E+001, +0.00000000000E+000
+4.01250000000E+004, -1.57055559990E+001, +0.00000000000E+000
+4.02500000000E+004, +7.27468381549E-001, +0.00000000000E+000
+4.03750000000E+004, +1.47615343575E+001, +0.00000000000E+000
+4.05000000000E+004, +2.49983380709E+001, +0.00000000000E+000
+4.06250000000E+004, +3.19625850918E+001, +0.00000000000E+000
+4.07500000000E+004, +3.63363117777E+001, +0.00000000000E+000
+4.08750000000E+004, +3.84399245373E+001, +0.00000000000E+000
+4.10000000000E+004, +3.80787613306E+001, +0.00000000000E+000
+4.11250000000E+004, +3.45053587007E+001, +0.00000000000E+000
+4.12500000000E+004, +2.66890423891E+001, +0.00000000000E+000
+4.13750000000E+004, +1.29799315523E+001, +0.00000000000E+000
+4.15000000000E+004, -6.72033202480E+000, +0.00000000000E+000
+4.16250000000E+004, -2.84836453734E+001, +0.00000000000E+000
+4.17500000000E+004, -4.63003830575E+001, +0.00000000000E+000
+4.18750000000E+004, -5.84905140577E+001, +0.00000000000E+000
+4.20000000000E+004, -6.63293875664E+001, +0.00000000000E+000
+4.21250000000E+004, -7.14798410527E+001, +0.00000000000E+000
+4.22500000000E+004, -7.49902067260E+001, +0.00000000000E+000
+4.23750000000E+004, -7.75106535510E+001, +0.00000000000E+000
+4.25000000000E+004, -7.95323330833E+001, +0.00000000000E+000
+4.26250000000E+004, -8.10174424233E+001, +0.00000000000E+000
+4.27500000000E+004, -8.22021897166E+001, +0.00000000000E+000
+4.28750000000E+004, -8.32112002155E+001, +0.00000000000E+000
+4.30000000000E+004, -8.40123014196E+001, +0.00000000000E+000
+4.31250000000E+004, -8.46390055234E+001, +0.00000000000E+000
+4.32500000000E+004, -8.51513161392E+001, +0.00000000000E+000
+4.33750000000E+004, -8.55899177634E+001, +0.00000000000E+000
+4.35000000000E+004, -8.59273769329E+001, +0.00000000000E+000
+4.36250000000E+004, -8.62117468856E+001, +0.00000000000E+000
+4.37500000000E+004, -8.64943520542E+001, +0.00000000000E+000
+4.38750000000E+004, -8.67116331333E+001, +0.00000000000E+000
+4.40000000000E+004, -8.69076571376E+001, +0.00000000000E+000
+4.41250000000E+004, -8.70652705457E+001, +0.00000000000E+000
+4.42500000000E+004, -8.72131408038E+001, +0.00000000000E+000
+4.43750000000E+004, -8.73002477720E+001, +0.00000000000E+000
