Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.87166007937E+001, +0.00000000000E+000
+2.51250000000E+004, -8.87169041306E+001, +0.00000000000E+000
+2.52500000000E+004, -8.87054913064E+001, +0.00000000000E+000
+2.53750000000E+004, -8.86739533880E+001, +0.00000000000E+000
+2.55000000000E+004, -8.86514807250E+001, +0.00000000000E+000
+2.56250000000E+004, -8.85942249360E+001, +0.00000000000E+000
+2.57500000000E+004, -8.85680464325E+001, +0.00000000000E+000
+2.58750000000E+004, -8.84550901121E+001, +0.00000000000E+000
+2.60000000000E+004, -8.82945064875E+001, +0.00000000000E+000
+2.61250000000E+004, -8.79577818586E+001, +0.00000000000E+000
+2.62500000000E+004, -8.73884920274E+001, +0.00000000000E+000
+2.63750000000E+004, -8.70578510999E+001, +0.00000000000E+000
+2.65000000000E+004, -8.74771122021E+001, +0.00000000000E+000
+2.66250000000E+004, -8.80224591068E+001, +0.00000000000E+000
+2.67500000000E+004, -8.82879085763E+001, +0.00000000000E+000
+2.68750000000E+004, -8.84248000549E+001, +0.00000000000E+000
+2.70000000000E+004, -8.85194261119E+001, +0.00000000000E+000
+2.71250000000E+004, -8.84625703884E+001, +0.00000000000E+000
+2.72500000000E+004, -8.84686355832E+001, +0.00000000000E+000
+2.73750000000E+004, -8.83476402376E+001, +0.00000000000E+000
+2.75000000000E+004, -8.80983358711E+001, +0.00000000000E+000
+2.76250000000E+004, -8.80990122516E+001, +0.00000000000E+000
+2.77500000000E+004, -8.83587101048E+001, +0.00000000000E+000
+2.78750000000E+004, -8.85211726126E+001, +0.00000000000E+000
+2.80000000000E+004, -8.85940037477E+001, +0.00000000000E+000
+2.81250000000E+004, -8.86058389495E+001, +0.00000000000E+000
+2.82500000000E+004, -8.86154194273E+001, +0.00000000000E+000
+2.83750000000E+004, -8.86108494071E+001, +0.00000000000E+000
+2.85000000000E+004, -8.86008599855E+001, +0.00000000000E+000
+2.86250000000E+004, -8.85946817155E+001, +0.00000000000E+000
+2.87500000000E+004, -8.86004924364E+001, +0.00000000000E+000
+2.88750000000E+004, -8.85414726142E+001, +0.00000000000E+000
+2.90000000000E+004, -8.85211812446E+001, +0.00000000000E+000
+2.91250000000E+004, -8.85190332961E+001, +0.00000000000E+000
+2.92500000000E+004, -8.84529636348E+001, +0.00000000000E+000
