"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.36813915768E+003, +0.00000000000E+000
+2.51250000000E+004, +2.35276864174E+003, +0.00000000000E+000
+2.52500000000E+004, +2.33906052758E+003, +0.00000000000E+000
+2.53750000000E+004, +2.32588110241E+003, +0.00000000000E+000
+2.55000000000E+004, +2.31346978842E+003, +0.00000000000E+000
+2.56250000000E+004, +2.30096918738E+003, +0.00000000000E+000
+2.57500000000E+004, +2.28685493911E+003, +0.00000000000E+000
+2.58750000000E+004, +2.27386005705E+003, +0.00000000000E+000
+2.60000000000E+004, +2.26027888929E+003, +0.00000000000E+000
+2.61250000000E+004, +2.24518918643E+003, +0.00000000000E+000
+2.62500000000E+004, +2.23201886939E+003, +0.00000000000E+000
+2.63750000000E+004, +2.21827634255E+003, +0.00000000000E+000
+2.65000000000E+004, +2.20471592529E+003, +0.00000000000E+000
+2.66250000000E+004, +2.19125954391E+003, +0.00000000000E+000
+2.67500000000E+004, +2.17664158014E+003, +0.00000000000E+000
+2.68750000000E+004, +2.16483450877E+003, +0.00000000000E+000
+2.70000000000E+004, +2.15273711682E+003, +0.00000000000E+000
+2.71250000000E+004, +2.14018764153E+003, +0.00000000000E+000
+2.72500000000E+004, +2.12619581535E+003, +0.00000000000E+000
+2.73750000000E+004, +2.11476660093E+003, +0.00000000000E+000
+2.75000000000E+004, +2.09981478793E+003, +0.00000000000E+000
+2.76250000000E+004, +2.08708389649E+003, +0.00000000000E+000
+2.77500000000E+004, +2.07323775668E+003, +0.00000000000E+000
+2.78750000000E+004, +2.05980695874E+003, +0.00000000000E+000
+2.80000000000E+004, +2.04677737999E+003, +0.00000000000E+000
+2.81250000000E+004, +2.03425547008E+003, +0.00000000000E+000
+2.82500000000E+004, +2.02240108938E+003, +0.00000000000E+000
+2.83750000000E+004, +2.01025806397E+003, +0.00000000000E+000
+2.85000000000E+004, +1.99659401843E+003, +0.00000000000E+000
+2.86250000000E+004, +1.98405559122E+003, +0.00000000000E+000
+2.87500000000E+004, +1.97149987321E+003, +0.00000000000E+000
+2.88750000000E+004, +1.95808277216E+003, +0.00000000000E+000
+2.90000000000E+004, +1.94680697858E+003, +0.00000000000E+000
+2.91250000000E+004, +1.93377518932E+003, +0.00000000000E+000
+2.92500000000E+004, +1.92132675324E+003, +0.00000000000E+000
+2.93750000000E+004, +1.90899141520E+003, +0.00000000000E+000
+2.95000000000E+004, +1.89687327960E+003, +0.00000000000E+000
+2.96250000000E+004, +1.88356985459E+003, +0.00000000000E+000
+2.97500000000E+004, +1.87136259577E+003, +0.00000000000E+000
+2.98750000000E+004, +1.85839521534E+003, +0.00000000000E+000
+3.00000000000E+004, +1.84649967948E+003, +0.00000000000E+000
+3.01250000000E+004, +1.83410661341E+003, +0.00000000000E+000
+3.02500000000E+004, +1.82045519309E+003, +0.00000000000E+000
+3.03750000000E+004, +1.80783890896E+003, +0.00000000000E+000
+3.05000000000E+004, +1.79494697904E+003, +0.00000000000E+000
+3.06250000000E+004, +1.78105381663E+003, +0.00000000000E+000
+3.07500000000E+004, +1.76787163917E+003, +0.00000000000E+000
+3.08750000000E+004, +1.75418892330E+003, +0.00000000000E+000
+3.10000000000E+004, +1.74096927954E+003, +0.00000000000E+000
+3.11250000000E+004, +1.72707565850E+003, +0.00000000000E+000
+3.12500000000E+004, +1.71265347408E+003, +0.00000000000E+000
+3.13750000000E+004, +1.69801201477E+003, +0.00000000000E+000
+3.15000000000E+004, +1.68323906130E+003, +0.00000000000E+000
+3.16250000000E+004, +1.66824426642E+003, +0.00000000000E+000
+3.17500000000E+004, +1.65118963623E+003, +0.00000000000E+000
