Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.66366978329E+003, +0.00000000000E+000
+2.51250000000E+004, +2.64859691775E+003, +0.00000000000E+000
+2.52500000000E+004, +2.63243270812E+003, +0.00000000000E+000
+2.53750000000E+004, +2.61638350802E+003, +0.00000000000E+000
+2.55000000000E+004, +2.60143801289E+003, +0.00000000000E+000
+2.56250000000E+004, +2.58558550801E+003, +0.00000000000E+000
+2.57500000000E+004, +2.57044519055E+003, +0.00000000000E+000
+2.58750000000E+004, +2.55418485181E+003, +0.00000000000E+000
+2.60000000000E+004, +2.53945339528E+003, +0.00000000000E+000
+2.61250000000E+004, +2.52332082389E+003, +0.00000000000E+000
+2.62500000000E+004, +2.50902645172E+003, +0.00000000000E+000
+2.63750000000E+004, +2.49521647787E+003, +0.00000000000E+000
+2.65000000000E+004, +2.47719090839E+003, +0.00000000000E+000
+2.66250000000E+004, +2.46322403774E+003, +0.00000000000E+000
+2.67500000000E+004, +2.45014367042E+003, +0.00000000000E+000
+2.68750000000E+004, +2.43510452397E+003, +0.00000000000E+000
+2.70000000000E+004, +2.41902004114E+003, +0.00000000000E+000
+2.71250000000E+004, +2.40405120319E+003, +0.00000000000E+000
+2.72500000000E+004, +2.38997540859E+003, +0.00000000000E+000
+2.73750000000E+004, +2.37477057646E+003, +0.00000000000E+000
+2.75000000000E+004, +2.36019624417E+003, +0.00000000000E+000
+2.76250000000E+004, +2.34681332066E+003, +0.00000000000E+000
+2.77500000000E+004, +2.33274871521E+003, +0.00000000000E+000
+2.78750000000E+004, +2.31799306546E+003, +0.00000000000E+000
+2.80000000000E+004, +2.30175215433E+003, +0.00000000000E+000
+2.81250000000E+004, +2.28747501937E+003, +0.00000000000E+000
+2.82500000000E+004, +2.27166570375E+003, +0.00000000000E+000
+2.83750000000E+004, +2.25623968295E+003, +0.00000000000E+000
+2.85000000000E+004, +2.24350111086E+003, +0.00000000000E+000
+2.86250000000E+004, +2.23340317186E+003, +0.00000000000E+000
+2.87500000000E+004, +2.22765907064E+003, +0.00000000000E+000
+2.88750000000E+004, +2.22019909759E+003, +0.00000000000E+000
+2.90000000000E+004, +2.21236032614E+003, +0.00000000000E+000
+2.91250000000E+004, +2.20036622909E+003, +0.00000000000E+000
+2.92500000000E+004, +2.18737334117E+003, +0.00000000000E+000
+2.93750000000E+004, +2.17493553418E+003, +0.00000000000E+000
+2.95000000000E+004, +2.16217015865E+003, +0.00000000000E+000
+2.96250000000E+004, +2.14808056210E+003, +0.00000000000E+000
+2.97500000000E+004, +2.13433872534E+003, +0.00000000000E+000
+2.98750000000E+004, +2.12072878679E+003, +0.00000000000E+000
+3.00000000000E+004, +2.10686893973E+003, +0.00000000000E+000
+3.01250000000E+004, +2.09330239129E+003, +0.00000000000E+000
+3.02500000000E+004, +2.07931535775E+003, +0.00000000000E+000
+3.03750000000E+004, +2.06625722595E+003, +0.00000000000E+000
+3.05000000000E+004, +2.05193885901E+003, +0.00000000000E+000
+3.06250000000E+004, +2.03875516038E+003, +0.00000000000E+000
+3.07500000000E+004, +2.02538437204E+003, +0.00000000000E+000
+3.08750000000E+004, +2.01250593570E+003, +0.00000000000E+000
+3.10000000000E+004, +1.99864178503E+003, +0.00000000000E+000
+3.11250000000E+004, +1.98556300635E+003, +0.00000000000E+000
+3.12500000000E+004, +1.97203280368E+003, +0.00000000000E+000
+3.13750000000E+004, +1.95820609433E+003, +0.00000000000E+000
+3.15000000000E+004, +1.94592457795E+003, +0.00000000000E+000
+3.16250000000E+004, +1.93160113656E+003, +0.00000000000E+000
+3.17500000000E+004, +1.91808979769E+003, +0.00000000000E+000
+3.18750000000E+004, +1.90532480171E+003, +0.00000000000E+000
+3.20000000000E+004, +1.89140775533E+003, +0.00000000000E+000
+3.21250000000E+004, +1.87734084498E+003, +0.00000000000E+000
+3.22500000000E+004, +1.86428160023E+003, +0.00000000000E+000
+3.23750000000E+004, +1.85123615265E+003, +0.00000000000E+000
+3.25000000000E+004, +1.83793118394E+003, +0.00000000000E+000
+3.26250000000E+004, +1.82794642471E+003, +0.00000000000E+000
+3.27500000000E+004, +1.82113100097E+003, +0.00000000000E+000
+3.28750000000E+004, +1.81357142890E+003, +0.00000000000E+000
+3.30000000000E+004, +1.80354314248E+003, +0.00000000000E+000
+3.31250000000E+004, +1.78949791865E+003, +0.00000000000E+000
