Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.73108486513E+004, +0.00000000000E+000
+1.99500000000E+003, +3.46931307101E+004, +0.00000000000E+000
+2.99000000000E+003, +2.30619889096E+004, +0.00000000000E+000
+3.98500000000E+003, +1.73138910487E+004, +0.00000000000E+000
+4.98000000000E+003, +1.38243705439E+004, +0.00000000000E+000
+5.97500000000E+003, +1.15290964286E+004, +0.00000000000E+000
+6.97000000000E+003, +9.93996958421E+003, +0.00000000000E+000
+7.96500000000E+003, +8.65916014644E+003, +0.00000000000E+000
+8.96000000000E+003, +7.71083623673E+003, +0.00000000000E+000
+9.95500000000E+003, +6.91321292746E+003, +0.00000000000E+000
+1.09500000000E+004, +6.30446332336E+003, +0.00000000000E+000
+1.19450000000E+004, +5.77266056850E+003, +0.00000000000E+000
+1.29400000000E+004, +5.29949425268E+003, +0.00000000000E+000
+1.39350000000E+004, +4.92230373508E+003, +0.00000000000E+000
+1.49300000000E+004, +4.58037315400E+003, +0.00000000000E+000
+1.59250000000E+004, +4.28578129718E+003, +0.00000000000E+000
+1.69200000000E+004, +4.01115215750E+003, +0.00000000000E+000
+1.79150000000E+004, +3.78177344157E+003, +0.00000000000E+000
+1.89100000000E+004, +3.56340683416E+003, +0.00000000000E+000
+1.99050000000E+004, +3.37478665432E+003, +0.00000000000E+000
+2.09000000000E+004, +3.19118915415E+003, +0.00000000000E+000
+2.18950000000E+004, +3.05413159419E+003, +0.00000000000E+000
+2.28900000000E+004, +2.89679227107E+003, +0.00000000000E+000
+2.38850000000E+004, +2.75162818641E+003, +0.00000000000E+000
+2.48800000000E+004, +2.62244506126E+003, +0.00000000000E+000
+2.58750000000E+004, +2.49975380631E+003, +0.00000000000E+000
+2.68700000000E+004, +2.38247072932E+003, +0.00000000000E+000
+2.78650000000E+004, +2.26463196044E+003, +0.00000000000E+000
+2.88600000000E+004, +2.16297092881E+003, +0.00000000000E+000
+2.98550000000E+004, +2.06121338923E+003, +0.00000000000E+000
+3.08500000000E+004, +1.95501862989E+003, +0.00000000000E+000
+3.18450000000E+004, +1.84776853987E+003, +0.00000000000E+000
+3.28400000000E+004, +1.73972773270E+003, +0.00000000000E+000
+3.38350000000E+004, +1.65869167387E+003, +0.00000000000E+000
+3.48300000000E+004, +1.54813729628E+003, +0.00000000000E+000
+3.58250000000E+004, +1.40707834246E+003, +0.00000000000E+000
+3.68200000000E+004, +1.25348000337E+003, +0.00000000000E+000
+3.78150000000E+004, +1.07797687362E+003, +0.00000000000E+000
+3.88100000000E+004, +8.36131757633E+002, +0.00000000000E+000
+3.98050000000E+004, +4.97690818011E+002, +0.00000000000E+000
+4.08000000000E+004, +1.73453018702E+003, +0.00000000000E+000
+4.17950000000E+004, +5.17165477035E+003, +0.00000000000E+000
+4.27900000000E+004, +2.79934003698E+003, +0.00000000000E+000
+4.37850000000E+004, +2.12436300203E+003, +0.00000000000E+000
+4.47800000000E+004, +1.78787466969E+003, +0.00000000000E+000
+4.57750000000E+004, +1.55909499949E+003, +0.00000000000E+000
+4.67700000000E+004, +1.36731072362E+003, +0.00000000000E+000
+4.77650000000E+004, +1.18190957371E+003, +0.00000000000E+000
+4.87600000000E+004, +9.81807935199E+002, +0.00000000000E+000
+4.97550000000E+004, +7.44323253495E+002, +0.00000000000E+000
+5.07500000000E+004, +4.30822475797E+002, +0.00000000000E+000
+5.17450000000E+004, +4.88127872363E+002, +0.00000000000E+000
+5.27400000000E+004, +2.38608307570E+003, +0.00000000000E+000
+5.37350000000E+004, +7.08343688605E+003, +0.00000000000E+000
+5.47300000000E+004, +3.59154363553E+003, +0.00000000000E+000
+5.57250000000E+004, +2.34477954227E+003, +0.00000000000E+000
+5.67200000000E+004, +1.59434344826E+003, +0.00000000000E+000
+5.77150000000E+004, +1.25061410349E+003, +0.00000000000E+000
+5.87100000000E+004, +4.08799252014E+003, +0.00000000000E+000
+5.97050000000E+004, +2.55472902522E+003, +0.00000000000E+000
+6.07000000000E+004, +2.33555434110E+003, +0.00000000000E+000
+6.16950000000E+004, +2.21570106505E+003, +0.00000000000E+000
+6.26900000000E+004, +2.01303565516E+003, +0.00000000000E+000
+6.36850000000E+004, +1.87001954607E+003, +0.00000000000E+000
+6.46800000000E+004, +1.76447977386E+003, +0.00000000000E+000
+6.56750000000E+004, +1.68030788123E+003, +0.00000000000E+000
+6.66700000000E+004, +1.61440922681E+003, +0.00000000000E+000
+6.76650000000E+004, +1.55618938801E+003, +0.00000000000E+000
+6.86600000000E+004, +1.50368818858E+003, +0.00000000000E+000
+6.96550000000E+004, +1.45792456156E+003, +0.00000000000E+000
+7.06500000000E+004, +1.41648070418E+003, +0.00000000000E+000
+7.16450000000E+004, +1.37921920953E+003, +0.00000000000E+000
+7.26400000000E+004, +1.34478757486E+003, +0.00000000000E+000
+7.36350000000E+004, +1.31263715295E+003, +0.00000000000E+000
+7.46300000000E+004, +1.28292472003E+003, +0.00000000000E+000
+7.56250000000E+004, +1.25455119538E+003, +0.00000000000E+000
+7.66200000000E+004, +1.22732188136E+003, +0.00000000000E+000
+7.76150000000E+004, +1.20132744530E+003, +0.00000000000E+000
+7.86100000000E+004, +1.17518973127E+003, +0.00000000000E+000
+7.96050000000E+004, +1.15284740228E+003, +0.00000000000E+000
+8.06000000000E+004, +1.14596384041E+003, +0.00000000000E+000
+8.15950000000E+004, +1.12085442759E+003, +0.00000000000E+000
+8.25900000000E+004, +1.09761814652E+003, +0.00000000000E+000
+8.35850000000E+004, +1.07385952709E+003, +0.00000000000E+000
+8.45800000000E+004, +1.05571877541E+003, +0.00000000000E+000
+8.55750000000E+004, +1.05338059525E+003, +0.00000000000E+000
+8.65700000000E+004, +1.04368273626E+003, +0.00000000000E+000
+8.75650000000E+004, +1.02469019871E+003, +0.00000000000E+000
+8.85600000000E+004, +1.02502511680E+003, +0.00000000000E+000
+8.95550000000E+004, +1.01068259446E+003, +0.00000000000E+000
+9.05500000000E+004, +9.91705802655E+002, +0.00000000000E+000
+9.15450000000E+004, +9.74119888902E+002, +0.00000000000E+000
+9.25400000000E+004, +9.57554725047E+002, +0.00000000000E+000
+9.35350000000E+004, +9.41839308971E+002, +0.00000000000E+000
+9.45300000000E+004, +9.26576270920E+002, +0.00000000000E+000
+9.55250000000E+004, +9.14894835756E+002, +0.00000000000E+000
+9.65200000000E+004, +9.03341667265E+002, +0.00000000000E+000
+9.75150000000E+004, +8.88391975192E+002, +0.00000000000E+000
+9.85100000000E+004, +8.90796003011E+002, +0.00000000000E+000
+9.95050000000E+004, +8.86621111060E+002, +0.00000000000E+000
+1.00500000000E+005, +8.70660606217E+002, +0.00000000000E+000
+1.01495000000E+005, +8.56417966796E+002, +0.00000000000E+000
+1.02490000000E+005, +8.43361586488E+002, +0.00000000000E+000
+1.03485000000E+005, +8.30910388103E+002, +0.00000000000E+000
+1.04480000000E+005, +8.18447065172E+002, +0.00000000000E+000
+1.05475000000E+005, +8.06020639550E+002, +0.00000000000E+000
+1.06470000000E+005, +7.94480608193E+002, +0.00000000000E+000
+1.07465000000E+005, +7.87928865802E+002, +0.00000000000E+000
+1.08460000000E+005, +7.83275465494E+002, +0.00000000000E+000
+1.09455000000E+005, +7.74623040729E+002, +0.00000000000E+000
+1.10450000000E+005, +7.65480566417E+002, +0.00000000000E+000
+1.11445000000E+005, +7.56397360015E+002, +0.00000000000E+000
+1.12440000000E+005, +7.44712686944E+002, +0.00000000000E+000
+1.13435000000E+005, +7.32151661914E+002, +0.00000000000E+000
+1.14430000000E+005, +7.38587819136E+002, +0.00000000000E+000
+1.15425000000E+005, +7.33311978168E+002, +0.00000000000E+000
+1.16420000000E+005, +7.19013413203E+002, +0.00000000000E+000
+1.17415000000E+005, +7.06494359304E+002, +0.00000000000E+000
+1.18410000000E+005, +6.95138957133E+002, +0.00000000000E+000
+1.19405000000E+005, +6.90474872436E+002, +0.00000000000E+000
+1.20400000000E+005, +7.07410930747E+002, +0.00000000000E+000
+1.21395000000E+005, +7.20257999086E+002, +0.00000000000E+000
+1.22390000000E+005, +7.12468441669E+002, +0.00000000000E+000
+1.23385000000E+005, +7.00694813448E+002, +0.00000000000E+000
+1.24380000000E+005, +6.89765889510E+002, +0.00000000000E+000
+1.25375000000E+005, +6.79925043151E+002, +0.00000000000E+000
+1.26370000000E+005, +6.70946653069E+002, +0.00000000000E+000
+1.27365000000E+005, +6.62747509365E+002, +0.00000000000E+000
+1.28360000000E+005, +6.54881263838E+002, +0.00000000000E+000
+1.29355000000E+005, +6.47444107931E+002, +0.00000000000E+000
+1.30350000000E+005, +6.40101139975E+002, +0.00000000000E+000
+1.31345000000E+005, +6.33208601747E+002, +0.00000000000E+000
+1.32340000000E+005, +6.26435484342E+002, +0.00000000000E+000
+1.33335000000E+005, +6.20072201842E+002, +0.00000000000E+000
+1.34330000000E+005, +6.14017902642E+002, +0.00000000000E+000
+1.35325000000E+005, +6.08073416803E+002, +0.00000000000E+000
+1.36320000000E+005, +6.01833001267E+002, +0.00000000000E+000
+1.37315000000E+005, +5.95633152353E+002, +0.00000000000E+000
+1.38310000000E+005, +5.89302618111E+002, +0.00000000000E+000
+1.39305000000E+005, +5.82938433310E+002, +0.00000000000E+000
+1.40300000000E+005, +5.77121717858E+002, +0.00000000000E+000
+1.41295000000E+005, +5.71888805755E+002, +0.00000000000E+000
+1.42290000000E+005, +5.65933256151E+002, +0.00000000000E+000
+1.43285000000E+005, +5.59810151127E+002, +0.00000000000E+000
+1.44280000000E+005, +5.53401341684E+002, +0.00000000000E+000
+1.45275000000E+005, +5.48316112278E+002, +0.00000000000E+000
+1.46270000000E+005, +5.47812913515E+002, +0.00000000000E+000
+1.47265000000E+005, +5.43050658320E+002, +0.00000000000E+000
+1.48260000000E+005, +5.36818877834E+002, +0.00000000000E+000
+1.49255000000E+005, +5.30896222627E+002, +0.00000000000E+000
+1.50250000000E+005, +5.24930349846E+002, +0.00000000000E+000
+1.51245000000E+005, +5.19131304243E+002, +0.00000000000E+000
+1.52240000000E+005, +5.13376876158E+002, +0.00000000000E+000
+1.53235000000E+005, +5.07706726521E+002, +0.00000000000E+000
+1.54230000000E+005, +5.01993583049E+002, +0.00000000000E+000
+1.55225000000E+005, +4.96150191313E+002, +0.00000000000E+000
+1.56220000000E+005, +4.90166423605E+002, +0.00000000000E+000
+1.57215000000E+005, +4.83998193933E+002, +0.00000000000E+000
+1.58210000000E+005, +4.77130114550E+002, +0.00000000000E+000
+1.59205000000E+005, +4.69802728558E+002, +0.00000000000E+000
+1.60200000000E+005, +4.61538717537E+002, +0.00000000000E+000
+1.61195000000E+005, +4.52242569749E+002, +0.00000000000E+000
+1.62190000000E+005, +4.41281723602E+002, +0.00000000000E+000
+1.63185000000E+005, +4.28307448519E+002, +0.00000000000E+000
+1.64180000000E+005, +4.13581483324E+002, +0.00000000000E+000
+1.65175000000E+005, +4.04919468667E+002, +0.00000000000E+000
+1.66170000000E+005, +4.46395262758E+002, +0.00000000000E+000
+1.67165000000E+005, +5.32195332906E+002, +0.00000000000E+000
+1.68160000000E+005, +5.38592053462E+002, +0.00000000000E+000
+1.69155000000E+005, +5.19012228475E+002, +0.00000000000E+000
+1.70150000000E+005, +5.01784576560E+002, +0.00000000000E+000
+1.71145000000E+005, +4.88329924287E+002, +0.00000000000E+000
+1.72140000000E+005, +4.77603770078E+002, +0.00000000000E+000
+1.73135000000E+005, +4.68589594557E+002, +0.00000000000E+000
+1.74130000000E+005, +4.60673184121E+002, +0.00000000000E+000
+1.75125000000E+005, +4.53640839819E+002, +0.00000000000E+000
+1.76120000000E+005, +4.47096477487E+002, +0.00000000000E+000
+1.77115000000E+005, +4.40889575968E+002, +0.00000000000E+000
+1.78110000000E+005, +4.34918471844E+002, +0.00000000000E+000
+1.79105000000E+005, +4.29119460165E+002, +0.00000000000E+000
+1.80100000000E+005, +4.23899400462E+002, +0.00000000000E+000
+1.81095000000E+005, +4.18438781502E+002, +0.00000000000E+000
+1.82090000000E+005, +4.13746038667E+002, +0.00000000000E+000
+1.83085000000E+005, +4.10991752540E+002, +0.00000000000E+000
+1.84080000000E+005, +4.08948674577E+002, +0.00000000000E+000
+1.85075000000E+005, +4.05402880106E+002, +0.00000000000E+000
+1.86070000000E+005, +4.01333270377E+002, +0.00000000000E+000
+1.87065000000E+005, +3.96925166519E+002, +0.00000000000E+000
+1.88060000000E+005, +3.91639203528E+002, +0.00000000000E+000
+1.89055000000E+005, +3.86387711199E+002, +0.00000000000E+000
+1.90050000000E+005, +3.81134097722E+002, +0.00000000000E+000
