Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +1.07198631503E+002, +0.00000000000E+000
+2.51250000000E+004, +1.07770847284E+002, +0.00000000000E+000
+2.52500000000E+004, +1.08315734955E+002, +0.00000000000E+000
+2.53750000000E+004, +1.08863241504E+002, +0.00000000000E+000
+2.55000000000E+004, +1.09404667668E+002, +0.00000000000E+000
+2.56250000000E+004, +1.09931363604E+002, +0.00000000000E+000
+2.57500000000E+004, +1.10474150685E+002, +0.00000000000E+000
+2.58750000000E+004, +1.11007063938E+002, +0.00000000000E+000
+2.60000000000E+004, +1.11542167138E+002, +0.00000000000E+000
+2.61250000000E+004, +1.12083332172E+002, +0.00000000000E+000
+2.62500000000E+004, +1.12610451618E+002, +0.00000000000E+000
+2.63750000000E+004, +1.13148001386E+002, +0.00000000000E+000
+2.65000000000E+004, +1.13677674011E+002, +0.00000000000E+000
+2.66250000000E+004, +1.14210049506E+002, +0.00000000000E+000
+2.67500000000E+004, +1.14747725202E+002, +0.00000000000E+000
+2.68750000000E+004, +1.15279768349E+002, +0.00000000000E+000
+2.70000000000E+004, +1.15813664573E+002, +0.00000000000E+000
+2.71250000000E+004, +1.16357271633E+002, +0.00000000000E+000
+2.72500000000E+004, +1.16884086402E+002, +0.00000000000E+000
+2.73750000000E+004, +1.17416366542E+002, +0.00000000000E+000
+2.75000000000E+004, +1.17949208218E+002, +0.00000000000E+000
+2.76250000000E+004, +1.18477321084E+002, +0.00000000000E+000
+2.77500000000E+004, +1.19011010175E+002, +0.00000000000E+000
+2.78750000000E+004, +1.19542706153E+002, +0.00000000000E+000
+2.80000000000E+004, +1.20076447629E+002, +0.00000000000E+000
+2.81250000000E+004, +1.20602549793E+002, +0.00000000000E+000
+2.82500000000E+004, +1.21142179926E+002, +0.00000000000E+000
+2.83750000000E+004, +1.21673802156E+002, +0.00000000000E+000
+2.85000000000E+004, +1.22206365418E+002, +0.00000000000E+000
+2.86250000000E+004, +1.22733375286E+002, +0.00000000000E+000
+2.87500000000E+004, +1.23268310207E+002, +0.00000000000E+000
+2.88750000000E+004, +1.23793189207E+002, +0.00000000000E+000
+2.90000000000E+004, +1.24323277765E+002, +0.00000000000E+000
+2.91250000000E+004, +1.24862405753E+002, +0.00000000000E+000
+2.92500000000E+004, +1.25382693777E+002, +0.00000000000E+000
+2.93750000000E+004, +1.25919433095E+002, +0.00000000000E+000
+2.95000000000E+004, +1.26450608292E+002, +0.00000000000E+000
+2.96250000000E+004, +1.26974052216E+002, +0.00000000000E+000
+2.97500000000E+004, +1.27516505130E+002, +0.00000000000E+000
+2.98750000000E+004, +1.28050036634E+002, +0.00000000000E+000
+3.00000000000E+004, +1.28574944734E+002, +0.00000000000E+000
+3.01250000000E+004, +1.29109024023E+002, +0.00000000000E+000
+3.02500000000E+004, +1.29633231672E+002, +0.00000000000E+000
+3.03750000000E+004, +1.30159172067E+002, +0.00000000000E+000
+3.05000000000E+004, +1.30689973324E+002, +0.00000000000E+000
+3.06250000000E+004, +1.31218486959E+002, +0.00000000000E+000
+3.07500000000E+004, +1.31745496269E+002, +0.00000000000E+000
+3.08750000000E+004, +1.32261268490E+002, +0.00000000000E+000
+3.10000000000E+004, +1.32793696231E+002, +0.00000000000E+000
+3.11250000000E+004, +1.33327745886E+002, +0.00000000000E+000
+3.12500000000E+004, +1.33851803492E+002, +0.00000000000E+000
+3.13750000000E+004, +1.34383257048E+002, +0.00000000000E+000
+3.15000000000E+004, +1.34909279583E+002, +0.00000000000E+000
+3.16250000000E+004, +1.35436395518E+002, +0.00000000000E+000
+3.17500000000E+004, +1.35972310692E+002, +0.00000000000E+000
+3.18750000000E+004, +1.36496831116E+002, +0.00000000000E+000
+3.20000000000E+004, +1.37030046702E+002, +0.00000000000E+000
+3.21250000000E+004, +1.37560722906E+002, +0.00000000000E+000
+3.22500000000E+004, +1.38086097432E+002, +0.00000000000E+000
+3.23750000000E+004, +1.38620587744E+002, +0.00000000000E+000
+3.25000000000E+004, +1.39148416865E+002, +0.00000000000E+000
+3.26250000000E+004, +1.39675824167E+002, +0.00000000000E+000
+3.27500000000E+004, +1.40201221275E+002, +0.00000000000E+000
+3.28750000000E+004, +1.40737558678E+002, +0.00000000000E+000
+3.30000000000E+004, +1.41271552682E+002, +0.00000000000E+000
+3.31250000000E+004, +1.41805521898E+002, +0.00000000000E+000
+3.32500000000E+004, +1.42323813269E+002, +0.00000000000E+000
+3.33750000000E+004, +1.42862733078E+002, +0.00000000000E+000
+3.35000000000E+004, +1.43396454169E+002, +0.00000000000E+000
+3.36250000000E+004, +1.43926569848E+002, +0.00000000000E+000
+3.37500000000E+004, +1.44448529955E+002, +0.00000000000E+000
+3.38750000000E+004, +1.44984566777E+002, +0.00000000000E+000
+3.40000000000E+004, +1.45508288127E+002, +0.00000000000E+000
+3.41250000000E+004, +1.46031010119E+002, +0.00000000000E+000
+3.42500000000E+004, +1.46559014907E+002, +0.00000000000E+000
+3.43750000000E+004, +1.47092750561E+002, +0.00000000000E+000
+3.45000000000E+004, +1.47615585005E+002, +0.00000000000E+000
+3.46250000000E+004, +1.48150108707E+002, +0.00000000000E+000
+3.47500000000E+004, +1.48675322092E+002, +0.00000000000E+000
+3.48750000000E+004, +1.49201044033E+002, +0.00000000000E+000
+3.50000000000E+004, +1.49738429216E+002, +0.00000000000E+000
+3.51250000000E+004, +1.50262253115E+002, +0.00000000000E+000
+3.52500000000E+004, +1.50784002100E+002, +0.00000000000E+000
+3.53750000000E+004, +1.51311074690E+002, +0.00000000000E+000
+3.55000000000E+004, +1.51851247629E+002, +0.00000000000E+000
+3.56250000000E+004, +1.52373137406E+002, +0.00000000000E+000
+3.57500000000E+004, +1.52905536186E+002, +0.00000000000E+000
+3.58750000000E+004, +1.53434919590E+002, +0.00000000000E+000
+3.60000000000E+004, +1.53957099269E+002, +0.00000000000E+000
+3.61250000000E+004, +1.54481017371E+002, +0.00000000000E+000
+3.62500000000E+004, +1.55015085768E+002, +0.00000000000E+000
+3.63750000000E+004, +1.55543397141E+002, +0.00000000000E+000
+3.65000000000E+004, +1.56064622492E+002, +0.00000000000E+000
+3.66250000000E+004, +1.56601620505E+002, +0.00000000000E+000
+3.67500000000E+004, +1.57123152113E+002, +0.00000000000E+000
+3.68750000000E+004, +1.57643908450E+002, +0.00000000000E+000
+3.70000000000E+004, +1.58170772918E+002, +0.00000000000E+000
+3.71250000000E+004, +1.58694276834E+002, +0.00000000000E+000
