"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.92384485133E+001, +0.00000000000E+000
+1.02772972507E+003, -8.99835039352E+001, +0.00000000000E+000
+1.05545945015E+003, -8.86551559890E+001, +0.00000000000E+000
+1.08318917522E+003, -8.81203170547E+001, +0.00000000000E+000
+1.11091890029E+003, -9.04101294357E+001, +0.00000000000E+000
+1.13864862537E+003, -8.96484935110E+001, +0.00000000000E+000
+1.16637835044E+003, -8.80649342892E+001, +0.00000000000E+000
+1.19410807551E+003, -8.91354666846E+001, +0.00000000000E+000
+1.22183780059E+003, -8.94926086334E+001, +0.00000000000E+000
+1.24956752566E+003, -9.00746492727E+001, +0.00000000000E+000
+1.27729725073E+003, -8.92762566460E+001, +0.00000000000E+000
+1.30502697581E+003, -8.89881891658E+001, +0.00000000000E+000
+1.33275670088E+003, -8.88487361491E+001, +0.00000000000E+000
+1.36504441051E+003, -8.89339660892E+001, +0.00000000000E+000
+1.40337532068E+003, -8.89804146656E+001, +0.00000000000E+000
+1.44170623084E+003, -8.84116669032E+001, +0.00000000000E+000
+1.48003714101E+003, -8.91866128077E+001, +0.00000000000E+000
+1.51836805118E+003, -8.94127939095E+001, +0.00000000000E+000
+1.55669896134E+003, -8.78588450205E+001, +0.00000000000E+000
+1.59502987151E+003, -8.89962164762E+001, +0.00000000000E+000
+1.63336078167E+003, -8.88502235688E+001, +0.00000000000E+000
+1.67169169184E+003, -9.02699887057E+001, +0.00000000000E+000
+1.71002260200E+003, -8.77705641621E+001, +0.00000000000E+000
+1.74835351217E+003, -8.91652438830E+001, +0.00000000000E+000
+1.78668442234E+003, -8.87057920493E+001, +0.00000000000E+000
+1.82501533250E+003, -8.79213727605E+001, +0.00000000000E+000
+1.86334624267E+003, -8.87479446546E+001, +0.00000000000E+000
+1.90848815221E+003, -8.86007123168E+001, +0.00000000000E+000
+1.96141000397E+003, -8.95391959899E+001, +0.00000000000E+000
+2.01433185574E+003, -8.92252941786E+001, +0.00000000000E+000
+2.06725370751E+003, -8.88325800294E+001, +0.00000000000E+000
+2.12017555927E+003, -8.91011084110E+001, +0.00000000000E+000
+2.17309741104E+003, -8.85524347233E+001, +0.00000000000E+000
+2.22601926280E+003, -8.85954923776E+001, +0.00000000000E+000
+2.27894111457E+003, -8.84670538997E+001, +0.00000000000E+000
+2.33186296634E+003, -8.92694972613E+001, +0.00000000000E+000
+2.38478481810E+003, -8.96514728716E+001, +0.00000000000E+000
+2.43770666987E+003, -8.83000291693E+001, +0.00000000000E+000
+2.49062852164E+003, -8.84669664388E+001, +0.00000000000E+000
+2.54355037340E+003, -8.82673823059E+001, +0.00000000000E+000
+2.60517108470E+003, -8.88947307899E+001, +0.00000000000E+000
+2.67832517261E+003, -8.93117265888E+001, +0.00000000000E+000
+2.75147926053E+003, -8.97777593075E+001, +0.00000000000E+000
+2.82463334844E+003, -8.85470407620E+001, +0.00000000000E+000
+2.89778743636E+003, -8.89450632808E+001, +0.00000000000E+000
+2.97094152427E+003, -8.85319256421E+001, +0.00000000000E+000
+3.04409561219E+003, -8.85247668852E+001, +0.00000000000E+000
+3.11724970010E+003, -8.89749465709E+001, +0.00000000000E+000
+3.19040378802E+003, -8.90533134824E+001, +0.00000000000E+000
+3.26355787593E+003, -8.89579009954E+001, +0.00000000000E+000
+3.33671196385E+003, -8.93903544424E+001, +0.00000000000E+000
+3.40986605176E+003, -8.85680689384E+001, +0.00000000000E+000
+3.48302013968E+003, -8.89174360891E+001, +0.00000000000E+000
+3.55617422759E+003, -8.81987578745E+001, +0.00000000000E+000
+3.64232702711E+003, -8.90420996475E+001, +0.00000000000E+000
+3.74332775420E+003, -8.89819144678E+001, +0.00000000000E+000
+3.84432848129E+003, -8.89244311143E+001, +0.00000000000E+000
+3.94532920838E+003, -8.94370957125E+001, +0.00000000000E+000
+4.04632993547E+003, -8.91443255018E+001, +0.00000000000E+000
+4.14733066256E+003, -8.89530893811E+001, +0.00000000000E+000
+4.24833138965E+003, -8.85168938763E+001, +0.00000000000E+000
+4.34933211674E+003, -8.85801919195E+001, +0.00000000000E+000
+4.45033284382E+003, -8.87599807116E+001, +0.00000000000E+000
+4.55133357091E+003, -8.89878339749E+001, +0.00000000000E+000
+4.65233429800E+003, -8.90031644706E+001, +0.00000000000E+000
+4.75333502509E+003, -8.89730492029E+001, +0.00000000000E+000
+4.85433575218E+003, -8.93011098154E+001, +0.00000000000E+000
+4.97193814962E+003, -8.88604332350E+001, +0.00000000000E+000
+5.10980862759E+003, -8.88961902708E+001, +0.00000000000E+000
+5.24767910556E+003, -8.85982855909E+001, +0.00000000000E+000
+5.38554958353E+003, -8.90169776056E+001, +0.00000000000E+000
+5.52342006150E+003, -8.89355224598E+001, +0.00000000000E+000
+5.66129053947E+003, -8.87894552346E+001, +0.00000000000E+000
+5.79916101744E+003, -8.88455254519E+001, +0.00000000000E+000
+5.93703149541E+003, -8.91156155692E+001, +0.00000000000E+000
+6.07490197338E+003, -8.90978744850E+001, +0.00000000000E+000
+6.21277245135E+003, -8.88911973124E+001, +0.00000000000E+000
+6.35064292932E+003, -8.87611589811E+001, +0.00000000000E+000
+6.48851340729E+003, -8.89770179088E+001, +0.00000000000E+000
+6.62638388526E+003, -8.93872756432E+001, +0.00000000000E+000
+6.78691638054E+003, -8.90419078412E+001, +0.00000000000E+000
+6.97749529511E+003, -8.89989839270E+001, +0.00000000000E+000
+7.16807420967E+003, -8.90822230064E+001, +0.00000000000E+000
+7.35865312423E+003, -8.89571177426E+001, +0.00000000000E+000
+7.54923203880E+003, -8.90953546014E+001, +0.00000000000E+000
+7.73981095336E+003, -8.89428380889E+001, +0.00000000000E+000
+7.93038986792E+003, -8.92102710238E+001, +0.00000000000E+000
+8.12096878249E+003, -8.90963330638E+001, +0.00000000000E+000
+8.31154769705E+003, -8.91752164271E+001, +0.00000000000E+000
+8.50212661161E+003, -8.92002769884E+001, +0.00000000000E+000
+8.69270552618E+003, -8.89028293686E+001, +0.00000000000E+000
+8.88328444074E+003, -8.90210168616E+001, +0.00000000000E+000
+9.07386335531E+003, -8.89173292679E+001, +0.00000000000E+000
+9.26444226987E+003, -8.88477787165E+001, +0.00000000000E+000
+9.48888505205E+003, -8.90133716558E+001, +0.00000000000E+000
+9.75200922580E+003, -8.87883274222E+001, +0.00000000000E+000
+1.00151333995E+004, -8.89063842163E+001, +0.00000000000E+000
+1.02782575733E+004, -8.89477346303E+001, +0.00000000000E+000
+1.05413817470E+004, -8.89108075366E+001, +0.00000000000E+000
+1.08045059208E+004, -8.89849362906E+001, +0.00000000000E+000
+1.10676300945E+004, -8.88700398407E+001, +0.00000000000E+000
+1.13307542683E+004, -8.88913589606E+001, +0.00000000000E+000
+1.15938784420E+004, -8.89674496409E+001, +0.00000000000E+000
+1.18570026158E+004, -8.88551148572E+001, +0.00000000000E+000
+1.21201267895E+004, -8.89559031411E+001, +0.00000000000E+000
+1.23832509632E+004, -8.88771198486E+001, +0.00000000000E+000
+1.26463751370E+004, -8.89450874533E+001, +0.00000000000E+000
+1.29527495023E+004, -8.88140762747E+001, +0.00000000000E+000
+1.33164671028E+004, -8.89190738392E+001, +0.00000000000E+000
+1.36801847033E+004, -8.89313018259E+001, +0.00000000000E+000
+1.40439023038E+004, -8.89056526035E+001, +0.00000000000E+000
+1.44076199043E+004, -8.89237462718E+001, +0.00000000000E+000
+1.47713375048E+004, -8.88194911553E+001, +0.00000000000E+000
+1.51350551053E+004, -8.88543292019E+001, +0.00000000000E+000
+1.54987727058E+004, -8.88828973427E+001, +0.00000000000E+000
+1.58624903063E+004, -8.88033045904E+001, +0.00000000000E+000
+1.62262079068E+004, -8.89693266902E+001, +0.00000000000E+000
+1.65899255073E+004, -8.89054905171E+001, +0.00000000000E+000
+1.69536431078E+004, -8.88551248223E+001, +0.00000000000E+000
+1.73173607083E+004, -8.88333475443E+001, +0.00000000000E+000
+1.76810783088E+004, -8.88635962805E+001, +0.00000000000E+000
+1.81094246995E+004, -8.88332024390E+001, +0.00000000000E+000
+1.86115940676E+004, -8.87504258430E+001, +0.00000000000E+000
+1.91137634358E+004, -8.88260312501E+001, +0.00000000000E+000
+1.96159328039E+004, -8.88647564622E+001, +0.00000000000E+000
+2.01181021721E+004, -8.88381177795E+001, +0.00000000000E+000
+2.06202715402E+004, -8.88123250773E+001, +0.00000000000E+000
+2.11224409084E+004, -8.88489406646E+001, +0.00000000000E+000
+2.16246102766E+004, -8.87770308718E+001, +0.00000000000E+000
+2.21267796447E+004, -8.86302511664E+001, +0.00000000000E+000
+2.26289490129E+004, -8.87750153134E+001, +0.00000000000E+000
+2.31311183810E+004, -8.87570728255E+001, +0.00000000000E+000
+2.36332877492E+004, -8.87903038344E+001, +0.00000000000E+000
+2.41354571173E+004, -8.87933675551E+001, +0.00000000000E+000
+2.47201689636E+004, -8.87452895676E+001, +0.00000000000E+000
+2.54056524527E+004, -8.87173114881E+001, +0.00000000000E+000
+2.60911359419E+004, -8.85742153184E+001, +0.00000000000E+000
+2.67766194310E+004, -8.87287916059E+001, +0.00000000000E+000
+2.74621029201E+004, -8.87772023407E+001, +0.00000000000E+000
+2.81475864092E+004, -8.87125114547E+001, +0.00000000000E+000
+2.88330698984E+004, -8.87190104439E+001, +0.00000000000E+000
+2.95185533875E+004, -8.86925304941E+001, +0.00000000000E+000
+3.02040368766E+004, -8.86545019263E+001, +0.00000000000E+000
+3.08895203657E+004, -8.86256847174E+001, +0.00000000000E+000
+3.15750038549E+004, -8.85695741322E+001, +0.00000000000E+000
+3.22604873440E+004, -8.85040291603E+001, +0.00000000000E+000
+3.29459708331E+004, -8.84114101590E+001, +0.00000000000E+000
+3.37441284707E+004, -8.82917046694E+001, +0.00000000000E+000
+3.46916750465E+004, -8.81380724178E+001, +0.00000000000E+000
+3.56392216223E+004, -8.78636429380E+001, +0.00000000000E+000
+3.65867681982E+004, -8.72951962372E+001, +0.00000000000E+000
+3.75343147740E+004, -8.59620061285E+001, +0.00000000000E+000
+3.84818613498E+004, -8.24811544115E+001, +0.00000000000E+000
+3.94294079257E+004, -6.97181149321E+001, +0.00000000000E+000
+4.03769545015E+004, -5.92025849623E+000, +0.00000000000E+000
+4.13245010773E+004, +1.97508810124E+001, +0.00000000000E+000
+4.22720476532E+004, -5.93840089920E+001, +0.00000000000E+000
+4.32195942290E+004, -8.08798185810E+001, +0.00000000000E+000
+4.41671408048E+004, -8.49920912583E+001, +0.00000000000E+000
+4.51146873807E+004, -8.63112605686E+001, +0.00000000000E+000
+4.60622339565E+004, -8.69065740489E+001, +0.00000000000E+000
+4.71781495876E+004, -8.70206737856E+001, +0.00000000000E+000
+4.84863867052E+004, -8.59576381220E+001, +0.00000000000E+000
+4.97946238227E+004, -7.51946460444E+001, +0.00000000000E+000
+5.11028609402E+004, -7.05514449625E+001, +0.00000000000E+000
+5.24110980577E+004, +5.69818506936E+001, +0.00000000000E+000
+5.37193351753E+004, -4.94599835285E+001, +0.00000000000E+000
+5.50275722928E+004, -8.52912063948E+001, +0.00000000000E+000
+5.63358094103E+004, -8.75927677707E+001, +0.00000000000E+000
+5.76440465279E+004, -8.82525465215E+001, +0.00000000000E+000
+5.89522836454E+004, -8.85105894990E+001, +0.00000000000E+000
+6.02605207629E+004, -8.86503309755E+001, +0.00000000000E+000
+6.15687578804E+004, -8.87442599701E+001, +0.00000000000E+000
+6.28769949980E+004, -8.87822177913E+001, +0.00000000000E+000
+6.44002693929E+004, -8.88553002601E+001, +0.00000000000E+000
+6.62086508065E+004, -8.88881143240E+001, +0.00000000000E+000
+6.80170322201E+004, -8.88987053967E+001, +0.00000000000E+000
+6.98254136338E+004, -8.89096300092E+001, +0.00000000000E+000
+7.16337950474E+004, -8.89078915408E+001, +0.00000000000E+000
+7.34421764610E+004, -8.89100822586E+001, +0.00000000000E+000
+7.52505578747E+004, -8.89197242985E+001, +0.00000000000E+000
+7.70589392883E+004, -8.89014112961E+001, +0.00000000000E+000
+7.88673207020E+004, -8.88968077168E+001, +0.00000000000E+000
+8.06757021156E+004, -8.89111878938E+001, +0.00000000000E+000
+8.24840835292E+004, -8.88825618127E+001, +0.00000000000E+000
+8.42924649429E+004, -8.88528360295E+001, +0.00000000000E+000
+8.61008463565E+004, -8.87947315146E+001, +0.00000000000E+000
+8.79092277701E+004, -8.84402485968E+001, +0.00000000000E+000
+9.00389395310E+004, -8.79014533401E+001, +0.00000000000E+000
+9.25356945701E+004, -8.87676259162E+001, +0.00000000000E+000
+9.50324496092E+004, -8.84916121678E+001, +0.00000000000E+000
+9.75292046483E+004, -8.87526612861E+001, +0.00000000000E+000
+1.00025959687E+005, -8.88051264452E+001, +0.00000000000E+000
+1.02522714726E+005, -8.87155152301E+001, +0.00000000000E+000
+1.05019469766E+005, -8.78564182348E+001, +0.00000000000E+000
+1.07516224805E+005, -8.81961103416E+001, +0.00000000000E+000
+1.10012979844E+005, -8.86526255028E+001, +0.00000000000E+000
+1.12509734883E+005, -8.85662386719E+001, +0.00000000000E+000
+1.15006489922E+005, -8.65960062684E+001, +0.00000000000E+000
+1.17503244961E+005, -8.85129855454E+001, +0.00000000000E+000
+1.20000000000E+005, -8.87557075883E+001, +0.00000000000E+000
