"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.12748876682E+004, +0.00000000000E+000
+1.02772972507E+003, +6.01132481701E+004, +0.00000000000E+000
+1.05545945015E+003, +5.70894746303E+004, +0.00000000000E+000
+1.08318917522E+003, +5.90053806100E+004, +0.00000000000E+000
+1.11091890029E+003, +5.84763845477E+004, +0.00000000000E+000
+1.13864862537E+003, +5.48417168480E+004, +0.00000000000E+000
+1.16637835044E+003, +5.44460342082E+004, +0.00000000000E+000
+1.19410807551E+003, +5.20911946265E+004, +0.00000000000E+000
+1.22183780059E+003, +5.21375884677E+004, +0.00000000000E+000
+1.24956752566E+003, +5.00604322397E+004, +0.00000000000E+000
+1.27729725073E+003, +4.93701593768E+004, +0.00000000000E+000
+1.30502697581E+003, +4.97969035696E+004, +0.00000000000E+000
+1.33275670088E+003, +4.68455831036E+004, +0.00000000000E+000
+1.36504441051E+003, +4.62416692382E+004, +0.00000000000E+000
+1.40337532068E+003, +4.47425113751E+004, +0.00000000000E+000
+1.44170623084E+003, +4.33337342171E+004, +0.00000000000E+000
+1.48003714101E+003, +4.29683977046E+004, +0.00000000000E+000
+1.51836805118E+003, +4.16754783429E+004, +0.00000000000E+000
+1.55669896134E+003, +4.01128080359E+004, +0.00000000000E+000
+1.59502987151E+003, +3.93841687109E+004, +0.00000000000E+000
+1.63336078167E+003, +3.84678625071E+004, +0.00000000000E+000
+1.67169169184E+003, +3.78365604559E+004, +0.00000000000E+000
+1.71002260200E+003, +3.67009678482E+004, +0.00000000000E+000
+1.74835351217E+003, +3.56910624968E+004, +0.00000000000E+000
+1.78668442234E+003, +3.58637272555E+004, +0.00000000000E+000
+1.82501533250E+003, +3.52137376328E+004, +0.00000000000E+000
+1.86334624267E+003, +3.36391085483E+004, +0.00000000000E+000
+1.90848815221E+003, +3.34759113853E+004, +0.00000000000E+000
+1.96141000397E+003, +3.21913495383E+004, +0.00000000000E+000
+2.01433185574E+003, +3.16318537626E+004, +0.00000000000E+000
+2.06725370751E+003, +3.08556995917E+004, +0.00000000000E+000
+2.12017555927E+003, +2.96756794204E+004, +0.00000000000E+000
+2.17309741104E+003, +2.89647040407E+004, +0.00000000000E+000
+2.22601926280E+003, +2.85800325999E+004, +0.00000000000E+000
+2.27894111457E+003, +2.78190514607E+004, +0.00000000000E+000
+2.33186296634E+003, +2.71833536619E+004, +0.00000000000E+000
+2.38478481810E+003, +2.62918501781E+004, +0.00000000000E+000
+2.43770666987E+003, +2.59148430306E+004, +0.00000000000E+000
+2.49062852164E+003, +2.52633781201E+004, +0.00000000000E+000
+2.54355037340E+003, +2.51192062155E+004, +0.00000000000E+000
+2.60517108470E+003, +2.41079100957E+004, +0.00000000000E+000
+2.67832517261E+003, +2.36484294571E+004, +0.00000000000E+000
+2.75147926053E+003, +2.27098097066E+004, +0.00000000000E+000
+2.82463334844E+003, +2.24775054558E+004, +0.00000000000E+000
+2.89778743636E+003, +2.19789403274E+004, +0.00000000000E+000
+2.97094152427E+003, +2.13488482216E+004, +0.00000000000E+000
+3.04409561219E+003, +2.08336173335E+004, +0.00000000000E+000
+3.11724970010E+003, +2.03833181368E+004, +0.00000000000E+000
+3.19040378802E+003, +1.97652270772E+004, +0.00000000000E+000
+3.26355787593E+003, +1.93867916005E+004, +0.00000000000E+000
+3.33671196385E+003, +1.90726331685E+004, +0.00000000000E+000
+3.40986605176E+003, +1.86050626936E+004, +0.00000000000E+000
+3.48302013968E+003, +1.82831408565E+004, +0.00000000000E+000
+3.55617422759E+003, +1.78770954868E+004, +0.00000000000E+000
+3.64232702711E+003, +1.76086443132E+004, +0.00000000000E+000
+3.74332775420E+003, +1.70462147961E+004, +0.00000000000E+000
+3.84432848129E+003, +1.65638713621E+004, +0.00000000000E+000
+3.94532920838E+003, +1.61239724227E+004, +0.00000000000E+000
+4.04632993547E+003, +1.57526741309E+004, +0.00000000000E+000
+4.14733066256E+003, +1.53482960735E+004, +0.00000000000E+000
+4.24833138965E+003, +1.49066774812E+004, +0.00000000000E+000
+4.34933211674E+003, +1.46425654970E+004, +0.00000000000E+000
+4.45033284382E+003, +1.44274017479E+004, +0.00000000000E+000
+4.55133357091E+003, +1.40628046733E+004, +0.00000000000E+000
