Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -9.03229977658E+001, +0.00000000000E+000
+1.02772972507E+003, -8.79325444380E+001, +0.00000000000E+000
+1.05545945015E+003, -8.83792152763E+001, +0.00000000000E+000
+1.08318917522E+003, -8.93227394493E+001, +0.00000000000E+000
+1.11091890029E+003, -9.10533526071E+001, +0.00000000000E+000
+1.13864862537E+003, -8.77966622496E+001, +0.00000000000E+000
+1.16637835044E+003, -8.89918670728E+001, +0.00000000000E+000
+1.19410807551E+003, -8.82597277680E+001, +0.00000000000E+000
+1.22183780059E+003, -8.92782162068E+001, +0.00000000000E+000
+1.24956752566E+003, -9.00780281252E+001, +0.00000000000E+000
+1.27729725073E+003, -9.09959191310E+001, +0.00000000000E+000
+1.30502697581E+003, -8.97548323056E+001, +0.00000000000E+000
+1.33275670088E+003, -8.91224488961E+001, +0.00000000000E+000
+1.36504441051E+003, -8.86153613946E+001, +0.00000000000E+000
+1.40337532068E+003, -8.84429898531E+001, +0.00000000000E+000
+1.44170623084E+003, -8.89152440283E+001, +0.00000000000E+000
+1.48003714101E+003, -8.96758026462E+001, +0.00000000000E+000
+1.51836805118E+003, -8.92012553258E+001, +0.00000000000E+000
+1.55669896134E+003, -8.85467440580E+001, +0.00000000000E+000
+1.59502987151E+003, -8.84923433596E+001, +0.00000000000E+000
+1.63336078167E+003, -8.88650073553E+001, +0.00000000000E+000
+1.67169169184E+003, -8.99993599991E+001, +0.00000000000E+000
+1.71002260200E+003, -8.82303273130E+001, +0.00000000000E+000
+1.74835351217E+003, -8.92403064597E+001, +0.00000000000E+000
+1.78668442234E+003, -8.93059994529E+001, +0.00000000000E+000
+1.82501533250E+003, -8.87923543840E+001, +0.00000000000E+000
+1.86334624267E+003, -8.86204249070E+001, +0.00000000000E+000
+1.90848815221E+003, -8.95973133421E+001, +0.00000000000E+000
+1.96141000397E+003, -8.97750869105E+001, +0.00000000000E+000
+2.01433185574E+003, -8.90810778763E+001, +0.00000000000E+000
+2.06725370751E+003, -8.91052952043E+001, +0.00000000000E+000
+2.12017555927E+003, -8.91049808928E+001, +0.00000000000E+000
+2.17309741104E+003, -8.94198783562E+001, +0.00000000000E+000
+2.22601926280E+003, -8.93396970587E+001, +0.00000000000E+000
+2.27894111457E+003, -8.83853342658E+001, +0.00000000000E+000
+2.33186296634E+003, -8.95340290715E+001, +0.00000000000E+000
+2.38478481810E+003, -8.97690892118E+001, +0.00000000000E+000
+2.43770666987E+003, -8.91442015654E+001, +0.00000000000E+000
+2.49062852164E+003, -8.80790379509E+001, +0.00000000000E+000
+2.54355037340E+003, -8.85761123537E+001, +0.00000000000E+000
+2.60517108470E+003, -8.94346405448E+001, +0.00000000000E+000
+2.67832517261E+003, -8.95991645211E+001, +0.00000000000E+000
+2.75147926053E+003, -8.95227272543E+001, +0.00000000000E+000
+2.82463334844E+003, -8.84223678076E+001, +0.00000000000E+000
+2.89778743636E+003, -8.92837036256E+001, +0.00000000000E+000
+2.97094152427E+003, -8.91551755488E+001, +0.00000000000E+000
+3.04409561219E+003, -8.83588144481E+001, +0.00000000000E+000
+3.11724970010E+003, -8.92455939703E+001, +0.00000000000E+000
+3.19040378802E+003, -8.90807027368E+001, +0.00000000000E+000
+3.26355787593E+003, -8.95930335363E+001, +0.00000000000E+000
+3.33671196385E+003, -8.96597049798E+001, +0.00000000000E+000
+3.40986605176E+003, -8.91365553720E+001, +0.00000000000E+000
+3.48302013968E+003, -8.91071285259E+001, +0.00000000000E+000
+3.55617422759E+003, -8.85032349392E+001, +0.00000000000E+000
+3.64232702711E+003, -8.89216610195E+001, +0.00000000000E+000
+3.74332775420E+003, -8.89158748528E+001, +0.00000000000E+000
+3.84432848129E+003, -8.89784703964E+001, +0.00000000000E+000
+3.94532920838E+003, -8.94132783038E+001, +0.00000000000E+000
+4.04632993547E+003, -8.94426464886E+001, +0.00000000000E+000
+4.14733066256E+003, -8.89959490838E+001, +0.00000000000E+000
+4.24833138965E+003, -8.85044491318E+001, +0.00000000000E+000
+4.34933211674E+003, -8.91895906402E+001, +0.00000000000E+000
+4.45033284382E+003, -8.88534828998E+001, +0.00000000000E+000
+4.55133357091E+003, -8.91594581346E+001, +0.00000000000E+000
+4.65233429800E+003, -8.87137160969E+001, +0.00000000000E+000
