"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.88020416859E+001, +0.00000000000E+000
+1.02772972507E+003, -9.09782245823E+001, +0.00000000000E+000
+1.05545945015E+003, -8.79176135673E+001, +0.00000000000E+000
+1.08318917522E+003, -8.78099160678E+001, +0.00000000000E+000
+1.11091890029E+003, -8.98010278595E+001, +0.00000000000E+000
+1.13864862537E+003, -8.94848027383E+001, +0.00000000000E+000
+1.16637835044E+003, -8.89636008878E+001, +0.00000000000E+000
+1.19410807551E+003, -8.82144707308E+001, +0.00000000000E+000
+1.22183780059E+003, -8.97393133793E+001, +0.00000000000E+000
+1.24956752566E+003, -8.80663393188E+001, +0.00000000000E+000
+1.27729725073E+003, -8.88122251399E+001, +0.00000000000E+000
+1.30502697581E+003, -8.84267783363E+001, +0.00000000000E+000
+1.33275670088E+003, -8.76956039192E+001, +0.00000000000E+000
+1.36504441051E+003, -8.92389601524E+001, +0.00000000000E+000
+1.40337532068E+003, -8.80523894222E+001, +0.00000000000E+000
+1.44170623084E+003, -8.79216319367E+001, +0.00000000000E+000
+1.48003714101E+003, -8.92614210029E+001, +0.00000000000E+000
+1.51836805118E+003, -8.89573230956E+001, +0.00000000000E+000
+1.55669896134E+003, -8.85880560579E+001, +0.00000000000E+000
+1.59502987151E+003, -8.92463044844E+001, +0.00000000000E+000
+1.63336078167E+003, -8.94230961651E+001, +0.00000000000E+000
+1.67169169184E+003, -9.01243377350E+001, +0.00000000000E+000
+1.71002260200E+003, -8.77635974847E+001, +0.00000000000E+000
+1.74835351217E+003, -8.93313219585E+001, +0.00000000000E+000
+1.78668442234E+003, -8.83943597946E+001, +0.00000000000E+000
+1.82501533250E+003, -8.81346716018E+001, +0.00000000000E+000
+1.86334624267E+003, -8.79063349751E+001, +0.00000000000E+000
+1.90848815221E+003, -8.89871294573E+001, +0.00000000000E+000
+1.96141000397E+003, -8.92104575247E+001, +0.00000000000E+000
+2.01433185574E+003, -8.88731235759E+001, +0.00000000000E+000
+2.06725370751E+003, -8.89191072895E+001, +0.00000000000E+000
+2.12017555927E+003, -8.88385246004E+001, +0.00000000000E+000
+2.17309741104E+003, -8.94080549736E+001, +0.00000000000E+000
+2.22601926280E+003, -8.83818715875E+001, +0.00000000000E+000
+2.27894111457E+003, -8.82114333435E+001, +0.00000000000E+000
+2.33186296634E+003, -8.91593127942E+001, +0.00000000000E+000
+2.38478481810E+003, -8.90960339820E+001, +0.00000000000E+000
+2.43770666987E+003, -8.90017702126E+001, +0.00000000000E+000
+2.49062852164E+003, -8.85464337774E+001, +0.00000000000E+000
+2.54355037340E+003, -8.89783025229E+001, +0.00000000000E+000
+2.60517108470E+003, -8.88088250345E+001, +0.00000000000E+000
+2.67832517261E+003, -8.95510383762E+001, +0.00000000000E+000
+2.75147926053E+003, -8.89717228069E+001, +0.00000000000E+000
+2.82463334844E+003, -8.86431790405E+001, +0.00000000000E+000
+2.89778743636E+003, -8.92418024768E+001, +0.00000000000E+000
+2.97094152427E+003, -8.87260375914E+001, +0.00000000000E+000
+3.04409561219E+003, -8.89011639059E+001, +0.00000000000E+000
+3.11724970010E+003, -8.90461373944E+001, +0.00000000000E+000
+3.19040378802E+003, -8.90600710498E+001, +0.00000000000E+000
+3.26355787593E+003, -8.89835394125E+001, +0.00000000000E+000
+3.33671196385E+003, -8.93479936170E+001, +0.00000000000E+000
+3.40986605176E+003, -8.87418165593E+001, +0.00000000000E+000
+3.48302013968E+003, -8.85767237569E+001, +0.00000000000E+000
+3.55617422759E+003, -8.87891264978E+001, +0.00000000000E+000
+3.64232702711E+003, -8.93453748250E+001, +0.00000000000E+000
+3.74332775420E+003, -8.89500971397E+001, +0.00000000000E+000
+3.84432848129E+003, -8.90829872714E+001, +0.00000000000E+000
+3.94532920838E+003, -8.92134314957E+001, +0.00000000000E+000
+4.04632993547E+003, -8.94377756002E+001, +0.00000000000E+000
+4.14733066256E+003, -8.89582113649E+001, +0.00000000000E+000
+4.24833138965E+003, -8.89612115947E+001, +0.00000000000E+000
+4.34933211674E+003, -8.92748064608E+001, +0.00000000000E+000
+4.45033284382E+003, -8.88200034869E+001, +0.00000000000E+000
+4.55133357091E+003, -8.86654503836E+001, +0.00000000000E+000
+4.65233429800E+003, -8.90283135124E+001, +0.00000000000E+000
+4.75333502509E+003, -8.93984948175E+001, +0.00000000000E+000
+4.85433575218E+003, -8.93351128129E+001, +0.00000000000E+000
+4.97193814962E+003, -8.90579123936E+001, +0.00000000000E+000
+5.10980862759E+003, -8.90903236504E+001, +0.00000000000E+000
+5.24767910556E+003, -8.89803291378E+001, +0.00000000000E+000
+5.38554958353E+003, -8.90247160434E+001, +0.00000000000E+000
+5.52342006150E+003, -8.88369748457E+001, +0.00000000000E+000
+5.66129053947E+003, -8.92377020769E+001, +0.00000000000E+000
+5.79916101744E+003, -8.88533336427E+001, +0.00000000000E+000
+5.93703149541E+003, -8.90520780053E+001, +0.00000000000E+000
+6.07490197338E+003, -8.88974737641E+001, +0.00000000000E+000
+6.21277245135E+003, -8.92387257341E+001, +0.00000000000E+000
+6.35064292932E+003, -8.88938762466E+001, +0.00000000000E+000
+6.48851340729E+003, -8.91176898720E+001, +0.00000000000E+000
+6.62638388526E+003, -8.90820893892E+001, +0.00000000000E+000
+6.78691638054E+003, -8.88133873994E+001, +0.00000000000E+000
+6.97749529511E+003, -8.90048277955E+001, +0.00000000000E+000
+7.16807420967E+003, -8.90962875921E+001, +0.00000000000E+000
+7.35865312423E+003, -8.88449561411E+001, +0.00000000000E+000
+7.54923203880E+003, -8.92496239283E+001, +0.00000000000E+000
+7.73981095336E+003, -8.89821645882E+001, +0.00000000000E+000
+7.93038986792E+003, -8.92142699828E+001, +0.00000000000E+000
+8.12096878249E+003, -8.92140674378E+001, +0.00000000000E+000
+8.31154769705E+003, -8.90595643548E+001, +0.00000000000E+000
+8.50212661161E+003, -8.91801765202E+001, +0.00000000000E+000
+8.69270552618E+003, -8.89352856277E+001, +0.00000000000E+000
+8.88328444074E+003, -8.90872982940E+001, +0.00000000000E+000
+9.07386335531E+003, -8.87810403480E+001, +0.00000000000E+000
+9.26444226987E+003, -8.90176121572E+001, +0.00000000000E+000
+9.48888505205E+003, -8.89655712085E+001, +0.00000000000E+000
