"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.74510732601E+004, +0.00000000000E+000
+1.02772972507E+003, +6.31486172974E+004, +0.00000000000E+000
+1.05545945015E+003, +6.23225259810E+004, +0.00000000000E+000
+1.08318917522E+003, +6.16784428922E+004, +0.00000000000E+000
+1.11091890029E+003, +6.09642905924E+004, +0.00000000000E+000
+1.13864862537E+003, +5.86276629542E+004, +0.00000000000E+000
+1.16637835044E+003, +5.76400246115E+004, +0.00000000000E+000
+1.19410807551E+003, +5.51477373762E+004, +0.00000000000E+000
+1.22183780059E+003, +5.34412745377E+004, +0.00000000000E+000
+1.24956752566E+003, +5.37625993417E+004, +0.00000000000E+000
+1.27729725073E+003, +5.29211051495E+004, +0.00000000000E+000
+1.30502697581E+003, +5.20199238571E+004, +0.00000000000E+000
+1.33275670088E+003, +5.06101471254E+004, +0.00000000000E+000
+1.36504441051E+003, +4.99084797590E+004, +0.00000000000E+000
+1.40337532068E+003, +4.77370902013E+004, +0.00000000000E+000
+1.44170623084E+003, +4.55221793066E+004, +0.00000000000E+000
+1.48003714101E+003, +4.61874922403E+004, +0.00000000000E+000
+1.51836805118E+003, +4.33192656082E+004, +0.00000000000E+000
+1.55669896134E+003, +4.31838915748E+004, +0.00000000000E+000
+1.59502987151E+003, +4.15107801344E+004, +0.00000000000E+000
+1.63336078167E+003, +4.09011739773E+004, +0.00000000000E+000
+1.67169169184E+003, +4.09739986574E+004, +0.00000000000E+000
+1.71002260200E+003, +3.91708240114E+004, +0.00000000000E+000
+1.74835351217E+003, +3.81233743841E+004, +0.00000000000E+000
+1.78668442234E+003, +3.74063198232E+004, +0.00000000000E+000
+1.82501533250E+003, +3.71589058538E+004, +0.00000000000E+000
+1.86334624267E+003, +3.55910507149E+004, +0.00000000000E+000
+1.90848815221E+003, +3.53927788871E+004, +0.00000000000E+000
+1.96141000397E+003, +3.40690882316E+004, +0.00000000000E+000
+2.01433185574E+003, +3.37906102020E+004, +0.00000000000E+000
+2.06725370751E+003, +3.26744458891E+004, +0.00000000000E+000
+2.12017555927E+003, +3.17628040696E+004, +0.00000000000E+000
+2.17309741104E+003, +3.08347835777E+004, +0.00000000000E+000
+2.22601926280E+003, +3.02319790061E+004, +0.00000000000E+000
+2.27894111457E+003, +2.95596016638E+004, +0.00000000000E+000
+2.33186296634E+003, +2.84564189285E+004, +0.00000000000E+000
+2.38478481810E+003, +2.79254305401E+004, +0.00000000000E+000
+2.43770666987E+003, +2.75418792759E+004, +0.00000000000E+000
+2.49062852164E+003, +2.66428499476E+004, +0.00000000000E+000
+2.54355037340E+003, +2.63768507668E+004, +0.00000000000E+000
+2.60517108470E+003, +2.55224969129E+004, +0.00000000000E+000
+2.67832517261E+003, +2.51772116234E+004, +0.00000000000E+000
+2.75147926053E+003, +2.39192856810E+004, +0.00000000000E+000
+2.82463334844E+003, +2.36267097344E+004, +0.00000000000E+000
+2.89778743636E+003, +2.31903225803E+004, +0.00000000000E+000
+2.97094152427E+003, +2.24133778664E+004, +0.00000000000E+000
+3.04409561219E+003, +2.20323715715E+004, +0.00000000000E+000
+3.11724970010E+003, +2.15520640828E+004, +0.00000000000E+000
+3.19040378802E+003, +2.10166330652E+004, +0.00000000000E+000
+3.26355787593E+003, +2.05661079703E+004, +0.00000000000E+000
+3.33671196385E+003, +2.02038116096E+004, +0.00000000000E+000
+3.40986605176E+003, +1.96345039846E+004, +0.00000000000E+000
+3.48302013968E+003, +1.92677138922E+004, +0.00000000000E+000
+3.55617422759E+003, +1.90232741351E+004, +0.00000000000E+000
+3.64232702711E+003, +1.86025577184E+004, +0.00000000000E+000
+3.74332775420E+003, +1.79770735119E+004, +0.00000000000E+000
+3.84432848129E+003, +1.74826853857E+004, +0.00000000000E+000
+3.94532920838E+003, +1.71323439579E+004, +0.00000000000E+000
+4.04632993547E+003, +1.67478248760E+004, +0.00000000000E+000
+4.14733066256E+003, +1.60854779741E+004, +0.00000000000E+000
+4.24833138965E+003, +1.59186066705E+004, +0.00000000000E+000
+4.34933211674E+003, +1.55065473299E+004, +0.00000000000E+000
+4.45033284382E+003, +1.51174887768E+004, +0.00000000000E+000
+4.55133357091E+003, +1.48628178969E+004, +0.00000000000E+000
+4.65233429800E+003, +1.45414687954E+004, +0.00000000000E+000
+4.75333502509E+003, +1.42626602470E+004, +0.00000000000E+000
+4.85433575218E+003, +1.39454817764E+004, +0.00000000000E+000
+4.97193814962E+003, +1.36311684863E+004, +0.00000000000E+000
+5.10980862759E+003, +1.32294314108E+004, +0.00000000000E+000
+5.24767910556E+003, +1.28413205563E+004, +0.00000000000E+000
+5.38554958353E+003, +1.25227610165E+004, +0.00000000000E+000
+5.52342006150E+003, +1.22086363800E+004, +0.00000000000E+000
+5.66129053947E+003, +1.18954827458E+004, +0.00000000000E+000
+5.79916101744E+003, +1.16514447719E+004, +0.00000000000E+000
+5.93703149541E+003, +1.13981825560E+004, +0.00000000000E+000
+6.07490197338E+003, +1.11700850212E+004, +0.00000000000E+000
+6.21277245135E+003, +1.08741059666E+004, +0.00000000000E+000
+6.35064292932E+003, +1.06531580990E+004, +0.00000000000E+000
