Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.16536658032E+004, +0.00000000000E+000
+1.02772972507E+003, +6.74516384418E+004, +0.00000000000E+000
+1.05545945015E+003, +6.51477316672E+004, +0.00000000000E+000
+1.08318917522E+003, +6.77168345317E+004, +0.00000000000E+000
+1.11091890029E+003, +6.59375929719E+004, +0.00000000000E+000
+1.13864862537E+003, +6.25469069258E+004, +0.00000000000E+000
+1.16637835044E+003, +6.14432464702E+004, +0.00000000000E+000
+1.19410807551E+003, +5.94671102900E+004, +0.00000000000E+000
+1.22183780059E+003, +5.90891805627E+004, +0.00000000000E+000
+1.24956752566E+003, +5.60591718894E+004, +0.00000000000E+000
+1.27729725073E+003, +5.60721664559E+004, +0.00000000000E+000
+1.30502697581E+003, +5.56707095021E+004, +0.00000000000E+000
+1.33275670088E+003, +5.37715323664E+004, +0.00000000000E+000
+1.36504441051E+003, +5.27063749437E+004, +0.00000000000E+000
+1.40337532068E+003, +5.04357072946E+004, +0.00000000000E+000
+1.44170623084E+003, +4.86826303294E+004, +0.00000000000E+000
+1.48003714101E+003, +4.91757087459E+004, +0.00000000000E+000
+1.51836805118E+003, +4.74782829425E+004, +0.00000000000E+000
+1.55669896134E+003, +4.54602745654E+004, +0.00000000000E+000
+1.59502987151E+003, +4.39838535670E+004, +0.00000000000E+000
+1.63336078167E+003, +4.43898341364E+004, +0.00000000000E+000
+1.67169169184E+003, +4.25554719432E+004, +0.00000000000E+000
+1.71002260200E+003, +4.13714405488E+004, +0.00000000000E+000
+1.74835351217E+003, +4.14901098293E+004, +0.00000000000E+000
+1.78668442234E+003, +4.05114188678E+004, +0.00000000000E+000
+1.82501533250E+003, +3.93023547633E+004, +0.00000000000E+000
+1.86334624267E+003, +3.90466959448E+004, +0.00000000000E+000
+1.90848815221E+003, +3.74636257302E+004, +0.00000000000E+000
+1.96141000397E+003, +3.65820950167E+004, +0.00000000000E+000
+2.01433185574E+003, +3.56989157004E+004, +0.00000000000E+000
+2.06725370751E+003, +3.49470331247E+004, +0.00000000000E+000
+2.12017555927E+003, +3.39143263591E+004, +0.00000000000E+000
+2.17309741104E+003, +3.27016341148E+004, +0.00000000000E+000
+2.22601926280E+003, +3.20493533695E+004, +0.00000000000E+000
+2.27894111457E+003, +3.12451341510E+004, +0.00000000000E+000
+2.33186296634E+003, +3.04886987918E+004, +0.00000000000E+000
+2.38478481810E+003, +2.98197829112E+004, +0.00000000000E+000
+2.43770666987E+003, +2.92566546778E+004, +0.00000000000E+000
+2.49062852164E+003, +2.81842555185E+004, +0.00000000000E+000
+2.54355037340E+003, +2.77200344160E+004, +0.00000000000E+000
+2.60517108470E+003, +2.73597034348E+004, +0.00000000000E+000
+2.67832517261E+003, +2.67991498992E+004, +0.00000000000E+000
+2.75147926053E+003, +2.55157597502E+004, +0.00000000000E+000
+2.82463334844E+003, +2.51896358806E+004, +0.00000000000E+000
+2.89778743636E+003, +2.46377227615E+004, +0.00000000000E+000
+2.97094152427E+003, +2.39698457124E+004, +0.00000000000E+000
+3.04409561219E+003, +2.36955764439E+004, +0.00000000000E+000
+3.11724970010E+003, +2.27829891852E+004, +0.00000000000E+000
+3.19040378802E+003, +2.24016609973E+004, +0.00000000000E+000
+3.26355787593E+003, +2.20639540118E+004, +0.00000000000E+000
+3.33671196385E+003, +2.14573585574E+004, +0.00000000000E+000
+3.40986605176E+003, +2.09489448754E+004, +0.00000000000E+000
+3.48302013968E+003, +2.06370741961E+004, +0.00000000000E+000
+3.55617422759E+003, +2.00956103635E+004, +0.00000000000E+000
+3.64232702711E+003, +1.96936091147E+004, +0.00000000000E+000
+3.74332775420E+003, +1.92129906380E+004, +0.00000000000E+000
+3.84432848129E+003, +1.85818364911E+004, +0.00000000000E+000
+3.94532920838E+003, +1.83212917979E+004, +0.00000000000E+000
+4.04632993547E+003, +1.77848836110E+004, +0.00000000000E+000
+4.14733066256E+003, +1.73245362358E+004, +0.00000000000E+000
+4.24833138965E+003, +1.67827675215E+004, +0.00000000000E+000
+4.34933211674E+003, +1.64826408365E+004, +0.00000000000E+000
+4.45033284382E+003, +1.61680078696E+004, +0.00000000000E+000
+4.55133357091E+003, +1.57581516215E+004, +0.00000000000E+000
+4.65233429800E+003, +1.54113311579E+004, +0.00000000000E+000
+4.75333502509E+003, +1.51886880539E+004, +0.00000000000E+000
+4.85433575218E+003, +1.48018492319E+004, +0.00000000000E+000
+4.97193814962E+003, +1.44159827239E+004, +0.00000000000E+000
+5.10980862759E+003, +1.40496116165E+004, +0.00000000000E+000
+5.24767910556E+003, +1.37866247091E+004, +0.00000000000E+000
+5.38554958353E+003, +1.33253234594E+004, +0.00000000000E+000
+5.52342006150E+003, +1.29762866610E+004, +0.00000000000E+000
+5.66129053947E+003, +1.26648444082E+004, +0.00000000000E+000
+5.79916101744E+003, +1.23703008619E+004, +0.00000000000E+000
+5.93703149541E+003, +1.21945086009E+004, +0.00000000000E+000
+6.07490197338E+003, +1.18491360689E+004, +0.00000000000E+000
+6.21277245135E+003, +1.16251381726E+004, +0.00000000000E+000
+6.35064292932E+003, +1.13807148541E+004, +0.00000000000E+000
+6.48851340729E+003, +1.11479689841E+004, +0.00000000000E+000
+6.62638388526E+003, +1.09256771339E+004, +0.00000000000E+000
+6.78691638054E+003, +1.06009841863E+004, +0.00000000000E+000
+6.97749529511E+003, +1.03436429289E+004, +0.00000000000E+000
+7.16807420967E+003, +1.00435693167E+004, +0.00000000000E+000
+7.35865312423E+003, +9.83892318407E+003, +0.00000000000E+000
+7.54923203880E+003, +9.51313947381E+003, +0.00000000000E+000
+7.73981095336E+003, +9.29483131089E+003, +0.00000000000E+000
+7.93038986792E+003, +9.10005661605E+003, +0.00000000000E+000
+8.12096878249E+003, +8.88062187314E+003, +0.00000000000E+000
+8.31154769705E+003, +8.66301833510E+003, +0.00000000000E+000
+8.50212661161E+003, +8.44863691493E+003, +0.00000000000E+000
+8.69270552618E+003, +8.28712310886E+003, +0.00000000000E+000
+8.88328444074E+003, +8.09964211523E+003, +0.00000000000E+000
+9.07386335531E+003, +7.90894795296E+003, +0.00000000000E+000
+9.26444226987E+003, +7.77577198101E+003, +0.00000000000E+000
+9.48888505205E+003, +7.57814225612E+003, +0.00000000000E+000
+9.75200922580E+003, +7.38158749633E+003, +0.00000000000E+000
+1.00151333995E+004, +7.17648840238E+003, +0.00000000000E+000
+1.02782575733E+004, +7.01684508952E+003, +0.00000000000E+000
+1.05413817470E+004, +6.83753677214E+003, +0.00000000000E+000
+1.08045059208E+004, +6.66895914299E+003, +0.00000000000E+000
+1.10676300945E+004, +6.49034231155E+003, +0.00000000000E+000
+1.13307542683E+004, +6.35091606566E+003, +0.00000000000E+000
+1.15938784420E+004, +6.21842817364E+003, +0.00000000000E+000
+1.18570026158E+004, +6.05266412383E+003, +0.00000000000E+000
+1.21201267895E+004, +5.90944166000E+003, +0.00000000000E+000
+1.23832509632E+004, +5.79514496792E+003, +0.00000000000E+000
+1.26463751370E+004, +5.68531694417E+003, +0.00000000000E+000
+1.29527495023E+004, +5.54885206036E+003, +0.00000000000E+000
+1.33164671028E+004, +5.38344437577E+003, +0.00000000000E+000
+1.36801847033E+004, +5.23797413542E+003, +0.00000000000E+000
+1.40439023038E+004, +5.09878795398E+003, +0.00000000000E+000
+1.44076199043E+004, +4.96321190032E+003, +0.00000000000E+000
+1.47713375048E+004, +4.84302172054E+003, +0.00000000000E+000
+1.51350551053E+004, +4.72424033859E+003, +0.00000000000E+000
+1.54987727058E+004, +4.60598716041E+003, +0.00000000000E+000
+1.58624903063E+004, +4.50119172050E+003, +0.00000000000E+000
+1.62262079068E+004, +4.39012251372E+003, +0.00000000000E+000
+1.65899255073E+004, +4.28792717060E+003, +0.00000000000E+000
+1.69536431078E+004, +4.19668238091E+003, +0.00000000000E+000
+1.73173607083E+004, +4.09992365308E+003, +0.00000000000E+000
+1.76810783088E+004, +4.00969674071E+003, +0.00000000000E+000
+1.81094246995E+004, +3.91254271736E+003, +0.00000000000E+000
+1.86115940676E+004, +3.79983489530E+003, +0.00000000000E+000
+1.91137634358E+004, +3.69396020506E+003, +0.00000000000E+000
+1.96159328039E+004, +3.59068534772E+003, +0.00000000000E+000
+2.01181021721E+004, +3.48942033358E+003, +0.00000000000E+000
+2.06202715402E+004, +3.39708119202E+003, +0.00000000000E+000
+2.11224409084E+004, +3.31840549990E+003, +0.00000000000E+000
+2.16246102766E+004, +3.22784402879E+003, +0.00000000000E+000
