Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +8.95835705977E+001, +0.00000000000E+000
+2.51250000000E+004, +8.95828551910E+001, +0.00000000000E+000
+2.52500000000E+004, +8.95838884354E+001, +0.00000000000E+000
+2.53750000000E+004, +8.95834409759E+001, +0.00000000000E+000
+2.55000000000E+004, +8.95819652088E+001, +0.00000000000E+000
+2.56250000000E+004, +8.95855000871E+001, +0.00000000000E+000
+2.57500000000E+004, +8.95824561044E+001, +0.00000000000E+000
+2.58750000000E+004, +8.95870494756E+001, +0.00000000000E+000
+2.60000000000E+004, +8.95865003871E+001, +0.00000000000E+000
+2.61250000000E+004, +8.95879206562E+001, +0.00000000000E+000
+2.62500000000E+004, +8.95865273937E+001, +0.00000000000E+000
+2.63750000000E+004, +8.95835246887E+001, +0.00000000000E+000
+2.65000000000E+004, +8.95854926598E+001, +0.00000000000E+000
+2.66250000000E+004, +8.95888048733E+001, +0.00000000000E+000
+2.67500000000E+004, +8.95865997690E+001, +0.00000000000E+000
+2.68750000000E+004, +8.95872667880E+001, +0.00000000000E+000
+2.70000000000E+004, +8.95905610721E+001, +0.00000000000E+000
+2.71250000000E+004, +8.95861499630E+001, +0.00000000000E+000
+2.72500000000E+004, +8.95884566783E+001, +0.00000000000E+000
+2.73750000000E+004, +8.95899159044E+001, +0.00000000000E+000
+2.75000000000E+004, +8.95869807238E+001, +0.00000000000E+000
+2.76250000000E+004, +8.95859425161E+001, +0.00000000000E+000
+2.77500000000E+004, +8.95894361830E+001, +0.00000000000E+000
+2.78750000000E+004, +8.95900411718E+001, +0.00000000000E+000
+2.80000000000E+004, +8.95870187871E+001, +0.00000000000E+000
+2.81250000000E+004, +8.95872762798E+001, +0.00000000000E+000
+2.82500000000E+004, +8.95871343963E+001, +0.00000000000E+000
+2.83750000000E+004, +8.95870466516E+001, +0.00000000000E+000
+2.85000000000E+004, +8.95851103504E+001, +0.00000000000E+000
+2.86250000000E+004, +8.95897430280E+001, +0.00000000000E+000
+2.87500000000E+004, +8.95868551318E+001, +0.00000000000E+000
+2.88750000000E+004, +8.95862698268E+001, +0.00000000000E+000
+2.90000000000E+004, +8.95896022882E+001, +0.00000000000E+000
+2.91250000000E+004, +8.95861798611E+001, +0.00000000000E+000
+2.92500000000E+004, +8.95852547383E+001, +0.00000000000E+000
+2.93750000000E+004, +8.95881930356E+001, +0.00000000000E+000
+2.95000000000E+004, +8.95856518960E+001, +0.00000000000E+000
+2.96250000000E+004, +8.95891959060E+001, +0.00000000000E+000
+2.97500000000E+004, +8.95849990376E+001, +0.00000000000E+000
+2.98750000000E+004, +8.95881200194E+001, +0.00000000000E+000
+3.00000000000E+004, +8.95849121034E+001, +0.00000000000E+000
+3.01250000000E+004, +8.95869150815E+001, +0.00000000000E+000
+3.02500000000E+004, +8.95905326024E+001, +0.00000000000E+000
+3.03750000000E+004, +8.95913105596E+001, +0.00000000000E+000
+3.05000000000E+004, +8.95926884124E+001, +0.00000000000E+000
+3.06250000000E+004, +8.95954772943E+001, +0.00000000000E+000
+3.07500000000E+004, +8.95977888903E+001, +0.00000000000E+000
+3.08750000000E+004, +8.96017642934E+001, +0.00000000000E+000
+3.10000000000E+004, +8.96030588342E+001, +0.00000000000E+000
+3.11250000000E+004, +8.96033334691E+001, +0.00000000000E+000
+3.12500000000E+004, +8.96079456896E+001, +0.00000000000E+000
+3.13750000000E+004, +8.96050362385E+001, +0.00000000000E+000
+3.15000000000E+004, +8.96053439078E+001, +0.00000000000E+000
+3.16250000000E+004, +8.96094529855E+001, +0.00000000000E+000
+3.17500000000E+004, +8.96100763175E+001, +0.00000000000E+000
+3.18750000000E+004, +8.96145862623E+001, +0.00000000000E+000
+3.20000000000E+004, +8.96113832835E+001, +0.00000000000E+000
+3.21250000000E+004, +8.96156526766E+001, +0.00000000000E+000
+3.22500000000E+004, +8.96165927034E+001, +0.00000000000E+000
+3.23750000000E+004, +8.96218270896E+001, +0.00000000000E+000
+3.25000000000E+004, +8.96224167945E+001, +0.00000000000E+000
+3.26250000000E+004, +8.96234662646E+001, +0.00000000000E+000
+3.27500000000E+004, +8.96240113499E+001, +0.00000000000E+000
+3.28750000000E+004, +8.96271795578E+001, +0.00000000000E+000
+3.30000000000E+004, +8.96233549065E+001, +0.00000000000E+000
+3.31250000000E+004, +8.96263336173E+001, +0.00000000000E+000
+3.32500000000E+004, +8.96321609176E+001, +0.00000000000E+000
+3.33750000000E+004, +8.96273943471E+001, +0.00000000000E+000
+3.35000000000E+004, +8.96301143597E+001, +0.00000000000E+000
+3.36250000000E+004, +8.96325105900E+001, +0.00000000000E+000
+3.37500000000E+004, +8.96331565949E+001, +0.00000000000E+000
+3.38750000000E+004, +8.96375766126E+001, +0.00000000000E+000
+3.40000000000E+004, +8.96352100614E+001, +0.00000000000E+000
+3.41250000000E+004, +8.96369886310E+001, +0.00000000000E+000
+3.42500000000E+004, +8.96420154981E+001, +0.00000000000E+000
+3.43750000000E+004, +8.96405860035E+001, +0.00000000000E+000
+3.45000000000E+004, +8.96423699524E+001, +0.00000000000E+000
+3.46250000000E+004, +8.96384640808E+001, +0.00000000000E+000
+3.47500000000E+004, +8.96423662247E+001, +0.00000000000E+000
+3.48750000000E+004, +8.96392512345E+001, +0.00000000000E+000
+3.50000000000E+004, +8.96427319293E+001, +0.00000000000E+000
+3.51250000000E+004, +8.96426895296E+001, +0.00000000000E+000
+3.52500000000E+004, +8.96463605722E+001, +0.00000000000E+000
+3.53750000000E+004, +8.96482946013E+001, +0.00000000000E+000
+3.55000000000E+004, +8.96485841414E+001, +0.00000000000E+000
+3.56250000000E+004, +8.96504344557E+001, +0.00000000000E+000
+3.57500000000E+004, +8.96507449058E+001, +0.00000000000E+000
+3.58750000000E+004, +8.96498120536E+001, +0.00000000000E+000
+3.60000000000E+004, +8.96525755431E+001, +0.00000000000E+000
+3.61250000000E+004, +8.96510779667E+001, +0.00000000000E+000
+3.62500000000E+004, +8.96525685059E+001, +0.00000000000E+000
+3.63750000000E+004, +8.96525008544E+001, +0.00000000000E+000
+3.65000000000E+004, +8.96537588759E+001, +0.00000000000E+000
+3.66250000000E+004, +8.96580672856E+001, +0.00000000000E+000
+3.67500000000E+004, +8.96574100796E+001, +0.00000000000E+000
+3.68750000000E+004, +8.96570860080E+001, +0.00000000000E+000
+3.70000000000E+004, +8.96599618619E+001, +0.00000000000E+000
+3.71250000000E+004, +8.96578137819E+001, +0.00000000000E+000
+3.72500000000E+004, +8.96563214210E+001, +0.00000000000E+000
+3.73750000000E+004, +8.96600539157E+001, +0.00000000000E+000
+3.75000000000E+004, +8.96605245309E+001, +0.00000000000E+000
+3.76250000000E+004, +8.96606644528E+001, +0.00000000000E+000
+3.77500000000E+004, +8.96609226592E+001, +0.00000000000E+000
+3.78750000000E+004, +8.96619802768E+001, +0.00000000000E+000
+3.80000000000E+004, +8.96614286724E+001, +0.00000000000E+000
+3.81250000000E+004, +8.96611145497E+001, +0.00000000000E+000
+3.82500000000E+004, +8.96597190128E+001, +0.00000000000E+000
+3.83750000000E+004, +8.96641476330E+001, +0.00000000000E+000
+3.85000000000E+004, +8.96636325740E+001, +0.00000000000E+000
+3.86250000000E+004, +8.96641283934E+001, +0.00000000000E+000
+3.87500000000E+004, +8.96655089108E+001, +0.00000000000E+000
+3.88750000000E+004, +8.96662784137E+001, +0.00000000000E+000
+3.90000000000E+004, +8.96681051099E+001, +0.00000000000E+000
+3.91250000000E+004, +8.96661278161E+001, +0.00000000000E+000
+3.92500000000E+004, +8.96652105946E+001, +0.00000000000E+000
+3.93750000000E+004, +8.96684472936E+001, +0.00000000000E+000
+3.95000000000E+004, +8.96685439596E+001, +0.00000000000E+000
+3.96250000000E+004, +8.96678592383E+001, +0.00000000000E+000
+3.97500000000E+004, +8.96692184719E+001, +0.00000000000E+000
+3.98750000000E+004, +8.96642169615E+001, +0.00000000000E+000
+4.00000000000E+004, +8.96694594455E+001, +0.00000000000E+000
+4.01250000000E+004, +8.96699405511E+001, +0.00000000000E+000
+4.02500000000E+004, +8.96681550765E+001, +0.00000000000E+000
+4.03750000000E+004, +8.96720822961E+001, +0.00000000000E+000
+4.05000000000E+004, +8.96714226035E+001, +0.00000000000E+000
+4.06250000000E+004, +8.96698939750E+001, +0.00000000000E+000
+4.07500000000E+004, +8.96722063923E+001, +0.00000000000E+000
+4.08750000000E+004, +8.96693810371E+001, +0.00000000000E+000
+4.10000000000E+004, +8.96722221275E+001, +0.00000000000E+000
+4.11250000000E+004, +8.96708665301E+001, +0.00000000000E+000
+4.12500000000E+004, +8.96695652299E+001, +0.00000000000E+000
+4.13750000000E+004, +8.96727232608E+001, +0.00000000000E+000
+4.15000000000E+004, +8.96708914899E+001, +0.00000000000E+000
+4.16250000000E+004, +8.96711393915E+001, +0.00000000000E+000
+4.17500000000E+004, +8.96684886131E+001, +0.00000000000E+000
+4.18750000000E+004, +8.96722727712E+001, +0.00000000000E+000
+4.20000000000E+004, +8.96724026102E+001, +0.00000000000E+000
+4.21250000000E+004, +8.96717891959E+001, +0.00000000000E+000
+4.22500000000E+004, +8.96699376148E+001, +0.00000000000E+000
+4.23750000000E+004, +8.96725488548E+001, +0.00000000000E+000
+4.25000000000E+004, +8.96734784349E+001, +0.00000000000E+000
+4.26250000000E+004, +8.96729105251E+001, +0.00000000000E+000
+4.27500000000E+004, +8.96736240493E+001, +0.00000000000E+000
+4.28750000000E+004, +8.96708141889E+001, +0.00000000000E+000
+4.30000000000E+004, +8.96709189097E+001, +0.00000000000E+000
+4.31250000000E+004, +8.96736363720E+001, +0.00000000000E+000
+4.32500000000E+004, +8.96724283599E+001, +0.00000000000E+000
+4.33750000000E+004, +8.96723370060E+001, +0.00000000000E+000
+4.35000000000E+004, +8.96695720180E+001, +0.00000000000E+000
+4.36250000000E+004, +8.96742907957E+001, +0.00000000000E+000
+4.37500000000E+004, +8.96730011348E+001, +0.00000000000E+000
+4.38750000000E+004, +8.96725433115E+001, +0.00000000000E+000
+4.40000000000E+004, +8.96702449428E+001, +0.00000000000E+000
+4.41250000000E+004, +8.96714946205E+001, +0.00000000000E+000
+4.42500000000E+004, +8.96717667097E+001, +0.00000000000E+000
+4.43750000000E+004, +8.96731182925E+001, +0.00000000000E+000
+4.45000000000E+004, +8.96715761616E+001, +0.00000000000E+000
+4.46250000000E+004, +8.96717186400E+001, +0.00000000000E+000
+4.47500000000E+004, +8.96722819862E+001, +0.00000000000E+000
+4.48750000000E+004, +8.96726999176E+001, +0.00000000000E+000
+4.50000000000E+004, +8.96693247516E+001, +0.00000000000E+000
+4.51250000000E+004, +8.96727483485E+001, +0.00000000000E+000
+4.52500000000E+004, +8.96700057466E+001, +0.00000000000E+000
+4.53750000000E+004, +8.96705698821E+001, +0.00000000000E+000
+4.55000000000E+004, +8.96706874715E+001, +0.00000000000E+000
+4.56250000000E+004, +8.96679721279E+001, +0.00000000000E+000
+4.57500000000E+004, +8.96711869777E+001, +0.00000000000E+000
+4.58750000000E+004, +8.96675463213E+001, +0.00000000000E+000
+4.60000000000E+004, +8.96690753270E+001, +0.00000000000E+000
+4.61250000000E+004, +8.96724896560E+001, +0.00000000000E+000
+4.62500000000E+004, +8.96701890410E+001, +0.00000000000E+000
+4.63750000000E+004, +8.96677723046E+001, +0.00000000000E+000
+4.65000000000E+004, +8.96695978978E+001, +0.00000000000E+000
+4.66250000000E+004, +8.96703502885E+001, +0.00000000000E+000
+4.67500000000E+004, +8.96681008560E+001, +0.00000000000E+000
+4.68750000000E+004, +8.96691792814E+001, +0.00000000000E+000
+4.70000000000E+004, +8.96693442086E+001, +0.00000000000E+000
+4.71250000000E+004, +8.96693312836E+001, +0.00000000000E+000
+4.72500000000E+004, +8.96685019652E+001, +0.00000000000E+000
+4.73750000000E+004, +8.96653781319E+001, +0.00000000000E+000
+4.75000000000E+004, +8.96665426894E+001, +0.00000000000E+000
+4.76250000000E+004, +8.96656747472E+001, +0.00000000000E+000
+4.77500000000E+004, +8.96649133429E+001, +0.00000000000E+000
+4.78750000000E+004, +8.96671771148E+001, +0.00000000000E+000
+4.80000000000E+004, +8.96678894263E+001, +0.00000000000E+000
+4.81250000000E+004, +8.96653519394E+001, +0.00000000000E+000
+4.82500000000E+004, +8.96644695166E+001, +0.00000000000E+000
+4.83750000000E+004, +8.96661676160E+001, +0.00000000000E+000
+4.85000000000E+004, +8.96619722155E+001, +0.00000000000E+000
+4.86250000000E+004, +8.96641503274E+001, +0.00000000000E+000
+4.87500000000E+004, +8.96615771990E+001, +0.00000000000E+000
+4.88750000000E+004, +8.96642150942E+001, +0.00000000000E+000
+4.90000000000E+004, +8.96646645253E+001, +0.00000000000E+000
+4.91250000000E+004, +8.96648953763E+001, +0.00000000000E+000
+4.92500000000E+004, +8.96632994270E+001, +0.00000000000E+000
+4.93750000000E+004, +8.96633005267E+001, +0.00000000000E+000
+4.95000000000E+004, +8.96623188379E+001, +0.00000000000E+000
+4.96250000000E+004, +8.96626270443E+001, +0.00000000000E+000
+4.97500000000E+004, +8.96637662673E+001, +0.00000000000E+000
+4.98750000000E+004, +8.96619936276E+001, +0.00000000000E+000
+5.00000000000E+004, +8.96608904672E+001, +0.00000000000E+000
