Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +4.77182021149E+001, +0.00000000000E+000
+2.51250000000E+004, +4.79747912701E+001, +0.00000000000E+000
+2.52500000000E+004, +4.82206964260E+001, +0.00000000000E+000
+2.53750000000E+004, +4.84644434955E+001, +0.00000000000E+000
+2.55000000000E+004, +4.87100930990E+001, +0.00000000000E+000
+2.56250000000E+004, +4.89536563510E+001, +0.00000000000E+000
+2.57500000000E+004, +4.91937485939E+001, +0.00000000000E+000
+2.58750000000E+004, +4.94328433589E+001, +0.00000000000E+000
+2.60000000000E+004, +4.96739190459E+001, +0.00000000000E+000
+2.61250000000E+004, +4.99136543582E+001, +0.00000000000E+000
+2.62500000000E+004, +5.01527202602E+001, +0.00000000000E+000
+2.63750000000E+004, +5.03921417988E+001, +0.00000000000E+000
+2.65000000000E+004, +5.06334372647E+001, +0.00000000000E+000
+2.66250000000E+004, +5.08760771255E+001, +0.00000000000E+000
+2.67500000000E+004, +5.11159341690E+001, +0.00000000000E+000
+2.68750000000E+004, +5.13511530872E+001, +0.00000000000E+000
+2.70000000000E+004, +5.15964180009E+001, +0.00000000000E+000
+2.71250000000E+004, +5.18308991926E+001, +0.00000000000E+000
+2.72500000000E+004, +5.20764086504E+001, +0.00000000000E+000
+2.73750000000E+004, +5.23127663529E+001, +0.00000000000E+000
+2.75000000000E+004, +5.25544622924E+001, +0.00000000000E+000
+2.76250000000E+004, +5.27933084930E+001, +0.00000000000E+000
+2.77500000000E+004, +5.30315178854E+001, +0.00000000000E+000
+2.78750000000E+004, +5.32713314557E+001, +0.00000000000E+000
+2.80000000000E+004, +5.35114481311E+001, +0.00000000000E+000
+2.81250000000E+004, +5.37512022745E+001, +0.00000000000E+000
+2.82500000000E+004, +5.39911090310E+001, +0.00000000000E+000
+2.83750000000E+004, +5.42307344910E+001, +0.00000000000E+000
+2.85000000000E+004, +5.44693492162E+001, +0.00000000000E+000
+2.86250000000E+004, +5.47083049751E+001, +0.00000000000E+000
+2.87500000000E+004, +5.49476257898E+001, +0.00000000000E+000
+2.88750000000E+004, +5.51881177224E+001, +0.00000000000E+000
+2.90000000000E+004, +5.54258371148E+001, +0.00000000000E+000
+2.91250000000E+004, +5.56689414892E+001, +0.00000000000E+000
+2.92500000000E+004, +5.59057893953E+001, +0.00000000000E+000
+2.93750000000E+004, +5.61432046985E+001, +0.00000000000E+000
+2.95000000000E+004, +5.63834791865E+001, +0.00000000000E+000
+2.96250000000E+004, +5.66241057506E+001, +0.00000000000E+000
+2.97500000000E+004, +5.68614653492E+001, +0.00000000000E+000
+2.98750000000E+004, +5.71004895939E+001, +0.00000000000E+000
+3.00000000000E+004, +5.73392597312E+001, +0.00000000000E+000
+3.01250000000E+004, +5.75791245286E+001, +0.00000000000E+000
+3.02500000000E+004, +5.78154635875E+001, +0.00000000000E+000
+3.03750000000E+004, +5.80529291072E+001, +0.00000000000E+000
+3.05000000000E+004, +5.82911836934E+001, +0.00000000000E+000
+3.06250000000E+004, +5.85290044991E+001, +0.00000000000E+000
+3.07500000000E+004, +5.87639023405E+001, +0.00000000000E+000
+3.08750000000E+004, +5.89997100342E+001, +0.00000000000E+000
+3.10000000000E+004, +5.92389833833E+001, +0.00000000000E+000
+3.11250000000E+004, +5.94767153279E+001, +0.00000000000E+000
+3.12500000000E+004, +5.97111415663E+001, +0.00000000000E+000
+3.13750000000E+004, +5.99511136620E+001, +0.00000000000E+000
+3.15000000000E+004, +6.01884495278E+001, +0.00000000000E+000
+3.16250000000E+004, +6.04239783820E+001, +0.00000000000E+000
+3.17500000000E+004, +6.06616039892E+001, +0.00000000000E+000
+3.18750000000E+004, +6.08995720429E+001, +0.00000000000E+000
+3.20000000000E+004, +6.11376938002E+001, +0.00000000000E+000
+3.21250000000E+004, +6.13695250311E+001, +0.00000000000E+000
+3.22500000000E+004, +6.16084785069E+001, +0.00000000000E+000
+3.23750000000E+004, +6.18486256775E+001, +0.00000000000E+000
+3.25000000000E+004, +6.20834659837E+001, +0.00000000000E+000
+3.26250000000E+004, +6.23222088932E+001, +0.00000000000E+000
+3.27500000000E+004, +6.25618988758E+001, +0.00000000000E+000
+3.28750000000E+004, +6.27926459715E+001, +0.00000000000E+000
+3.30000000000E+004, +6.30328111866E+001, +0.00000000000E+000
+3.31250000000E+004, +6.32705740480E+001, +0.00000000000E+000
+3.32500000000E+004, +6.35060959173E+001, +0.00000000000E+000
+3.33750000000E+004, +6.37463258650E+001, +0.00000000000E+000
+3.35000000000E+004, +6.39834512219E+001, +0.00000000000E+000
+3.36250000000E+004, +6.42182696296E+001, +0.00000000000E+000
+3.37500000000E+004, +6.44546044242E+001, +0.00000000000E+000
+3.38750000000E+004, +6.46930195441E+001, +0.00000000000E+000
+3.40000000000E+004, +6.49319941875E+001, +0.00000000000E+000
+3.41250000000E+004, +6.51662838403E+001, +0.00000000000E+000
+3.42500000000E+004, +6.54017542052E+001, +0.00000000000E+000
+3.43750000000E+004, +6.56402556049E+001, +0.00000000000E+000
+3.45000000000E+004, +6.58758030044E+001, +0.00000000000E+000
+3.46250000000E+004, +6.61163949443E+001, +0.00000000000E+000
+3.47500000000E+004, +6.63527636782E+001, +0.00000000000E+000
+3.48750000000E+004, +6.65891399238E+001, +0.00000000000E+000
+3.50000000000E+004, +6.68261606037E+001, +0.00000000000E+000
+3.51250000000E+004, +6.70640105032E+001, +0.00000000000E+000
+3.52500000000E+004, +6.73041829142E+001, +0.00000000000E+000
+3.53750000000E+004, +6.75360011809E+001, +0.00000000000E+000
+3.55000000000E+004, +6.77723861550E+001, +0.00000000000E+000
+3.56250000000E+004, +6.80135858181E+001, +0.00000000000E+000
+3.57500000000E+004, +6.82502845351E+001, +0.00000000000E+000
+3.58750000000E+004, +6.84860956593E+001, +0.00000000000E+000
+3.60000000000E+004, +6.87227672610E+001, +0.00000000000E+000
+3.61250000000E+004, +6.89594226343E+001, +0.00000000000E+000
+3.62500000000E+004, +6.91960235268E+001, +0.00000000000E+000
+3.63750000000E+004, +6.94323427206E+001, +0.00000000000E+000
