"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.96565451908E+001, +0.00000000000E+000
+1.99500000000E+003, -8.94718041140E+001, +0.00000000000E+000
+2.99000000000E+003, -8.91748706649E+001, +0.00000000000E+000
+3.98500000000E+003, -8.94309455159E+001, +0.00000000000E+000
+4.98000000000E+003, -8.91442236920E+001, +0.00000000000E+000
+5.97500000000E+003, -8.90403543295E+001, +0.00000000000E+000
+6.97000000000E+003, -8.89511515895E+001, +0.00000000000E+000
+7.96500000000E+003, -8.90426158532E+001, +0.00000000000E+000
+8.96000000000E+003, -8.91137621124E+001, +0.00000000000E+000
+9.95500000000E+003, -8.90094736261E+001, +0.00000000000E+000
+1.09500000000E+004, -8.88722003728E+001, +0.00000000000E+000
+1.19450000000E+004, -8.91012778642E+001, +0.00000000000E+000
+1.29400000000E+004, -8.89931786878E+001, +0.00000000000E+000
+1.39350000000E+004, -8.89818177938E+001, +0.00000000000E+000
+1.49300000000E+004, -8.89878698467E+001, +0.00000000000E+000
+1.59250000000E+004, -8.90766115770E+001, +0.00000000000E+000
+1.69200000000E+004, -8.89841538093E+001, +0.00000000000E+000
+1.79150000000E+004, -8.89510000192E+001, +0.00000000000E+000
+1.89100000000E+004, -8.89677580534E+001, +0.00000000000E+000
+1.99050000000E+004, -8.88938112204E+001, +0.00000000000E+000
+2.09000000000E+004, -8.88622915056E+001, +0.00000000000E+000
+2.18950000000E+004, -8.88224026350E+001, +0.00000000000E+000
+2.28900000000E+004, -8.87891240312E+001, +0.00000000000E+000
+2.38850000000E+004, -8.88600646303E+001, +0.00000000000E+000
+2.48800000000E+004, -8.88865396300E+001, +0.00000000000E+000
+2.58750000000E+004, -8.88208619319E+001, +0.00000000000E+000
+2.68700000000E+004, -8.87993833459E+001, +0.00000000000E+000
+2.78650000000E+004, -8.87186103615E+001, +0.00000000000E+000
+2.88600000000E+004, -8.86597433318E+001, +0.00000000000E+000
+2.98550000000E+004, -8.86250033796E+001, +0.00000000000E+000
+3.08500000000E+004, -8.85039703456E+001, +0.00000000000E+000
+3.18450000000E+004, -8.83008445284E+001, +0.00000000000E+000
+3.28400000000E+004, -8.81766639184E+001, +0.00000000000E+000
+3.38350000000E+004, -8.79210263016E+001, +0.00000000000E+000
+3.48300000000E+004, -8.75530360979E+001, +0.00000000000E+000
+3.58250000000E+004, -8.66952493123E+001, +0.00000000000E+000
+3.68200000000E+004, -8.50832091691E+001, +0.00000000000E+000
+3.78150000000E+004, -8.24682040717E+001, +0.00000000000E+000
+3.88100000000E+004, -7.57004586058E+001, +0.00000000000E+000
+3.98050000000E+004, -3.32909228014E+001, +0.00000000000E+000
+4.08000000000E+004, +3.15733938155E+001, +0.00000000000E+000
+4.17950000000E+004, -6.93772645803E+001, +0.00000000000E+000
+4.27900000000E+004, -8.47001541764E+001, +0.00000000000E+000
+4.37850000000E+004, -8.72742151092E+001, +0.00000000000E+000
+4.47800000000E+004, -8.78139739329E+001, +0.00000000000E+000
+4.57750000000E+004, -8.79764557611E+001, +0.00000000000E+000
+4.67700000000E+004, -8.79253933336E+001, +0.00000000000E+000
+4.77650000000E+004, -8.76115709193E+001, +0.00000000000E+000
+4.87600000000E+004, -8.68439045592E+001, +0.00000000000E+000
+4.97550000000E+004, -8.46579039111E+001, +0.00000000000E+000
+5.07500000000E+004, -7.44161615104E+001, +0.00000000000E+000
+5.17450000000E+004, +2.08365553241E+001, +0.00000000000E+000
+5.27400000000E+004, -1.91473674989E+001, +0.00000000000E+000
+5.37350000000E+004, -6.64141777942E+001, +0.00000000000E+000
+5.47300000000E+004, -4.67391928268E+001, +0.00000000000E+000
+5.57250000000E+004, +1.70533776415E+001, +0.00000000000E+000
+5.67200000000E+004, -4.78008665087E+001, +0.00000000000E+000
+5.77150000000E+004, -8.06909017096E+001, +0.00000000000E+000
+5.87100000000E+004, -8.48003273327E+001, +0.00000000000E+000
+5.97050000000E+004, -8.39582438466E+001, +0.00000000000E+000
+6.07000000000E+004, -8.16725716239E+001, +0.00000000000E+000
+6.16950000000E+004, -8.61483994274E+001, +0.00000000000E+000
+6.26900000000E+004, -8.75741258461E+001, +0.00000000000E+000
+6.36850000000E+004, -8.80637056446E+001, +0.00000000000E+000
+6.46800000000E+004, -8.83412007309E+001, +0.00000000000E+000
+6.56750000000E+004, -8.84740051608E+001, +0.00000000000E+000
+6.66700000000E+004, -8.85804727050E+001, +0.00000000000E+000
+6.76650000000E+004, -8.86041879443E+001, +0.00000000000E+000
+6.86600000000E+004, -8.86732206472E+001, +0.00000000000E+000
+6.96550000000E+004, -8.87506185047E+001, +0.00000000000E+000
+7.06500000000E+004, -8.87928130605E+001, +0.00000000000E+000
+7.16450000000E+004, -8.88089853248E+001, +0.00000000000E+000
+7.26400000000E+004, -8.88245009725E+001, +0.00000000000E+000
+7.36350000000E+004, -8.88451410656E+001, +0.00000000000E+000
+7.46300000000E+004, -8.88532406170E+001, +0.00000000000E+000
+7.56250000000E+004, -8.88463805823E+001, +0.00000000000E+000
+7.66200000000E+004, -8.88669934232E+001, +0.00000000000E+000
+7.76150000000E+004, -8.88554301117E+001, +0.00000000000E+000
+7.86100000000E+004, -8.88553919054E+001, +0.00000000000E+000
+7.96050000000E+004, -8.88125595586E+001, +0.00000000000E+000
+8.06000000000E+004, -8.88264595679E+001, +0.00000000000E+000
+8.15950000000E+004, -8.88470223254E+001, +0.00000000000E+000
+8.25900000000E+004, -8.88387764096E+001, +0.00000000000E+000
+8.35850000000E+004, -8.88235179120E+001, +0.00000000000E+000
+8.45800000000E+004, -8.87702085967E+001, +0.00000000000E+000
+8.55750000000E+004, -8.87516788097E+001, +0.00000000000E+000
+8.65700000000E+004, -8.87892485137E+001, +0.00000000000E+000
+8.75650000000E+004, -8.87864509863E+001, +0.00000000000E+000
+8.85600000000E+004, -8.87512429173E+001, +0.00000000000E+000
+8.95550000000E+004, -8.87539728992E+001, +0.00000000000E+000
+9.05500000000E+004, -8.87261572006E+001, +0.00000000000E+000
+9.15450000000E+004, -8.86502311253E+001, +0.00000000000E+000
+9.25400000000E+004, -8.85256513488E+001, +0.00000000000E+000
+9.35350000000E+004, -8.83323647483E+001, +0.00000000000E+000
+9.45300000000E+004, -8.80634528543E+001, +0.00000000000E+000
+9.55250000000E+004, -8.79434572348E+001, +0.00000000000E+000
+9.65200000000E+004, -8.80357001984E+001, +0.00000000000E+000
+9.75150000000E+004, -8.82748324808E+001, +0.00000000000E+000
+9.85100000000E+004, -8.84262050056E+001, +0.00000000000E+000
+9.95050000000E+004, -8.85574066248E+001, +0.00000000000E+000
+1.00500000000E+005, -8.86354363001E+001, +0.00000000000E+000
+1.01495000000E+005, -8.86256635150E+001, +0.00000000000E+000
+1.02490000000E+005, -8.85660343843E+001, +0.00000000000E+000
+1.03485000000E+005, -8.86336530245E+001, +0.00000000000E+000
+1.04480000000E+005, -8.87227066396E+001, +0.00000000000E+000
+1.05475000000E+005, -8.87421298918E+001, +0.00000000000E+000
+1.06470000000E+005, -8.87158872104E+001, +0.00000000000E+000
+1.07465000000E+005, -8.86581643316E+001, +0.00000000000E+000
+1.08460000000E+005, -8.85537228178E+001, +0.00000000000E+000
+1.09455000000E+005, -8.83562777019E+001, +0.00000000000E+000
+1.10450000000E+005, -8.78308426325E+001, +0.00000000000E+000
+1.11445000000E+005, -8.59962606788E+001, +0.00000000000E+000
+1.12440000000E+005, -7.88347874449E+001, +0.00000000000E+000
+1.13435000000E+005, -8.05080887272E+001, +0.00000000000E+000
+1.14430000000E+005, -8.60810362466E+001, +0.00000000000E+000
+1.15425000000E+005, -8.76665177969E+001, +0.00000000000E+000
+1.16420000000E+005, -8.81986730594E+001, +0.00000000000E+000
+1.17415000000E+005, -8.84348955718E+001, +0.00000000000E+000
+1.18410000000E+005, -8.85629151537E+001, +0.00000000000E+000
+1.19405000000E+005, -8.86264689311E+001, +0.00000000000E+000
+1.20400000000E+005, -8.86803268644E+001, +0.00000000000E+000
+1.21395000000E+005, -8.87038577242E+001, +0.00000000000E+000
+1.22390000000E+005, -8.87210392225E+001, +0.00000000000E+000
+1.23385000000E+005, -8.87394421055E+001, +0.00000000000E+000
+1.24380000000E+005, -8.87437718170E+001, +0.00000000000E+000
+1.25375000000E+005, -8.87500179213E+001, +0.00000000000E+000
+1.26370000000E+005, -8.87697077310E+001, +0.00000000000E+000
+1.27365000000E+005, -8.87757220985E+001, +0.00000000000E+000
+1.28360000000E+005, -8.87836981912E+001, +0.00000000000E+000
+1.29355000000E+005, -8.87804978279E+001, +0.00000000000E+000
+1.30350000000E+005, -8.87791030288E+001, +0.00000000000E+000
+1.31345000000E+005, -8.87733629460E+001, +0.00000000000E+000
+1.32340000000E+005, -8.87744759001E+001, +0.00000000000E+000
+1.33335000000E+005, -8.87702879747E+001, +0.00000000000E+000
+1.34330000000E+005, -8.87568769017E+001, +0.00000000000E+000
+1.35325000000E+005, -8.87445983962E+001, +0.00000000000E+000
+1.36320000000E+005, -8.87282559213E+001, +0.00000000000E+000
+1.37315000000E+005, -8.87139100882E+001, +0.00000000000E+000
+1.38310000000E+005, -8.86819170197E+001, +0.00000000000E+000
+1.39305000000E+005, -8.86095947480E+001, +0.00000000000E+000
+1.40300000000E+005, -8.84650489087E+001, +0.00000000000E+000
+1.41295000000E+005, -8.83104219954E+001, +0.00000000000E+000
+1.42290000000E+005, -8.83351918863E+001, +0.00000000000E+000
+1.43285000000E+005, -8.84265444067E+001, +0.00000000000E+000
+1.44280000000E+005, -8.84908930011E+001, +0.00000000000E+000
+1.45275000000E+005, -8.85200144231E+001, +0.00000000000E+000
+1.46270000000E+005, -8.85274242740E+001, +0.00000000000E+000
+1.47265000000E+005, -8.85159201943E+001, +0.00000000000E+000
+1.48260000000E+005, -8.84770197770E+001, +0.00000000000E+000
+1.49255000000E+005, -8.83962509416E+001, +0.00000000000E+000
+1.50250000000E+005, -8.82386599238E+001, +0.00000000000E+000
+1.51245000000E+005, -8.79198035910E+001, +0.00000000000E+000
