"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.73462259792E+003, +0.00000000000E+000
+2.51250000000E+004, +2.71696786661E+003, +0.00000000000E+000
+2.52500000000E+004, +2.70941256116E+003, +0.00000000000E+000
+2.53750000000E+004, +2.70593201567E+003, +0.00000000000E+000
+2.55000000000E+004, +2.69528008398E+003, +0.00000000000E+000
+2.56250000000E+004, +2.67630136593E+003, +0.00000000000E+000
+2.57500000000E+004, +2.65381153407E+003, +0.00000000000E+000
+2.58750000000E+004, +2.63288792664E+003, +0.00000000000E+000
+2.60000000000E+004, +2.61262941385E+003, +0.00000000000E+000
+2.61250000000E+004, +2.59146844880E+003, +0.00000000000E+000
+2.62500000000E+004, +2.57996899523E+003, +0.00000000000E+000
+2.63750000000E+004, +2.58476372618E+003, +0.00000000000E+000
+2.65000000000E+004, +2.59630301961E+003, +0.00000000000E+000
+2.66250000000E+004, +2.59028982270E+003, +0.00000000000E+000
+2.67500000000E+004, +2.57384292861E+003, +0.00000000000E+000
+2.68750000000E+004, +2.55313595120E+003, +0.00000000000E+000
+2.70000000000E+004, +2.53493815582E+003, +0.00000000000E+000
+2.71250000000E+004, +2.51638532326E+003, +0.00000000000E+000
+2.72500000000E+004, +2.49860894273E+003, +0.00000000000E+000
+2.73750000000E+004, +2.48200058769E+003, +0.00000000000E+000
+2.75000000000E+004, +2.46507334080E+003, +0.00000000000E+000
+2.76250000000E+004, +2.44646673241E+003, +0.00000000000E+000
+2.77500000000E+004, +2.43133438696E+003, +0.00000000000E+000
+2.78750000000E+004, +2.41860484484E+003, +0.00000000000E+000
+2.80000000000E+004, +2.40966172175E+003, +0.00000000000E+000
+2.81250000000E+004, +2.39948272766E+003, +0.00000000000E+000
+2.82500000000E+004, +2.38833895020E+003, +0.00000000000E+000
+2.83750000000E+004, +2.37509509803E+003, +0.00000000000E+000
+2.85000000000E+004, +2.35965928035E+003, +0.00000000000E+000
+2.86250000000E+004, +2.34446989044E+003, +0.00000000000E+000
+2.87500000000E+004, +2.32820129886E+003, +0.00000000000E+000
+2.88750000000E+004, +2.31297804374E+003, +0.00000000000E+000
+2.90000000000E+004, +2.29884525007E+003, +0.00000000000E+000
+2.91250000000E+004, +2.28328244209E+003, +0.00000000000E+000
+2.92500000000E+004, +2.26928090379E+003, +0.00000000000E+000
+2.93750000000E+004, +2.25435718292E+003, +0.00000000000E+000
+2.95000000000E+004, +2.24164522666E+003, +0.00000000000E+000
+2.96250000000E+004, +2.22761311556E+003, +0.00000000000E+000
+2.97500000000E+004, +2.21237840943E+003, +0.00000000000E+000
+2.98750000000E+004, +2.19878508544E+003, +0.00000000000E+000
+3.00000000000E+004, +2.18523982095E+003, +0.00000000000E+000
+3.01250000000E+004, +2.17091891421E+003, +0.00000000000E+000
+3.02500000000E+004, +2.15781570925E+003, +0.00000000000E+000
+3.03750000000E+004, +2.14314667058E+003, +0.00000000000E+000
+3.05000000000E+004, +2.12961001030E+003, +0.00000000000E+000
+3.06250000000E+004, +2.11600132864E+003, +0.00000000000E+000
+3.07500000000E+004, +2.10211230937E+003, +0.00000000000E+000
+3.08750000000E+004, +2.08785473250E+003, +0.00000000000E+000
+3.10000000000E+004, +2.07535898436E+003, +0.00000000000E+000
+3.11250000000E+004, +2.06150329097E+003, +0.00000000000E+000
+3.12500000000E+004, +2.04743164946E+003, +0.00000000000E+000
+3.13750000000E+004, +2.03319307122E+003, +0.00000000000E+000
+3.15000000000E+004, +2.01995243588E+003, +0.00000000000E+000
+3.16250000000E+004, +2.00663058796E+003, +0.00000000000E+000
+3.17500000000E+004, +1.99232793833E+003, +0.00000000000E+000
+3.18750000000E+004, +1.97877870642E+003, +0.00000000000E+000
+3.20000000000E+004, +1.96471317311E+003, +0.00000000000E+000
+3.21250000000E+004, +1.95251240786E+003, +0.00000000000E+000
+3.22500000000E+004, +1.93864284014E+003, +0.00000000000E+000
+3.23750000000E+004, +1.92533386571E+003, +0.00000000000E+000
+3.25000000000E+004, +1.91241343782E+003, +0.00000000000E+000
+3.26250000000E+004, +1.89970455008E+003, +0.00000000000E+000
+3.27500000000E+004, +1.88782702072E+003, +0.00000000000E+000
+3.28750000000E+004, +1.87295111974E+003, +0.00000000000E+000
+3.30000000000E+004, +1.86095486749E+003, +0.00000000000E+000
+3.31250000000E+004, +1.85292262734E+003, +0.00000000000E+000
+3.32500000000E+004, +1.84522232526E+003, +0.00000000000E+000
+3.33750000000E+004, +1.83533676567E+003, +0.00000000000E+000
+3.35000000000E+004, +1.82269765625E+003, +0.00000000000E+000
+3.36250000000E+004, +1.80856262657E+003, +0.00000000000E+000
+3.37500000000E+004, +1.79512237363E+003, +0.00000000000E+000
+3.38750000000E+004, +1.78077505607E+003, +0.00000000000E+000
+3.40000000000E+004, +1.76692561723E+003, +0.00000000000E+000
+3.41250000000E+004, +1.75173412456E+003, +0.00000000000E+000
+3.42500000000E+004, +1.73647994355E+003, +0.00000000000E+000
+3.43750000000E+004, +1.72141693069E+003, +0.00000000000E+000
+3.45000000000E+004, +1.70561829513E+003, +0.00000000000E+000
+3.46250000000E+004, +1.68973224130E+003, +0.00000000000E+000
+3.47500000000E+004, +1.67353444616E+003, +0.00000000000E+000
+3.48750000000E+004, +1.65646985027E+003, +0.00000000000E+000
+3.50000000000E+004, +1.64039760001E+003, +0.00000000000E+000
+3.51250000000E+004, +1.62347699511E+003, +0.00000000000E+000
+3.52500000000E+004, +1.60636738286E+003, +0.00000000000E+000
+3.53750000000E+004, +1.58868617153E+003, +0.00000000000E+000
+3.55000000000E+004, +1.57088463491E+003, +0.00000000000E+000
+3.56250000000E+004, +1.55241818814E+003, +0.00000000000E+000
+3.57500000000E+004, +1.53463055367E+003, +0.00000000000E+000
+3.58750000000E+004, +1.51580647444E+003, +0.00000000000E+000
+3.60000000000E+004, +1.49737200357E+003, +0.00000000000E+000
