Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.53749145691E+003, +0.00000000000E+000
+2.51250000000E+004, +2.51453901340E+003, +0.00000000000E+000
+2.52500000000E+004, +2.49856886720E+003, +0.00000000000E+000
+2.53750000000E+004, +2.50321110848E+003, +0.00000000000E+000
+2.55000000000E+004, +2.53370062139E+003, +0.00000000000E+000
+2.56250000000E+004, +2.54325173314E+003, +0.00000000000E+000
+2.57500000000E+004, +2.52863832014E+003, +0.00000000000E+000
+2.58750000000E+004, +2.50734648916E+003, +0.00000000000E+000
+2.60000000000E+004, +2.48525588208E+003, +0.00000000000E+000
+2.61250000000E+004, +2.46597724850E+003, +0.00000000000E+000
+2.62500000000E+004, +2.44684799276E+003, +0.00000000000E+000
+2.63750000000E+004, +2.42952377079E+003, +0.00000000000E+000
+2.65000000000E+004, +2.41165982752E+003, +0.00000000000E+000
+2.66250000000E+004, +2.39415399387E+003, +0.00000000000E+000
+2.67500000000E+004, +2.37664544485E+003, +0.00000000000E+000
+2.68750000000E+004, +2.36112976051E+003, +0.00000000000E+000
+2.70000000000E+004, +2.34518725172E+003, +0.00000000000E+000
+2.71250000000E+004, +2.32880659675E+003, +0.00000000000E+000
+2.72500000000E+004, +2.31458485743E+003, +0.00000000000E+000
+2.73750000000E+004, +2.30443577344E+003, +0.00000000000E+000
+2.75000000000E+004, +2.29032416466E+003, +0.00000000000E+000
+2.76250000000E+004, +2.27383505144E+003, +0.00000000000E+000
+2.77500000000E+004, +2.25897796651E+003, +0.00000000000E+000
+2.78750000000E+004, +2.24719799894E+003, +0.00000000000E+000
+2.80000000000E+004, +2.23595376822E+003, +0.00000000000E+000
+2.81250000000E+004, +2.22379487234E+003, +0.00000000000E+000
+2.82500000000E+004, +2.21014014995E+003, +0.00000000000E+000
+2.83750000000E+004, +2.19729055988E+003, +0.00000000000E+000
+2.85000000000E+004, +2.18277768772E+003, +0.00000000000E+000
+2.86250000000E+004, +2.16978473535E+003, +0.00000000000E+000
+2.87500000000E+004, +2.15665160367E+003, +0.00000000000E+000
+2.88750000000E+004, +2.14319933063E+003, +0.00000000000E+000
+2.90000000000E+004, +2.12748083964E+003, +0.00000000000E+000
+2.91250000000E+004, +2.11558136881E+003, +0.00000000000E+000
+2.92500000000E+004, +2.10152389285E+003, +0.00000000000E+000
+2.93750000000E+004, +2.08761101919E+003, +0.00000000000E+000
+2.95000000000E+004, +2.07403076341E+003, +0.00000000000E+000
+2.96250000000E+004, +2.06128096156E+003, +0.00000000000E+000
+2.97500000000E+004, +2.04798749041E+003, +0.00000000000E+000
+2.98750000000E+004, +2.03351423089E+003, +0.00000000000E+000
+3.00000000000E+004, +2.02166991144E+003, +0.00000000000E+000
+3.01250000000E+004, +2.00788639574E+003, +0.00000000000E+000
+3.02500000000E+004, +1.99503712194E+003, +0.00000000000E+000
+3.03750000000E+004, +1.98258096327E+003, +0.00000000000E+000
+3.05000000000E+004, +1.96853274417E+003, +0.00000000000E+000
+3.06250000000E+004, +1.95443709684E+003, +0.00000000000E+000
+3.07500000000E+004, +1.94124828597E+003, +0.00000000000E+000
+3.08750000000E+004, +1.92928558065E+003, +0.00000000000E+000
+3.10000000000E+004, +1.91381496556E+003, +0.00000000000E+000
+3.11250000000E+004, +1.90150785005E+003, +0.00000000000E+000
+3.12500000000E+004, +1.88809114520E+003, +0.00000000000E+000
+3.13750000000E+004, +1.87369795279E+003, +0.00000000000E+000
+3.15000000000E+004, +1.86112822214E+003, +0.00000000000E+000
+3.16250000000E+004, +1.84763396106E+003, +0.00000000000E+000
+3.17500000000E+004, +1.83430685919E+003, +0.00000000000E+000
+3.18750000000E+004, +1.82001736464E+003, +0.00000000000E+000
+3.20000000000E+004, +1.80698548601E+003, +0.00000000000E+000
+3.21250000000E+004, +1.79236220423E+003, +0.00000000000E+000
+3.22500000000E+004, +1.77872856786E+003, +0.00000000000E+000
+3.23750000000E+004, +1.76441937972E+003, +0.00000000000E+000
+3.25000000000E+004, +1.75065682790E+003, +0.00000000000E+000
+3.26250000000E+004, +1.73866724740E+003, +0.00000000000E+000
+3.27500000000E+004, +1.72961615093E+003, +0.00000000000E+000
+3.28750000000E+004, +1.72286314512E+003, +0.00000000000E+000
+3.30000000000E+004, +1.71262898209E+003, +0.00000000000E+000
+3.31250000000E+004, +1.70003153911E+003, +0.00000000000E+000
+3.32500000000E+004, +1.68655937229E+003, +0.00000000000E+000
+3.33750000000E+004, +1.67416484824E+003, +0.00000000000E+000
+3.35000000000E+004, +1.66106192206E+003, +0.00000000000E+000
+3.36250000000E+004, +1.64543105774E+003, +0.00000000000E+000
+3.37500000000E+004, +1.62982314216E+003, +0.00000000000E+000
+3.38750000000E+004, +1.61424341657E+003, +0.00000000000E+000
+3.40000000000E+004, +1.59819653966E+003, +0.00000000000E+000
+3.41250000000E+004, +1.58224520958E+003, +0.00000000000E+000
+3.42500000000E+004, +1.56615275321E+003, +0.00000000000E+000
+3.43750000000E+004, +1.54947848072E+003, +0.00000000000E+000
+3.45000000000E+004, +1.53360408808E+003, +0.00000000000E+000
+3.46250000000E+004, +1.51787503723E+003, +0.00000000000E+000
+3.47500000000E+004, +1.50257407358E+003, +0.00000000000E+000
+3.48750000000E+004, +1.48733929386E+003, +0.00000000000E+000
+3.50000000000E+004, +1.47112413950E+003, +0.00000000000E+000
+3.51250000000E+004, +1.45344650090E+003, +0.00000000000E+000
+3.52500000000E+004, +1.43548258860E+003, +0.00000000000E+000
+3.53750000000E+004, +1.41723661010E+003, +0.00000000000E+000
+3.55000000000E+004, +1.39880685624E+003, +0.00000000000E+000
+3.56250000000E+004, +1.37996141455E+003, +0.00000000000E+000
+3.57500000000E+004, +1.36052464964E+003, +0.00000000000E+000
+3.58750000000E+004, +1.34131645266E+003, +0.00000000000E+000
+3.60000000000E+004, +1.32162204515E+003, +0.00000000000E+000
+3.61250000000E+004, +1.30140232272E+003, +0.00000000000E+000
+3.62500000000E+004, +1.28081519799E+003, +0.00000000000E+000
+3.63750000000E+004, +1.26011851919E+003, +0.00000000000E+000
+3.65000000000E+004, +1.23899283612E+003, +0.00000000000E+000
+3.66250000000E+004, +1.21708718290E+003, +0.00000000000E+000
+3.67500000000E+004, +1.19508546517E+003, +0.00000000000E+000
+3.68750000000E+004, +1.17239308550E+003, +0.00000000000E+000
+3.70000000000E+004, +1.14998053051E+003, +0.00000000000E+000
+3.71250000000E+004, +1.12634413882E+003, +0.00000000000E+000
+3.72500000000E+004, +1.10223431291E+003, +0.00000000000E+000
+3.73750000000E+004, +1.07733389643E+003, +0.00000000000E+000
+3.75000000000E+004, +1.05146156476E+003, +0.00000000000E+000
+3.76250000000E+004, +1.02497511051E+003, +0.00000000000E+000
+3.77500000000E+004, +9.98386807020E+002, +0.00000000000E+000
+3.78750000000E+004, +9.71248723436E+002, +0.00000000000E+000
+3.80000000000E+004, +9.42794769566E+002, +0.00000000000E+000
+3.81250000000E+004, +9.11959313631E+002, +0.00000000000E+000
+3.82500000000E+004, +8.79408672348E+002, +0.00000000000E+000
+3.83750000000E+004, +8.46542784892E+002, +0.00000000000E+000
+3.85000000000E+004, +8.13753543977E+002, +0.00000000000E+000
+3.86250000000E+004, +7.80917864158E+002, +0.00000000000E+000
+3.87500000000E+004, +7.48836284818E+002, +0.00000000000E+000
+3.88750000000E+004, +7.16697818389E+002, +0.00000000000E+000
+3.90000000000E+004, +6.84711385657E+002, +0.00000000000E+000
+3.91250000000E+004, +6.54849057657E+002, +0.00000000000E+000
+3.92500000000E+004, +6.30240218309E+002, +0.00000000000E+000
+3.93750000000E+004, +6.14642853614E+002, +0.00000000000E+000
+3.95000000000E+004, +6.09741814263E+002, +0.00000000000E+000
+3.96250000000E+004, +6.15183676045E+002, +0.00000000000E+000
+3.97500000000E+004, +6.33225235802E+002, +0.00000000000E+000
+3.98750000000E+004, +6.63618165997E+002, +0.00000000000E+000
+4.00000000000E+004, +7.16620226540E+002, +0.00000000000E+000
+4.01250000000E+004, +8.02346279427E+002, +0.00000000000E+000
+4.02500000000E+004, +9.26288113991E+002, +0.00000000000E+000
+4.03750000000E+004, +1.09201371605E+003, +0.00000000000E+000
+4.05000000000E+004, +1.30300967406E+003, +0.00000000000E+000
+4.06250000000E+004, +1.56930048637E+003, +0.00000000000E+000
+4.07500000000E+004, +1.91347740566E+003, +0.00000000000E+000
+4.08750000000E+004, +2.36935213725E+003, +0.00000000000E+000
+4.10000000000E+004, +2.97068594990E+003, +0.00000000000E+000
+4.11250000000E+004, +3.73504357094E+003, +0.00000000000E+000
+4.12500000000E+004, +4.60928987682E+003, +0.00000000000E+000
+4.13750000000E+004, +5.40544766166E+003, +0.00000000000E+000
+4.15000000000E+004, +5.87287986133E+003, +0.00000000000E+000
+4.16250000000E+004, +5.88356665680E+003, +0.00000000000E+000
+4.17500000000E+004, +5.55459417431E+003, +0.00000000000E+000
+4.18750000000E+004, +5.09298011067E+003, +0.00000000000E+000
+4.20000000000E+004, +4.64326618517E+003, +0.00000000000E+000
+4.21250000000E+004, +4.24952080840E+003, +0.00000000000E+000
+4.22500000000E+004, +3.93265771051E+003, +0.00000000000E+000
