Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.67755357217E+003, +0.00000000000E+000
+2.51250000000E+004, +2.66092751878E+003, +0.00000000000E+000
+2.52500000000E+004, +2.64611314991E+003, +0.00000000000E+000
+2.53750000000E+004, +2.63923562053E+003, +0.00000000000E+000
+2.55000000000E+004, +2.62959181232E+003, +0.00000000000E+000
+2.56250000000E+004, +2.61633327271E+003, +0.00000000000E+000
+2.57500000000E+004, +2.59794329979E+003, +0.00000000000E+000
+2.58750000000E+004, +2.58168367274E+003, +0.00000000000E+000
+2.60000000000E+004, +2.56472468701E+003, +0.00000000000E+000
+2.61250000000E+004, +2.55122584465E+003, +0.00000000000E+000
+2.62500000000E+004, +2.53429067379E+003, +0.00000000000E+000
+2.63750000000E+004, +2.51998202774E+003, +0.00000000000E+000
+2.65000000000E+004, +2.50332286326E+003, +0.00000000000E+000
+2.66250000000E+004, +2.48812902866E+003, +0.00000000000E+000
+2.67500000000E+004, +2.47288116009E+003, +0.00000000000E+000
+2.68750000000E+004, +2.45758225542E+003, +0.00000000000E+000
+2.70000000000E+004, +2.44350285878E+003, +0.00000000000E+000
+2.71250000000E+004, +2.42734266724E+003, +0.00000000000E+000
+2.72500000000E+004, +2.41307192763E+003, +0.00000000000E+000
+2.73750000000E+004, +2.39848182386E+003, +0.00000000000E+000
+2.75000000000E+004, +2.38287544668E+003, +0.00000000000E+000
+2.76250000000E+004, +2.36781558804E+003, +0.00000000000E+000
+2.77500000000E+004, +2.35239765532E+003, +0.00000000000E+000
+2.78750000000E+004, +2.33714926673E+003, +0.00000000000E+000
+2.80000000000E+004, +2.32188581582E+003, +0.00000000000E+000
+2.81250000000E+004, +2.30524129243E+003, +0.00000000000E+000
+2.82500000000E+004, +2.29024928561E+003, +0.00000000000E+000
+2.83750000000E+004, +2.27240176089E+003, +0.00000000000E+000
+2.85000000000E+004, +2.26060371992E+003, +0.00000000000E+000
+2.86250000000E+004, +2.25571895399E+003, +0.00000000000E+000
+2.87500000000E+004, +2.25208811377E+003, +0.00000000000E+000
+2.88750000000E+004, +2.24250270773E+003, +0.00000000000E+000
+2.90000000000E+004, +2.23028326951E+003, +0.00000000000E+000
