"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +4.67154020181E+000, +0.00000000000E+000
+1.99500000000E+003, +8.86638446156E+000, +0.00000000000E+000
+2.99000000000E+003, +1.31326944098E+001, +0.00000000000E+000
+3.98500000000E+003, +1.74171167653E+001, +0.00000000000E+000
+4.98000000000E+003, +2.17071823071E+001, +0.00000000000E+000
+5.97500000000E+003, +2.59962462935E+001, +0.00000000000E+000
+6.97000000000E+003, +3.02895359801E+001, +0.00000000000E+000
+7.96500000000E+003, +3.45695236650E+001, +0.00000000000E+000
+8.96000000000E+003, +3.88590094698E+001, +0.00000000000E+000
+9.95500000000E+003, +4.31384548702E+001, +0.00000000000E+000
+1.09500000000E+004, +4.74267086166E+001, +0.00000000000E+000
+1.19450000000E+004, +5.16930607178E+001, +0.00000000000E+000
+1.29400000000E+004, +5.59647631860E+001, +0.00000000000E+000
+1.39350000000E+004, +6.02414564619E+001, +0.00000000000E+000
+1.49300000000E+004, +6.45015933348E+001, +0.00000000000E+000
+1.59250000000E+004, +6.87752060058E+001, +0.00000000000E+000
+1.69200000000E+004, +7.30240871910E+001, +0.00000000000E+000
+1.79150000000E+004, +7.72788668510E+001, +0.00000000000E+000
+1.89100000000E+004, +8.15370057020E+001, +0.00000000000E+000
+1.99050000000E+004, +8.57960509114E+001, +0.00000000000E+000
+2.09000000000E+004, +9.00293602496E+001, +0.00000000000E+000
+2.18950000000E+004, +9.42764417745E+001, +0.00000000000E+000
+2.28900000000E+004, +9.85200023563E+001, +0.00000000000E+000
+2.38850000000E+004, +1.02732529978E+002, +0.00000000000E+000
+2.48800000000E+004, +1.06981661059E+002, +0.00000000000E+000
+2.58750000000E+004, +1.11213387841E+002, +0.00000000000E+000
+2.68700000000E+004, +1.15444788352E+002, +0.00000000000E+000
+2.78650000000E+004, +1.19681957844E+002, +0.00000000000E+000
+2.88600000000E+004, +1.23912627643E+002, +0.00000000000E+000
+2.98550000000E+004, +1.28133647831E+002, +0.00000000000E+000
+3.08500000000E+004, +1.32331255582E+002, +0.00000000000E+000
+3.18450000000E+004, +1.36542370082E+002, +0.00000000000E+000
