Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.92331347568E+001, +0.00000000000E+000
+1.02772972507E+003, -8.91841891846E+001, +0.00000000000E+000
+1.05545945015E+003, -9.04525961900E+001, +0.00000000000E+000
+1.08318917522E+003, -8.91283280684E+001, +0.00000000000E+000
+1.11091890029E+003, -8.88203637850E+001, +0.00000000000E+000
+1.13864862537E+003, -8.81284187829E+001, +0.00000000000E+000
+1.16637835044E+003, -8.75023845728E+001, +0.00000000000E+000
+1.19410807551E+003, -8.85840699398E+001, +0.00000000000E+000
+1.22183780059E+003, -8.89426307054E+001, +0.00000000000E+000
+1.24956752566E+003, -8.96751950997E+001, +0.00000000000E+000
+1.27729725073E+003, -9.04598086481E+001, +0.00000000000E+000
+1.30502697581E+003, -8.81813004289E+001, +0.00000000000E+000
+1.33275670088E+003, -8.85935824755E+001, +0.00000000000E+000
+1.36504441051E+003, -8.86997075154E+001, +0.00000000000E+000
+1.40337532068E+003, -8.81704227504E+001, +0.00000000000E+000
+1.44170623084E+003, -8.88148032898E+001, +0.00000000000E+000
+1.48003714101E+003, -8.90680322027E+001, +0.00000000000E+000
+1.51836805118E+003, -8.99118416369E+001, +0.00000000000E+000
+1.55669896134E+003, -8.82619226392E+001, +0.00000000000E+000
+1.59502987151E+003, -8.89269827298E+001, +0.00000000000E+000
+1.63336078167E+003, -8.97551556813E+001, +0.00000000000E+000
+1.67169169184E+003, -9.01598780977E+001, +0.00000000000E+000
+1.71002260200E+003, -8.76191455808E+001, +0.00000000000E+000
+1.74835351217E+003, -8.88829601527E+001, +0.00000000000E+000
+1.78668442234E+003, -8.87937773154E+001, +0.00000000000E+000
+1.82501533250E+003, -8.91873173399E+001, +0.00000000000E+000
+1.86334624267E+003, -8.90446523144E+001, +0.00000000000E+000
+1.90848815221E+003, -8.88165436537E+001, +0.00000000000E+000
+1.96141000397E+003, -8.89865836252E+001, +0.00000000000E+000
+2.01433185574E+003, -8.88628286912E+001, +0.00000000000E+000
+2.06725370751E+003, -8.90542045589E+001, +0.00000000000E+000
+2.12017555927E+003, -8.88096755039E+001, +0.00000000000E+000
+2.17309741104E+003, -8.85071596159E+001, +0.00000000000E+000
+2.22601926280E+003, -8.89922158969E+001, +0.00000000000E+000
+2.27894111457E+003, -8.83742377702E+001, +0.00000000000E+000
+2.33186296634E+003, -8.94655660070E+001, +0.00000000000E+000
+2.38478481810E+003, -8.98373673844E+001, +0.00000000000E+000
+2.43770666987E+003, -8.89325340719E+001, +0.00000000000E+000
+2.49062852164E+003, -8.84807940093E+001, +0.00000000000E+000
+2.54355037340E+003, -8.90088432229E+001, +0.00000000000E+000
+2.60517108470E+003, -8.91207170569E+001, +0.00000000000E+000
+2.67832517261E+003, -8.94529080163E+001, +0.00000000000E+000
+2.75147926053E+003, -8.92938748660E+001, +0.00000000000E+000
+2.82463334844E+003, -8.89448893453E+001, +0.00000000000E+000
+2.89778743636E+003, -8.95968330914E+001, +0.00000000000E+000
+2.97094152427E+003, -8.88360335760E+001, +0.00000000000E+000
+3.04409561219E+003, -8.87271512284E+001, +0.00000000000E+000
+3.11724970010E+003, -8.95737900633E+001, +0.00000000000E+000
+3.19040378802E+003, -8.99455205334E+001, +0.00000000000E+000
+3.26355787593E+003, -8.95897010211E+001, +0.00000000000E+000
+3.33671196385E+003, -8.93450014391E+001, +0.00000000000E+000
+3.40986605176E+003, -8.91400315349E+001, +0.00000000000E+000
+3.48302013968E+003, -8.90503439457E+001, +0.00000000000E+000
+3.55617422759E+003, -8.84582221963E+001, +0.00000000000E+000
+3.64232702711E+003, -8.89800459895E+001, +0.00000000000E+000
+3.74332775420E+003, -8.93724934844E+001, +0.00000000000E+000
+3.84432848129E+003, -8.95014742445E+001, +0.00000000000E+000
+3.94532920838E+003, -8.91557600674E+001, +0.00000000000E+000
+4.04632993547E+003, -8.95421534950E+001, +0.00000000000E+000
+4.14733066256E+003, -8.91985543374E+001, +0.00000000000E+000
+4.24833138965E+003, -8.88729882875E+001, +0.00000000000E+000
+4.34933211674E+003, -8.91349022299E+001, +0.00000000000E+000
+4.45033284382E+003, -8.92579540486E+001, +0.00000000000E+000
+4.55133357091E+003, -8.87043192136E+001, +0.00000000000E+000
+4.65233429800E+003, -8.88866272445E+001, +0.00000000000E+000
+4.75333502509E+003, -8.92887849153E+001, +0.00000000000E+000
+4.85433575218E+003, -8.93067434915E+001, +0.00000000000E+000
+4.97193814962E+003, -8.87582701914E+001, +0.00000000000E+000
+5.10980862759E+003, -8.94632795058E+001, +0.00000000000E+000
+5.24767910556E+003, -8.89903644310E+001, +0.00000000000E+000
+5.38554958353E+003, -8.90075773523E+001, +0.00000000000E+000
+5.52342006150E+003, -8.89572418244E+001, +0.00000000000E+000
+5.66129053947E+003, -8.90672701704E+001, +0.00000000000E+000
+5.79916101744E+003, -8.88733949297E+001, +0.00000000000E+000
+5.93703149541E+003, -8.92853526168E+001, +0.00000000000E+000
+6.07490197338E+003, -8.90077049379E+001, +0.00000000000E+000
+6.21277245135E+003, -8.90838966162E+001, +0.00000000000E+000
+6.35064292932E+003, -8.87703571289E+001, +0.00000000000E+000
+6.48851340729E+003, -8.92579322998E+001, +0.00000000000E+000
+6.62638388526E+003, -8.92779286714E+001, +0.00000000000E+000
+6.78691638054E+003, -8.93394363625E+001, +0.00000000000E+000
+6.97749529511E+003, -8.89300962908E+001, +0.00000000000E+000
+7.16807420967E+003, -8.90608666507E+001, +0.00000000000E+000
+7.35865312423E+003, -8.90638758111E+001, +0.00000000000E+000
+7.54923203880E+003, -8.93935890987E+001, +0.00000000000E+000
+7.73981095336E+003, -8.90759266483E+001, +0.00000000000E+000
+7.93038986792E+003, -8.93181695058E+001, +0.00000000000E+000
+8.12096878249E+003, -8.90821011639E+001, +0.00000000000E+000
+8.31154769705E+003, -8.91707873718E+001, +0.00000000000E+000
+8.50212661161E+003, -8.92009713509E+001, +0.00000000000E+000
+8.69270552618E+003, -8.90203370982E+001, +0.00000000000E+000
+8.88328444074E+003, -8.89708561843E+001, +0.00000000000E+000
+9.07386335531E+003, -8.89514016483E+001, +0.00000000000E+000
+9.26444226987E+003, -8.90070999771E+001, +0.00000000000E+000
+9.48888505205E+003, -8.90804191596E+001, +0.00000000000E+000
+9.75200922580E+003, -8.89421111103E+001, +0.00000000000E+000
+1.00151333995E+004, -8.89468368297E+001, +0.00000000000E+000
+1.02782575733E+004, -8.90544569901E+001, +0.00000000000E+000
+1.05413817470E+004, -8.89465915689E+001, +0.00000000000E+000
+1.08045059208E+004, -8.90554429605E+001, +0.00000000000E+000
+1.10676300945E+004, -8.90139134404E+001, +0.00000000000E+000
+1.13307542683E+004, -8.90438221057E+001, +0.00000000000E+000
+1.15938784420E+004, -8.90680351630E+001, +0.00000000000E+000
+1.18570026158E+004, -8.90132153623E+001, +0.00000000000E+000
+1.21201267895E+004, -8.89722005912E+001, +0.00000000000E+000
+1.23832509632E+004, -8.89951048868E+001, +0.00000000000E+000
+1.26463751370E+004, -8.90095321645E+001, +0.00000000000E+000
+1.29527495023E+004, -8.89760907173E+001, +0.00000000000E+000
+1.33164671028E+004, -8.90120253728E+001, +0.00000000000E+000
+1.36801847033E+004, -8.90417181344E+001, +0.00000000000E+000
+1.40439023038E+004, -8.89002296000E+001, +0.00000000000E+000
+1.44076199043E+004, -8.90633374247E+001, +0.00000000000E+000
+1.47713375048E+004, -8.88866662360E+001, +0.00000000000E+000
+1.51350551053E+004, -8.89707573727E+001, +0.00000000000E+000
+1.54987727058E+004, -8.89502453090E+001, +0.00000000000E+000
+1.58624903063E+004, -8.89536132405E+001, +0.00000000000E+000
+1.62262079068E+004, -8.91358091471E+001, +0.00000000000E+000
+1.65899255073E+004, -8.90621148593E+001, +0.00000000000E+000
+1.69536431078E+004, -8.90203299703E+001, +0.00000000000E+000
+1.73173607083E+004, -8.90020785197E+001, +0.00000000000E+000
+1.76810783088E+004, -8.89838545894E+001, +0.00000000000E+000
+1.81094246995E+004, -8.89122834350E+001, +0.00000000000E+000
+1.86115940676E+004, -8.89301339931E+001, +0.00000000000E+000
+1.91137634358E+004, -8.89086214340E+001, +0.00000000000E+000
+1.96159328039E+004, -8.89158970060E+001, +0.00000000000E+000
+2.01181021721E+004, -8.88995285209E+001, +0.00000000000E+000
+2.06202715402E+004, -8.89637066725E+001, +0.00000000000E+000
+2.11224409084E+004, -8.88775018403E+001, +0.00000000000E+000
+2.16246102766E+004, -8.88796189761E+001, +0.00000000000E+000
+2.21267796447E+004, -8.89120858218E+001, +0.00000000000E+000
+2.26289490129E+004, -8.89342158472E+001, +0.00000000000E+000
+2.31311183810E+004, -8.88597160771E+001, +0.00000000000E+000
+2.36332877492E+004, -8.89100634225E+001, +0.00000000000E+000
+2.41354571173E+004, -8.88663518468E+001, +0.00000000000E+000
+2.47201689636E+004, -8.87814908460E+001, +0.00000000000E+000
+2.54056524527E+004, -8.87055931387E+001, +0.00000000000E+000
+2.60911359419E+004, -8.88601377540E+001, +0.00000000000E+000
+2.67766194310E+004, -8.88802633734E+001, +0.00000000000E+000
+2.74621029201E+004, -8.88552938967E+001, +0.00000000000E+000
+2.81475864092E+004, -8.88223957308E+001, +0.00000000000E+000
+2.88330698984E+004, -8.86792200601E+001, +0.00000000000E+000
+2.95185533875E+004, -8.86271429741E+001, +0.00000000000E+000
+3.02040368766E+004, -8.86804043842E+001, +0.00000000000E+000
+3.08895203657E+004, -8.86407639569E+001, +0.00000000000E+000
+3.15750038549E+004, -8.85729554784E+001, +0.00000000000E+000
+3.22604873440E+004, -8.84207758676E+001, +0.00000000000E+000
+3.29459708331E+004, -8.79588321662E+001, +0.00000000000E+000
+3.37441284707E+004, -8.81204116005E+001, +0.00000000000E+000
+3.46916750465E+004, -8.80841491896E+001, +0.00000000000E+000
+3.56392216223E+004, -8.75575007111E+001, +0.00000000000E+000
+3.65867681982E+004, -8.62445981804E+001, +0.00000000000E+000
+3.75343147740E+004, -8.37230322854E+001, +0.00000000000E+000
+3.84818613498E+004, -7.88674945536E+001, +0.00000000000E+000
+3.94294079257E+004, -6.20387413647E+001, +0.00000000000E+000
+4.03769545015E+004, +1.76631344721E+001, +0.00000000000E+000
+4.13245010773E+004, -1.52898643751E+001, +0.00000000000E+000
+4.22720476532E+004, -7.80754317380E+001, +0.00000000000E+000
+4.32195942290E+004, -8.55715783937E+001, +0.00000000000E+000
+4.41671408048E+004, -8.73471245747E+001, +0.00000000000E+000
+4.51146873807E+004, -8.77701107209E+001, +0.00000000000E+000
+4.60622339565E+004, -8.79067490920E+001, +0.00000000000E+000
+4.71781495876E+004, -8.77849168072E+001, +0.00000000000E+000
+4.84863867052E+004, -8.71386536219E+001, +0.00000000000E+000
+4.97946238227E+004, -8.50027469458E+001, +0.00000000000E+000
+5.11028609402E+004, -6.95378233970E+001, +0.00000000000E+000
+5.24110980577E+004, +2.04044951730E+001, +0.00000000000E+000
+5.37193351753E+004, -4.63841042330E+001, +0.00000000000E+000
+5.50275722928E+004, +4.23459410479E+001, +0.00000000000E+000
+5.63358094103E+004, -5.30820699531E+001, +0.00000000000E+000
+5.76440465279E+004, -8.22982824369E+001, +0.00000000000E+000
+5.89522836454E+004, -8.58246825662E+001, +0.00000000000E+000
+6.02605207629E+004, -8.03408348381E+001, +0.00000000000E+000
+6.15687578804E+004, -8.52944956911E+001, +0.00000000000E+000
+6.28769949980E+004, -8.77766348482E+001, +0.00000000000E+000
+6.44002693929E+004, -8.83867421930E+001, +0.00000000000E+000
+6.62086508065E+004, -8.85637116563E+001, +0.00000000000E+000
+6.80170322201E+004, -8.87796747765E+001, +0.00000000000E+000
+6.98254136338E+004, -8.88565862382E+001, +0.00000000000E+000
+7.16337950474E+004, -8.88907662374E+001, +0.00000000000E+000
+7.34421764610E+004, -8.88900229470E+001, +0.00000000000E+000
+7.52505578747E+004, -8.89284387962E+001, +0.00000000000E+000
+7.70589392883E+004, -8.89146057220E+001, +0.00000000000E+000
+7.88673207020E+004, -8.88941497837E+001, +0.00000000000E+000
+8.06757021156E+004, -8.89054526588E+001, +0.00000000000E+000
+8.24840835292E+004, -8.88631587908E+001, +0.00000000000E+000
+8.42924649429E+004, -8.87389181484E+001, +0.00000000000E+000
+8.61008463565E+004, -8.81703005867E+001, +0.00000000000E+000
+8.79092277701E+004, -8.79940567853E+001, +0.00000000000E+000
+9.00389395310E+004, -8.86390201096E+001, +0.00000000000E+000
