"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.19489110500E+004, +0.00000000000E+000
+1.02772972507E+003, +6.89974662671E+004, +0.00000000000E+000
+1.05545945015E+003, +6.70637270619E+004, +0.00000000000E+000
+1.08318917522E+003, +6.92657088729E+004, +0.00000000000E+000
+1.11091890029E+003, +6.61675529972E+004, +0.00000000000E+000
+1.13864862537E+003, +6.31942306612E+004, +0.00000000000E+000
+1.16637835044E+003, +6.26958535545E+004, +0.00000000000E+000
+1.19410807551E+003, +5.96466181518E+004, +0.00000000000E+000
+1.22183780059E+003, +6.04186021101E+004, +0.00000000000E+000
+1.24956752566E+003, +5.82979330408E+004, +0.00000000000E+000
+1.27729725073E+003, +5.60304032844E+004, +0.00000000000E+000
+1.30502697581E+003, +5.68880249579E+004, +0.00000000000E+000
+1.33275670088E+003, +5.55108241014E+004, +0.00000000000E+000
+1.36504441051E+003, +5.38669127911E+004, +0.00000000000E+000
+1.40337532068E+003, +5.26167175953E+004, +0.00000000000E+000
+1.44170623084E+003, +4.91710364644E+004, +0.00000000000E+000
+1.48003714101E+003, +4.92229113750E+004, +0.00000000000E+000
+1.51836805118E+003, +4.77899850318E+004, +0.00000000000E+000
+1.55669896134E+003, +4.61194675499E+004, +0.00000000000E+000
+1.59502987151E+003, +4.54192620546E+004, +0.00000000000E+000
+1.63336078167E+003, +4.51872667151E+004, +0.00000000000E+000
+1.67169169184E+003, +4.37600268262E+004, +0.00000000000E+000
+1.71002260200E+003, +4.23208134780E+004, +0.00000000000E+000
+1.74835351217E+003, +4.20538252883E+004, +0.00000000000E+000
+1.78668442234E+003, +4.14587630155E+004, +0.00000000000E+000
+1.82501533250E+003, +4.09236020255E+004, +0.00000000000E+000
+1.86334624267E+003, +3.88813957455E+004, +0.00000000000E+000
+1.90848815221E+003, +3.87836149295E+004, +0.00000000000E+000
+1.96141000397E+003, +3.74229838033E+004, +0.00000000000E+000
+2.01433185574E+003, +3.66708109657E+004, +0.00000000000E+000
+2.06725370751E+003, +3.59191722695E+004, +0.00000000000E+000
+2.12017555927E+003, +3.48698604784E+004, +0.00000000000E+000
+2.17309741104E+003, +3.31921050635E+004, +0.00000000000E+000
+2.22601926280E+003, +3.30477272556E+004, +0.00000000000E+000
+2.27894111457E+003, +3.19626830777E+004, +0.00000000000E+000
+2.33186296634E+003, +3.14702967347E+004, +0.00000000000E+000
+2.38478481810E+003, +3.03392800051E+004, +0.00000000000E+000
+2.43770666987E+003, +3.01935761911E+004, +0.00000000000E+000
+2.49062852164E+003, +2.88359938521E+004, +0.00000000000E+000
