

Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.30976744583E+001, +0.00000000000E+000
+2.51250000000E+004, +2.32159662306E+001, +0.00000000000E+000
+2.52500000000E+004, +2.33287125416E+001, +0.00000000000E+000
+2.53750000000E+004, +2.34495394887E+001, +0.00000000000E+000
+2.55000000000E+004, +2.35610955796E+001, +0.00000000000E+000
+2.56250000000E+004, +2.36789872147E+001, +0.00000000000E+000
+2.57500000000E+004, +2.37950722786E+001, +0.00000000000E+000
+2.58750000000E+004, +2.39095054733E+001, +0.00000000000E+000
+2.60000000000E+004, +2.40245066220E+001, +0.00000000000E+000
+2.61250000000E+004, +2.41408055334E+001, +0.00000000000E+000
+2.62500000000E+004, +2.42545392165E+001, +0.00000000000E+000
+2.63750000000E+004, +2.43718386995E+001, +0.00000000000E+000
+2.65000000000E+004, +2.44855663116E+001, +0.00000000000E+000
+2.66250000000E+004, +2.46060140594E+001, +0.00000000000E+000
+2.67500000000E+004, +2.47196731858E+001, +0.00000000000E+000
+2.68750000000E+004, +2.48323336515E+001, +0.00000000000E+000
+2.70000000000E+004, +2.49477523663E+001, +0.00000000000E+000
+2.71250000000E+004, +2.50627959640E+001, +0.00000000000E+000
+2.72500000000E+004, +2.51794674000E+001, +0.00000000000E+000
+2.73750000000E+004, +2.52927694971E+001, +0.00000000000E+000
+2.75000000000E+004, +2.54087080062E+001, +0.00000000000E+000
+2.76250000000E+004, +2.55265363949E+001, +0.00000000000E+000
+2.77500000000E+004, +2.56419133563E+001, +0.00000000000E+000
+2.78750000000E+004, +2.57538643202E+001, +0.00000000000E+000
+2.80000000000E+004, +2.58739535255E+001, +0.00000000000E+000
+2.81250000000E+004, +2.59893714168E+001, +0.00000000000E+000
+2.82500000000E+004, +2.61059880303E+001, +0.00000000000E+000
+2.83750000000E+004, +2.62216017180E+001, +0.00000000000E+000
+2.85000000000E+004, +2.63346399092E+001, +0.00000000000E+000
+2.86250000000E+004, +2.64519968201E+001, +0.00000000000E+000
+2.87500000000E+004, +2.65662876114E+001, +0.00000000000E+000
+2.88750000000E+004, +2.66824251311E+001, +0.00000000000E+000
+2.90000000000E+004, +2.67978662946E+001, +0.00000000000E+000
+2.91250000000E+004, +2.69165125378E+001, +0.00000000000E+000
+2.92500000000E+004, +2.70318382264E+001, +0.00000000000E+000
+2.93750000000E+004, +2.71447054726E+001, +0.00000000000E+000
+2.95000000000E+004, +2.72609364520E+001, +0.00000000000E+000
+2.96250000000E+004, +2.73770030389E+001, +0.00000000000E+000
+2.97500000000E+004, +2.74924507984E+001, +0.00000000000E+000
+2.98750000000E+004, +2.76095767176E+001, +0.00000000000E+000
