Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +1.72110537337E+001, +0.00000000000E+000
+1.00004975000E+005, +8.97232045007E+001, +0.00000000000E+000
+2.00004950000E+005, +8.96574668795E+001, +0.00000000000E+000
+3.00004925000E+005, +8.95870956135E+001, +0.00000000000E+000
+4.00004900000E+005, +8.95423869126E+001, +0.00000000000E+000
+5.00004875000E+005, +8.95203361773E+001, +0.00000000000E+000
+6.00004850000E+005, +8.94994712222E+001, +0.00000000000E+000
+7.00004825000E+005, +8.94888281547E+001, +0.00000000000E+000
+8.00004800000E+005, +8.94980024541E+001, +0.00000000000E+000
+9.00004775000E+005, +8.95132588880E+001, +0.00000000000E+000
+1.00000475000E+006, +8.95441544351E+001, +0.00000000000E+000
+1.10000472500E+006, +8.95748560624E+001, +0.00000000000E+000
+1.20000470000E+006, +8.96254886992E+001, +0.00000000000E+000
+1.30000467500E+006, +8.96602062858E+001, +0.00000000000E+000
+1.40000465000E+006, +8.97024409557E+001, +0.00000000000E+000
+1.50000462500E+006, +8.98031582333E+001, +0.00000000000E+000
+1.60000460000E+006, +8.98267395755E+001, +0.00000000000E+000
+1.70000457500E+006, +8.98427079571E+001, +0.00000000000E+000
+1.80000455000E+006, +8.98443635478E+001, +0.00000000000E+000
+1.90000452500E+006, +8.98895474561E+001, +0.00000000000E+000
+2.00000450000E+006, +8.99228837131E+001, +0.00000000000E+000
+2.10000447500E+006, +8.99161588843E+001, +0.00000000000E+000
+2.20000445000E+006, +8.99032332647E+001, +0.00000000000E+000
+2.30000442500E+006, +8.99408415204E+001, +0.00000000000E+000
+2.40000440000E+006, +8.99388513848E+001, +0.00000000000E+000
+2.50000437500E+006, +8.99266552018E+001, +0.00000000000E+000
+2.60000435000E+006, +8.99292034113E+001, +0.00000000000E+000
+2.70000432500E+006, +8.98856861607E+001, +0.00000000000E+000
+2.80000430000E+006, +8.98292843876E+001, +0.00000000000E+000
+2.90000427500E+006, +8.98022251733E+001, +0.00000000000E+000
+3.00000425000E+006, +8.96986416095E+001, +0.00000000000E+000
+3.10000422500E+006, +8.97011368625E+001, +0.00000000000E+000
+3.20000420000E+006, +8.95471394572E+001, +0.00000000000E+000
+3.30000417500E+006, +8.94868418978E+001, +0.00000000000E+000
+3.40000415000E+006, +8.93668155654E+001, +0.00000000000E+000
+3.50000412500E+006, +8.92829457561E+001, +0.00000000000E+000
+3.60000410000E+006, +8.91079196448E+001, +0.00000000000E+000
+3.70000407500E+006, +8.89690726360E+001, +0.00000000000E+000
+3.80000405000E+006, +8.87791299583E+001, +0.00000000000E+000
+3.90000402500E+006, +8.85937614285E+001, +0.00000000000E+000
+4.00000400000E+006, +8.84056036833E+001, +0.00000000000E+000
+4.10000397500E+006, +8.80357643888E+001, +0.00000000000E+000
+4.20000395000E+006, +8.76457187227E+001, +0.00000000000E+000
+4.30000392500E+006, +8.72512678551E+001, +0.00000000000E+000
+4.40000390000E+006, +8.67984729359E+001, +0.00000000000E+000
+4.50000387500E+006, +8.62678262516E+001, +0.00000000000E+000
+4.60000385000E+006, +8.56429198805E+001, +0.00000000000E+000
+4.70000382500E+006, +8.47996036709E+001, +0.00000000000E+000
+4.80000380000E+006, +8.38096616860E+001, +0.00000000000E+000
+4.90000377500E+006, +8.26789346676E+001, +0.00000000000E+000
+5.00000375000E+006, +8.09707903253E+001, +0.00000000000E+000
+5.10000372500E+006, +7.88319454278E+001, +0.00000000000E+000
+5.20000370000E+006, +7.59282684768E+001, +0.00000000000E+000
+5.30000367500E+006, +7.18832298471E+001, +0.00000000000E+000
+5.40000365000E+006, +6.51096610406E+001, +0.00000000000E+000
+5.50000362500E+006, +5.38897454043E+001, +0.00000000000E+000
+5.60000360000E+006, +3.45061945583E+001, +0.00000000000E+000
+5.70000357500E+006, +3.88081719721E+000, +0.00000000000E+000
+5.80000355000E+006, -2.66695973225E+001, +0.00000000000E+000
