Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +2.24172375140E-001, +0.00000000000E+000
+1.00004975000E+005, +1.40629281440E+002, +0.00000000000E+000
+2.00004950000E+005, +2.80373247590E+002, +0.00000000000E+000
+3.00004925000E+005, +4.19933819037E+002, +0.00000000000E+000
+4.00004900000E+005, +5.59683988206E+002, +0.00000000000E+000
+5.00004875000E+005, +6.99918495055E+002, +0.00000000000E+000
+6.00004850000E+005, +8.40944698870E+002, +0.00000000000E+000
+7.00004825000E+005, +9.83189700947E+002, +0.00000000000E+000
+8.00004800000E+005, +1.12706802412E+003, +0.00000000000E+000
+9.00004775000E+005, +1.27259893220E+003, +0.00000000000E+000
+1.00000475000E+006, +1.42055686049E+003, +0.00000000000E+000
+1.10000472500E+006, +1.57076362763E+003, +0.00000000000E+000
+1.20000470000E+006, +1.72456786130E+003, +0.00000000000E+000
+1.30000467500E+006, +1.88166709646E+003, +0.00000000000E+000
+1.40000465000E+006, +2.04355597738E+003, +0.00000000000E+000
+1.50000462500E+006, +2.20680339207E+003, +0.00000000000E+000
+1.60000460000E+006, +2.37678857348E+003, +0.00000000000E+000
+1.70000457500E+006, +2.55257990329E+003, +0.00000000000E+000
+1.80000455000E+006, +2.73537124769E+003, +0.00000000000E+000
+1.90000452500E+006, +2.92338226059E+003, +0.00000000000E+000
+2.00000450000E+006, +3.11992026032E+003, +0.00000000000E+000
+2.10000447500E+006, +3.32332635134E+003, +0.00000000000E+000
+2.20000445000E+006, +3.53556193053E+003, +0.00000000000E+000
+2.30000442500E+006, +3.75962412549E+003, +0.00000000000E+000
+2.40000440000E+006, +3.99124540016E+003, +0.00000000000E+000
+2.50000437500E+006, +4.23695669978E+003, +0.00000000000E+000
+2.60000435000E+006, +4.49382824683E+003, +0.00000000000E+000
+2.70000432500E+006, +4.76459634764E+003, +0.00000000000E+000
+2.80000430000E+006, +5.05008362734E+003, +0.00000000000E+000
+2.90000427500E+006, +5.35842342389E+003, +0.00000000000E+000
+3.00000425000E+006, +5.68472402229E+003, +0.00000000000E+000
+3.10000422500E+006, +6.02813054982E+003, +0.00000000000E+000
+3.20000420000E+006, +6.40034749692E+003, +0.00000000000E+000
+3.30000417500E+006, +6.80286584347E+003, +0.00000000000E+000
+3.40000415000E+006, +7.23651557379E+003, +0.00000000000E+000
+3.50000412500E+006, +7.69439262160E+003, +0.00000000000E+000
+3.60000410000E+006, +8.21111519234E+003, +0.00000000000E+000
+3.70000407500E+006, +8.76881471674E+003, +0.00000000000E+000
+3.80000405000E+006, +9.37882643426E+003, +0.00000000000E+000
+3.90000402500E+006, +1.00609136930E+004, +0.00000000000E+000
+4.00000400000E+006, +1.08163807434E+004, +0.00000000000E+000
+4.10000397500E+006, +1.16526405514E+004, +0.00000000000E+000
+4.20000395000E+006, +1.25955109476E+004, +0.00000000000E+000
+4.30000392500E+006, +1.36725807314E+004, +0.00000000000E+000
+4.40000390000E+006, +1.49172468327E+004, +0.00000000000E+000
+4.50000387500E+006, +1.63298258532E+004, +0.00000000000E+000
+4.60000385000E+006, +1.80165220998E+004, +0.00000000000E+000
+4.70000382500E+006, +2.00132660447E+004, +0.00000000000E+000
+4.80000380000E+006, +2.23906505803E+004, +0.00000000000E+000
+4.90000377500E+006, +2.54272798162E+004, +0.00000000000E+000
+5.00000375000E+006, +2.93167337410E+004, +0.00000000000E+000
+5.10000372500E+006, +3.41176147474E+004, +0.00000000000E+000
+5.20000370000E+006, +4.08415028282E+004, +0.00000000000E+000
+5.30000367500E+006, +5.01641909425E+004, +0.00000000000E+000
+5.40000365000E+006, +6.34488733615E+004, +0.00000000000E+000
+5.50000362500E+006, +8.53797056067E+004, +0.00000000000E+000
+5.60000360000E+006, +1.16280456029E+005, +0.00000000000E+000
+5.70000357500E+006, +1.34572105601E+005, +0.00000000000E+000
+5.80000355000E+006, +1.13695902603E+005, +0.00000000000E+000
+5.90000352500E+006, +8.68481494059E+004, +0.00000000000E+000
+6.00000350000E+006, +6.61120651782E+004, +0.00000000000E+000
+6.10000347500E+006, +5.33616488609E+004, +0.00000000000E+000
+6.20000345000E+006, +4.42255230797E+004, +0.00000000000E+000
+6.30000342500E+006, +3.75260049746E+004, +0.00000000000E+000
+6.40000340000E+006, +3.28592964903E+004, +0.00000000000E+000
+6.50000337500E+006, +2.92974621652E+004, +0.00000000000E+000
+6.60000335000E+006, +2.61834055476E+004, +0.00000000000E+000
+6.70000332500E+006, +2.38742120568E+004, +0.00000000000E+000
+6.80000330000E+006, +2.19500196263E+004, +0.00000000000E+000
+6.90000327500E+006, +2.02910963835E+004, +0.00000000000E+000
+7.00000325000E+006, +1.88777364589E+004, +0.00000000000E+000
+7.10000322500E+006, +1.76621381600E+004, +0.00000000000E+000
+7.20000320000E+006, +1.66249406554E+004, +0.00000000000E+000
+7.30000317500E+006, +1.56840711339E+004, +0.00000000000E+000
+7.40000315000E+006, +1.48752387244E+004, +0.00000000000E+000
+7.50000312500E+006, +1.41526897623E+004, +0.00000000000E+000
+7.60000310000E+006, +1.34822135797E+004, +0.00000000000E+000
+7.70000307500E+006, +1.28798389433E+004, +0.00000000000E+000
+7.80000305000E+006, +1.23467303150E+004, +0.00000000000E+000
+7.90000302500E+006, +1.18574849083E+004, +0.00000000000E+000
+8.00000300000E+006, +1.14044657468E+004, +0.00000000000E+000
+8.10000297500E+006, +1.09825633840E+004, +0.00000000000E+000
+8.20000295000E+006, +1.06130433748E+004, +0.00000000000E+000
+8.30000292500E+006, +1.02532561359E+004, +0.00000000000E+000
+8.40000290000E+006, +9.92547887469E+003, +0.00000000000E+000
+8.50000287500E+006, +9.62039016354E+003, +0.00000000000E+000
+8.60000285000E+006, +9.33521769235E+003, +0.00000000000E+000
+8.70000282500E+006, +9.07695599185E+003, +0.00000000000E+000
+8.80000280000E+006, +8.82742492114E+003, +0.00000000000E+000
+8.90000277500E+006, +8.59171643245E+003, +0.00000000000E+000
+9.00000275000E+006, +8.36487679936E+003, +0.00000000000E+000
+9.10000272500E+006, +8.15455020042E+003, +0.00000000000E+000
+9.20000270000E+006, +7.96257699066E+003, +0.00000000000E+000
+9.30000267500E+006, +7.77119051732E+003, +0.00000000000E+000
+9.40000265000E+006, +7.59630039298E+003, +0.00000000000E+000
+9.50000262500E+006, +7.43240587351E+003, +0.00000000000E+000
+9.60000260000E+006, +7.26615393958E+003, +0.00000000000E+000
+9.70000257500E+006, +7.11491790606E+003, +0.00000000000E+000
+9.80000255000E+006, +6.97125066179E+003, +0.00000000000E+000
+9.90000252500E+006, +6.83629161059E+003, +0.00000000000E+000
+1.00000025000E+007, +6.69750799349E+003, +0.00000000000E+000
+1.01000024750E+007, +6.57085280452E+003, +0.00000000000E+000
+1.02000024500E+007, +6.45426667674E+003, +0.00000000000E+000
