Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +8.95766968116E+001, +0.00000000000E+000
+2.51250000000E+004, +8.95771378416E+001, +0.00000000000E+000
+2.52500000000E+004, +8.95784385541E+001, +0.00000000000E+000
+2.53750000000E+004, +8.95778440121E+001, +0.00000000000E+000
+2.55000000000E+004, +8.95781078735E+001, +0.00000000000E+000
+2.56250000000E+004, +8.95778996883E+001, +0.00000000000E+000
+2.57500000000E+004, +8.95781540859E+001, +0.00000000000E+000
+2.58750000000E+004, +8.95780750392E+001, +0.00000000000E+000
+2.60000000000E+004, +8.95802341953E+001, +0.00000000000E+000
+2.61250000000E+004, +8.95763388618E+001, +0.00000000000E+000
+2.62500000000E+004, +8.95832318022E+001, +0.00000000000E+000
+2.63750000000E+004, +8.95818469959E+001, +0.00000000000E+000
+2.65000000000E+004, +8.95832640413E+001, +0.00000000000E+000
+2.66250000000E+004, +8.95832839884E+001, +0.00000000000E+000
+2.67500000000E+004, +8.95868387688E+001, +0.00000000000E+000
+2.68750000000E+004, +8.95805826705E+001, +0.00000000000E+000
+2.70000000000E+004, +8.95808109927E+001, +0.00000000000E+000
+2.71250000000E+004, +8.95824805595E+001, +0.00000000000E+000
+2.72500000000E+004, +8.95856710393E+001, +0.00000000000E+000
+2.73750000000E+004, +8.95822562524E+001, +0.00000000000E+000
+2.75000000000E+004, +8.95799130525E+001, +0.00000000000E+000
+2.76250000000E+004, +8.95820563658E+001, +0.00000000000E+000
+2.77500000000E+004, +8.95868232726E+001, +0.00000000000E+000
+2.78750000000E+004, +8.95861444782E+001, +0.00000000000E+000
+2.80000000000E+004, +8.95825368827E+001, +0.00000000000E+000
+2.81250000000E+004, +8.95842595141E+001, +0.00000000000E+000
+2.82500000000E+004, +8.95821955460E+001, +0.00000000000E+000
+2.83750000000E+004, +8.95847944346E+001, +0.00000000000E+000
+2.85000000000E+004, +8.95800601980E+001, +0.00000000000E+000
+2.86250000000E+004, +8.95825872798E+001, +0.00000000000E+000
+2.87500000000E+004, +8.95817172360E+001, +0.00000000000E+000
+2.88750000000E+004, +8.95827358621E+001, +0.00000000000E+000
+2.90000000000E+004, +8.95817741350E+001, +0.00000000000E+000
+2.91250000000E+004, +8.95831739746E+001, +0.00000000000E+000
+2.92500000000E+004, +8.95833848875E+001, +0.00000000000E+000
+2.93750000000E+004, +8.95825488000E+001, +0.00000000000E+000
+2.95000000000E+004, +8.95831887789E+001, +0.00000000000E+000
+2.96250000000E+004, +8.95792330807E+001, +0.00000000000E+000
+2.97500000000E+004, +8.95817408476E+001, +0.00000000000E+000
+2.98750000000E+004, +8.95821409971E+001, +0.00000000000E+000
+3.00000000000E+004, +8.95822090371E+001, +0.00000000000E+000
+3.01250000000E+004, +8.95825394084E+001, +0.00000000000E+000
+3.02500000000E+004, +8.95838374862E+001, +0.00000000000E+000
+3.03750000000E+004, +8.95898477138E+001, +0.00000000000E+000
+3.05000000000E+004, +8.95948894902E+001, +0.00000000000E+000
+3.06250000000E+004, +8.95964769464E+001, +0.00000000000E+000
+3.07500000000E+004, +8.95971764270E+001, +0.00000000000E+000
+3.08750000000E+004, +8.95935324029E+001, +0.00000000000E+000
+3.10000000000E+004, +8.95971832270E+001, +0.00000000000E+000
+3.11250000000E+004, +8.95996391952E+001, +0.00000000000E+000
+3.12500000000E+004, +8.96037457080E+001, +0.00000000000E+000
+3.13750000000E+004, +8.96098182151E+001, +0.00000000000E+000
+3.15000000000E+004, +8.96101736912E+001, +0.00000000000E+000
+3.16250000000E+004, +8.96125090238E+001, +0.00000000000E+000
+3.17500000000E+004, +8.96128753327E+001, +0.00000000000E+000
+3.18750000000E+004, +8.96190937245E+001, +0.00000000000E+000
+3.20000000000E+004, +8.96178188872E+001, +0.00000000000E+000
+3.21250000000E+004, +8.96199636435E+001, +0.00000000000E+000
+3.22500000000E+004, +8.96234230923E+001, +0.00000000000E+000
+3.23750000000E+004, +8.96223806105E+001, +0.00000000000E+000
+3.25000000000E+004, +8.96249591380E+001, +0.00000000000E+000
+3.26250000000E+004, +8.96254245211E+001, +0.00000000000E+000
+3.27500000000E+004, +8.96299265004E+001, +0.00000000000E+000
+3.28750000000E+004, +8.96299799528E+001, +0.00000000000E+000
+3.30000000000E+004, +8.96298089481E+001, +0.00000000000E+000
+3.31250000000E+004, +8.96338587687E+001, +0.00000000000E+000
+3.32500000000E+004, +8.96353040133E+001, +0.00000000000E+000
+3.33750000000E+004, +8.96322114146E+001, +0.00000000000E+000
+3.35000000000E+004, +8.96384299238E+001, +0.00000000000E+000
+3.36250000000E+004, +8.96450507276E+001, +0.00000000000E+000
+3.37500000000E+004, +8.96397364334E+001, +0.00000000000E+000
+3.38750000000E+004, +8.96454344490E+001, +0.00000000000E+000
+3.40000000000E+004, +8.96444645949E+001, +0.00000000000E+000
+3.41250000000E+004, +8.96451751051E+001, +0.00000000000E+000
+3.42500000000E+004, +8.96480697062E+001, +0.00000000000E+000
+3.43750000000E+004, +8.96491488133E+001, +0.00000000000E+000
+3.45000000000E+004, +8.96521676868E+001, +0.00000000000E+000
+3.46250000000E+004, +8.96492923905E+001, +0.00000000000E+000
+3.47500000000E+004, +8.96536876834E+001, +0.00000000000E+000
+3.48750000000E+004, +8.96524199958E+001, +0.00000000000E+000
+3.50000000000E+004, +8.96580085169E+001, +0.00000000000E+000
+3.51250000000E+004, +8.96582044469E+001, +0.00000000000E+000
+3.52500000000E+004, +8.96586649581E+001, +0.00000000000E+000
+3.53750000000E+004, +8.96580568915E+001, +0.00000000000E+000
