"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +1.97651088196E+000, +0.00000000000E+000
+1.99500000000E+003, +3.87793006514E+000, +0.00000000000E+000
+2.99000000000E+003, +5.77990245768E+000, +0.00000000000E+000
+3.98500000000E+003, +7.67934921214E+000, +0.00000000000E+000
+4.98000000000E+003, +9.58466869484E+000, +0.00000000000E+000
+5.97500000000E+003, +1.14823995524E+001, +0.00000000000E+000
+6.97000000000E+003, +1.33909326844E+001, +0.00000000000E+000
+7.96500000000E+003, +1.52869381678E+001, +0.00000000000E+000
+8.96000000000E+003, +1.71895167333E+001, +0.00000000000E+000
+9.95500000000E+003, +1.91014507393E+001, +0.00000000000E+000
+1.09500000000E+004, +2.09763685403E+001, +0.00000000000E+000
+1.19450000000E+004, +2.28582725749E+001, +0.00000000000E+000
+1.29400000000E+004, +2.47480115134E+001, +0.00000000000E+000
+1.39350000000E+004, +2.66394619138E+001, +0.00000000000E+000
+1.49300000000E+004, +2.85360422640E+001, +0.00000000000E+000
+1.59250000000E+004, +3.04415450736E+001, +0.00000000000E+000
+1.69200000000E+004, +3.23492219663E+001, +0.00000000000E+000
+1.79150000000E+004, +3.42624173030E+001, +0.00000000000E+000
+1.89100000000E+004, +3.61833258842E+001, +0.00000000000E+000
+1.99050000000E+004, +3.81036161861E+001, +0.00000000000E+000
+2.09000000000E+004, +3.99939274041E+001, +0.00000000000E+000
+2.18950000000E+004, +4.18816440907E+001, +0.00000000000E+000
+2.28900000000E+004, +4.37767898786E+001, +0.00000000000E+000
+2.38850000000E+004, +4.56649135948E+001, +0.00000000000E+000
+2.48800000000E+004, +4.75608085438E+001, +0.00000000000E+000
+2.58750000000E+004, +4.94597459044E+001, +0.00000000000E+000
+2.68700000000E+004, +5.13572631911E+001, +0.00000000000E+000
+2.78650000000E+004, +5.32532103667E+001, +0.00000000000E+000
+2.88600000000E+004, +5.51542000323E+001, +0.00000000000E+000
+2.98550000000E+004, +5.70580745942E+001, +0.00000000000E+000
+3.08500000000E+004, +5.89382134672E+001, +0.00000000000E+000
+3.18450000000E+004, +6.08271522672E+001, +0.00000000000E+000
+3.28400000000E+004, +6.27129144178E+001, +0.00000000000E+000
+3.38350000000E+004, +6.45962689348E+001, +0.00000000000E+000
+3.48300000000E+004, +6.64828888771E+001, +0.00000000000E+000
+3.58250000000E+004, +6.83669378278E+001, +0.00000000000E+000
+3.68200000000E+004, +7.02556960003E+001, +0.00000000000E+000
+3.78150000000E+004, +7.21391796010E+001, +0.00000000000E+000
+3.88100000000E+004, +7.40199049394E+001, +0.00000000000E+000
+3.98050000000E+004, +7.59063354909E+001, +0.00000000000E+000
+4.08000000000E+004, +7.77916523793E+001, +0.00000000000E+000
+4.17950000000E+004, +7.96721254178E+001, +0.00000000000E+000
+4.27900000000E+004, +8.15627671390E+001, +0.00000000000E+000
+4.37850000000E+004, +8.34429630254E+001, +0.00000000000E+000
+4.47800000000E+004, +8.53294204141E+001, +0.00000000000E+000
+4.57750000000E+004, +8.72123244756E+001, +0.00000000000E+000
+4.67700000000E+004, +8.90933765556E+001, +0.00000000000E+000
+4.77650000000E+004, +9.09796198560E+001, +0.00000000000E+000
+4.87600000000E+004, +9.28610094186E+001, +0.00000000000E+000
+4.97550000000E+004, +9.47452209400E+001, +0.00000000000E+000
+5.07500000000E+004, +9.66266298398E+001, +0.00000000000E+000
+5.17450000000E+004, +9.84995085492E+001, +0.00000000000E+000
+5.27400000000E+004, +1.00374948036E+002, +0.00000000000E+000
+5.37350000000E+004, +1.02248887281E+002, +0.00000000000E+000
+5.47300000000E+004, +1.04119378445E+002, +0.00000000000E+000
+5.57250000000E+004, +1.05999325661E+002, +0.00000000000E+000
+5.67200000000E+004, +1.07870704717E+002, +0.00000000000E+000
+5.77150000000E+004, +1.09742571673E+002, +0.00000000000E+000
+5.87100000000E+004, +1.11617215689E+002, +0.00000000000E+000
+5.97050000000E+004, +1.13495460481E+002, +0.00000000000E+000
+6.07000000000E+004, +1.15358160081E+002, +0.00000000000E+000
+6.16950000000E+004, +1.17223468453E+002, +0.00000000000E+000
+6.26900000000E+004, +1.19089888810E+002, +0.00000000000E+000
+6.36850000000E+004, +1.20970069729E+002, +0.00000000000E+000
+6.46800000000E+004, +1.22838134946E+002, +0.00000000000E+000
+6.56750000000E+004, +1.24710696439E+002, +0.00000000000E+000
+6.66700000000E+004, +1.26576279787E+002, +0.00000000000E+000
+6.76650000000E+004, +1.28449860205E+002, +0.00000000000E+000
+6.86600000000E+004, +1.30318131460E+002, +0.00000000000E+000
+6.96550000000E+004, +1.32189055341E+002, +0.00000000000E+000
+7.06500000000E+004, +1.34061589410E+002, +0.00000000000E+000
+7.16450000000E+004, +1.35922659807E+002, +0.00000000000E+000
+7.26400000000E+004, +1.37782784395E+002, +0.00000000000E+000
+7.36350000000E+004, +1.39649597653E+002, +0.00000000000E+000
+7.46300000000E+004, +1.41521101839E+002, +0.00000000000E+000
+7.56250000000E+004, +1.43375368982E+002, +0.00000000000E+000
+7.66200000000E+004, +1.45244171549E+002, +0.00000000000E+000
+7.76150000000E+004, +1.47105520374E+002, +0.00000000000E+000
+7.86100000000E+004, +1.48972804582E+002, +0.00000000000E+000
+7.96050000000E+004, +1.50834954599E+002, +0.00000000000E+000
+8.06000000000E+004, +1.52697155800E+002, +0.00000000000E+000
+8.15950000000E+004, +1.54565164605E+002, +0.00000000000E+000
+8.25900000000E+004, +1.56421707121E+002, +0.00000000000E+000
+8.35850000000E+004, +1.58279120722E+002, +0.00000000000E+000
+8.45800000000E+004, +1.60153739367E+002, +0.00000000000E+000
+8.55750000000E+004, +1.62009744044E+002, +0.00000000000E+000
+8.65700000000E+004, +1.63875193727E+002, +0.00000000000E+000
+8.75650000000E+004, +1.65744083308E+002, +0.00000000000E+000
+8.85600000000E+004, +1.67590224380E+002, +0.00000000000E+000
+8.95550000000E+004, +1.69450788107E+002, +0.00000000000E+000
+9.05500000000E+004, +1.71319057178E+002, +0.00000000000E+000
+9.15450000000E+004, +1.73174996870E+002, +0.00000000000E+000
+9.25400000000E+004, +1.75035204031E+002, +0.00000000000E+000
+9.35350000000E+004, +1.76899483231E+002, +0.00000000000E+000
+9.45300000000E+004, +1.78758718957E+002, +0.00000000000E+000
+9.55250000000E+004, +1.80636145650E+002, +0.00000000000E+000
+9.65200000000E+004, +1.82475352117E+002, +0.00000000000E+000
+9.75150000000E+004, +1.84340634205E+002, +0.00000000000E+000
+9.85100000000E+004, +1.86203439463E+002, +0.00000000000E+000
+9.95050000000E+004, +1.88055709871E+002, +0.00000000000E+000
+1.00500000000E+005, +1.89920049236E+002, +0.00000000000E+000
+1.01495000000E+005, +1.91767931671E+002, +0.00000000000E+000
+1.02490000000E+005, +1.93628691298E+002, +0.00000000000E+000
+1.03485000000E+005, +1.95491333804E+002, +0.00000000000E+000
+1.04480000000E+005, +1.97351466200E+002, +0.00000000000E+000
+1.05475000000E+005, +1.99194295798E+002, +0.00000000000E+000
+1.06470000000E+005, +2.01070387994E+002, +0.00000000000E+000
+1.07465000000E+005, +2.02918623610E+002, +0.00000000000E+000
+1.08460000000E+005, +2.04778202709E+002, +0.00000000000E+000
+1.09455000000E+005, +2.06628132168E+002, +0.00000000000E+000
+1.10450000000E+005, +2.08495539182E+002, +0.00000000000E+000
+1.11445000000E+005, +2.10352887955E+002, +0.00000000000E+000
+1.12440000000E+005, +2.12206423122E+002, +0.00000000000E+000
+1.13435000000E+005, +2.14053301247E+002, +0.00000000000E+000
+1.14430000000E+005, +2.15911059946E+002, +0.00000000000E+000
+1.15425000000E+005, +2.17776881372E+002, +0.00000000000E+000
