Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +1.05858135681E+002, +0.00000000000E+000
+2.51250000000E+004, +1.06420924324E+002, +0.00000000000E+000
+2.52500000000E+004, +1.06967753653E+002, +0.00000000000E+000
+2.53750000000E+004, +1.07505597368E+002, +0.00000000000E+000
+2.55000000000E+004, +1.08034455680E+002, +0.00000000000E+000
+2.56250000000E+004, +1.08562847195E+002, +0.00000000000E+000
+2.57500000000E+004, +1.09091797733E+002, +0.00000000000E+000
+2.58750000000E+004, +1.09623984828E+002, +0.00000000000E+000
+2.60000000000E+004, +1.10145377652E+002, +0.00000000000E+000
+2.61250000000E+004, +1.10673570752E+002, +0.00000000000E+000
+2.62500000000E+004, +1.11204420740E+002, +0.00000000000E+000
+2.63750000000E+004, +1.11731096204E+002, +0.00000000000E+000
+2.65000000000E+004, +1.12259898065E+002, +0.00000000000E+000
+2.66250000000E+004, +1.12788133611E+002, +0.00000000000E+000
+2.67500000000E+004, +1.13316078182E+002, +0.00000000000E+000
+2.68750000000E+004, +1.13848787121E+002, +0.00000000000E+000
+2.70000000000E+004, +1.14368262237E+002, +0.00000000000E+000
+2.71250000000E+004, +1.14900897437E+002, +0.00000000000E+000
+2.72500000000E+004, +1.15422269764E+002, +0.00000000000E+000
+2.73750000000E+004, +1.15955626552E+002, +0.00000000000E+000
+2.75000000000E+004, +1.16481611257E+002, +0.00000000000E+000
+2.76250000000E+004, +1.17011278043E+002, +0.00000000000E+000
+2.77500000000E+004, +1.17532555677E+002, +0.00000000000E+000
+2.78750000000E+004, +1.18059727165E+002, +0.00000000000E+000
+2.80000000000E+004, +1.18584627533E+002, +0.00000000000E+000
+2.81250000000E+004, +1.19110040762E+002, +0.00000000000E+000
+2.82500000000E+004, +1.19639099311E+002, +0.00000000000E+000
+2.83750000000E+004, +1.20158650247E+002, +0.00000000000E+000
+2.85000000000E+004, +1.20698704343E+002, +0.00000000000E+000
+2.86250000000E+004, +1.21216744954E+002, +0.00000000000E+000
+2.87500000000E+004, +1.21749176649E+002, +0.00000000000E+000
+2.88750000000E+004, +1.22277556483E+002, +0.00000000000E+000
+2.90000000000E+004, +1.22800446305E+002, +0.00000000000E+000
+2.91250000000E+004, +1.23327738277E+002, +0.00000000000E+000
+2.92500000000E+004, +1.23860150502E+002, +0.00000000000E+000
+2.93750000000E+004, +1.24384972320E+002, +0.00000000000E+000
+2.95000000000E+004, +1.24908792405E+002, +0.00000000000E+000
+2.96250000000E+004, +1.25436587472E+002, +0.00000000000E+000
+2.97500000000E+004, +1.25962091436E+002, +0.00000000000E+000
+2.98750000000E+004, +1.26489333544E+002, +0.00000000000E+000
+3.00000000000E+004, +1.27017914968E+002, +0.00000000000E+000
+3.01250000000E+004, +1.27541554322E+002, +0.00000000000E+000
+3.02500000000E+004, +1.28060279933E+002, +0.00000000000E+000
+3.03750000000E+004, +1.28582453310E+002, +0.00000000000E+000
+3.05000000000E+004, +1.29106562214E+002, +0.00000000000E+000
+3.06250000000E+004, +1.29624711216E+002, +0.00000000000E+000
