"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.85472677283E+001, +0.00000000000E+000
+2.51250000000E+004, -8.85536315173E+001, +0.00000000000E+000
+2.52500000000E+004, -8.85593009424E+001, +0.00000000000E+000
+2.53750000000E+004, -8.85882576623E+001, +0.00000000000E+000
+2.55000000000E+004, -8.85495070055E+001, +0.00000000000E+000
+2.56250000000E+004, -8.85783750555E+001, +0.00000000000E+000
+2.57500000000E+004, -8.85755781432E+001, +0.00000000000E+000
+2.58750000000E+004, -8.85587001950E+001, +0.00000000000E+000
+2.60000000000E+004, -8.85597204246E+001, +0.00000000000E+000
+2.61250000000E+004, -8.85522835054E+001, +0.00000000000E+000
+2.62500000000E+004, -8.85648925598E+001, +0.00000000000E+000
+2.63750000000E+004, -8.85751179965E+001, +0.00000000000E+000
+2.65000000000E+004, -8.85747916808E+001, +0.00000000000E+000
+2.66250000000E+004, -8.85565895308E+001, +0.00000000000E+000
+2.67500000000E+004, -8.85551254475E+001, +0.00000000000E+000
+2.68750000000E+004, -8.85709381178E+001, +0.00000000000E+000
+2.70000000000E+004, -8.85725015273E+001, +0.00000000000E+000
+2.71250000000E+004, -8.85704294366E+001, +0.00000000000E+000
+2.72500000000E+004, -8.85683187540E+001, +0.00000000000E+000
+2.73750000000E+004, -8.85438400208E+001, +0.00000000000E+000
+2.75000000000E+004, -8.85586405571E+001, +0.00000000000E+000
+2.76250000000E+004, -8.85516965555E+001, +0.00000000000E+000
+2.77500000000E+004, -8.85621811271E+001, +0.00000000000E+000
+2.78750000000E+004, -8.85190723877E+001, +0.00000000000E+000
+2.80000000000E+004, -8.85071174810E+001, +0.00000000000E+000
+2.81250000000E+004, -8.84983037800E+001, +0.00000000000E+000
+2.82500000000E+004, -8.84811788523E+001, +0.00000000000E+000
+2.83750000000E+004, -8.84595912083E+001, +0.00000000000E+000
+2.85000000000E+004, -8.84449325965E+001, +0.00000000000E+000
+2.86250000000E+004, -8.84145526370E+001, +0.00000000000E+000
+2.87500000000E+004, -8.84135248203E+001, +0.00000000000E+000
+2.88750000000E+004, -8.84104336800E+001, +0.00000000000E+000
+2.90000000000E+004, -8.83801975442E+001, +0.00000000000E+000
+2.91250000000E+004, -8.83713957765E+001, +0.00000000000E+000
+2.92500000000E+004, -8.82579991372E+001, +0.00000000000E+000
+2.93750000000E+004, -8.81617161416E+001, +0.00000000000E+000
+2.95000000000E+004, -8.81229400885E+001, +0.00000000000E+000
+2.96250000000E+004, -8.81921535639E+001, +0.00000000000E+000
+2.97500000000E+004, -8.81670712077E+001, +0.00000000000E+000
+2.98750000000E+004, -8.82474411633E+001, +0.00000000000E+000
+3.00000000000E+004, -8.82836330627E+001, +0.00000000000E+000
+3.01250000000E+004, -8.82878020957E+001, +0.00000000000E+000
+3.02500000000E+004, -8.82965226004E+001, +0.00000000000E+000
+3.03750000000E+004, -8.82880584138E+001, +0.00000000000E+000
+3.05000000000E+004, -8.83080413800E+001, +0.00000000000E+000
