Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.87380579575E+001, +0.00000000000E+000
+2.51250000000E+004, -8.87051040990E+001, +0.00000000000E+000
+2.52500000000E+004, -8.86838207436E+001, +0.00000000000E+000
+2.53750000000E+004, -8.86918401855E+001, +0.00000000000E+000
+2.55000000000E+004, -8.87111164409E+001, +0.00000000000E+000
+2.56250000000E+004, -8.87080121187E+001, +0.00000000000E+000
+2.57500000000E+004, -8.87000133054E+001, +0.00000000000E+000
+2.58750000000E+004, -8.87125218254E+001, +0.00000000000E+000
+2.60000000000E+004, -8.87531404786E+001, +0.00000000000E+000
+2.61250000000E+004, -8.86879833236E+001, +0.00000000000E+000
+2.62500000000E+004, -8.87067845870E+001, +0.00000000000E+000
+2.63750000000E+004, -8.87482494503E+001, +0.00000000000E+000
+2.65000000000E+004, -8.86862536056E+001, +0.00000000000E+000
+2.66250000000E+004, -8.86878454742E+001, +0.00000000000E+000
+2.67500000000E+004, -8.87091937372E+001, +0.00000000000E+000
+2.68750000000E+004, -8.86696389644E+001, +0.00000000000E+000
+2.70000000000E+004, -8.86867075311E+001, +0.00000000000E+000
+2.71250000000E+004, -8.86594072013E+001, +0.00000000000E+000
+2.72500000000E+004, -8.86883874523E+001, +0.00000000000E+000
+2.73750000000E+004, -8.86798356441E+001, +0.00000000000E+000
+2.75000000000E+004, -8.86563249651E+001, +0.00000000000E+000
+2.76250000000E+004, -8.86853809429E+001, +0.00000000000E+000
+2.77500000000E+004, -8.86364720302E+001, +0.00000000000E+000
+2.78750000000E+004, -8.86318394440E+001, +0.00000000000E+000
+2.80000000000E+004, -8.86593645458E+001, +0.00000000000E+000
+2.81250000000E+004, -8.86412445891E+001, +0.00000000000E+000
+2.82500000000E+004, -8.86043692072E+001, +0.00000000000E+000
+2.83750000000E+004, -8.85261947121E+001, +0.00000000000E+000
+2.85000000000E+004, -8.83935556977E+001, +0.00000000000E+000
+2.86250000000E+004, -8.82588656284E+001, +0.00000000000E+000
+2.87500000000E+004, -8.81355689126E+001, +0.00000000000E+000
+2.88750000000E+004, -8.81928600274E+001, +0.00000000000E+000
+2.90000000000E+004, -8.82538703462E+001, +0.00000000000E+000
+2.91250000000E+004, -8.83331753678E+001, +0.00000000000E+000
+2.92500000000E+004, -8.83833694069E+001, +0.00000000000E+000
+2.93750000000E+004, -8.84391899583E+001, +0.00000000000E+000
+2.95000000000E+004, -8.84640393607E+001, +0.00000000000E+000
+2.96250000000E+004, -8.84642237371E+001, +0.00000000000E+000
+2.97500000000E+004, -8.84852396700E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84785443487E+001, +0.00000000000E+000
+3.00000000000E+004, -8.84876943319E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84437342490E+001, +0.00000000000E+000
+3.02500000000E+004, -8.84701665975E+001, +0.00000000000E+000
+3.03750000000E+004, -8.84631796660E+001, +0.00000000000E+000
+3.05000000000E+004, -8.84645076624E+001, +0.00000000000E+000
+3.06250000000E+004, -8.84349226880E+001, +0.00000000000E+000
+3.07500000000E+004, -8.84355265964E+001, +0.00000000000E+000
+3.08750000000E+004, -8.83926636600E+001, +0.00000000000E+000
+3.10000000000E+004, -8.83699240104E+001, +0.00000000000E+000
+3.11250000000E+004, -8.83951670676E+001, +0.00000000000E+000
+3.12500000000E+004, -8.83517036994E+001, +0.00000000000E+000
+3.13750000000E+004, -8.83218963489E+001, +0.00000000000E+000
+3.15000000000E+004, -8.82862658983E+001, +0.00000000000E+000
+3.16250000000E+004, -8.82529045530E+001, +0.00000000000E+000
+3.17500000000E+004, -8.82330874281E+001, +0.00000000000E+000
+3.18750000000E+004, -8.81973910205E+001, +0.00000000000E+000
+3.20000000000E+004, -8.81514260766E+001, +0.00000000000E+000
+3.21250000000E+004, -8.81053036083E+001, +0.00000000000E+000
+3.22500000000E+004, -8.80374632855E+001, +0.00000000000E+000
+3.23750000000E+004, -8.79880281967E+001, +0.00000000000E+000
+3.25000000000E+004, -8.78674157286E+001, +0.00000000000E+000
+3.26250000000E+004, -8.77233884943E+001, +0.00000000000E+000
+3.27500000000E+004, -8.74565312030E+001, +0.00000000000E+000
+3.28750000000E+004, -8.71639659022E+001, +0.00000000000E+000
+3.30000000000E+004, -8.69298220084E+001, +0.00000000000E+000
+3.31250000000E+004, -8.69937518584E+001, +0.00000000000E+000
+3.32500000000E+004, -8.72269632253E+001, +0.00000000000E+000
+3.33750000000E+004, -8.74627262354E+001, +0.00000000000E+000
+3.35000000000E+004, -8.76324294149E+001, +0.00000000000E+000
+3.36250000000E+004, -8.77377794333E+001, +0.00000000000E+000
+3.37500000000E+004, -8.78139336484E+001, +0.00000000000E+000
+3.38750000000E+004, -8.78264534311E+001, +0.00000000000E+000
+3.40000000000E+004, -8.78275227926E+001, +0.00000000000E+000
+3.41250000000E+004, -8.77752788853E+001, +0.00000000000E+000
