"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.87881502493E+003, +0.00000000000E+000
+2.51250000000E+004, +2.86296943444E+003, +0.00000000000E+000
+2.52500000000E+004, +2.84583164484E+003, +0.00000000000E+000
+2.53750000000E+004, +2.82887625201E+003, +0.00000000000E+000
+2.55000000000E+004, +2.81067933862E+003, +0.00000000000E+000
+2.56250000000E+004, +2.79563747892E+003, +0.00000000000E+000
+2.57500000000E+004, +2.77648471222E+003, +0.00000000000E+000
+2.58750000000E+004, +2.76063368866E+003, +0.00000000000E+000
+2.60000000000E+004, +2.74561159265E+003, +0.00000000000E+000
+2.61250000000E+004, +2.73082966825E+003, +0.00000000000E+000
+2.62500000000E+004, +2.71423227883E+003, +0.00000000000E+000
+2.63750000000E+004, +2.69697854920E+003, +0.00000000000E+000
+2.65000000000E+004, +2.68152078649E+003, +0.00000000000E+000
+2.66250000000E+004, +2.66363478048E+003, +0.00000000000E+000
+2.67500000000E+004, +2.64864883966E+003, +0.00000000000E+000
+2.68750000000E+004, +2.63286377114E+003, +0.00000000000E+000
+2.70000000000E+004, +2.61709737800E+003, +0.00000000000E+000
+2.71250000000E+004, +2.60065571420E+003, +0.00000000000E+000
+2.72500000000E+004, +2.58432876979E+003, +0.00000000000E+000
+2.73750000000E+004, +2.56968414099E+003, +0.00000000000E+000
+2.75000000000E+004, +2.55463157447E+003, +0.00000000000E+000
+2.76250000000E+004, +2.54186200611E+003, +0.00000000000E+000
+2.77500000000E+004, +2.52896201628E+003, +0.00000000000E+000
+2.78750000000E+004, +2.51198424706E+003, +0.00000000000E+000
+2.80000000000E+004, +2.49615417367E+003, +0.00000000000E+000
+2.81250000000E+004, +2.48072584321E+003, +0.00000000000E+000
+2.82500000000E+004, +2.46527832413E+003, +0.00000000000E+000
+2.83750000000E+004, +2.45139252143E+003, +0.00000000000E+000
+2.85000000000E+004, +2.43803977893E+003, +0.00000000000E+000
+2.86250000000E+004, +2.42430572463E+003, +0.00000000000E+000
+2.87500000000E+004, +2.41016855023E+003, +0.00000000000E+000
+2.88750000000E+004, +2.39467923137E+003, +0.00000000000E+000
+2.90000000000E+004, +2.38146394693E+003, +0.00000000000E+000
+2.91250000000E+004, +2.36717528093E+003, +0.00000000000E+000
+2.92500000000E+004, +2.35253008941E+003, +0.00000000000E+000
+2.93750000000E+004, +2.33785015809E+003, +0.00000000000E+000
+2.95000000000E+004, +2.32408087846E+003, +0.00000000000E+000
+2.96250000000E+004, +2.30928104492E+003, +0.00000000000E+000
+2.97500000000E+004, +2.29574996890E+003, +0.00000000000E+000
+2.98750000000E+004, +2.28000722624E+003, +0.00000000000E+000
+3.00000000000E+004, +2.26668693310E+003, +0.00000000000E+000
+3.01250000000E+004, +2.25304210605E+003, +0.00000000000E+000
+3.02500000000E+004, +2.23875523852E+003, +0.00000000000E+000
+3.03750000000E+004, +2.22543236020E+003, +0.00000000000E+000
+3.05000000000E+004, +2.21050822816E+003, +0.00000000000E+000
+3.06250000000E+004, +2.19771482595E+003, +0.00000000000E+000
+3.07500000000E+004, +2.18200188845E+003, +0.00000000000E+000
+3.08750000000E+004, +2.16826128049E+003, +0.00000000000E+000
+3.10000000000E+004, +2.15357680673E+003, +0.00000000000E+000
+3.11250000000E+004, +2.14032138074E+003, +0.00000000000E+000
+3.12500000000E+004, +2.12604956231E+003, +0.00000000000E+000
+3.13750000000E+004, +2.11083268066E+003, +0.00000000000E+000
+3.15000000000E+004, +2.09659519226E+003, +0.00000000000E+000
+3.16250000000E+004, +2.08378033488E+003, +0.00000000000E+000
+3.17500000000E+004, +2.06824526622E+003, +0.00000000000E+000
+3.18750000000E+004, +2.05464269825E+003, +0.00000000000E+000
+3.20000000000E+004, +2.04143313492E+003, +0.00000000000E+000
+3.21250000000E+004, +2.02699741868E+003, +0.00000000000E+000
+3.22500000000E+004, +2.01326721176E+003, +0.00000000000E+000
+3.23750000000E+004, +2.00038371487E+003, +0.00000000000E+000
+3.25000000000E+004, +1.98700418841E+003, +0.00000000000E+000
+3.26250000000E+004, +1.97272333553E+003, +0.00000000000E+000
+3.27500000000E+004, +1.95958673440E+003, +0.00000000000E+000
+3.28750000000E+004, +1.94510004360E+003, +0.00000000000E+000
+3.30000000000E+004, +1.93135418122E+003, +0.00000000000E+000
+3.31250000000E+004, +1.91738035480E+003, +0.00000000000E+000
+3.32500000000E+004, +1.90174240251E+003, +0.00000000000E+000
+3.33750000000E+004, +1.88495999622E+003, +0.00000000000E+000
+3.35000000000E+004, +1.87053619698E+003, +0.00000000000E+000
+3.36250000000E+004, +1.85408625075E+003, +0.00000000000E+000
+3.37500000000E+004, +1.83855697397E+003, +0.00000000000E+000
+3.38750000000E+004, +1.82365590988E+003, +0.00000000000E+000
+3.40000000000E+004, +1.80762798141E+003, +0.00000000000E+000
+3.41250000000E+004, +1.79175606344E+003, +0.00000000000E+000
+3.42500000000E+004, +1.77690875030E+003, +0.00000000000E+000
+3.43750000000E+004, +1.76256959263E+003, +0.00000000000E+000
+3.45000000000E+004, +1.74584350555E+003, +0.00000000000E+000
+3.46250000000E+004, +1.72964384439E+003, +0.00000000000E+000
+3.47500000000E+004, +1.71320102099E+003, +0.00000000000E+000
+3.48750000000E+004, +1.69547404974E+003, +0.00000000000E+000
+3.50000000000E+004, +1.67843486536E+003, +0.00000000000E+000
+3.51250000000E+004, +1.66023479055E+003, +0.00000000000E+000
+3.52500000000E+004, +1.64204220899E+003, +0.00000000000E+000
+3.53750000000E+004, +1.62411287436E+003, +0.00000000000E+000
+3.55000000000E+004, +1.60554611085E+003, +0.00000000000E+000
+3.56250000000E+004, +1.58723496455E+003, +0.00000000000E+000
+3.57500000000E+004, +1.56864180970E+003, +0.00000000000E+000
+3.58750000000E+004, +1.54939807437E+003, +0.00000000000E+000
+3.60000000000E+004, +1.53056831838E+003, +0.00000000000E+000
+3.61250000000E+004, +1.51025724586E+003, +0.00000000000E+000
+3.62500000000E+004, +1.49033169535E+003, +0.00000000000E+000
+3.63750000000E+004, +1.47010397437E+003, +0.00000000000E+000
+3.65000000000E+004, +1.44954771358E+003, +0.00000000000E+000
+3.66250000000E+004, +1.42893869829E+003, +0.00000000000E+000
+3.67500000000E+004, +1.40727486897E+003, +0.00000000000E+000
+3.68750000000E+004, +1.38539804173E+003, +0.00000000000E+000
+3.70000000000E+004, +1.36342049236E+003, +0.00000000000E+000
+3.71250000000E+004, +1.34054685772E+003, +0.00000000000E+000
+3.72500000000E+004, +1.31718712397E+003, +0.00000000000E+000
+3.73750000000E+004, +1.29219464039E+003, +0.00000000000E+000
+3.75000000000E+004, +1.26641543479E+003, +0.00000000000E+000
+3.76250000000E+004, +1.24033625534E+003, +0.00000000000E+000
+3.77500000000E+004, +1.21301986020E+003, +0.00000000000E+000
+3.78750000000E+004, +1.18484605181E+003, +0.00000000000E+000
+3.80000000000E+004, +1.15465952824E+003, +0.00000000000E+000
+3.81250000000E+004, +1.12158247200E+003, +0.00000000000E+000
+3.82500000000E+004, +1.08701987176E+003, +0.00000000000E+000
+3.83750000000E+004, +1.05056841351E+003, +0.00000000000E+000
+3.85000000000E+004, +1.01296379837E+003, +0.00000000000E+000
+3.86250000000E+004, +9.73377756946E+002, +0.00000000000E+000
+3.87500000000E+004, +9.31836924936E+002, +0.00000000000E+000
+3.88750000000E+004, +8.86966785570E+002, +0.00000000000E+000
+3.90000000000E+004, +8.37811657169E+002, +0.00000000000E+000
+3.91250000000E+004, +7.85457769689E+002, +0.00000000000E+000
+3.92500000000E+004, +7.31829454881E+002, +0.00000000000E+000
+3.93750000000E+004, +6.79934931321E+002, +0.00000000000E+000
+3.95000000000E+004, +6.32552734344E+002, +0.00000000000E+000
+3.96250000000E+004, +5.92835811628E+002, +0.00000000000E+000
+3.97500000000E+004, +5.69000264271E+002, +0.00000000000E+000
+3.98750000000E+004, +5.71248552209E+002, +0.00000000000E+000
+4.00000000000E+004, +6.20967243317E+002, +0.00000000000E+000
+4.01250000000E+004, +7.36051891958E+002, +0.00000000000E+000
+4.02500000000E+004, +9.25402936587E+002, +0.00000000000E+000
+4.03750000000E+004, +1.19354216348E+003, +0.00000000000E+000
+4.05000000000E+004, +1.55217722098E+003, +0.00000000000E+000
+4.06250000000E+004, +2.02905730454E+003, +0.00000000000E+000
+4.07500000000E+004, +2.68336109781E+003, +0.00000000000E+000
+4.08750000000E+004, +3.59698815790E+003, +0.00000000000E+000
+4.10000000000E+004, +4.84286305255E+003, +0.00000000000E+000
+4.11250000000E+004, +6.25055762317E+003, +0.00000000000E+000
+4.12500000000E+004, +7.19769956728E+003, +0.00000000000E+000
+4.13750000000E+004, +7.17756595409E+003, +0.00000000000E+000
+4.15000000000E+004, +6.55940746007E+003, +0.00000000000E+000
+4.16250000000E+004, +5.81733202762E+003, +0.00000000000E+000
+4.17500000000E+004, +5.16354465487E+003, +0.00000000000E+000
+4.18750000000E+004, +4.64689361700E+003, +0.00000000000E+000
+4.20000000000E+004, +4.22898730776E+003, +0.00000000000E+000
+4.21250000000E+004, +3.89973492699E+003, +0.00000000000E+000
+4.22500000000E+004, +3.63921960554E+003, +0.00000000000E+000
+4.23750000000E+004, +3.42207560147E+003, +0.00000000000E+000
+4.25000000000E+004, +3.24429527440E+003, +0.00000000000E+000
+4.26250000000E+004, +3.09326093227E+003, +0.00000000000E+000
+4.27500000000E+004, +2.96283293595E+003, +0.00000000000E+000
+4.28750000000E+004, +2.84722961543E+003, +0.00000000000E+000
+4.30000000000E+004, +2.74748537966E+003, +0.00000000000E+000
+4.31250000000E+004, +2.65786391181E+003, +0.00000000000E+000
+4.32500000000E+004, +2.57859234221E+003, +0.00000000000E+000
+4.33750000000E+004, +2.50550777610E+003, +0.00000000000E+000
+4.35000000000E+004, +2.44135219695E+003, +0.00000000000E+000
+4.36250000000E+004, +2.37927834429E+003, +0.00000000000E+000
+4.37500000000E+004, +2.32465419020E+003, +0.00000000000E+000
+4.38750000000E+004, +2.27205972157E+003, +0.00000000000E+000
+4.40000000000E+004, +2.22356201138E+003, +0.00000000000E+000
+4.41250000000E+004, +2.17893324641E+003, +0.00000000000E+000
+4.42500000000E+004, +2.13586065372E+003, +0.00000000000E+000
+4.43750000000E+004, +2.09598754751E+003, +0.00000000000E+000
+4.45000000000E+004, +2.05928199651E+003, +0.00000000000E+000
+4.46250000000E+004, +2.02412458238E+003, +0.00000000000E+000
+4.47500000000E+004, +1.99191853097E+003, +0.00000000000E+000
+4.48750000000E+004, +1.95928942770E+003, +0.00000000000E+000
+4.50000000000E+004, +1.92836137317E+003, +0.00000000000E+000
+4.51250000000E+004, +1.89959907386E+003, +0.00000000000E+000
+4.52500000000E+004, +1.87121295486E+003, +0.00000000000E+000
+4.53750000000E+004, +1.84347305365E+003, +0.00000000000E+000
+4.55000000000E+004, +1.81665151186E+003, +0.00000000000E+000
+4.56250000000E+004, +1.79021823575E+003, +0.00000000000E+000
+4.57500000000E+004, +1.76507314166E+003, +0.00000000000E+000
+4.58750000000E+004, +1.74040437857E+003, +0.00000000000E+000
+4.60000000000E+004, +1.71518174875E+003, +0.00000000000E+000
+4.61250000000E+004, +1.69191289997E+003, +0.00000000000E+000
+4.62500000000E+004, +1.66743720119E+003, +0.00000000000E+000
+4.63750000000E+004, +1.64415535388E+003, +0.00000000000E+000
+4.65000000000E+004, +1.62085419955E+003, +0.00000000000E+000
+4.66250000000E+004, +1.59832120986E+003, +0.00000000000E+000
+4.67500000000E+004, +1.57554430050E+003, +0.00000000000E+000
+4.68750000000E+004, +1.55263552793E+003, +0.00000000000E+000
+4.70000000000E+004, +1.52959658889E+003, +0.00000000000E+000
+4.71250000000E+004, +1.50714716814E+003, +0.00000000000E+000
+4.72500000000E+004, +1.48443832811E+003, +0.00000000000E+000
+4.73750000000E+004, +1.46174762761E+003, +0.00000000000E+000
+4.75000000000E+004, +1.43868452639E+003, +0.00000000000E+000
+4.76250000000E+004, +1.41556045754E+003, +0.00000000000E+000
+4.77500000000E+004, +1.39261056014E+003, +0.00000000000E+000
+4.78750000000E+004, +1.36867074547E+003, +0.00000000000E+000
+4.80000000000E+004, +1.34503531006E+003, +0.00000000000E+000
+4.81250000000E+004, +1.32096298571E+003, +0.00000000000E+000
+4.82500000000E+004, +1.29600120710E+003, +0.00000000000E+000
+4.83750000000E+004, +1.27083181720E+003, +0.00000000000E+000
+4.85000000000E+004, +1.24513775434E+003, +0.00000000000E+000
+4.86250000000E+004, +1.21868195572E+003, +0.00000000000E+000
+4.87500000000E+004, +1.19169595940E+003, +0.00000000000E+000
+4.88750000000E+004, +1.16386509637E+003, +0.00000000000E+000
+4.90000000000E+004, +1.13523853240E+003, +0.00000000000E+000
+4.91250000000E+004, +1.10551260956E+003, +0.00000000000E+000
+4.92500000000E+004, +1.07482928448E+003, +0.00000000000E+000
+4.93750000000E+004, +1.04295487635E+003, +0.00000000000E+000
+4.95000000000E+004, +1.00956510025E+003, +0.00000000000E+000
+4.96250000000E+004, +9.74680932426E+002, +0.00000000000E+000
+4.97500000000E+004, +9.38078312166E+002, +0.00000000000E+000
+4.98750000000E+004, +8.99510423721E+002, +0.00000000000E+000
+5.00000000000E+004, +8.58886776005E+002, +0.00000000000E+000
