"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.90706327611E+003, +0.00000000000E+000
+2.51250000000E+004, +2.88977057009E+003, +0.00000000000E+000
+2.52500000000E+004, +2.87132575701E+003, +0.00000000000E+000
+2.53750000000E+004, +2.85489411619E+003, +0.00000000000E+000
+2.55000000000E+004, +2.83945696984E+003, +0.00000000000E+000
+2.56250000000E+004, +2.82068808049E+003, +0.00000000000E+000
+2.57500000000E+004, +2.80179539453E+003, +0.00000000000E+000
+2.58750000000E+004, +2.78672163321E+003, +0.00000000000E+000
+2.60000000000E+004, +2.76895485276E+003, +0.00000000000E+000
+2.61250000000E+004, +2.75426834100E+003, +0.00000000000E+000
+2.62500000000E+004, +2.73825887842E+003, +0.00000000000E+000
+2.63750000000E+004, +2.72102881258E+003, +0.00000000000E+000
+2.65000000000E+004, +2.70588625733E+003, +0.00000000000E+000
+2.66250000000E+004, +2.69046251250E+003, +0.00000000000E+000
+2.67500000000E+004, +2.67464122052E+003, +0.00000000000E+000
+2.68750000000E+004, +2.65967523238E+003, +0.00000000000E+000
+2.70000000000E+004, +2.64265721652E+003, +0.00000000000E+000
+2.71250000000E+004, +2.62939296110E+003, +0.00000000000E+000
+2.72500000000E+004, +2.61075819196E+003, +0.00000000000E+000
+2.73750000000E+004, +2.59726109323E+003, +0.00000000000E+000
+2.75000000000E+004, +2.58064663884E+003, +0.00000000000E+000
+2.76250000000E+004, +2.56719723806E+003, +0.00000000000E+000
+2.77500000000E+004, +2.55131594177E+003, +0.00000000000E+000
+2.78750000000E+004, +2.53610690872E+003, +0.00000000000E+000
+2.80000000000E+004, +2.52128615437E+003, +0.00000000000E+000
+2.81250000000E+004, +2.50614111277E+003, +0.00000000000E+000
+2.82500000000E+004, +2.48954966996E+003, +0.00000000000E+000
+2.83750000000E+004, +2.47465557692E+003, +0.00000000000E+000
+2.85000000000E+004, +2.45931643001E+003, +0.00000000000E+000
+2.86250000000E+004, +2.44485070361E+003, +0.00000000000E+000
+2.87500000000E+004, +2.42962505291E+003, +0.00000000000E+000
+2.88750000000E+004, +2.41479369670E+003, +0.00000000000E+000
+2.90000000000E+004, +2.40053981850E+003, +0.00000000000E+000
+2.91250000000E+004, +2.38675684007E+003, +0.00000000000E+000
+2.92500000000E+004, +2.37022553935E+003, +0.00000000000E+000
+2.93750000000E+004, +2.35763094368E+003, +0.00000000000E+000
+2.95000000000E+004, +2.34275443913E+003, +0.00000000000E+000
+2.96250000000E+004, +2.32806185712E+003, +0.00000000000E+000
+2.97500000000E+004, +2.31287605676E+003, +0.00000000000E+000
+2.98750000000E+004, +2.29862347199E+003, +0.00000000000E+000
+3.00000000000E+004, +2.28507927557E+003, +0.00000000000E+000
+3.01250000000E+004, +2.26954401979E+003, +0.00000000000E+000
+3.02500000000E+004, +2.25535616453E+003, +0.00000000000E+000
+3.03750000000E+004, +2.24041147879E+003, +0.00000000000E+000
+3.05000000000E+004, +2.22587570320E+003, +0.00000000000E+000
+3.06250000000E+004, +2.21199888375E+003, +0.00000000000E+000
+3.07500000000E+004, +2.19882826640E+003, +0.00000000000E+000
+3.08750000000E+004, +2.18343395269E+003, +0.00000000000E+000
+3.10000000000E+004, +2.17007613506E+003, +0.00000000000E+000
+3.11250000000E+004, +2.15667425786E+003, +0.00000000000E+000
+3.12500000000E+004, +2.14373956558E+003, +0.00000000000E+000
+3.13750000000E+004, +2.13016391813E+003, +0.00000000000E+000
+3.15000000000E+004, +2.11635111835E+003, +0.00000000000E+000
+3.16250000000E+004, +2.10352674031E+003, +0.00000000000E+000
+3.17500000000E+004, +2.08940557060E+003, +0.00000000000E+000
+3.18750000000E+004, +2.07717380616E+003, +0.00000000000E+000
+3.20000000000E+004, +2.06246057573E+003, +0.00000000000E+000
+3.21250000000E+004, +2.04922359272E+003, +0.00000000000E+000
+3.22500000000E+004, +2.03373395918E+003, +0.00000000000E+000
+3.23750000000E+004, +2.01930095159E+003, +0.00000000000E+000
+3.25000000000E+004, +2.00563551317E+003, +0.00000000000E+000
+3.26250000000E+004, +1.99139308036E+003, +0.00000000000E+000
+3.27500000000E+004, +1.97658113509E+003, +0.00000000000E+000
+3.28750000000E+004, +1.96300507890E+003, +0.00000000000E+000
+3.30000000000E+004, +1.95037215706E+003, +0.00000000000E+000
+3.31250000000E+004, +1.93608676984E+003, +0.00000000000E+000
+3.32500000000E+004, +1.92466758758E+003, +0.00000000000E+000
+3.33750000000E+004, +1.91465877611E+003, +0.00000000000E+000
+3.35000000000E+004, +1.90399042985E+003, +0.00000000000E+000
+3.36250000000E+004, +1.88969297854E+003, +0.00000000000E+000
+3.37500000000E+004, +1.87526088232E+003, +0.00000000000E+000
+3.38750000000E+004, +1.85875978398E+003, +0.00000000000E+000
+3.40000000000E+004, +1.84122118075E+003, +0.00000000000E+000
+3.41250000000E+004, +1.82542136827E+003, +0.00000000000E+000
+3.42500000000E+004, +1.80791140416E+003, +0.00000000000E+000
+3.43750000000E+004, +1.79189444454E+003, +0.00000000000E+000
+3.45000000000E+004, +1.77426327828E+003, +0.00000000000E+000
+3.46250000000E+004, +1.75760286048E+003, +0.00000000000E+000
+3.47500000000E+004, +1.74048699481E+003, +0.00000000000E+000
+3.48750000000E+004, +1.72306439823E+003, +0.00000000000E+000
+3.50000000000E+004, +1.70589174703E+003, +0.00000000000E+000
+3.51250000000E+004, +1.68803211191E+003, +0.00000000000E+000
+3.52500000000E+004, +1.66918405319E+003, +0.00000000000E+000
+3.53750000000E+004, +1.65112734783E+003, +0.00000000000E+000
+3.55000000000E+004, +1.63240005700E+003, +0.00000000000E+000
+3.56250000000E+004, +1.61379677208E+003, +0.00000000000E+000
+3.57500000000E+004, +1.59495982420E+003, +0.00000000000E+000
+3.58750000000E+004, +1.57513597306E+003, +0.00000000000E+000
+3.60000000000E+004, +1.55629359272E+003, +0.00000000000E+000
+3.61250000000E+004, +1.53624284950E+003, +0.00000000000E+000
+3.62500000000E+004, +1.51644701579E+003, +0.00000000000E+000
+3.63750000000E+004, +1.49611082054E+003, +0.00000000000E+000
+3.65000000000E+004, +1.47590318287E+003, +0.00000000000E+000
+3.66250000000E+004, +1.45485580140E+003, +0.00000000000E+000
+3.67500000000E+004, +1.43361822009E+003, +0.00000000000E+000
+3.68750000000E+004, +1.41234340764E+003, +0.00000000000E+000
+3.70000000000E+004, +1.39111748220E+003, +0.00000000000E+000
+3.71250000000E+004, +1.37010887773E+003, +0.00000000000E+000
+3.72500000000E+004, +1.34718919121E+003, +0.00000000000E+000
+3.73750000000E+004, +1.32325032799E+003, +0.00000000000E+000
+3.75000000000E+004, +1.29865966086E+003, +0.00000000000E+000
+3.76250000000E+004, +1.27368365109E+003, +0.00000000000E+000
+3.77500000000E+004, +1.24911479062E+003, +0.00000000000E+000
+3.78750000000E+004, +1.22342792261E+003, +0.00000000000E+000
+3.80000000000E+004, +1.19560965151E+003, +0.00000000000E+000
+3.81250000000E+004, +1.16545531624E+003, +0.00000000000E+000
+3.82500000000E+004, +1.13331285685E+003, +0.00000000000E+000
+3.83750000000E+004, +1.09985612517E+003, +0.00000000000E+000
+3.85000000000E+004, +1.06569119869E+003, +0.00000000000E+000
+3.86250000000E+004, +1.02998420591E+003, +0.00000000000E+000
+3.87500000000E+004, +9.92142962282E+002, +0.00000000000E+000
+3.88750000000E+004, +9.51586544297E+002, +0.00000000000E+000
+3.90000000000E+004, +9.07204081073E+002, +0.00000000000E+000
+3.91250000000E+004, +8.59780828945E+002, +0.00000000000E+000
+3.92500000000E+004, +8.10075760728E+002, +0.00000000000E+000
+3.93750000000E+004, +7.60244058205E+002, +0.00000000000E+000
+3.95000000000E+004, +7.10799414168E+002, +0.00000000000E+000
+3.96250000000E+004, +6.62830753764E+002, +0.00000000000E+000
+3.97500000000E+004, +6.18229523149E+002, +0.00000000000E+000
+3.98750000000E+004, +5.82081944886E+002, +0.00000000000E+000
+4.00000000000E+004, +5.69036079915E+002, +0.00000000000E+000
+4.01250000000E+004, +5.99349779438E+002, +0.00000000000E+000
+4.02500000000E+004, +6.91589633308E+002, +0.00000000000E+000
+4.03750000000E+004, +8.53931781097E+002, +0.00000000000E+000
+4.05000000000E+004, +1.09036144558E+003, +0.00000000000E+000
+4.06250000000E+004, +1.41243415582E+003, +0.00000000000E+000
+4.07500000000E+004, +1.85202990551E+003, +0.00000000000E+000
+4.08750000000E+004, +2.46034224558E+003, +0.00000000000E+000
+4.10000000000E+004, +3.30844293954E+003, +0.00000000000E+000
+4.11250000000E+004, +4.44188184324E+003, +0.00000000000E+000
+4.12500000000E+004, +5.74540803213E+003, +0.00000000000E+000
+4.13750000000E+004, +6.71278487765E+003, +0.00000000000E+000
+4.15000000000E+004, +6.85542501176E+003, +0.00000000000E+000
+4.16250000000E+004, +6.35537550966E+003, +0.00000000000E+000
+4.17500000000E+004, +5.66497971496E+003, +0.00000000000E+000
+4.18750000000E+004, +5.04202545821E+003, +0.00000000000E+000
+4.20000000000E+004, +4.52687124079E+003, +0.00000000000E+000
+4.21250000000E+004, +4.12769172471E+003, +0.00000000000E+000
+4.22500000000E+004, +3.80904752229E+003, +0.00000000000E+000
+4.23750000000E+004, +3.55610159930E+003, +0.00000000000E+000
+4.25000000000E+004, +3.35213374137E+003, +0.00000000000E+000
+4.26250000000E+004, +3.17789357872E+003, +0.00000000000E+000
+4.27500000000E+004, +3.03046899102E+003, +0.00000000000E+000
+4.28750000000E+004, +2.90301231242E+003, +0.00000000000E+000
+4.30000000000E+004, +2.79130407689E+003, +0.00000000000E+000
+4.31250000000E+004, +2.69430674377E+003, +0.00000000000E+000
+4.32500000000E+004, +2.60623629359E+003, +0.00000000000E+000
+4.33750000000E+004, +2.52714295392E+003, +0.00000000000E+000
+4.35000000000E+004, +2.45788125098E+003, +0.00000000000E+000
+4.36250000000E+004, +2.39267979649E+003, +0.00000000000E+000
+4.37500000000E+004, +2.33332293980E+003, +0.00000000000E+000
+4.38750000000E+004, +2.27903611320E+003, +0.00000000000E+000
+4.40000000000E+004, +2.22857701855E+003, +0.00000000000E+000
+4.41250000000E+004, +2.18061010962E+003, +0.00000000000E+000
+4.42500000000E+004, +2.13724577305E+003, +0.00000000000E+000
+4.43750000000E+004, +2.09517893962E+003, +0.00000000000E+000
+4.45000000000E+004, +2.05649888741E+003, +0.00000000000E+000
+4.46250000000E+004, +2.01978801504E+003, +0.00000000000E+000
+4.47500000000E+004, +1.98455059246E+003, +0.00000000000E+000
+4.48750000000E+004, +1.95162492661E+003, +0.00000000000E+000
+4.50000000000E+004, +1.91906718833E+003, +0.00000000000E+000
+4.51250000000E+004, +1.88869326611E+003, +0.00000000000E+000
+4.52500000000E+004, +1.85903729427E+003, +0.00000000000E+000
+4.53750000000E+004, +1.82997646748E+003, +0.00000000000E+000
+4.55000000000E+004, +1.80198691707E+003, +0.00000000000E+000
+4.56250000000E+004, +1.77477445040E+003, +0.00000000000E+000
+4.57500000000E+004, +1.74834561114E+003, +0.00000000000E+000
+4.58750000000E+004, +1.72287301777E+003, +0.00000000000E+000
+4.60000000000E+004, +1.69789866309E+003, +0.00000000000E+000
+4.61250000000E+004, +1.67251803539E+003, +0.00000000000E+000
+4.62500000000E+004, +1.64884186996E+003, +0.00000000000E+000
+4.63750000000E+004, +1.62475054556E+003, +0.00000000000E+000
+4.65000000000E+004, +1.60122849908E+003, +0.00000000000E+000
+4.66250000000E+004, +1.57798799190E+003, +0.00000000000E+000
+4.67500000000E+004, +1.55499714877E+003, +0.00000000000E+000
+4.68750000000E+004, +1.53219484960E+003, +0.00000000000E+000
+4.70000000000E+004, +1.50923223551E+003, +0.00000000000E+000
+4.71250000000E+004, +1.48655725409E+003, +0.00000000000E+000
+4.72500000000E+004, +1.46341126548E+003, +0.00000000000E+000
+4.73750000000E+004, +1.44080491140E+003, +0.00000000000E+000
+4.75000000000E+004, +1.41811754598E+003, +0.00000000000E+000
+4.76250000000E+004, +1.39509768025E+003, +0.00000000000E+000
+4.77500000000E+004, +1.37194599873E+003, +0.00000000000E+000
+4.78750000000E+004, +1.34891179931E+003, +0.00000000000E+000
+4.80000000000E+004, +1.32553323077E+003, +0.00000000000E+000
+4.81250000000E+004, +1.30198002002E+003, +0.00000000000E+000
+4.82500000000E+004, +1.27766065190E+003, +0.00000000000E+000
+4.83750000000E+004, +1.25356578592E+003, +0.00000000000E+000
+4.85000000000E+004, +1.22852452977E+003, +0.00000000000E+000
+4.86250000000E+004, +1.20352947117E+003, +0.00000000000E+000
+4.87500000000E+004, +1.17774144415E+003, +0.00000000000E+000
+4.88750000000E+004, +1.15121698253E+003, +0.00000000000E+000
+4.90000000000E+004, +1.12448558041E+003, +0.00000000000E+000
+4.91250000000E+004, +1.09649543285E+003, +0.00000000000E+000
+4.92500000000E+004, +1.06817407013E+003, +0.00000000000E+000
+4.93750000000E+004, +1.03869738738E+003, +0.00000000000E+000
+4.95000000000E+004, +1.00836376215E+003, +0.00000000000E+000
+4.96250000000E+004, +9.76800647307E+002, +0.00000000000E+000
+4.97500000000E+004, +9.44156124978E+002, +0.00000000000E+000
+4.98750000000E+004, +9.10144732757E+002, +0.00000000000E+000
+5.00000000000E+004, +8.74765323278E+002, +0.00000000000E+000
