Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +2.70341000713E+003, +0.00000000000E+000
+2.51250000000E+004, +2.68874330086E+003, +0.00000000000E+000
+2.52500000000E+004, +2.67175787569E+003, +0.00000000000E+000
+2.53750000000E+004, +2.65614705236E+003, +0.00000000000E+000
+2.55000000000E+004, +2.64198720176E+003, +0.00000000000E+000
+2.56250000000E+004, +2.62658569149E+003, +0.00000000000E+000
+2.57500000000E+004, +2.61049476117E+003, +0.00000000000E+000
+2.58750000000E+004, +2.59506163103E+003, +0.00000000000E+000
+2.60000000000E+004, +2.57883846406E+003, +0.00000000000E+000
+2.61250000000E+004, +2.56571449313E+003, +0.00000000000E+000
+2.62500000000E+004, +2.54735650151E+003, +0.00000000000E+000
+2.63750000000E+004, +2.53433138285E+003, +0.00000000000E+000
+2.65000000000E+004, +2.51881028130E+003, +0.00000000000E+000
+2.66250000000E+004, +2.50357014895E+003, +0.00000000000E+000
+2.67500000000E+004, +2.48865868901E+003, +0.00000000000E+000
+2.68750000000E+004, +2.47393595378E+003, +0.00000000000E+000
+2.70000000000E+004, +2.45773121859E+003, +0.00000000000E+000
+2.71250000000E+004, +2.44360542191E+003, +0.00000000000E+000
+2.72500000000E+004, +2.43016416439E+003, +0.00000000000E+000
+2.73750000000E+004, +2.41528222614E+003, +0.00000000000E+000
+2.75000000000E+004, +2.39966384858E+003, +0.00000000000E+000
+2.76250000000E+004, +2.38530019319E+003, +0.00000000000E+000
+2.77500000000E+004, +2.37153726756E+003, +0.00000000000E+000
+2.78750000000E+004, +2.35445550122E+003, +0.00000000000E+000
+2.80000000000E+004, +2.33952929718E+003, +0.00000000000E+000
+2.81250000000E+004, +2.32162814699E+003, +0.00000000000E+000
+2.82500000000E+004, +2.30718171824E+003, +0.00000000000E+000
+2.83750000000E+004, +2.29105209687E+003, +0.00000000000E+000
+2.85000000000E+004, +2.27469295128E+003, +0.00000000000E+000
+2.86250000000E+004, +2.26231394363E+003, +0.00000000000E+000
+2.87500000000E+004, +2.25562957719E+003, +0.00000000000E+000
+2.88750000000E+004, +2.25818279894E+003, +0.00000000000E+000
+2.90000000000E+004, +2.25755498334E+003, +0.00000000000E+000
+2.91250000000E+004, +2.24976330139E+003, +0.00000000000E+000
+2.92500000000E+004, +2.23688656870E+003, +0.00000000000E+000
+2.93750000000E+004, +2.22366156067E+003, +0.00000000000E+000
+2.95000000000E+004, +2.20937391698E+003, +0.00000000000E+000
+2.96250000000E+004, +2.19518190239E+003, +0.00000000000E+000
+2.97500000000E+004, +2.18012607568E+003, +0.00000000000E+000
+2.98750000000E+004, +2.16627589177E+003, +0.00000000000E+000
+3.00000000000E+004, +2.15244322726E+003, +0.00000000000E+000
+3.01250000000E+004, +2.13812749764E+003, +0.00000000000E+000
+3.02500000000E+004, +2.12456834446E+003, +0.00000000000E+000
+3.03750000000E+004, +2.11089128327E+003, +0.00000000000E+000
+3.05000000000E+004, +2.09662100251E+003, +0.00000000000E+000
+3.06250000000E+004, +2.08428480439E+003, +0.00000000000E+000
+3.07500000000E+004, +2.07117794786E+003, +0.00000000000E+000
+3.08750000000E+004, +2.05632827156E+003, +0.00000000000E+000
+3.10000000000E+004, +2.04383100056E+003, +0.00000000000E+000
+3.11250000000E+004, +2.03042796198E+003, +0.00000000000E+000
+3.12500000000E+004, +2.01790031305E+003, +0.00000000000E+000
+3.13750000000E+004, +2.00389571538E+003, +0.00000000000E+000
+3.15000000000E+004, +1.98985721095E+003, +0.00000000000E+000
+3.16250000000E+004, +1.97675248478E+003, +0.00000000000E+000
+3.17500000000E+004, +1.96371834156E+003, +0.00000000000E+000
+3.18750000000E+004, +1.95158109947E+003, +0.00000000000E+000
+3.20000000000E+004, +1.93810146580E+003, +0.00000000000E+000
+3.21250000000E+004, +1.92324716555E+003, +0.00000000000E+000
+3.22500000000E+004, +1.91041086095E+003, +0.00000000000E+000
+3.23750000000E+004, +1.89692406033E+003, +0.00000000000E+000
+3.25000000000E+004, +1.88309986807E+003, +0.00000000000E+000
+3.26250000000E+004, +1.87079905495E+003, +0.00000000000E+000
+3.27500000000E+004, +1.86004934074E+003, +0.00000000000E+000
+3.28750000000E+004, +1.85274471083E+003, +0.00000000000E+000
+3.30000000000E+004, +1.84199117105E+003, +0.00000000000E+000
+3.31250000000E+004, +1.82915602053E+003, +0.00000000000E+000
+3.32500000000E+004, +1.81655139682E+003, +0.00000000000E+000
+3.33750000000E+004, +1.80265185111E+003, +0.00000000000E+000
+3.35000000000E+004, +1.78906409224E+003, +0.00000000000E+000
+3.36250000000E+004, +1.77513708912E+003, +0.00000000000E+000
+3.37500000000E+004, +1.76106064080E+003, +0.00000000000E+000
+3.38750000000E+004, +1.74676818981E+003, +0.00000000000E+000
+3.40000000000E+004, +1.73173179380E+003, +0.00000000000E+000
+3.41250000000E+004, +1.71679931518E+003, +0.00000000000E+000
+3.42500000000E+004, +1.70212826338E+003, +0.00000000000E+000
+3.43750000000E+004, +1.68665686841E+003, +0.00000000000E+000
+3.45000000000E+004, +1.67131354354E+003, +0.00000000000E+000
+3.46250000000E+004, +1.65618377079E+003, +0.00000000000E+000
+3.47500000000E+004, +1.64001977992E+003, +0.00000000000E+000
+3.48750000000E+004, +1.62472597636E+003, +0.00000000000E+000
+3.50000000000E+004, +1.60832288950E+003, +0.00000000000E+000
+3.51250000000E+004, +1.59189708952E+003, +0.00000000000E+000
+3.52500000000E+004, +1.57508616367E+003, +0.00000000000E+000
+3.53750000000E+004, +1.55814243556E+003, +0.00000000000E+000
+3.55000000000E+004, +1.54135314771E+003, +0.00000000000E+000
+3.56250000000E+004, +1.52335273713E+003, +0.00000000000E+000
+3.57500000000E+004, +1.50543824755E+003, +0.00000000000E+000
+3.58750000000E+004, +1.48733285316E+003, +0.00000000000E+000
+3.60000000000E+004, +1.46885263112E+003, +0.00000000000E+000
+3.61250000000E+004, +1.45028593819E+003, +0.00000000000E+000
+3.62500000000E+004, +1.43022007465E+003, +0.00000000000E+000
+3.63750000000E+004, +1.41069112722E+003, +0.00000000000E+000
+3.65000000000E+004, +1.39108889675E+003, +0.00000000000E+000
+3.66250000000E+004, +1.37118119475E+003, +0.00000000000E+000
+3.67500000000E+004, +1.35017096730E+003, +0.00000000000E+000
+3.68750000000E+004, +1.32927566713E+003, +0.00000000000E+000
+3.70000000000E+004, +1.30812210714E+003, +0.00000000000E+000
+3.71250000000E+004, +1.28684403492E+003, +0.00000000000E+000
+3.72500000000E+004, +1.26523600113E+003, +0.00000000000E+000
+3.73750000000E+004, +1.24259442109E+003, +0.00000000000E+000
+3.75000000000E+004, +1.21889509241E+003, +0.00000000000E+000
+3.76250000000E+004, +1.19567984599E+003, +0.00000000000E+000
+3.77500000000E+004, +1.17173780667E+003, +0.00000000000E+000
+3.78750000000E+004, +1.14770542205E+003, +0.00000000000E+000
+3.80000000000E+004, +1.12262908471E+003, +0.00000000000E+000
+3.81250000000E+004, +1.09573310811E+003, +0.00000000000E+000
+3.82500000000E+004, +1.06698687606E+003, +0.00000000000E+000
+3.83750000000E+004, +1.03634108900E+003, +0.00000000000E+000
+3.85000000000E+004, +1.00501749712E+003, +0.00000000000E+000
+3.86250000000E+004, +9.72630578253E+002, +0.00000000000E+000
+3.87500000000E+004, +9.38298164389E+002, +0.00000000000E+000
+3.88750000000E+004, +9.02160339824E+002, +0.00000000000E+000
+3.90000000000E+004, +8.62378105327E+002, +0.00000000000E+000
+3.91250000000E+004, +8.19188906445E+002, +0.00000000000E+000
+3.92500000000E+004, +7.72663902465E+002, +0.00000000000E+000
+3.93750000000E+004, +7.25222631674E+002, +0.00000000000E+000
+3.95000000000E+004, +6.78568692263E+002, +0.00000000000E+000
+3.96250000000E+004, +6.34000157241E+002, +0.00000000000E+000
+3.97500000000E+004, +5.93877846333E+002, +0.00000000000E+000
+3.98750000000E+004, +5.61988204608E+002, +0.00000000000E+000
+4.00000000000E+004, +5.48638181904E+002, +0.00000000000E+000
+4.01250000000E+004, +5.74041022139E+002, +0.00000000000E+000
+4.02500000000E+004, +6.55448993043E+002, +0.00000000000E+000
+4.03750000000E+004, +8.00142228739E+002, +0.00000000000E+000
+4.05000000000E+004, +1.01032668286E+003, +0.00000000000E+000
+4.06250000000E+004, +1.29275986378E+003, +0.00000000000E+000
+4.07500000000E+004, +1.67153374709E+003, +0.00000000000E+000
+4.08750000000E+004, +2.18911989761E+003, +0.00000000000E+000
+4.10000000000E+004, +2.90372512387E+003, +0.00000000000E+000
+4.11250000000E+004, +3.86484619971E+003, +0.00000000000E+000
+4.12500000000E+004, +5.04406324132E+003, +0.00000000000E+000
+4.13750000000E+004, +6.11304057465E+003, +0.00000000000E+000
+4.15000000000E+004, +6.55206907793E+003, +0.00000000000E+000
+4.16250000000E+004, +6.30919999014E+003, +0.00000000000E+000
+4.17500000000E+004, +5.72496551233E+003, +0.00000000000E+000
+4.18750000000E+004, +5.12682469020E+003, +0.00000000000E+000
+4.20000000000E+004, +4.59904522381E+003, +0.00000000000E+000
+4.21250000000E+004, +4.17656754775E+003, +0.00000000000E+000
+4.22500000000E+004, +3.83412551151E+003, +0.00000000000E+000
+4.23750000000E+004, +3.57106872247E+003, +0.00000000000E+000
+4.25000000000E+004, +3.34911310387E+003, +0.00000000000E+000
+4.26250000000E+004, +3.17052066427E+003, +0.00000000000E+000
+4.27500000000E+004, +3.01860270590E+003, +0.00000000000E+000
+4.28750000000E+004, +2.88798302066E+003, +0.00000000000E+000
+4.30000000000E+004, +2.77308905740E+003, +0.00000000000E+000
+4.31250000000E+004, +2.67526377620E+003, +0.00000000000E+000
+4.32500000000E+004, +2.58662548764E+003, +0.00000000000E+000
+4.33750000000E+004, +2.50820704949E+003, +0.00000000000E+000
+4.35000000000E+004, +2.43725769041E+003, +0.00000000000E+000
+4.36250000000E+004, +2.37427469600E+003, +0.00000000000E+000
+4.37500000000E+004, +2.31421508958E+003, +0.00000000000E+000
+4.38750000000E+004, +2.26047747119E+003, +0.00000000000E+000
+4.40000000000E+004, +2.21210492713E+003, +0.00000000000E+000
+4.41250000000E+004, +2.16630248091E+003, +0.00000000000E+000
+4.42500000000E+004, +2.12466666243E+003, +0.00000000000E+000
+4.43750000000E+004, +2.08604296586E+003, +0.00000000000E+000
+4.45000000000E+004, +2.04923618712E+003, +0.00000000000E+000
+4.46250000000E+004, +2.01438177241E+003, +0.00000000000E+000
+4.47500000000E+004, +1.98152925478E+003, +0.00000000000E+000
+4.48750000000E+004, +1.95009555447E+003, +0.00000000000E+000
