"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.86759938945E+001, +0.00000000000E+000
+2.51250000000E+004, -8.86653948467E+001, +0.00000000000E+000
+2.52500000000E+004, -8.87118089399E+001, +0.00000000000E+000
+2.53750000000E+004, -8.87073594762E+001, +0.00000000000E+000
+2.55000000000E+004, -8.87148920116E+001, +0.00000000000E+000
+2.56250000000E+004, -8.86668664068E+001, +0.00000000000E+000
+2.57500000000E+004, -8.86727477464E+001, +0.00000000000E+000
+2.58750000000E+004, -8.86684864854E+001, +0.00000000000E+000
+2.60000000000E+004, -8.86937764641E+001, +0.00000000000E+000
+2.61250000000E+004, -8.86472929823E+001, +0.00000000000E+000
+2.62500000000E+004, -8.86761354715E+001, +0.00000000000E+000
+2.63750000000E+004, -8.86619069935E+001, +0.00000000000E+000
+2.65000000000E+004, -8.86655311600E+001, +0.00000000000E+000
+2.66250000000E+004, -8.86966126372E+001, +0.00000000000E+000
+2.67500000000E+004, -8.86640668835E+001, +0.00000000000E+000
+2.68750000000E+004, -8.86553393777E+001, +0.00000000000E+000
+2.70000000000E+004, -8.86549100804E+001, +0.00000000000E+000
+2.71250000000E+004, -8.86758542784E+001, +0.00000000000E+000
+2.72500000000E+004, -8.86618408508E+001, +0.00000000000E+000
+2.73750000000E+004, -8.86475495473E+001, +0.00000000000E+000
+2.75000000000E+004, -8.85909772687E+001, +0.00000000000E+000
+2.76250000000E+004, -8.84956797135E+001, +0.00000000000E+000
+2.77500000000E+004, -8.85891766164E+001, +0.00000000000E+000
+2.78750000000E+004, -8.86080026468E+001, +0.00000000000E+000
+2.80000000000E+004, -8.86019107029E+001, +0.00000000000E+000
+2.81250000000E+004, -8.85519855476E+001, +0.00000000000E+000
+2.82500000000E+004, -8.85340058944E+001, +0.00000000000E+000
+2.83750000000E+004, -8.85408612706E+001, +0.00000000000E+000
+2.85000000000E+004, -8.85231869282E+001, +0.00000000000E+000
+2.86250000000E+004, -8.85175700817E+001, +0.00000000000E+000
+2.87500000000E+004, -8.85021357009E+001, +0.00000000000E+000
+2.88750000000E+004, -8.85148676342E+001, +0.00000000000E+000
+2.90000000000E+004, -8.85162480054E+001, +0.00000000000E+000
+2.91250000000E+004, -8.85358304427E+001, +0.00000000000E+000
+2.92500000000E+004, -8.85058102458E+001, +0.00000000000E+000
+2.93750000000E+004, -8.84601054686E+001, +0.00000000000E+000
+2.95000000000E+004, -8.85040634289E+001, +0.00000000000E+000
+2.96250000000E+004, -8.84850744753E+001, +0.00000000000E+000
+2.97500000000E+004, -8.84779401219E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84687101405E+001, +0.00000000000E+000
+3.00000000000E+004, -8.84601987939E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84301679291E+001, +0.00000000000E+000
+3.02500000000E+004, -8.84316519670E+001, +0.00000000000E+000
+3.03750000000E+004, -8.84305814351E+001, +0.00000000000E+000
+3.05000000000E+004, -8.84349258276E+001, +0.00000000000E+000
+3.06250000000E+004, -8.84068650838E+001, +0.00000000000E+000
+3.07500000000E+004, -8.83678759819E+001, +0.00000000000E+000
+3.08750000000E+004, -8.83388059703E+001, +0.00000000000E+000
+3.10000000000E+004, -8.83422778928E+001, +0.00000000000E+000
+3.11250000000E+004, -8.83262209419E+001, +0.00000000000E+000
+3.12500000000E+004, -8.83120087330E+001, +0.00000000000E+000
+3.13750000000E+004, -8.82688472317E+001, +0.00000000000E+000
+3.15000000000E+004, -8.82744187735E+001, +0.00000000000E+000
