Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, -8.85473200738E+001, +0.00000000000E+000
+2.51250000000E+004, -8.84708523731E+001, +0.00000000000E+000
+2.52500000000E+004, -8.82417534177E+001, +0.00000000000E+000
+2.53750000000E+004, -8.79071749704E+001, +0.00000000000E+000
+2.55000000000E+004, -8.75731643489E+001, +0.00000000000E+000
+2.56250000000E+004, -8.78372761047E+001, +0.00000000000E+000
+2.57500000000E+004, -8.82365671905E+001, +0.00000000000E+000
+2.58750000000E+004, -8.84251329462E+001, +0.00000000000E+000
+2.60000000000E+004, -8.85050822031E+001, +0.00000000000E+000
+2.61250000000E+004, -8.85856493154E+001, +0.00000000000E+000
+2.62500000000E+004, -8.85910503090E+001, +0.00000000000E+000
+2.63750000000E+004, -8.85958713592E+001, +0.00000000000E+000
+2.65000000000E+004, -8.86112318242E+001, +0.00000000000E+000
+2.66250000000E+004, -8.86340190009E+001, +0.00000000000E+000
+2.67500000000E+004, -8.86243193946E+001, +0.00000000000E+000
+2.68750000000E+004, -8.86413291209E+001, +0.00000000000E+000
+2.70000000000E+004, -8.86481084246E+001, +0.00000000000E+000
+2.71250000000E+004, -8.86347270199E+001, +0.00000000000E+000
+2.72500000000E+004, -8.86286738553E+001, +0.00000000000E+000
+2.73750000000E+004, -8.85960628785E+001, +0.00000000000E+000
+2.75000000000E+004, -8.86266194026E+001, +0.00000000000E+000
+2.76250000000E+004, -8.86300895872E+001, +0.00000000000E+000
+2.77500000000E+004, -8.85969699903E+001, +0.00000000000E+000
+2.78750000000E+004, -8.85856523644E+001, +0.00000000000E+000
+2.80000000000E+004, -8.86148817864E+001, +0.00000000000E+000
+2.81250000000E+004, -8.85844032652E+001, +0.00000000000E+000
+2.82500000000E+004, -8.85663991386E+001, +0.00000000000E+000
+2.83750000000E+004, -8.84859213798E+001, +0.00000000000E+000
+2.85000000000E+004, -8.84453813390E+001, +0.00000000000E+000
+2.86250000000E+004, -8.84671969493E+001, +0.00000000000E+000
+2.87500000000E+004, -8.84913550852E+001, +0.00000000000E+000
+2.88750000000E+004, -8.85203177614E+001, +0.00000000000E+000
+2.90000000000E+004, -8.85397411280E+001, +0.00000000000E+000
+2.91250000000E+004, -8.85387115869E+001, +0.00000000000E+000
+2.92500000000E+004, -8.85222564467E+001, +0.00000000000E+000
+2.93750000000E+004, -8.85246100109E+001, +0.00000000000E+000
+2.95000000000E+004, -8.85294559026E+001, +0.00000000000E+000
+2.96250000000E+004, -8.85059063018E+001, +0.00000000000E+000
+2.97500000000E+004, -8.85114522629E+001, +0.00000000000E+000
+2.98750000000E+004, -8.84888338534E+001, +0.00000000000E+000
+3.00000000000E+004, -8.85182985996E+001, +0.00000000000E+000
+3.01250000000E+004, -8.84893985161E+001, +0.00000000000E+000
+3.02500000000E+004, -8.84858902427E+001, +0.00000000000E+000
+3.03750000000E+004, -8.84366311265E+001, +0.00000000000E+000
+3.05000000000E+004, -8.84491043603E+001, +0.00000000000E+000
+3.06250000000E+004, -8.83996999208E+001, +0.00000000000E+000
+3.07500000000E+004, -8.84167806871E+001, +0.00000000000E+000
+3.08750000000E+004, -8.83864337401E+001, +0.00000000000E+000
+3.10000000000E+004, -8.83952949430E+001, +0.00000000000E+000
+3.11250000000E+004, -8.83604554154E+001, +0.00000000000E+000
+3.12500000000E+004, -8.83491569633E+001, +0.00000000000E+000
+3.13750000000E+004, -8.83281348361E+001, +0.00000000000E+000
+3.15000000000E+004, -8.83077003984E+001, +0.00000000000E+000
+3.16250000000E+004, -8.82529621320E+001, +0.00000000000E+000
+3.17500000000E+004, -8.82606550218E+001, +0.00000000000E+000
+3.18750000000E+004, -8.82314509575E+001, +0.00000000000E+000
+3.20000000000E+004, -8.81997893107E+001, +0.00000000000E+000
+3.21250000000E+004, -8.81688811961E+001, +0.00000000000E+000
+3.22500000000E+004, -8.81623959560E+001, +0.00000000000E+000
+3.23750000000E+004, -8.81137495759E+001, +0.00000000000E+000
+3.25000000000E+004, -8.80797210161E+001, +0.00000000000E+000
+3.26250000000E+004, -8.80368520639E+001, +0.00000000000E+000
+3.27500000000E+004, -8.80111045294E+001, +0.00000000000E+000
+3.28750000000E+004, -8.79653322314E+001, +0.00000000000E+000
+3.30000000000E+004, -8.79701967771E+001, +0.00000000000E+000
+3.31250000000E+004, -8.79972612646E+001, +0.00000000000E+000
+3.32500000000E+004, -8.79937071024E+001, +0.00000000000E+000
+3.33750000000E+004, -8.79831061419E+001, +0.00000000000E+000
+3.35000000000E+004, -8.79798654156E+001, +0.00000000000E+000
+3.36250000000E+004, -8.79670990622E+001, +0.00000000000E+000
+3.37500000000E+004, -8.79110909569E+001, +0.00000000000E+000
+3.38750000000E+004, -8.78644307066E+001, +0.00000000000E+000
+3.40000000000E+004, -8.78083305594E+001, +0.00000000000E+000
+3.41250000000E+004, -8.77717424372E+001, +0.00000000000E+000
+3.42500000000E+004, -8.77753314102E+001, +0.00000000000E+000
+3.43750000000E+004, -8.77567904784E+001, +0.00000000000E+000
+3.45000000000E+004, -8.77188514990E+001, +0.00000000000E+000
+3.46250000000E+004, -8.77141531603E+001, +0.00000000000E+000
+3.47500000000E+004, -8.76744124753E+001, +0.00000000000E+000
+3.48750000000E+004, -8.76291758787E+001, +0.00000000000E+000
+3.50000000000E+004, -8.75543033848E+001, +0.00000000000E+000
+3.51250000000E+004, -8.74935373555E+001, +0.00000000000E+000
+3.52500000000E+004, -8.74242548680E+001, +0.00000000000E+000
+3.53750000000E+004, -8.73342641364E+001, +0.00000000000E+000
+3.55000000000E+004, -8.72475731754E+001, +0.00000000000E+000
+3.56250000000E+004, -8.71473472142E+001, +0.00000000000E+000
+3.57500000000E+004, -8.70179794351E+001, +0.00000000000E+000
+3.58750000000E+004, -8.68789568193E+001, +0.00000000000E+000
+3.60000000000E+004, -8.67328590653E+001, +0.00000000000E+000
+3.61250000000E+004, -8.65591020521E+001, +0.00000000000E+000
+3.62500000000E+004, -8.63652245204E+001, +0.00000000000E+000
+3.63750000000E+004, -8.61603953903E+001, +0.00000000000E+000
+3.65000000000E+004, -8.59170518249E+001, +0.00000000000E+000
+3.66250000000E+004, -8.56674012397E+001, +0.00000000000E+000
+3.67500000000E+004, -8.53744123233E+001, +0.00000000000E+000
+3.68750000000E+004, -8.50416529498E+001, +0.00000000000E+000
+3.70000000000E+004, -8.46990927185E+001, +0.00000000000E+000
+3.71250000000E+004, -8.43543722558E+001, +0.00000000000E+000
+3.72500000000E+004, -8.39506311444E+001, +0.00000000000E+000
+3.73750000000E+004, -8.35337104712E+001, +0.00000000000E+000
+3.75000000000E+004, -8.30547612774E+001, +0.00000000000E+000
+3.76250000000E+004, -8.25094349120E+001, +0.00000000000E+000
+3.77500000000E+004, -8.19076380640E+001, +0.00000000000E+000
+3.78750000000E+004, -8.12928536083E+001, +0.00000000000E+000
+3.80000000000E+004, -8.06479593352E+001, +0.00000000000E+000
+3.81250000000E+004, -7.99637354940E+001, +0.00000000000E+000
+3.82500000000E+004, -7.91412030406E+001, +0.00000000000E+000
+3.83750000000E+004, -7.81111032212E+001, +0.00000000000E+000
+3.85000000000E+004, -7.69070172144E+001, +0.00000000000E+000
+3.86250000000E+004, -7.55316605570E+001, +0.00000000000E+000
+3.87500000000E+004, -7.39682953463E+001, +0.00000000000E+000
+3.88750000000E+004, -7.21626427505E+001, +0.00000000000E+000
+3.90000000000E+004, -6.99501142189E+001, +0.00000000000E+000
+3.91250000000E+004, -6.71074071277E+001, +0.00000000000E+000
+3.92500000000E+004, -6.32548711066E+001, +0.00000000000E+000
+3.93750000000E+004, -5.81403507216E+001, +0.00000000000E+000
+3.95000000000E+004, -5.14820178172E+001, +0.00000000000E+000
+3.96250000000E+004, -4.28854930230E+001, +0.00000000000E+000
+3.97500000000E+004, -3.20989731432E+001, +0.00000000000E+000
+3.98750000000E+004, -1.88954063035E+001, +0.00000000000E+000
+4.00000000000E+004, -3.82594868280E+000, +0.00000000000E+000
+4.01250000000E+004, +1.06189038173E+001, +0.00000000000E+000
+4.02500000000E+004, +2.20739195667E+001, +0.00000000000E+000
+4.03750000000E+004, +3.00382130452E+001, +0.00000000000E+000
+4.05000000000E+004, +3.52159263200E+001, +0.00000000000E+000
+4.06250000000E+004, +3.86116300848E+001, +0.00000000000E+000
+4.07500000000E+004, +4.06011216462E+001, +0.00000000000E+000
+4.08750000000E+004, +4.11600843879E+001, +0.00000000000E+000
+4.10000000000E+004, +3.98993268787E+001, +0.00000000000E+000
+4.11250000000E+004, +3.60735324708E+001, +0.00000000000E+000
+4.12500000000E+004, +2.90822235690E+001, +0.00000000000E+000
+4.13750000000E+004, +1.78772020492E+001, +0.00000000000E+000
+4.15000000000E+004, +2.15724773764E+000, +0.00000000000E+000
+4.16250000000E+004, -1.68981115340E+001, +0.00000000000E+000
+4.17500000000E+004, -3.56631207860E+001, +0.00000000000E+000
+4.18750000000E+004, -5.03071054692E+001, +0.00000000000E+000
+4.20000000000E+004, -6.05561458872E+001, +0.00000000000E+000
+4.21250000000E+004, -6.72697767380E+001, +0.00000000000E+000
+4.22500000000E+004, -7.18427943618E+001, +0.00000000000E+000
+4.23750000000E+004, -7.51577300478E+001, +0.00000000000E+000
+4.25000000000E+004, -7.76116706117E+001, +0.00000000000E+000
+4.26250000000E+004, -7.94527093058E+001, +0.00000000000E+000
+4.27500000000E+004, -8.09182529617E+001, +0.00000000000E+000
+4.28750000000E+004, -8.20670900217E+001, +0.00000000000E+000
+4.30000000000E+004, -8.30150771998E+001, +0.00000000000E+000
+4.31250000000E+004, -8.37515101542E+001, +0.00000000000E+000
+4.32500000000E+004, -8.43435552127E+001, +0.00000000000E+000
+4.33750000000E+004, -8.48697642368E+001, +0.00000000000E+000
