Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +3.01615168010E+003, +0.00000000000E+000
+2.51250000000E+004, +2.99476568640E+003, +0.00000000000E+000
+2.52500000000E+004, +2.97560207558E+003, +0.00000000000E+000
+2.53750000000E+004, +2.95539604005E+003, +0.00000000000E+000
+2.55000000000E+004, +2.93684651641E+003, +0.00000000000E+000
+2.56250000000E+004, +2.92345351099E+003, +0.00000000000E+000
+2.57500000000E+004, +2.91472153362E+003, +0.00000000000E+000
+2.58750000000E+004, +2.91292945240E+003, +0.00000000000E+000
+2.60000000000E+004, +2.90585740758E+003, +0.00000000000E+000
+2.61250000000E+004, +2.89372012019E+003, +0.00000000000E+000
+2.62500000000E+004, +2.87498391538E+003, +0.00000000000E+000
+2.63750000000E+004, +2.85861654068E+003, +0.00000000000E+000
+2.65000000000E+004, +2.83952387586E+003, +0.00000000000E+000
+2.66250000000E+004, +2.82062296129E+003, +0.00000000000E+000
+2.67500000000E+004, +2.80360567631E+003, +0.00000000000E+000
+2.68750000000E+004, +2.78532716325E+003, +0.00000000000E+000
+2.70000000000E+004, +2.77024176904E+003, +0.00000000000E+000
+2.71250000000E+004, +2.75191505417E+003, +0.00000000000E+000
+2.72500000000E+004, +2.73585819245E+003, +0.00000000000E+000
+2.73750000000E+004, +2.71912467984E+003, +0.00000000000E+000
+2.75000000000E+004, +2.70141922227E+003, +0.00000000000E+000
+2.76250000000E+004, +2.68670673363E+003, +0.00000000000E+000
+2.77500000000E+004, +2.66750038994E+003, +0.00000000000E+000
+2.78750000000E+004, +2.65159232779E+003, +0.00000000000E+000
+2.80000000000E+004, +2.63541621001E+003, +0.00000000000E+000
+2.81250000000E+004, +2.61897154425E+003, +0.00000000000E+000
+2.82500000000E+004, +2.60334492631E+003, +0.00000000000E+000
+2.83750000000E+004, +2.58699264183E+003, +0.00000000000E+000
+2.85000000000E+004, +2.57202672175E+003, +0.00000000000E+000
+2.86250000000E+004, +2.55316818810E+003, +0.00000000000E+000
+2.87500000000E+004, +2.53690815751E+003, +0.00000000000E+000
+2.88750000000E+004, +2.52186204147E+003, +0.00000000000E+000
+2.90000000000E+004, +2.50723727032E+003, +0.00000000000E+000
+2.91250000000E+004, +2.49114778512E+003, +0.00000000000E+000
+2.92500000000E+004, +2.47602742085E+003, +0.00000000000E+000
+2.93750000000E+004, +2.46215354800E+003, +0.00000000000E+000
+2.95000000000E+004, +2.45039057106E+003, +0.00000000000E+000
+2.96250000000E+004, +2.44065619076E+003, +0.00000000000E+000
+2.97500000000E+004, +2.42692588441E+003, +0.00000000000E+000
+2.98750000000E+004, +2.41204189900E+003, +0.00000000000E+000
+3.00000000000E+004, +2.39853393689E+003, +0.00000000000E+000
+3.01250000000E+004, +2.38184856514E+003, +0.00000000000E+000
+3.02500000000E+004, +2.36733634334E+003, +0.00000000000E+000
+3.03750000000E+004, +2.35190587997E+003, +0.00000000000E+000
+3.05000000000E+004, +2.33600939515E+003, +0.00000000000E+000
+3.06250000000E+004, +2.32118047255E+003, +0.00000000000E+000
+3.07500000000E+004, +2.30679418806E+003, +0.00000000000E+000
+3.08750000000E+004, +2.29102932385E+003, +0.00000000000E+000
+3.10000000000E+004, +2.27494703860E+003, +0.00000000000E+000
+3.11250000000E+004, +2.26100526777E+003, +0.00000000000E+000
+3.12500000000E+004, +2.24589317243E+003, +0.00000000000E+000
+3.13750000000E+004, +2.23072680845E+003, +0.00000000000E+000
+3.15000000000E+004, +2.21469198225E+003, +0.00000000000E+000
+3.16250000000E+004, +2.19979546382E+003, +0.00000000000E+000
+3.17500000000E+004, +2.18539952283E+003, +0.00000000000E+000
+3.18750000000E+004, +2.16921968114E+003, +0.00000000000E+000
+3.20000000000E+004, +2.15531722872E+003, +0.00000000000E+000
+3.21250000000E+004, +2.14047762487E+003, +0.00000000000E+000
+3.22500000000E+004, +2.12635460363E+003, +0.00000000000E+000
+3.23750000000E+004, +2.11070441187E+003, +0.00000000000E+000
+3.25000000000E+004, +2.09587448969E+003, +0.00000000000E+000
+3.26250000000E+004, +2.08140341645E+003, +0.00000000000E+000
+3.27500000000E+004, +2.06748626220E+003, +0.00000000000E+000
+3.28750000000E+004, +2.05298940699E+003, +0.00000000000E+000
+3.30000000000E+004, +2.03842639497E+003, +0.00000000000E+000
+3.31250000000E+004, +2.02293106074E+003, +0.00000000000E+000
+3.32500000000E+004, +2.00656551722E+003, +0.00000000000E+000
+3.33750000000E+004, +1.99224351740E+003, +0.00000000000E+000
+3.35000000000E+004, +1.97711692831E+003, +0.00000000000E+000
+3.36250000000E+004, +1.96462942744E+003, +0.00000000000E+000
+3.37500000000E+004, +1.95095236235E+003, +0.00000000000E+000
+3.38750000000E+004, +1.93728230721E+003, +0.00000000000E+000
+3.40000000000E+004, +1.92155945408E+003, +0.00000000000E+000
+3.41250000000E+004, +1.90395300870E+003, +0.00000000000E+000
+3.42500000000E+004, +1.88669445420E+003, +0.00000000000E+000
+3.43750000000E+004, +1.86872917478E+003, +0.00000000000E+000
+3.45000000000E+004, +1.85101298690E+003, +0.00000000000E+000
+3.46250000000E+004, +1.83312047696E+003, +0.00000000000E+000
+3.47500000000E+004, +1.81374260247E+003, +0.00000000000E+000
+3.48750000000E+004, +1.79621103955E+003, +0.00000000000E+000
+3.50000000000E+004, +1.77782928764E+003, +0.00000000000E+000
+3.51250000000E+004, +1.75861629854E+003, +0.00000000000E+000
+3.52500000000E+004, +1.73975438374E+003, +0.00000000000E+000
+3.53750000000E+004, +1.72091323213E+003, +0.00000000000E+000
+3.55000000000E+004, +1.70031111877E+003, +0.00000000000E+000
+3.56250000000E+004, +1.68114893369E+003, +0.00000000000E+000
+3.57500000000E+004, +1.66048179861E+003, +0.00000000000E+000
+3.58750000000E+004, +1.64003244079E+003, +0.00000000000E+000
+3.60000000000E+004, +1.61925864246E+003, +0.00000000000E+000
