Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +7.25052110723E+000, +0.00000000000E+000
+6.04975000000E+002, +7.09093356670E+001, +0.00000000000E+000
+1.20495000000E+003, +7.97624078789E+001, +0.00000000000E+000
+1.80492500000E+003, +8.29569734120E+001, +0.00000000000E+000
+2.40490000000E+003, +8.45930354828E+001, +0.00000000000E+000
+3.00487500000E+003, +8.55937400825E+001, +0.00000000000E+000
+3.60485000000E+003, +8.62433896829E+001, +0.00000000000E+000
+4.20482500000E+003, +8.67383390031E+001, +0.00000000000E+000
+4.80480000000E+003, +8.71185206544E+001, +0.00000000000E+000
+5.40477500000E+003, +8.74090976053E+001, +0.00000000000E+000
+6.00475000000E+003, +8.76228264886E+001, +0.00000000000E+000
+6.60472500000E+003, +8.78176651555E+001, +0.00000000000E+000
+7.20470000000E+003, +8.79785575169E+001, +0.00000000000E+000
+7.80467500000E+003, +8.81003942290E+001, +0.00000000000E+000
+8.40465000000E+003, +8.82163231734E+001, +0.00000000000E+000
+9.00462500000E+003, +8.83191169360E+001, +0.00000000000E+000
+9.60460000000E+003, +8.84122305117E+001, +0.00000000000E+000
+1.02045750000E+004, +8.84907711599E+001, +0.00000000000E+000
+1.08045500000E+004, +8.85544630677E+001, +0.00000000000E+000
+1.14045250000E+004, +8.86109132652E+001, +0.00000000000E+000
+1.20045000000E+004, +8.86686026275E+001, +0.00000000000E+000
+1.26044750000E+004, +8.87123620969E+001, +0.00000000000E+000
+1.32044500000E+004, +8.87638437286E+001, +0.00000000000E+000
+1.38044250000E+004, +8.88044443190E+001, +0.00000000000E+000
+1.44044000000E+004, +8.88474616495E+001, +0.00000000000E+000
+1.50043750000E+004, +8.88859825759E+001, +0.00000000000E+000
+1.56043500000E+004, +8.89195528736E+001, +0.00000000000E+000
+1.62043250000E+004, +8.89533144103E+001, +0.00000000000E+000
+1.68043000000E+004, +8.89871005386E+001, +0.00000000000E+000
+1.74042750000E+004, +8.90161160166E+001, +0.00000000000E+000
+1.80042500000E+004, +8.90494508208E+001, +0.00000000000E+000
+1.86042250000E+004, +8.90806751592E+001, +0.00000000000E+000
+1.92042000000E+004, +8.91027963595E+001, +0.00000000000E+000
+1.98041750000E+004, +8.91277072255E+001, +0.00000000000E+000
+2.04041500000E+004, +8.91563414983E+001, +0.00000000000E+000
+2.10041250000E+004, +8.91775782007E+001, +0.00000000000E+000
+2.16041000000E+004, +8.91996378186E+001, +0.00000000000E+000
+2.22040750000E+004, +8.92191992626E+001, +0.00000000000E+000
+2.28040500000E+004, +8.92371042068E+001, +0.00000000000E+000
+2.34040250000E+004, +8.92584045080E+001, +0.00000000000E+000
+2.40040000000E+004, +8.92763385944E+001, +0.00000000000E+000
+2.46039750000E+004, +8.92918788600E+001, +0.00000000000E+000
+2.52039500000E+004, +8.93059359201E+001, +0.00000000000E+000
+2.58039250000E+004, +8.93193133186E+001, +0.00000000000E+000
+2.64039000000E+004, +8.93352611249E+001, +0.00000000000E+000
+2.70038750000E+004, +8.93446235295E+001, +0.00000000000E+000
+2.76038500000E+004, +8.93577008560E+001, +0.00000000000E+000
+2.82038250000E+004, +8.93680421559E+001, +0.00000000000E+000
+2.88038000000E+004, +8.93795678501E+001, +0.00000000000E+000
+2.94037750000E+004, +8.93879867232E+001, +0.00000000000E+000
+3.00037500000E+004, +8.93992091545E+001, +0.00000000000E+000
+3.06037250000E+004, +8.94130041588E+001, +0.00000000000E+000
+3.12037000000E+004, +8.94271074080E+001, +0.00000000000E+000
+3.18036750000E+004, +8.94412503924E+001, +0.00000000000E+000
+3.24036500000E+004, +8.94547636536E+001, +0.00000000000E+000
+3.30036250000E+004, +8.94669339096E+001, +0.00000000000E+000
+3.36036000000E+004, +8.94789216090E+001, +0.00000000000E+000
+3.42035750000E+004, +8.94885843155E+001, +0.00000000000E+000
+3.48035500000E+004, +8.95017850010E+001, +0.00000000000E+000
+3.54035250000E+004, +8.95131779142E+001, +0.00000000000E+000
+3.60035000000E+004, +8.95183895687E+001, +0.00000000000E+000
+3.66034750000E+004, +8.95304320548E+001, +0.00000000000E+000
+3.72034500000E+004, +8.95370605283E+001, +0.00000000000E+000
+3.78034250000E+004, +8.95515972373E+001, +0.00000000000E+000
+3.84034000000E+004, +8.95589914628E+001, +0.00000000000E+000
+3.90033750000E+004, +8.95602577728E+001, +0.00000000000E+000
+3.96033500000E+004, +8.95690306731E+001, +0.00000000000E+000
+4.02033250000E+004, +8.95778138380E+001, +0.00000000000E+000
+4.08033000000E+004, +8.95851515842E+001, +0.00000000000E+000
+4.14032750000E+004, +8.95893233815E+001, +0.00000000000E+000
+4.20032500000E+004, +8.95966397831E+001, +0.00000000000E+000
