"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+000, +8.81677119766E-001, +0.00000000000E+000
+6.04975000000E+002, +2.74256873850E+000, +0.00000000000E+000
+1.20495000000E+003, +5.15326963969E+000, +0.00000000000E+000
+1.80492500000E+003, +7.59561351602E+000, +0.00000000000E+000
+2.40490000000E+003, +1.00612813531E+001, +0.00000000000E+000
+3.00487500000E+003, +1.25231093175E+001, +0.00000000000E+000
+3.60485000000E+003, +1.49890618815E+001, +0.00000000000E+000
+4.20482500000E+003, +1.74467579090E+001, +0.00000000000E+000
+4.80480000000E+003, +1.99195080210E+001, +0.00000000000E+000
+5.40477500000E+003, +2.23775447035E+001, +0.00000000000E+000
+6.00475000000E+003, +2.48362263542E+001, +0.00000000000E+000
+6.60472500000E+003, +2.73049019674E+001, +0.00000000000E+000
+7.20470000000E+003, +2.97673473264E+001, +0.00000000000E+000
+7.80467500000E+003, +3.22199526884E+001, +0.00000000000E+000
+8.40465000000E+003, +3.46770897703E+001, +0.00000000000E+000
+9.00462500000E+003, +3.71252221814E+001, +0.00000000000E+000
+9.60460000000E+003, +3.95919314455E+001, +0.00000000000E+000
+1.02045750000E+004, +4.20378131644E+001, +0.00000000000E+000
+1.08045500000E+004, +4.44712119132E+001, +0.00000000000E+000
+1.14045250000E+004, +4.68967593665E+001, +0.00000000000E+000
+1.20045000000E+004, +4.93305021628E+001, +0.00000000000E+000
+1.26044750000E+004, +5.17641002157E+001, +0.00000000000E+000
+1.32044500000E+004, +5.41971016355E+001, +0.00000000000E+000
+1.38044250000E+004, +5.66332794190E+001, +0.00000000000E+000
+1.44044000000E+004, +5.90652124598E+001, +0.00000000000E+000
+1.50043750000E+004, +6.15036615936E+001, +0.00000000000E+000
+1.56043500000E+004, +6.39384081233E+001, +0.00000000000E+000
+1.62043250000E+004, +6.63759225525E+001, +0.00000000000E+000
+1.68043000000E+004, +6.88112290284E+001, +0.00000000000E+000
+1.74042750000E+004, +7.12511447358E+001, +0.00000000000E+000
+1.80042500000E+004, +7.36918287379E+001, +0.00000000000E+000
+1.86042250000E+004, +7.61140528007E+001, +0.00000000000E+000
+1.92042000000E+004, +7.85647976704E+001, +0.00000000000E+000
+1.98041750000E+004, +8.10038209266E+001, +0.00000000000E+000
+2.04041500000E+004, +8.34288701307E+001, +0.00000000000E+000
+2.10041250000E+004, +8.58295939005E+001, +0.00000000000E+000
+2.16041000000E+004, +8.82410951738E+001, +0.00000000000E+000
+2.22040750000E+004, +9.06409664947E+001, +0.00000000000E+000
+2.28040500000E+004, +9.30495396078E+001, +0.00000000000E+000
+2.34040250000E+004, +9.54220603296E+001, +0.00000000000E+000
+2.40040000000E+004, +9.78465028793E+001, +0.00000000000E+000
+2.46039750000E+004, +1.00244480610E+002, +0.00000000000E+000
+2.52039500000E+004, +1.02658499952E+002, +0.00000000000E+000
+2.58039250000E+004, +1.05061671004E+002, +0.00000000000E+000
+2.64039000000E+004, +1.07465008650E+002, +0.00000000000E+000
+2.70038750000E+004, +1.09872738379E+002, +0.00000000000E+000
+2.76038500000E+004, +1.12276661979E+002, +0.00000000000E+000
+2.82038250000E+004, +1.14682502359E+002, +0.00000000000E+000
+2.88038000000E+004, +1.17083307115E+002, +0.00000000000E+000
+2.94037750000E+004, +1.19481688747E+002, +0.00000000000E+000
+3.00037500000E+004, +1.21895468475E+002, +0.00000000000E+000
+3.06037250000E+004, +1.24280128674E+002, +0.00000000000E+000
+3.12037000000E+004, +1.26648993092E+002, +0.00000000000E+000
+3.18036750000E+004, +1.29037269395E+002, +0.00000000000E+000
+3.24036500000E+004, +1.31417227170E+002, +0.00000000000E+000
