"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.89622143559E+001, +0.00000000000E+000
+1.99500000000E+003, -8.90707032810E+001, +0.00000000000E+000
+2.99000000000E+003, -8.87888290666E+001, +0.00000000000E+000
+3.98500000000E+003, -8.93996304079E+001, +0.00000000000E+000
+4.98000000000E+003, -8.87711392569E+001, +0.00000000000E+000
+5.97500000000E+003, -8.92487427588E+001, +0.00000000000E+000
+6.97000000000E+003, -8.89175157672E+001, +0.00000000000E+000
+7.96500000000E+003, -8.89374315845E+001, +0.00000000000E+000
+8.96000000000E+003, -8.90512957956E+001, +0.00000000000E+000
+9.95500000000E+003, -8.89002972773E+001, +0.00000000000E+000
+1.09500000000E+004, -8.89264613934E+001, +0.00000000000E+000
+1.19450000000E+004, -8.90103453343E+001, +0.00000000000E+000
+1.29400000000E+004, -8.89663997247E+001, +0.00000000000E+000
+1.39350000000E+004, -8.90812248232E+001, +0.00000000000E+000
+1.49300000000E+004, -8.90126363052E+001, +0.00000000000E+000
+1.59250000000E+004, -8.89713867139E+001, +0.00000000000E+000
+1.69200000000E+004, -8.90435203923E+001, +0.00000000000E+000
+1.79150000000E+004, -8.90605024441E+001, +0.00000000000E+000
+1.89100000000E+004, -8.90218701817E+001, +0.00000000000E+000
+1.99050000000E+004, -8.89464577085E+001, +0.00000000000E+000
+2.09000000000E+004, -8.87898260119E+001, +0.00000000000E+000
+2.18950000000E+004, -8.88026594681E+001, +0.00000000000E+000
+2.28900000000E+004, -8.89041528905E+001, +0.00000000000E+000
+2.38850000000E+004, -8.87499022808E+001, +0.00000000000E+000
+2.48800000000E+004, -8.87686901309E+001, +0.00000000000E+000
+2.58750000000E+004, -8.85494056022E+001, +0.00000000000E+000
+2.68700000000E+004, -8.87670730610E+001, +0.00000000000E+000
+2.78650000000E+004, -8.88150333169E+001, +0.00000000000E+000
+2.88600000000E+004, -8.87098778124E+001, +0.00000000000E+000
+2.98550000000E+004, -8.86853321933E+001, +0.00000000000E+000
+3.08500000000E+004, -8.86063981958E+001, +0.00000000000E+000
+3.18450000000E+004, -8.84169525176E+001, +0.00000000000E+000
+3.28400000000E+004, -8.81673112686E+001, +0.00000000000E+000
+3.38350000000E+004, -8.80914799832E+001, +0.00000000000E+000
+3.48300000000E+004, -8.78580918368E+001, +0.00000000000E+000
+3.58250000000E+004, -8.71525549445E+001, +0.00000000000E+000
+3.68200000000E+004, -8.54648032343E+001, +0.00000000000E+000
+3.78150000000E+004, -8.20254878885E+001, +0.00000000000E+000
+3.88100000000E+004, -7.39412819501E+001, +0.00000000000E+000
+3.98050000000E+004, -2.91292820142E+001, +0.00000000000E+000
+4.08000000000E+004, +4.14189610884E+001, +0.00000000000E+000
+4.17950000000E+004, -4.04016406653E+001, +0.00000000000E+000
+4.27900000000E+004, -8.14516397574E+001, +0.00000000000E+000
+4.37850000000E+004, -8.62776237623E+001, +0.00000000000E+000
+4.47800000000E+004, -8.74292654389E+001, +0.00000000000E+000
+4.57750000000E+004, -8.78352010364E+001, +0.00000000000E+000
+4.67700000000E+004, -8.79441730531E+001, +0.00000000000E+000
+4.77650000000E+004, -8.78514604848E+001, +0.00000000000E+000
+4.87600000000E+004, -8.75371855071E+001, +0.00000000000E+000
+4.97550000000E+004, -8.67828240979E+001, +0.00000000000E+000
+5.07500000000E+004, -8.47539435822E+001, +0.00000000000E+000
+5.17450000000E+004, -7.50820844348E+001, +0.00000000000E+000
+5.27400000000E+004, +2.25999267744E+001, +0.00000000000E+000
+5.37350000000E+004, -4.79110724697E+000, +0.00000000000E+000
+5.47300000000E+004, +1.36027676123E+001, +0.00000000000E+000
+5.57250000000E+004, -1.16158636436E+001, +0.00000000000E+000
+5.67200000000E+004, -6.97929177581E+001, +0.00000000000E+000
+5.77150000000E+004, -8.23625332550E+001, +0.00000000000E+000
+5.87100000000E+004, -8.53727204367E+001, +0.00000000000E+000
+5.97050000000E+004, -7.84733981033E+001, +0.00000000000E+000
+6.07000000000E+004, -8.69208200793E+001, +0.00000000000E+000
+6.16950000000E+004, -8.78168635206E+001, +0.00000000000E+000
+6.26900000000E+004, -8.82287921751E+001, +0.00000000000E+000
+6.36850000000E+004, -8.84266640313E+001, +0.00000000000E+000
+6.46800000000E+004, -8.85513222673E+001, +0.00000000000E+000
+6.56750000000E+004, -8.86543684560E+001, +0.00000000000E+000
+6.66700000000E+004, -8.87024156919E+001, +0.00000000000E+000
+6.76650000000E+004, -8.86892710627E+001, +0.00000000000E+000
+6.86600000000E+004, -8.87607781444E+001, +0.00000000000E+000
+6.96550000000E+004, -8.88088103593E+001, +0.00000000000E+000
+7.06500000000E+004, -8.88331283856E+001, +0.00000000000E+000
+7.16450000000E+004, -8.88508935730E+001, +0.00000000000E+000
+7.26400000000E+004, -8.88586651571E+001, +0.00000000000E+000
+7.36350000000E+004, -8.88640125483E+001, +0.00000000000E+000
+7.46300000000E+004, -8.88739133877E+001, +0.00000000000E+000
+7.56250000000E+004, -8.88567971078E+001, +0.00000000000E+000
+7.66200000000E+004, -8.88462216478E+001, +0.00000000000E+000
+7.76150000000E+004, -8.88306748402E+001, +0.00000000000E+000
+7.86100000000E+004, -8.87602128753E+001, +0.00000000000E+000
+7.96050000000E+004, -8.85701569086E+001, +0.00000000000E+000
+8.06000000000E+004, -8.86884181440E+001, +0.00000000000E+000
+8.15950000000E+004, -8.85868745550E+001, +0.00000000000E+000
+8.25900000000E+004, -8.86267546462E+001, +0.00000000000E+000
+8.35850000000E+004, -8.86532065542E+001, +0.00000000000E+000
+8.45800000000E+004, -8.84848420265E+001, +0.00000000000E+000
+8.55750000000E+004, -8.83369121487E+001, +0.00000000000E+000
+8.65700000000E+004, -8.85583426867E+001, +0.00000000000E+000
+8.75650000000E+004, -8.87194924173E+001, +0.00000000000E+000
+8.85600000000E+004, -8.87969369598E+001, +0.00000000000E+000
+8.95550000000E+004, -8.87644369915E+001, +0.00000000000E+000
+9.05500000000E+004, -8.87979306508E+001, +0.00000000000E+000
+9.15450000000E+004, -8.87920786169E+001, +0.00000000000E+000
+9.25400000000E+004, -8.87658149484E+001, +0.00000000000E+000
+9.35350000000E+004, -8.87065436556E+001, +0.00000000000E+000
+9.45300000000E+004, -8.86218875919E+001, +0.00000000000E+000
+9.55250000000E+004, -8.85007441809E+001, +0.00000000000E+000
+9.65200000000E+004, -8.82442346455E+001, +0.00000000000E+000
+9.75150000000E+004, -8.81756422400E+001, +0.00000000000E+000
+9.85100000000E+004, -8.80532347659E+001, +0.00000000000E+000
+9.95050000000E+004, -8.81619202753E+001, +0.00000000000E+000
+1.00500000000E+005, -8.82149137513E+001, +0.00000000000E+000
+1.01495000000E+005, -8.78831412090E+001, +0.00000000000E+000
+1.02490000000E+005, -8.68214546454E+001, +0.00000000000E+000
+1.03485000000E+005, -8.49363967316E+001, +0.00000000000E+000
+1.04480000000E+005, -8.53159020846E+001, +0.00000000000E+000
+1.05475000000E+005, -8.68075675238E+001, +0.00000000000E+000
+1.06470000000E+005, -8.75845851364E+001, +0.00000000000E+000
+1.07465000000E+005, -8.79783187704E+001, +0.00000000000E+000
+1.08460000000E+005, -8.82558097884E+001, +0.00000000000E+000
+1.09455000000E+005, -8.84728685940E+001, +0.00000000000E+000
+1.10450000000E+005, -8.85822322972E+001, +0.00000000000E+000
+1.11445000000E+005, -8.86439062889E+001, +0.00000000000E+000
+1.12440000000E+005, -8.86318175278E+001, +0.00000000000E+000
+1.13435000000E+005, -8.85709018267E+001, +0.00000000000E+000
+1.14430000000E+005, -8.86039566543E+001, +0.00000000000E+000
+1.15425000000E+005, -8.86007942518E+001, +0.00000000000E+000
+1.16420000000E+005, -8.85705281516E+001, +0.00000000000E+000
+1.17415000000E+005, -8.84448403682E+001, +0.00000000000E+000
+1.18410000000E+005, -8.81620089553E+001, +0.00000000000E+000
+1.19405000000E+005, -8.74928965374E+001, +0.00000000000E+000
+1.20400000000E+005, -8.61455650625E+001, +0.00000000000E+000
+1.21395000000E+005, -8.57474476069E+001, +0.00000000000E+000
+1.22390000000E+005, -8.71596576386E+001, +0.00000000000E+000
+1.23385000000E+005, -8.80080365524E+001, +0.00000000000E+000
+1.24380000000E+005, -8.83693345716E+001, +0.00000000000E+000
+1.25375000000E+005, -8.85245234815E+001, +0.00000000000E+000
+1.26370000000E+005, -8.86173647624E+001, +0.00000000000E+000
+1.27365000000E+005, -8.86844834840E+001, +0.00000000000E+000
+1.28360000000E+005, -8.87217865354E+001, +0.00000000000E+000
+1.29355000000E+005, -8.87459219192E+001, +0.00000000000E+000
+1.30350000000E+005, -8.87330296437E+001, +0.00000000000E+000
+1.31345000000E+005, -8.87274615145E+001, +0.00000000000E+000
+1.32340000000E+005, -8.87360728566E+001, +0.00000000000E+000
+1.33335000000E+005, -8.87535255664E+001, +0.00000000000E+000
+1.34330000000E+005, -8.87821097207E+001, +0.00000000000E+000
+1.35325000000E+005, -8.88066858454E+001, +0.00000000000E+000
+1.36320000000E+005, -8.88282352286E+001, +0.00000000000E+000
+1.37315000000E+005, -8.87955555918E+001, +0.00000000000E+000
+1.38310000000E+005, -8.87758563919E+001, +0.00000000000E+000
+1.39305000000E+005, -8.87497259992E+001, +0.00000000000E+000
+1.40300000000E+005, -8.87085010878E+001, +0.00000000000E+000
+1.41295000000E+005, -8.86416048892E+001, +0.00000000000E+000
+1.42290000000E+005, -8.84524356582E+001, +0.00000000000E+000
+1.43285000000E+005, -8.78934602480E+001, +0.00000000000E+000
+1.44280000000E+005, -8.67970269949E+001, +0.00000000000E+000
+1.45275000000E+005, -8.78316974596E+001, +0.00000000000E+000
+1.46270000000E+005, -8.82921147375E+001, +0.00000000000E+000
+1.47265000000E+005, -8.85142087068E+001, +0.00000000000E+000
+1.48260000000E+005, -8.86241388134E+001, +0.00000000000E+000
+1.49255000000E+005, -8.86439409024E+001, +0.00000000000E+000
+1.50250000000E+005, -8.86319103292E+001, +0.00000000000E+000
+1.51245000000E+005, -8.86040233294E+001, +0.00000000000E+000
+1.52240000000E+005, -8.85793716066E+001, +0.00000000000E+000
+1.53235000000E+005, -8.85212615824E+001, +0.00000000000E+000
+1.54230000000E+005, -8.84475262273E+001, +0.00000000000E+000
+1.55225000000E+005, -8.83347119900E+001, +0.00000000000E+000
+1.56220000000E+005, -8.81748225918E+001, +0.00000000000E+000
+1.57215000000E+005, -8.79477810361E+001, +0.00000000000E+000
+1.58210000000E+005, -8.76568478300E+001, +0.00000000000E+000
+1.59205000000E+005, -8.71874519197E+001, +0.00000000000E+000
+1.60200000000E+005, -8.62812088413E+001, +0.00000000000E+000
+1.61195000000E+005, -8.41270507381E+001, +0.00000000000E+000
+1.62190000000E+005, -7.86634105180E+001, +0.00000000000E+000
+1.63185000000E+005, -6.96366795348E+001, +0.00000000000E+000
+1.64180000000E+005, -7.50228267067E+001, +0.00000000000E+000
+1.65175000000E+005, -8.25716941007E+001, +0.00000000000E+000
+1.66170000000E+005, -8.56333735059E+001, +0.00000000000E+000
+1.67165000000E+005, -8.69241422240E+001, +0.00000000000E+000
+1.68160000000E+005, -8.75547095297E+001, +0.00000000000E+000
+1.69155000000E+005, -8.79007525031E+001, +0.00000000000E+000
+1.70150000000E+005, -8.81163130738E+001, +0.00000000000E+000
+1.71145000000E+005, -8.82522408382E+001, +0.00000000000E+000
+1.72140000000E+005, -8.83477924157E+001, +0.00000000000E+000
+1.73135000000E+005, -8.84146071570E+001, +0.00000000000E+000
+1.74130000000E+005, -8.84725856326E+001, +0.00000000000E+000
+1.75125000000E+005, -8.85127678758E+001, +0.00000000000E+000
+1.76120000000E+005, -8.85305599543E+001, +0.00000000000E+000
+1.77115000000E+005, -8.85447736052E+001, +0.00000000000E+000
+1.78110000000E+005, -8.85645882041E+001, +0.00000000000E+000
+1.79105000000E+005, -8.85777230413E+001, +0.00000000000E+000
+1.80100000000E+005, -8.85803183152E+001, +0.00000000000E+000
+1.81095000000E+005, -8.85664348978E+001, +0.00000000000E+000
+1.82090000000E+005, -8.84981047229E+001, +0.00000000000E+000
+1.83085000000E+005, -8.84144219118E+001, +0.00000000000E+000
+1.84080000000E+005, -8.83561013193E+001, +0.00000000000E+000
+1.85075000000E+005, -8.82687341490E+001, +0.00000000000E+000
+1.86070000000E+005, -8.81681742742E+001, +0.00000000000E+000
+1.87065000000E+005, -8.80170017790E+001, +0.00000000000E+000
+1.88060000000E+005, -8.79944060439E+001, +0.00000000000E+000
+1.89055000000E+005, -8.81179566547E+001, +0.00000000000E+000
