Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -9.00286063493E+001, +0.00000000000E+000
+1.99500000000E+003, -8.87846571955E+001, +0.00000000000E+000
+2.99000000000E+003, -8.89772009663E+001, +0.00000000000E+000
+3.98500000000E+003, -8.95476088929E+001, +0.00000000000E+000
+4.98000000000E+003, -8.88913625324E+001, +0.00000000000E+000
+5.97500000000E+003, -8.90403928173E+001, +0.00000000000E+000
+6.97000000000E+003, -8.89236186245E+001, +0.00000000000E+000
+7.96500000000E+003, -8.87062344605E+001, +0.00000000000E+000
+8.96000000000E+003, -8.89063068175E+001, +0.00000000000E+000
+9.95500000000E+003, -8.87924193561E+001, +0.00000000000E+000
+1.09500000000E+004, -8.88370747721E+001, +0.00000000000E+000
+1.19450000000E+004, -8.90332514596E+001, +0.00000000000E+000
+1.29400000000E+004, -8.89764262632E+001, +0.00000000000E+000
+1.39350000000E+004, -8.89645651802E+001, +0.00000000000E+000
+1.49300000000E+004, -8.88690354002E+001, +0.00000000000E+000
+1.59250000000E+004, -8.90026657948E+001, +0.00000000000E+000
+1.69200000000E+004, -8.89206574250E+001, +0.00000000000E+000
+1.79150000000E+004, -8.89621069014E+001, +0.00000000000E+000
+1.89100000000E+004, -8.88147144911E+001, +0.00000000000E+000
+1.99050000000E+004, -8.87871964210E+001, +0.00000000000E+000
+2.09000000000E+004, -8.87916798219E+001, +0.00000000000E+000
+2.18950000000E+004, -8.88214665240E+001, +0.00000000000E+000
+2.28900000000E+004, -8.88047569351E+001, +0.00000000000E+000
+2.38850000000E+004, -8.87640463235E+001, +0.00000000000E+000
+2.48800000000E+004, -8.87017425125E+001, +0.00000000000E+000
+2.58750000000E+004, -8.79627910671E+001, +0.00000000000E+000
+2.68700000000E+004, -8.85517513044E+001, +0.00000000000E+000
+2.78650000000E+004, -8.87123244598E+001, +0.00000000000E+000
+2.88600000000E+004, -8.86187179874E+001, +0.00000000000E+000
+2.98550000000E+004, -8.84203851123E+001, +0.00000000000E+000
+3.08500000000E+004, -8.85825371041E+001, +0.00000000000E+000
+3.18450000000E+004, -8.84328785946E+001, +0.00000000000E+000
+3.28400000000E+004, -8.81844942092E+001, +0.00000000000E+000
+3.38350000000E+004, -8.80315767852E+001, +0.00000000000E+000
+3.48300000000E+004, -8.79960309295E+001, +0.00000000000E+000
+3.58250000000E+004, -8.73067923240E+001, +0.00000000000E+000
+3.68200000000E+004, -8.56491707881E+001, +0.00000000000E+000
