"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.67747357806E+004, +0.00000000000E+000
+1.99500000000E+003, +3.91937393309E+004, +0.00000000000E+000
+2.99000000000E+003, +2.59939023792E+004, +0.00000000000E+000
+3.98500000000E+003, +1.93756409088E+004, +0.00000000000E+000
+4.98000000000E+003, +1.55762975708E+004, +0.00000000000E+000
+5.97500000000E+003, +1.29549476664E+004, +0.00000000000E+000
+6.97000000000E+003, +1.11907567632E+004, +0.00000000000E+000
+7.96500000000E+003, +9.72630695393E+003, +0.00000000000E+000
+8.96000000000E+003, +8.69733960188E+003, +0.00000000000E+000
+9.95500000000E+003, +7.79131580957E+003, +0.00000000000E+000
+1.09500000000E+004, +7.09621350498E+003, +0.00000000000E+000
+1.19450000000E+004, +6.50972590593E+003, +0.00000000000E+000
+1.29400000000E+004, +5.99566637476E+003, +0.00000000000E+000
+1.39350000000E+004, +5.55456609142E+003, +0.00000000000E+000
+1.49300000000E+004, +5.15823384103E+003, +0.00000000000E+000
+1.59250000000E+004, +4.83306828473E+003, +0.00000000000E+000
+1.69200000000E+004, +4.52838025147E+003, +0.00000000000E+000
+1.79150000000E+004, +4.26909797947E+003, +0.00000000000E+000
+1.89100000000E+004, +4.02436726879E+003, +0.00000000000E+000
+1.99050000000E+004, +3.81397467361E+003, +0.00000000000E+000
+2.09000000000E+004, +3.61146077684E+003, +0.00000000000E+000
+2.18950000000E+004, +3.43848066190E+003, +0.00000000000E+000
+2.28900000000E+004, +3.26518605140E+003, +0.00000000000E+000
+2.38850000000E+004, +3.11619182246E+003, +0.00000000000E+000
+2.48800000000E+004, +2.96827643846E+003, +0.00000000000E+000
+2.58750000000E+004, +2.82818272249E+003, +0.00000000000E+000
+2.68700000000E+004, +2.70275053311E+003, +0.00000000000E+000
+2.78650000000E+004, +2.57371011353E+003, +0.00000000000E+000
+2.88600000000E+004, +2.45335995506E+003, +0.00000000000E+000
+2.98550000000E+004, +2.33486010813E+003, +0.00000000000E+000
+3.08500000000E+004, +2.22024297069E+003, +0.00000000000E+000
+3.18450000000E+004, +2.11157187098E+003, +0.00000000000E+000
+3.28400000000E+004, +1.99799346800E+003, +0.00000000000E+000
+3.38350000000E+004, +1.89228919461E+003, +0.00000000000E+000
+3.48300000000E+004, +1.75809429717E+003, +0.00000000000E+000
+3.58250000000E+004, +1.61070421787E+003, +0.00000000000E+000
+3.68200000000E+004, +1.44867901006E+003, +0.00000000000E+000
+3.78150000000E+004, +1.25941108155E+003, +0.00000000000E+000
+3.88100000000E+004, +9.93137785043E+002, +0.00000000000E+000
+3.98050000000E+004, +6.09898431807E+002, +0.00000000000E+000
+4.08000000000E+004, +2.04300802149E+003, +0.00000000000E+000
