Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.29370744249E+004, +0.00000000000E+000
+1.99500000000E+003, +3.18406053457E+004, +0.00000000000E+000
+2.99000000000E+003, +2.14835177238E+004, +0.00000000000E+000
+3.98500000000E+003, +1.58913121836E+004, +0.00000000000E+000
+4.98000000000E+003, +1.28863518703E+004, +0.00000000000E+000
+5.97500000000E+003, +1.06239991908E+004, +0.00000000000E+000
+6.97000000000E+003, +9.18103529224E+003, +0.00000000000E+000
+7.96500000000E+003, +8.00317148624E+003, +0.00000000000E+000
+8.96000000000E+003, +7.12226679578E+003, +0.00000000000E+000
+9.95500000000E+003, +6.39858491338E+003, +0.00000000000E+000
+1.09500000000E+004, +5.82179568747E+003, +0.00000000000E+000
+1.19450000000E+004, +5.33544422253E+003, +0.00000000000E+000
+1.29400000000E+004, +4.90442158449E+003, +0.00000000000E+000
+1.39350000000E+004, +4.54670628633E+003, +0.00000000000E+000
+1.49300000000E+004, +4.23221256733E+003, +0.00000000000E+000
+1.59250000000E+004, +3.96152053982E+003, +0.00000000000E+000
+1.69200000000E+004, +3.71280388028E+003, +0.00000000000E+000
+1.79150000000E+004, +3.49314537675E+003, +0.00000000000E+000
+1.89100000000E+004, +3.29484862414E+003, +0.00000000000E+000
+1.99050000000E+004, +3.11401675037E+003, +0.00000000000E+000
+2.09000000000E+004, +2.96216363149E+003, +0.00000000000E+000
+2.18950000000E+004, +2.81684535372E+003, +0.00000000000E+000
+2.28900000000E+004, +2.67436572183E+003, +0.00000000000E+000
+2.38850000000E+004, +2.54197741518E+003, +0.00000000000E+000
+2.48800000000E+004, +2.42096275259E+003, +0.00000000000E+000
+2.58750000000E+004, +2.30898058608E+003, +0.00000000000E+000
+2.68700000000E+004, +2.20075772619E+003, +0.00000000000E+000
+2.78650000000E+004, +2.09360227555E+003, +0.00000000000E+000
+2.88600000000E+004, +1.99169089706E+003, +0.00000000000E+000
+2.98550000000E+004, +1.89114476357E+003, +0.00000000000E+000
+3.08500000000E+004, +1.78595619701E+003, +0.00000000000E+000
+3.18450000000E+004, +1.66700047123E+003, +0.00000000000E+000
+3.28400000000E+004, +1.66572347233E+003, +0.00000000000E+000
+3.38350000000E+004, +1.58556942336E+003, +0.00000000000E+000
+3.48300000000E+004, +1.45203256996E+003, +0.00000000000E+000
+3.58250000000E+004, +1.32053038922E+003, +0.00000000000E+000
+3.68200000000E+004, +1.17677669728E+003, +0.00000000000E+000
+3.78150000000E+004, +1.00854203210E+003, +0.00000000000E+000
+3.88100000000E+004, +7.76455101318E+002, +0.00000000000E+000
+3.98050000000E+004, +4.31290045185E+002, +0.00000000000E+000
+4.08000000000E+004, +1.41401952253E+003, +0.00000000000E+000
+4.17950000000E+004, +6.06460321390E+003, +0.00000000000E+000
+4.27900000000E+004, +2.79233530712E+003, +0.00000000000E+000
+4.37850000000E+004, +2.05934901127E+003, +0.00000000000E+000
+4.47800000000E+004, +1.71730348297E+003, +0.00000000000E+000
+4.57750000000E+004, +1.49194385654E+003, +0.00000000000E+000
+4.67700000000E+004, +1.30559731497E+003, +0.00000000000E+000
+4.77650000000E+004, +1.12574463590E+003, +0.00000000000E+000
+4.87600000000E+004, +9.24940482623E+002, +0.00000000000E+000
+4.97550000000E+004, +6.64298633465E+002, +0.00000000000E+000
+5.07500000000E+004, +2.94663672887E+002, +0.00000000000E+000
+5.17450000000E+004, +9.68711491553E+002, +0.00000000000E+000
+5.27400000000E+004, +6.23542189538E+003, +0.00000000000E+000
+5.37350000000E+004, +3.11507225580E+003, +0.00000000000E+000
+5.47300000000E+004, +1.91423185994E+003, +0.00000000000E+000
+5.57250000000E+004, +1.25566387034E+003, +0.00000000000E+000
+5.67200000000E+004, +1.33287095550E+003, +0.00000000000E+000
+5.77150000000E+004, +4.07118100819E+003, +0.00000000000E+000
+5.87100000000E+004, +2.64421715114E+003, +0.00000000000E+000
+5.97050000000E+004, +2.36432522578E+003, +0.00000000000E+000
+6.07000000000E+004, +2.06926112268E+003, +0.00000000000E+000
+6.16950000000E+004, +1.87649715858E+003, +0.00000000000E+000
+6.26900000000E+004, +1.74532349792E+003, +0.00000000000E+000
+6.36850000000E+004, +1.64785210232E+003, +0.00000000000E+000
+6.46800000000E+004, +1.57027434571E+003, +0.00000000000E+000
+6.56750000000E+004, +1.50578839572E+003, +0.00000000000E+000
+6.66700000000E+004, +1.44986041271E+003, +0.00000000000E+000
+6.76650000000E+004, +1.40502091391E+003, +0.00000000000E+000
+6.86600000000E+004, +1.36134427761E+003, +0.00000000000E+000
+6.96550000000E+004, +1.32239160547E+003, +0.00000000000E+000
+7.06500000000E+004, +1.28749607220E+003, +0.00000000000E+000
+7.16450000000E+004, +1.25561523003E+003, +0.00000000000E+000
+7.26400000000E+004, +1.22614971021E+003, +0.00000000000E+000
+7.36350000000E+004, +1.19847228098E+003, +0.00000000000E+000
+7.46300000000E+004, +1.17254453865E+003, +0.00000000000E+000
+7.56250000000E+004, +1.14858286858E+003, +0.00000000000E+000
+7.66200000000E+004, +1.12631641678E+003, +0.00000000000E+000
+7.76150000000E+004, +1.10501045956E+003, +0.00000000000E+000
+7.86100000000E+004, +1.08440540227E+003, +0.00000000000E+000
+7.96050000000E+004, +1.06485149050E+003, +0.00000000000E+000
+8.06000000000E+004, +1.04595252916E+003, +0.00000000000E+000
+8.15950000000E+004, +1.02817205642E+003, +0.00000000000E+000
+8.25900000000E+004, +1.01074608528E+003, +0.00000000000E+000
+8.35850000000E+004, +9.93980708296E+002, +0.00000000000E+000
+8.45800000000E+004, +9.77703189567E+002, +0.00000000000E+000
+8.55750000000E+004, +9.61717387474E+002, +0.00000000000E+000
+8.65700000000E+004, +9.46108254481E+002, +0.00000000000E+000
+8.75650000000E+004, +9.30946062136E+002, +0.00000000000E+000
+8.85600000000E+004, +9.17161437822E+002, +0.00000000000E+000
+8.95550000000E+004, +9.10403750822E+002, +0.00000000000E+000
+9.05500000000E+004, +8.99818044902E+002, +0.00000000000E+000
+9.15450000000E+004, +8.86223012969E+002, +0.00000000000E+000
+9.25400000000E+004, +8.73070150556E+002, +0.00000000000E+000
+9.35350000000E+004, +8.60188462257E+002, +0.00000000000E+000
+9.45300000000E+004, +8.48196989269E+002, +0.00000000000E+000
+9.55250000000E+004, +8.36433077648E+002, +0.00000000000E+000
+9.65200000000E+004, +8.25894063764E+002, +0.00000000000E+000
+9.75150000000E+004, +8.14935624783E+002, +0.00000000000E+000
+9.85100000000E+004, +8.04274332209E+002, +0.00000000000E+000
+9.95050000000E+004, +7.94618167329E+002, +0.00000000000E+000
+1.00500000000E+005, +7.85667911657E+002, +0.00000000000E+000
+1.01495000000E+005, +7.76212711773E+002, +0.00000000000E+000
+1.02490000000E+005, +7.65936601113E+002, +0.00000000000E+000
+1.03485000000E+005, +7.56252182745E+002, +0.00000000000E+000
+1.04480000000E+005, +7.47034642663E+002, +0.00000000000E+000
+1.05475000000E+005, +7.40379660997E+002, +0.00000000000E+000
+1.06470000000E+005, +7.35112300154E+002, +0.00000000000E+000
+1.07465000000E+005, +7.27381691377E+002, +0.00000000000E+000
+1.08460000000E+005, +7.18050160374E+002, +0.00000000000E+000
+1.09455000000E+005, +7.07844126165E+002, +0.00000000000E+000
+1.10450000000E+005, +6.97374946347E+002, +0.00000000000E+000
+1.11445000000E+005, +6.86771130249E+002, +0.00000000000E+000
+1.12440000000E+005, +6.74942812597E+002, +0.00000000000E+000
+1.13435000000E+005, +6.61438130021E+002, +0.00000000000E+000
+1.14430000000E+005, +6.45881989291E+002, +0.00000000000E+000
+1.15425000000E+005, +6.37457339782E+002, +0.00000000000E+000
+1.16420000000E+005, +6.66003466871E+002, +0.00000000000E+000
+1.17415000000E+005, +6.97194457049E+002, +0.00000000000E+000
+1.18410000000E+005, +6.86131390748E+002, +0.00000000000E+000
+1.19405000000E+005, +6.71272859397E+002, +0.00000000000E+000
+1.20400000000E+005, +6.59235883370E+002, +0.00000000000E+000
+1.21395000000E+005, +6.49104533581E+002, +0.00000000000E+000
+1.22390000000E+005, +6.39857373488E+002, +0.00000000000E+000
+1.23385000000E+005, +6.31752408073E+002, +0.00000000000E+000
+1.24380000000E+005, +6.24003489384E+002, +0.00000000000E+000
+1.25375000000E+005, +6.16756897424E+002, +0.00000000000E+000
+1.26370000000E+005, +6.09782637274E+002, +0.00000000000E+000
+1.27365000000E+005, +6.03167344397E+002, +0.00000000000E+000
+1.28360000000E+005, +5.96685213860E+002, +0.00000000000E+000
+1.29355000000E+005, +5.90404006036E+002, +0.00000000000E+000
+1.30350000000E+005, +5.84370515402E+002, +0.00000000000E+000
+1.31345000000E+005, +5.78644714050E+002, +0.00000000000E+000
+1.32340000000E+005, +5.73425524132E+002, +0.00000000000E+000
+1.33335000000E+005, +5.68513890029E+002, +0.00000000000E+000
+1.34330000000E+005, +5.63277610261E+002, +0.00000000000E+000
+1.35325000000E+005, +5.57864185614E+002, +0.00000000000E+000
+1.36320000000E+005, +5.52283326547E+002, +0.00000000000E+000
+1.37315000000E+005, +5.46358236917E+002, +0.00000000000E+000
+1.38310000000E+005, +5.40671937433E+002, +0.00000000000E+000
+1.39305000000E+005, +5.34981613919E+002, +0.00000000000E+000
+1.40300000000E+005, +5.29308742745E+002, +0.00000000000E+000
+1.41295000000E+005, +5.23788436580E+002, +0.00000000000E+000
+1.42290000000E+005, +5.18055528302E+002, +0.00000000000E+000
+1.43285000000E+005, +5.12506764403E+002, +0.00000000000E+000
+1.44280000000E+005, +5.08541639601E+002, +0.00000000000E+000
+1.45275000000E+005, +5.05427394756E+002, +0.00000000000E+000
+1.46270000000E+005, +5.01433242153E+002, +0.00000000000E+000
+1.47265000000E+005, +4.96763086644E+002, +0.00000000000E+000
+1.48260000000E+005, +4.91757048082E+002, +0.00000000000E+000
+1.49255000000E+005, +4.86875886516E+002, +0.00000000000E+000
+1.50250000000E+005, +4.81990622587E+002, +0.00000000000E+000
+1.51245000000E+005, +4.77073365951E+002, +0.00000000000E+000
+1.52240000000E+005, +4.72085493228E+002, +0.00000000000E+000
+1.53235000000E+005, +4.67175841012E+002, +0.00000000000E+000
+1.54230000000E+005, +4.62353768469E+002, +0.00000000000E+000
+1.55225000000E+005, +4.57338296173E+002, +0.00000000000E+000
+1.56220000000E+005, +4.52242924806E+002, +0.00000000000E+000
+1.57215000000E+005, +4.46811909861E+002, +0.00000000000E+000
+1.58210000000E+005, +4.41041537387E+002, +0.00000000000E+000
+1.59205000000E+005, +4.34568769627E+002, +0.00000000000E+000
+1.60200000000E+005, +4.27321457125E+002, +0.00000000000E+000
+1.61195000000E+005, +4.19247094012E+002, +0.00000000000E+000
+1.62190000000E+005, +4.10004935648E+002, +0.00000000000E+000
+1.63185000000E+005, +3.99571078397E+002, +0.00000000000E+000
+1.64180000000E+005, +3.89511979402E+002, +0.00000000000E+000
+1.65175000000E+005, +3.89354521588E+002, +0.00000000000E+000
+1.66170000000E+005, +4.26924297899E+002, +0.00000000000E+000
+1.67165000000E+005, +4.76385169944E+002, +0.00000000000E+000
+1.68160000000E+005, +4.81284711660E+002, +0.00000000000E+000
+1.69155000000E+005, +4.69256447801E+002, +0.00000000000E+000
+1.70150000000E+005, +4.56781626955E+002, +0.00000000000E+000
+1.71145000000E+005, +4.46411482201E+002, +0.00000000000E+000
+1.72140000000E+005, +4.37981440362E+002, +0.00000000000E+000
+1.73135000000E+005, +4.30860333569E+002, +0.00000000000E+000
+1.74130000000E+005, +4.24295145302E+002, +0.00000000000E+000
+1.75125000000E+005, +4.18199132113E+002, +0.00000000000E+000
+1.76120000000E+005, +4.12383992450E+002, +0.00000000000E+000
+1.77115000000E+005, +4.06878040863E+002, +0.00000000000E+000
+1.78110000000E+005, +4.01507030609E+002, +0.00000000000E+000
+1.79105000000E+005, +3.96379761493E+002, +0.00000000000E+000
+1.80100000000E+005, +3.92644146530E+002, +0.00000000000E+000
+1.81095000000E+005, +3.88768502852E+002, +0.00000000000E+000
+1.82090000000E+005, +3.83689525221E+002, +0.00000000000E+000
+1.83085000000E+005, +3.78752303861E+002, +0.00000000000E+000
+1.84080000000E+005, +3.74057230875E+002, +0.00000000000E+000
+1.85075000000E+005, +3.70430375818E+002, +0.00000000000E+000
+1.86070000000E+005, +3.66385358870E+002, +0.00000000000E+000
+1.87065000000E+005, +3.61799531333E+002, +0.00000000000E+000
+1.88060000000E+005, +3.59949501688E+002, +0.00000000000E+000
+1.89055000000E+005, +3.55682789979E+002, +0.00000000000E+000
+1.90050000000E+005, +3.50519437287E+002, +0.00000000000E+000
+1.91045000000E+005, +3.46220985593E+002, +0.00000000000E+000
+1.92040000000E+005, +3.43200018130E+002, +0.00000000000E+000
+1.93035000000E+005, +3.41361135946E+002, +0.00000000000E+000
+1.94030000000E+005, +3.39654298415E+002, +0.00000000000E+000
+1.95025000000E+005, +3.37239187278E+002, +0.00000000000E+000
+1.96020000000E+005, +3.34014839537E+002, +0.00000000000E+000
+1.97015000000E+005, +3.30011078415E+002, +0.00000000000E+000
+1.98010000000E+005, +3.25535019793E+002, +0.00000000000E+000
+1.99005000000E+005, +3.20578447633E+002, +0.00000000000E+000
+2.00000000000E+005, +3.15232793848E+002, +0.00000000000E+000
