"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.07438102027E+001, +0.00000000000E+000
+1.99500000000E+003, +7.97442291676E+001, +0.00000000000E+000
+2.99000000000E+003, +8.29472518370E+001, +0.00000000000E+000
+3.98500000000E+003, +8.45792624231E+001, +0.00000000000E+000
+4.98000000000E+003, +8.55597996035E+001, +0.00000000000E+000
+5.97500000000E+003, +8.62188898414E+001, +0.00000000000E+000
+6.97000000000E+003, +8.66931635115E+001, +0.00000000000E+000
+7.96500000000E+003, +8.70447404347E+001, +0.00000000000E+000
+8.96000000000E+003, +8.73183067350E+001, +0.00000000000E+000
+9.95500000000E+003, +8.75274998195E+001, +0.00000000000E+000
+1.09500000000E+004, +8.77075586617E+001, +0.00000000000E+000
+1.19450000000E+004, +8.78592171272E+001, +0.00000000000E+000
+1.29400000000E+004, +8.79854098443E+001, +0.00000000000E+000
+1.39350000000E+004, +8.80989196975E+001, +0.00000000000E+000
+1.49300000000E+004, +8.81871461140E+001, +0.00000000000E+000
+1.59250000000E+004, +8.82564860895E+001, +0.00000000000E+000
+1.69200000000E+004, +8.83352770470E+001, +0.00000000000E+000
+1.79150000000E+004, +8.84023076492E+001, +0.00000000000E+000
+1.89100000000E+004, +8.84624458458E+001, +0.00000000000E+000
+1.99050000000E+004, +8.85034267192E+001, +0.00000000000E+000
+2.09000000000E+004, +8.85502531430E+001, +0.00000000000E+000
+2.18950000000E+004, +8.85988114665E+001, +0.00000000000E+000
+2.28900000000E+004, +8.86272271540E+001, +0.00000000000E+000
+2.38850000000E+004, +8.86672872868E+001, +0.00000000000E+000
+2.48800000000E+004, +8.86891956037E+001, +0.00000000000E+000
+2.58750000000E+004, +8.87214316404E+001, +0.00000000000E+000
+2.68700000000E+004, +8.87527413611E+001, +0.00000000000E+000
+2.78650000000E+004, +8.87747957043E+001, +0.00000000000E+000
+2.88600000000E+004, +8.87929157563E+001, +0.00000000000E+000
+2.98550000000E+004, +8.88123269989E+001, +0.00000000000E+000
+3.08500000000E+004, +8.88333371370E+001, +0.00000000000E+000
+3.18450000000E+004, +8.88481428523E+001, +0.00000000000E+000
+3.28400000000E+004, +8.88599967416E+001, +0.00000000000E+000
+3.38350000000E+004, +8.88714763195E+001, +0.00000000000E+000
+3.48300000000E+004, +8.88972774511E+001, +0.00000000000E+000
+3.58250000000E+004, +8.89010140272E+001, +0.00000000000E+000
+3.68200000000E+004, +8.89145418912E+001, +0.00000000000E+000
+3.78150000000E+004, +8.89206011301E+001, +0.00000000000E+000
+3.88100000000E+004, +8.89322783482E+001, +0.00000000000E+000
+3.98050000000E+004, +8.89419620104E+001, +0.00000000000E+000
+4.08000000000E+004, +8.89570316135E+001, +0.00000000000E+000
+4.17950000000E+004, +8.89670555944E+001, +0.00000000000E+000
+4.27900000000E+004, +8.89693288488E+001, +0.00000000000E+000
+4.37850000000E+004, +8.89808130583E+001, +0.00000000000E+000
+4.47800000000E+004, +8.89887102498E+001, +0.00000000000E+000
+4.57750000000E+004, +8.89966657825E+001, +0.00000000000E+000
+4.67700000000E+004, +8.90002831286E+001, +0.00000000000E+000
+4.77650000000E+004, +8.90036564474E+001, +0.00000000000E+000
+4.87600000000E+004, +8.90059647398E+001, +0.00000000000E+000
+4.97550000000E+004, +8.90174908476E+001, +0.00000000000E+000
+5.07500000000E+004, +8.90267996367E+001, +0.00000000000E+000
+5.17450000000E+004, +8.90320183593E+001, +0.00000000000E+000
+5.27400000000E+004, +8.90321146094E+001, +0.00000000000E+000
+5.37350000000E+004, +8.90370468722E+001, +0.00000000000E+000
+5.47300000000E+004, +8.90352116910E+001, +0.00000000000E+000
+5.57250000000E+004, +8.90443217749E+001, +0.00000000000E+000
+5.67200000000E+004, +8.90472220549E+001, +0.00000000000E+000
+5.77150000000E+004, +8.90495685612E+001, +0.00000000000E+000
+5.87100000000E+004, +8.90571882115E+001, +0.00000000000E+000
+5.97050000000E+004, +8.90604212024E+001, +0.00000000000E+000
+6.07000000000E+004, +8.90626516378E+001, +0.00000000000E+000
+6.16950000000E+004, +8.90643623210E+001, +0.00000000000E+000
+6.26900000000E+004, +8.90702131412E+001, +0.00000000000E+000
+6.36850000000E+004, +8.90679492756E+001, +0.00000000000E+000
+6.46800000000E+004, +8.90828834569E+001, +0.00000000000E+000
+6.56750000000E+004, +8.90828592708E+001, +0.00000000000E+000
+6.66700000000E+004, +8.90823525210E+001, +0.00000000000E+000
+6.76650000000E+004, +8.90798310606E+001, +0.00000000000E+000
+6.86600000000E+004, +8.90802142148E+001, +0.00000000000E+000
+6.96550000000E+004, +8.90862492664E+001, +0.00000000000E+000
+7.06500000000E+004, +8.90882704992E+001, +0.00000000000E+000
+7.16450000000E+004, +8.90950600305E+001, +0.00000000000E+000
+7.26400000000E+004, +8.90951482274E+001, +0.00000000000E+000
+7.36350000000E+004, +8.90957029207E+001, +0.00000000000E+000
+7.46300000000E+004, +8.90994325293E+001, +0.00000000000E+000
+7.56250000000E+004, +8.91041426378E+001, +0.00000000000E+000
+7.66200000000E+004, +8.91009219698E+001, +0.00000000000E+000
+7.76150000000E+004, +8.91070928723E+001, +0.00000000000E+000
+7.86100000000E+004, +8.91062823573E+001, +0.00000000000E+000
+7.96050000000E+004, +8.91147911786E+001, +0.00000000000E+000
+8.06000000000E+004, +8.91042174989E+001, +0.00000000000E+000
+8.15950000000E+004, +8.91022151474E+001, +0.00000000000E+000
+8.25900000000E+004, +8.91175608624E+001, +0.00000000000E+000
+8.35850000000E+004, +8.91083529100E+001, +0.00000000000E+000
+8.45800000000E+004, +8.91137625568E+001, +0.00000000000E+000
+8.55750000000E+004, +8.91144611037E+001, +0.00000000000E+000
+8.65700000000E+004, +8.91095897832E+001, +0.00000000000E+000
+8.75650000000E+004, +8.91270996742E+001, +0.00000000000E+000
+8.85600000000E+004, +8.91200050038E+001, +0.00000000000E+000
+8.95550000000E+004, +8.91223145709E+001, +0.00000000000E+000
+9.05500000000E+004, +8.91279577260E+001, +0.00000000000E+000
+9.15450000000E+004, +8.91290794282E+001, +0.00000000000E+000
+9.25400000000E+004, +8.91273281105E+001, +0.00000000000E+000
+9.35350000000E+004, +8.91281964677E+001, +0.00000000000E+000
+9.45300000000E+004, +8.91269163580E+001, +0.00000000000E+000
+9.55250000000E+004, +8.91366558233E+001, +0.00000000000E+000
+9.65200000000E+004, +8.91311580535E+001, +0.00000000000E+000
+9.75150000000E+004, +8.91354987855E+001, +0.00000000000E+000
+9.85100000000E+004, +8.91340411134E+001, +0.00000000000E+000
+9.95050000000E+004, +8.91321085522E+001, +0.00000000000E+000
+1.00500000000E+005, +8.91336504292E+001, +0.00000000000E+000
+1.01495000000E+005, +8.91305578337E+001, +0.00000000000E+000
+1.02490000000E+005, +8.91418347943E+001, +0.00000000000E+000
+1.03485000000E+005, +8.91424887307E+001, +0.00000000000E+000
+1.04480000000E+005, +8.91443274096E+001, +0.00000000000E+000
+1.05475000000E+005, +8.91449068780E+001, +0.00000000000E+000
+1.06470000000E+005, +8.91403535901E+001, +0.00000000000E+000
+1.07465000000E+005, +8.91462252681E+001, +0.00000000000E+000
+1.08460000000E+005, +8.91477466329E+001, +0.00000000000E+000
+1.09455000000E+005, +8.91378872342E+001, +0.00000000000E+000
+1.10450000000E+005, +8.91478017987E+001, +0.00000000000E+000
+1.11445000000E+005, +8.91543771699E+001, +0.00000000000E+000
+1.12440000000E+005, +8.91549778866E+001, +0.00000000000E+000
+1.13435000000E+005, +8.91534495010E+001, +0.00000000000E+000
+1.14430000000E+005, +8.91492689947E+001, +0.00000000000E+000
+1.15425000000E+005, +8.91500340067E+001, +0.00000000000E+000
+1.16420000000E+005, +8.91417265743E+001, +0.00000000000E+000
+1.17415000000E+005, +8.91596495829E+001, +0.00000000000E+000
+1.18410000000E+005, +8.91526957342E+001, +0.00000000000E+000
+1.19405000000E+005, +8.91553915473E+001, +0.00000000000E+000
+1.20400000000E+005, +8.91558991721E+001, +0.00000000000E+000
+1.21395000000E+005, +8.91596588767E+001, +0.00000000000E+000
+1.22390000000E+005, +8.91492890014E+001, +0.00000000000E+000
+1.23385000000E+005, +8.91525459708E+001, +0.00000000000E+000
+1.24380000000E+005, +8.91656769903E+001, +0.00000000000E+000
+1.25375000000E+005, +8.91588545030E+001, +0.00000000000E+000
+1.26370000000E+005, +8.91593626026E+001, +0.00000000000E+000
+1.27365000000E+005, +8.91541221077E+001, +0.00000000000E+000
+1.28360000000E+005, +8.91558132562E+001, +0.00000000000E+000
+1.29355000000E+005, +8.91492238137E+001, +0.00000000000E+000
+1.30350000000E+005, +8.91681843249E+001, +0.00000000000E+000
+1.31345000000E+005, +8.91624986585E+001, +0.00000000000E+000
+1.32340000000E+005, +8.91648253670E+001, +0.00000000000E+000
+1.33335000000E+005, +8.91720027443E+001, +0.00000000000E+000
+1.34330000000E+005, +8.91648720188E+001, +0.00000000000E+000
+1.35325000000E+005, +8.91720349569E+001, +0.00000000000E+000
+1.36320000000E+005, +8.91621003089E+001, +0.00000000000E+000
+1.37315000000E+005, +8.91690975091E+001, +0.00000000000E+000
+1.38310000000E+005, +8.91607688680E+001, +0.00000000000E+000
+1.39305000000E+005, +8.91739744371E+001, +0.00000000000E+000
+1.40300000000E+005, +8.91699815943E+001, +0.00000000000E+000
+1.41295000000E+005, +8.91709012745E+001, +0.00000000000E+000
+1.42290000000E+005, +8.91712836077E+001, +0.00000000000E+000
+1.43285000000E+005, +8.91723518734E+001, +0.00000000000E+000
+1.44280000000E+005, +8.91763247063E+001, +0.00000000000E+000
+1.45275000000E+005, +8.91731906550E+001, +0.00000000000E+000
+1.46270000000E+005, +8.91714968041E+001, +0.00000000000E+000
+1.47265000000E+005, +8.91759655263E+001, +0.00000000000E+000
+1.48260000000E+005, +8.91782533419E+001, +0.00000000000E+000
+1.49255000000E+005, +8.91727313894E+001, +0.00000000000E+000
+1.50250000000E+005, +8.91689623741E+001, +0.00000000000E+000
+1.51245000000E+005, +8.91842617384E+001, +0.00000000000E+000
+1.52240000000E+005, +8.91823975118E+001, +0.00000000000E+000
+1.53235000000E+005, +8.91756543285E+001, +0.00000000000E+000
+1.54230000000E+005, +8.91737463357E+001, +0.00000000000E+000
+1.55225000000E+005, +8.91835578700E+001, +0.00000000000E+000
+1.56220000000E+005, +8.91863792583E+001, +0.00000000000E+000
+1.57215000000E+005, +8.91859798513E+001, +0.00000000000E+000
+1.58210000000E+005, +8.91830111484E+001, +0.00000000000E+000
+1.59205000000E+005, +8.91768519701E+001, +0.00000000000E+000
+1.60200000000E+005, +8.91821571273E+001, +0.00000000000E+000
+1.61195000000E+005, +8.91855213343E+001, +0.00000000000E+000
+1.62190000000E+005, +8.91762003894E+001, +0.00000000000E+000
+1.63185000000E+005, +8.91830571907E+001, +0.00000000000E+000
+1.64180000000E+005, +8.91796958381E+001, +0.00000000000E+000
+1.65175000000E+005, +8.91808717761E+001, +0.00000000000E+000
+1.66170000000E+005, +8.91887215843E+001, +0.00000000000E+000
+1.67165000000E+005, +8.91837348714E+001, +0.00000000000E+000
+1.68160000000E+005, +8.91807553790E+001, +0.00000000000E+000
+1.69155000000E+005, +8.91864233339E+001, +0.00000000000E+000
+1.70150000000E+005, +8.91847537892E+001, +0.00000000000E+000
+1.71145000000E+005, +8.91912252564E+001, +0.00000000000E+000
+1.72140000000E+005, +8.91831270691E+001, +0.00000000000E+000
+1.73135000000E+005, +8.91902904000E+001, +0.00000000000E+000
+1.74130000000E+005, +8.91856839216E+001, +0.00000000000E+000
+1.75125000000E+005, +8.91807501027E+001, +0.00000000000E+000
+1.76120000000E+005, +8.91881301696E+001, +0.00000000000E+000
+1.77115000000E+005, +8.91828408757E+001, +0.00000000000E+000
+1.78110000000E+005, +8.91853119904E+001, +0.00000000000E+000
+1.79105000000E+005, +8.91806261237E+001, +0.00000000000E+000
+1.80100000000E+005, +8.91916406976E+001, +0.00000000000E+000
+1.81095000000E+005, +8.91898890764E+001, +0.00000000000E+000
+1.82090000000E+005, +8.91787045744E+001, +0.00000000000E+000
+1.83085000000E+005, +8.91885590751E+001, +0.00000000000E+000
+1.84080000000E+005, +8.91852051076E+001, +0.00000000000E+000
+1.85075000000E+005, +8.91935669711E+001, +0.00000000000E+000
+1.86070000000E+005, +8.91890169819E+001, +0.00000000000E+000
+1.87065000000E+005, +8.91879086046E+001, +0.00000000000E+000
+1.88060000000E+005, +8.91886265092E+001, +0.00000000000E+000
+1.89055000000E+005, +8.91913411653E+001, +0.00000000000E+000
+1.90050000000E+005, +8.91967035034E+001, +0.00000000000E+000
+1.91045000000E+005, +8.91927444113E+001, +0.00000000000E+000
+1.92040000000E+005, +8.91930145230E+001, +0.00000000000E+000
+1.93035000000E+005, +8.91917565351E+001, +0.00000000000E+000
+1.94030000000E+005, +8.91917365489E+001, +0.00000000000E+000
+1.95025000000E+005, +8.92088397452E+001, +0.00000000000E+000
+1.96020000000E+005, +8.91987123306E+001, +0.00000000000E+000
+1.97015000000E+005, +8.91945689909E+001, +0.00000000000E+000
+1.98010000000E+005, +8.92021000240E+001, +0.00000000000E+000
+1.99005000000E+005, +8.91957653156E+001, +0.00000000000E+000
+2.00000000000E+005, +8.91907121454E+001, +0.00000000000E+000
