Frequency, Formatted Data, Formatted Data
+2.50000000000E+004, +8.87411113130E+001, +0.00000000000E+000
+2.51250000000E+004, +8.87402793589E+001, +0.00000000000E+000
+2.52500000000E+004, +8.87430350298E+001, +0.00000000000E+000
+2.53750000000E+004, +8.87473239520E+001, +0.00000000000E+000
+2.55000000000E+004, +8.87500662482E+001, +0.00000000000E+000
+2.56250000000E+004, +8.87540144041E+001, +0.00000000000E+000
+2.57500000000E+004, +8.87558553064E+001, +0.00000000000E+000
+2.58750000000E+004, +8.87603870922E+001, +0.00000000000E+000
+2.60000000000E+004, +8.87658545261E+001, +0.00000000000E+000
+2.61250000000E+004, +8.87682366551E+001, +0.00000000000E+000
+2.62500000000E+004, +8.87656585132E+001, +0.00000000000E+000
+2.63750000000E+004, +8.87751871605E+001, +0.00000000000E+000
+2.65000000000E+004, +8.87754753874E+001, +0.00000000000E+000
+2.66250000000E+004, +8.87803248966E+001, +0.00000000000E+000
+2.67500000000E+004, +8.87828821116E+001, +0.00000000000E+000
+2.68750000000E+004, +8.87856136673E+001, +0.00000000000E+000
+2.70000000000E+004, +8.87857285663E+001, +0.00000000000E+000
+2.71250000000E+004, +8.87907157870E+001, +0.00000000000E+000
+2.72500000000E+004, +8.87927097683E+001, +0.00000000000E+000
+2.73750000000E+004, +8.87992480109E+001, +0.00000000000E+000
+2.75000000000E+004, +8.88011752855E+001, +0.00000000000E+000
+2.76250000000E+004, +8.88056690142E+001, +0.00000000000E+000
+2.77500000000E+004, +8.88055236809E+001, +0.00000000000E+000
+2.78750000000E+004, +8.88118594294E+001, +0.00000000000E+000
+2.80000000000E+004, +8.88143539852E+001, +0.00000000000E+000
+2.81250000000E+004, +8.88157512117E+001, +0.00000000000E+000
+2.82500000000E+004, +8.88167889727E+001, +0.00000000000E+000
+2.83750000000E+004, +8.88146826328E+001, +0.00000000000E+000
+2.85000000000E+004, +8.88164097449E+001, +0.00000000000E+000
+2.86250000000E+004, +8.88166513729E+001, +0.00000000000E+000
+2.87500000000E+004, +8.88169954761E+001, +0.00000000000E+000
+2.88750000000E+004, +8.88181551595E+001, +0.00000000000E+000
+2.90000000000E+004, +8.88220021959E+001, +0.00000000000E+000
+2.91250000000E+004, +8.88278436478E+001, +0.00000000000E+000
+2.92500000000E+004, +8.88275198248E+001, +0.00000000000E+000
+2.93750000000E+004, +8.88319329081E+001, +0.00000000000E+000
+2.95000000000E+004, +8.88336386548E+001, +0.00000000000E+000
+2.96250000000E+004, +8.88359683900E+001, +0.00000000000E+000
+2.97500000000E+004, +8.88397806262E+001, +0.00000000000E+000
+2.98750000000E+004, +8.88405496105E+001, +0.00000000000E+000
+3.00000000000E+004, +8.88426333097E+001, +0.00000000000E+000
+3.01250000000E+004, +8.88436224495E+001, +0.00000000000E+000
+3.02500000000E+004, +8.88474453152E+001, +0.00000000000E+000
+3.03750000000E+004, +8.88513464025E+001, +0.00000000000E+000
+3.05000000000E+004, +8.88528520155E+001, +0.00000000000E+000
+3.06250000000E+004, +8.88538948905E+001, +0.00000000000E+000
+3.07500000000E+004, +8.88565022914E+001, +0.00000000000E+000
+3.08750000000E+004, +8.88602781714E+001, +0.00000000000E+000
+3.10000000000E+004, +8.88588224061E+001, +0.00000000000E+000
+3.11250000000E+004, +8.88618774156E+001, +0.00000000000E+000
+3.12500000000E+004, +8.88654758704E+001, +0.00000000000E+000
+3.13750000000E+004, +8.88659510322E+001, +0.00000000000E+000
+3.15000000000E+004, +8.88697926737E+001, +0.00000000000E+000
+3.16250000000E+004, +8.88698547343E+001, +0.00000000000E+000
+3.17500000000E+004, +8.88752532712E+001, +0.00000000000E+000
+3.18750000000E+004, +8.88750048126E+001, +0.00000000000E+000
+3.20000000000E+004, +8.88773143349E+001, +0.00000000000E+000
+3.21250000000E+004, +8.88783583273E+001, +0.00000000000E+000
+3.22500000000E+004, +8.88754140070E+001, +0.00000000000E+000
+3.23750000000E+004, +8.88791341240E+001, +0.00000000000E+000
+3.25000000000E+004, +8.88808878866E+001, +0.00000000000E+000
+3.26250000000E+004, +8.88814560414E+001, +0.00000000000E+000
+3.27500000000E+004, +8.88822918786E+001, +0.00000000000E+000
+3.28750000000E+004, +8.88807185292E+001, +0.00000000000E+000
+3.30000000000E+004, +8.88866287686E+001, +0.00000000000E+000
+3.31250000000E+004, +8.88848268587E+001, +0.00000000000E+000
+3.32500000000E+004, +8.88885772673E+001, +0.00000000000E+000
+3.33750000000E+004, +8.88909640470E+001, +0.00000000000E+000
+3.35000000000E+004, +8.88889152090E+001, +0.00000000000E+000
+3.36250000000E+004, +8.88941891532E+001, +0.00000000000E+000
+3.37500000000E+004, +8.88980335948E+001, +0.00000000000E+000
+3.38750000000E+004, +8.89006538744E+001, +0.00000000000E+000
+3.40000000000E+004, +8.89027400480E+001, +0.00000000000E+000
