Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -8.94969149674E+001, +0.00000000000E+000
+1.02772972507E+003, -8.95652261306E+001, +0.00000000000E+000
+1.05545945015E+003, -8.78865116697E+001, +0.00000000000E+000
+1.08318917522E+003, -8.75548341575E+001, +0.00000000000E+000
+1.11091890029E+003, -8.96422547187E+001, +0.00000000000E+000
+1.13864862537E+003, -8.80876013828E+001, +0.00000000000E+000
+1.16637835044E+003, -8.79973504875E+001, +0.00000000000E+000
+1.19410807551E+003, -8.90321886938E+001, +0.00000000000E+000
+1.22183780059E+003, -8.87511994413E+001, +0.00000000000E+000
+1.24956752566E+003, -8.98950634478E+001, +0.00000000000E+000
+1.27729725073E+003, -8.86954736212E+001, +0.00000000000E+000
+1.30502697581E+003, -8.80095186263E+001, +0.00000000000E+000
+1.33275670088E+003, -8.93847344210E+001, +0.00000000000E+000
+1.36504441051E+003, -8.91751476417E+001, +0.00000000000E+000
+1.40337532068E+003, -8.84828351216E+001, +0.00000000000E+000
+1.44170623084E+003, -8.88109232718E+001, +0.00000000000E+000
+1.48003714101E+003, -8.99607991876E+001, +0.00000000000E+000
+1.51836805118E+003, -8.90962291798E+001, +0.00000000000E+000
+1.55669896134E+003, -8.77474314547E+001, +0.00000000000E+000
+1.59502987151E+003, -8.96091974004E+001, +0.00000000000E+000
+1.63336078167E+003, -8.87968804161E+001, +0.00000000000E+000
+1.67169169184E+003, -9.07222255973E+001, +0.00000000000E+000
+1.71002260200E+003, -8.82996275344E+001, +0.00000000000E+000
+1.74835351217E+003, -8.98545920002E+001, +0.00000000000E+000
+1.78668442234E+003, -8.93457532007E+001, +0.00000000000E+000
+1.82501533250E+003, -8.78955424246E+001, +0.00000000000E+000
+1.86334624267E+003, -8.76656741731E+001, +0.00000000000E+000
+1.90848815221E+003, -8.94044960002E+001, +0.00000000000E+000
+1.96141000397E+003, -9.00468549066E+001, +0.00000000000E+000
