Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +7.84967862314E+004, +0.00000000000E+000
+1.02772972507E+003, +6.91383565044E+004, +0.00000000000E+000
+1.05545945015E+003, +6.80562326146E+004, +0.00000000000E+000
+1.08318917522E+003, +6.93839449528E+004, +0.00000000000E+000
+1.11091890029E+003, +6.93488346583E+004, +0.00000000000E+000
+1.13864862537E+003, +6.74746262354E+004, +0.00000000000E+000
+1.16637835044E+003, +6.46396276228E+004, +0.00000000000E+000
+1.19410807551E+003, +6.24399606777E+004, +0.00000000000E+000
+1.22183780059E+003, +6.15946034460E+004, +0.00000000000E+000
+1.24956752566E+003, +6.08419752290E+004, +0.00000000000E+000
+1.27729725073E+003, +5.87878033385E+004, +0.00000000000E+000
+1.30502697581E+003, +5.83663708837E+004, +0.00000000000E+000
+1.33275670088E+003, +5.69083965953E+004, +0.00000000000E+000
+1.36504441051E+003, +5.82227776691E+004, +0.00000000000E+000
+1.40337532068E+003, +5.42811426049E+004, +0.00000000000E+000
+1.44170623084E+003, +5.08080115838E+004, +0.00000000000E+000
+1.48003714101E+003, +5.24693012463E+004, +0.00000000000E+000
+1.51836805118E+003, +4.99057096970E+004, +0.00000000000E+000
+1.55669896134E+003, +4.81501298005E+004, +0.00000000000E+000
+1.59502987151E+003, +4.71455031730E+004, +0.00000000000E+000
+1.63336078167E+003, +4.71709357906E+004, +0.00000000000E+000
+1.67169169184E+003, +4.58526378198E+004, +0.00000000000E+000
+1.71002260200E+003, +4.32606384084E+004, +0.00000000000E+000
+1.74835351217E+003, +4.37481134440E+004, +0.00000000000E+000
+1.78668442234E+003, +4.25563987114E+004, +0.00000000000E+000
+1.82501533250E+003, +4.21928053326E+004, +0.00000000000E+000
+1.86334624267E+003, +4.02857206932E+004, +0.00000000000E+000
+1.90848815221E+003, +3.95847213715E+004, +0.00000000000E+000
+1.96141000397E+003, +3.89275990792E+004, +0.00000000000E+000
+2.01433185574E+003, +3.79758137767E+004, +0.00000000000E+000
+2.06725370751E+003, +3.70566180093E+004, +0.00000000000E+000
+2.12017555927E+003, +3.60656878376E+004, +0.00000000000E+000
+2.17309741104E+003, +3.46745003579E+004, +0.00000000000E+000
+2.22601926280E+003, +3.41193820445E+004, +0.00000000000E+000
+2.27894111457E+003, +3.34319893318E+004, +0.00000000000E+000
+2.33186296634E+003, +3.24240511319E+004, +0.00000000000E+000
+2.38478481810E+003, +3.15828950281E+004, +0.00000000000E+000
