"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.12847920392E+004, +0.00000000000E+000
+1.02772972507E+003, +6.05574517400E+004, +0.00000000000E+000
+1.05545945015E+003, +5.66992640630E+004, +0.00000000000E+000
+1.08318917522E+003, +5.77495534579E+004, +0.00000000000E+000
+1.11091890029E+003, +5.66187023090E+004, +0.00000000000E+000
+1.13864862537E+003, +5.28854800822E+004, +0.00000000000E+000
+1.16637835044E+003, +5.18592567130E+004, +0.00000000000E+000
+1.19410807551E+003, +5.09663579887E+004, +0.00000000000E+000
+1.22183780059E+003, +5.06255168437E+004, +0.00000000000E+000
+1.24956752566E+003, +4.86333904326E+004, +0.00000000000E+000
+1.27729725073E+003, +4.89386154779E+004, +0.00000000000E+000
+1.30502697581E+003, +4.69377291200E+004, +0.00000000000E+000
+1.33275670088E+003, +4.61640027825E+004, +0.00000000000E+000
+1.36504441051E+003, +4.58999885568E+004, +0.00000000000E+000
+1.40337532068E+003, +4.41512578461E+004, +0.00000000000E+000
+1.44170623084E+003, +4.23881490842E+004, +0.00000000000E+000
+1.48003714101E+003, +4.23897116955E+004, +0.00000000000E+000
+1.51836805118E+003, +4.09534174338E+004, +0.00000000000E+000
+1.55669896134E+003, +3.95058815932E+004, +0.00000000000E+000
+1.59502987151E+003, +3.79965857587E+004, +0.00000000000E+000
+1.63336078167E+003, +3.79019389648E+004, +0.00000000000E+000
+1.67169169184E+003, +3.75029523228E+004, +0.00000000000E+000
+1.71002260200E+003, +3.58344306379E+004, +0.00000000000E+000
+1.74835351217E+003, +3.55542480850E+004, +0.00000000000E+000
+1.78668442234E+003, +3.48796397092E+004, +0.00000000000E+000
+1.82501533250E+003, +3.43043914880E+004, +0.00000000000E+000
+1.86334624267E+003, +3.33259882374E+004, +0.00000000000E+000
+1.90848815221E+003, +3.25829429444E+004, +0.00000000000E+000
+1.96141000397E+003, +3.15966719243E+004, +0.00000000000E+000
+2.01433185574E+003, +3.10567739006E+004, +0.00000000000E+000
+2.06725370751E+003, +3.02763236554E+004, +0.00000000000E+000
+2.12017555927E+003, +2.90993992530E+004, +0.00000000000E+000
+2.17309741104E+003, +2.83990776872E+004, +0.00000000000E+000
+2.22601926280E+003, +2.78225682139E+004, +0.00000000000E+000
+2.27894111457E+003, +2.68464894252E+004, +0.00000000000E+000
+2.33186296634E+003, +2.65024930097E+004, +0.00000000000E+000
+2.38478481810E+003, +2.59638907621E+004, +0.00000000000E+000
+2.43770666987E+003, +2.54259521287E+004, +0.00000000000E+000
+2.49062852164E+003, +2.47506581413E+004, +0.00000000000E+000
+2.54355037340E+003, +2.45172748303E+004, +0.00000000000E+000
+2.60517108470E+003, +2.36606562178E+004, +0.00000000000E+000
+2.67832517261E+003, +2.33694980519E+004, +0.00000000000E+000
+2.75147926053E+003, +2.23136021774E+004, +0.00000000000E+000
+2.82463334844E+003, +2.18533306732E+004, +0.00000000000E+000
+2.89778743636E+003, +2.13116565905E+004, +0.00000000000E+000
+2.97094152427E+003, +2.08502208188E+004, +0.00000000000E+000
+3.04409561219E+003, +2.04863565851E+004, +0.00000000000E+000
+3.11724970010E+003, +1.98783414957E+004, +0.00000000000E+000
+3.19040378802E+003, +1.93788902249E+004, +0.00000000000E+000
+3.26355787593E+003, +1.89491861101E+004, +0.00000000000E+000
+3.33671196385E+003, +1.87484087318E+004, +0.00000000000E+000
+3.40986605176E+003, +1.82832588533E+004, +0.00000000000E+000
+3.48302013968E+003, +1.79691547471E+004, +0.00000000000E+000
+3.55617422759E+003, +1.75015058436E+004, +0.00000000000E+000
+3.64232702711E+003, +1.71831244279E+004, +0.00000000000E+000
